date, pm25, pm10, o3, no2, so2, co, aqi
2020/6/2, 22, 10, , , , 2, 
2020/6/3, 17, 22, , , , 2, 
2020/6/4, 41, 32, , , , 5, 
2020/6/5, 44, 26, , , , 4, 
2020/6/6, 35, 25, , , , 4, 
2020/6/7, 40, 22, , , , 5, 
2020/6/8, 40, 20, , , , 4, 
2020/6/9, 40, 22, , , , 5, 
2020/6/10, 28, 32, , , , 8, 
2020/6/11, 39, 48, , , , 11, 
2020/6/12, 58, , , , , , 
2020/5/2, 15, 17, , , , , 
2020/5/3, 15, 14, , , , , 
2020/5/4, 24, 21, , , , , 
2020/5/5, 25, 28, , , , , 
2020/5/6, 32, 24, , , , 3, 
2020/5/7, 21, 39, , , , 2, 
2020/5/8, 32, 19, , , , 2, 
2020/5/9, 14, 19, , , , 1, 
2020/5/10, 18, 19, , , , 3, 
2020/5/11, 31, 17, , , , 3, 
2020/5/12, 23, 15, , , , 2, 
2020/5/13, 16, 13, , , , 3, 
2020/5/14, 14, 24, , , , 3, 
2020/5/15, 25, 29, , , , 3, 
2020/5/16, 35, 21, , , , 4, 
2020/5/17, 33, 29, , , , 5, 
2020/5/18, 49, 26, , , , 3, 
2020/5/19, 26, 23, , , , 2, 
2020/5/20, 11, 21, , , , 1, 
2020/5/21, 14, 18, , , , 2, 
2020/5/22, 13, 12, , , , 2, 
2020/5/23, 10, 6, , , , 2, 
2020/5/24, 8, 15, , , , 1, 
2020/5/25, 7, 13, , , , 2, 
2020/5/26, 14, 14, , , , 1, 
2020/5/27, 7, 8, , , , 2, 
2020/5/28, 12, 17, , , , 4, 
2020/5/29, 30, 20, , , , 2, 
2020/5/30, 29, 36, , , , 1, 
2020/5/31, 18, 28, , , , 2, 
2020/6/1, 14, 18, , , , 1, 
2020/4/7, 13, 11, , , , 2, 
2020/4/8, 11, 13, , , , 1, 
2020/4/9, 12, 11, , , , 1, 
2020/4/10, 18, 19, , , , 3, 
2020/4/11, 17, 16, , , , 2, 
2020/4/12, 23, 23, , , , 1, 
2020/4/13, 27, 23, , , , 1, 
2020/4/14, 30, 28, , , , 2, 
2020/4/15, 32, 35, , , , 2, 
2020/4/16, 16, 32, , , , 1, 
2020/4/17, 19, 27, , , , 2, 
2020/4/18, 9, 10, , , , 1, 
2020/4/19, 11, 8, , , , 1, 
2020/4/20, 12, 13, , , , 1, 
2020/4/21, 36, 35, , , , 2, 
2020/4/22, 28, 31, , , , 1, 
2020/4/23, 32, 32, , , , 2, 
2020/4/24, 25, 22, , , , 3, 
2020/4/25, 27, 21, , , , 2, 
2020/4/26, 23, 16, , , , 2, 
2020/4/27, 15, 15, , , , 1, 
2020/4/28, 29, 29, , , , 2, 
2020/4/29, 12, 13, , , , 2, 
2020/4/30, 13, 10, , , , 1, 
2020/5/1, 14, 14, , , , 1, 
2020/3/2, 13, 20, , , , 1, 
2020/3/3, 17, 17, , , , 1, 
2020/3/4, 17, 22, , , , 3, 
2020/3/5, 27, 18, , , , 2, 
2020/3/6, 26, 10, , , , 2, 
2020/3/7, 13, 8, , , , 2, 
2020/3/8, 15, 11, , , , 2, 
2020/3/9, 12, 10, , , , 1, 
2020/3/10, 15, 25, , , , 3, 
2020/3/11, 20, 38, , , , 3, 
2020/3/12, 27, 27, , , , 1, 
2020/3/13, 14, 28, , , , 1, 
2020/3/14, 28, 22, , , , 1, 
2020/3/15, 20, 10, , , , 1, 
2020/3/16, 14, 30, , , , 2, 
2020/3/17, 16, 33, , , , 2, 
2020/3/18, 23, 31, , , , 2, 
2020/3/19, 13, 28, , , , 2, 
2020/3/20, 14, 14, , , , 2, 
2020/3/21, 18, 16, , , , 2, 
2020/3/22, 16, 7, , , , 1, 
2020/3/23, 9, 19, , , , 1, 
2020/3/24, 20, 20, , , , 1, 
2020/3/25, 20, 11, , , , 1, 
2020/3/26, 12, 17, , , , 2, 
2020/3/27, 14, 37, , , , 3, 
2020/3/28, 39, 27, , , , 2, 
2020/3/29, 21, 18, , , , 1, 
2020/3/30, 17, 10, , , , 1, 
2020/3/31, 13, 14, , , , 2, 
2020/2/2, 11, 12, , , , 1, 20
2020/2/3, 11, 17, , , , 1, 30
2020/2/4, 17, 18, , , , 1, 41
2020/2/5, 15, 22, , , , 2, 45
2020/2/6, 20, 25, , , , 2, 50
2020/2/7, 26, 30, , , , 2, 58
2020/2/8, 35, 40, , , , 3, 81
2020/2/9, 68, 38, , , , 2, 111
2020/2/10, 35, 36, , , , 3, 80
2020/2/11, 42, 28, , , , 3, 68
2020/2/12, 28, 13, , , , 2, 43
2020/2/13, 12, 10, , , , 2, 22
2020/2/14, 12, 7, , , , 2, 21
2020/2/15, 11, 7, , , , 1, 14
2020/2/16, 6, 9, , , , 1, 16
2020/2/17, 13, 22, , , , 2, 38
2020/2/18, 21, 20, , , , 1, 42
2020/2/19, 18, 28, , , , 1, 57
2020/2/20, 27, 22, , , , 2, 56
2020/2/21, 15, 13, , , , 2, 35
2020/2/22, 11, 16, , , , 2, 34
2020/2/23, 15, 15, , , , 2, 33
2020/2/24, 13, , , , , , 34
2020/2/28, 12, 7, , , , 2, 23
2020/2/29, 6, 11, , , , 3, 21
2020/3/1, 12, 14, , , , 2, 28
2020/1/2, 56, 26, , , , 2, 66
2020/1/3, 37, 47, , , , 2, 89
2020/1/4, 54, 31, , , , 2, 98
2020/1/5, 32, 10, , , , 2, 40
2020/1/6, 20, 19, , , , 1, 
2020/1/7, 21, 33, , , , 5, 
2020/1/8, 59, 42, , , , 5, 
2020/1/9, 71, 49, , , , 4, 
2020/1/10, 56, 45, , , , 5, 
2020/1/11, 64, 30, , , , 1, 
2020/1/12, 21, 15, , , , 2, 
