date, pm25, pm10, o3, no2, so2, co, aqi
2017/2/24, 3, 15, 7, 1, , , 
2017/2/25, 4, 16, 8, 1, , , 
2017/2/26, 3, 13, 7, , , , 
2017/2/27, 5, 16, 9, , , , 
2017/2/28, 6, 20, 14, 2, , , 
2017/3/1, 4, 17, 17, 2, , , 
2017/3/2, 4, 16, 16, 4, , , 
2015/9/21, 59, 17, 500, 500, , , 
2020/6/2, , 15, 11, , , , 
2020/6/3, , 7, 10, 2, , , 
2020/6/4, , 17, 5, 6, , , 
2020/6/5, , 17, 7, 5, , , 
2020/6/6, , 15, 11, 2, , , 
2020/6/7, , 15, 11, 1, , , 
2020/6/10, , 15, 5, 7, , , 
2020/6/11, , 15, 8, 6, , , 
2020/6/12, , 15, , , , , 
2020/5/2, , 14, 12, 1, , , 
2020/5/3, , 11, 12, 1, , , 
2020/5/4, , 16, 10, 2, , , 
2020/5/5, , 7, 10, 3, , , 
2020/5/6, , 12, 9, 1, , , 
2020/5/7, , 17, 11, 1, , , 
2020/5/8, , 33, 11, , , , 
2020/5/9, , 23, 12, , , , 
2020/5/10, , 12, 10, 1, , , 
2020/5/11, , 12, 9, 3, , , 
2020/5/12, , 9, 9, 3, , , 
2020/5/13, , 11, 9, , , , 
2020/5/14, , 11, 9, , , , 
2020/5/15, , 8, 10, , , , 
2020/5/16, , 14, 10, , , , 
2020/5/17, , 14, 11, , , , 
2020/5/18, , 15, 11, , , , 
2020/5/19, , 13, 12, , , , 
2020/5/20, , 14, 12, , , , 
2020/5/21, , 13, 10, 1, , , 
2020/5/22, , 14, 9, 2, , , 
2020/5/23, , 7, 9, 1, , , 
2020/5/24, , 4, 11, , , , 
2020/5/25, , 7, 11, , , , 
2020/5/26, , 8, 9, , , , 
2020/5/27, , 12, 9, 3, , , 
2020/5/28, , 9, 12, 3, , , 
2020/5/29, , 10, 10, 3, , , 
2020/5/30, , 8, 12, , , , 
2020/5/31, , 25, 12, , , , 
2020/6/1, , 15, 13, , , , 
2020/4/2, , 10, 10, 3, , , 
2020/4/3, , 12, 9, 2, , , 
2020/4/4, , 15, 9, , , , 
2020/4/5, , 14, 9, , , , 
2020/4/6, , 12, 7, 2, , , 
2020/4/7, , 7, 9, 1, , , 
2020/4/8, , 8, 9, 1, , , 
2020/4/9, , 9, 9, 3, , , 
2020/4/10, , 9, 10, 2, , , 
2020/4/11, , 9, 10, 1, , , 
2020/4/12, , 19, 11, 1, , , 
2020/4/13, , 19, 10, 2, , , 
2020/4/14, , 17, 9, 5, , , 
2020/4/15, , 21, 11, 3, , , 
2020/4/16, , 23, 10, 1, , , 
2020/4/17, , 20, 10, 1, , , 
2020/4/18, , 6, 9, 2, , , 
2020/4/19, , 5, 8, 2, , , 
2020/4/20, , 6, 11, 1, , , 
2020/4/21, , 28, 10, 2, , , 
2020/4/22, , 27, 9, 3, , , 
2020/4/23, , 21, 9, 3, , , 
2020/4/24, , 13, 9, 1, , , 
2020/4/25, , 15, 10, 2, , , 
2020/4/26, , 9, 10, 1, , , 
2020/4/27, , 13, 12, 2, , , 
2020/4/28, , 14, 8, 2, , , 
2020/4/29, , 9, 10, 1, , , 
2020/4/30, , 8, 12, 1, , , 
2020/5/1, , 12, 11, , , , 
2020/3/2, , 11, 10, , , , 
2020/3/3, , 17, 7, , , , 
2020/3/4, , 17, 11, 2, , , 
2020/3/5, , 19, 9, 1, , , 
2020/3/6, , 15, 8, 1, , , 
2020/3/7, , 12, 9, , , , 
2020/3/8, , 10, 7, , , , 
2020/3/9, , 10, 8, , , , 
2020/3/10, , 11, 15, 1, , , 
2020/3/11, , 14, 16, 3, , , 
2020/3/12, , 23, 12, 2, , , 
2020/3/13, , 14, 9, , , , 
2020/3/14, , 20, 8, , , , 
2020/3/15, , 20, 7, , , , 
2020/3/16, , 9, 14, 2, , , 
2020/3/17, , 15, 11, 2, , , 
2020/3/18, , 21, 11, 2, , , 
2020/3/19, , 23, 10, 1, , , 
2020/3/20, , 23, 9, , , , 
2020/3/21, , 13, 9, , , , 
2020/3/22, , 11, 8, , , , 
2020/3/23, , 7, 9, , , , 
2020/3/24, , 15, 9, 1, , , 
2020/3/25, , 15, 8, , , , 
2020/3/26, , 11, 9, , , , 
2020/3/27, , 9, 12, 3, , , 
2020/3/28, , 15, 12, 2, , , 
2020/3/29, , 11, 9, , , , 
2020/3/30, , 17, 9, , , , 
2020/3/31, , 11, 9, 2, , , 
2020/4/1, , 12, 10, 1, , , 
2020/2/2, , 8, 7, , , , 23
2020/2/3, , 14, 8, , , , 31
2020/2/4, , 14, 9, , , , 30
2020/2/5, , 15, 10, 1, , , 35
2020/2/6, , 17, 13, 1, , , 38
2020/2/7, , 18, 16, 1, , , 43
2020/2/8, , 22, 24, 1, , , 68
2020/2/9, , 41, 14, , , , 107
2020/2/10, , 40, 15, 2, , , 74
2020/2/11, , 29, 10, 1, , , 50
2020/2/12, , 19, 8, 1, , , 26
2020/2/13, , 6, 10, 1, , , 20
2020/2/14, , 8, 7, , , , 17
2020/2/15, , 5, 6, , , , 15
2020/2/16, , 3, 8, , , , 17
2020/2/17, , 9, 13, 2, , , 26
2020/2/18, , 13, 8, , , , 25
2020/2/19, , 14, 7, , , , 42
2020/2/20, , 20, 7, 1, , , 35
2020/2/21, , 13, 6, , , , 20
2020/2/22, , 8, 9, , , , 22
2020/2/23, , 11, 13, 1, , , 28
2020/2/24, , 11, 16, 2, , , 32
2020/2/25, , 15, 10, 2, , , 31
2020/2/26, , 13, 8, , , , 26
