date, pm25, pm10, o3, no2, so2, co, aqi
2020/6/2, 21, 19, 10, 2, , , 
2020/6/3, 15, 26, 10, 3, , , 
2020/6/4, 29, 38, 7, 7, , , 
2020/6/5, 49, 35, 6, 7, , , 
2020/6/6, 46, 38, 8, 6, , , 
2020/6/7, 67, 27, 10, 3, , , 
2020/6/8, 45, 26, 10, 6, , , 
2020/6/9, 44, 34, 6, 8, , , 
2020/6/10, 48, 37, 5, 8, , , 
2020/6/11, 48, 38, 8, 8, , , 
2020/6/12, 57, , , , , , 
2020/5/2, 17, 20, 11, 1, , , 
2020/5/3, 12, 25, 11, 2, , , 
2020/5/4, 27, 22, 9, 7, , , 
2020/5/5, 27, 27, 8, 5, , , 
2020/5/6, 29, 27, 7, 5, , , 
2020/5/7, 18, 43, 10, 2, , , 
2020/5/8, 31, 23, 10, 1, , , 
2020/5/9, 16, 21, 11, 1, , , 
2020/5/10, 17, 22, 8, 4, , , 
2020/5/11, 27, 22, 7, 6, , , 
2020/5/12, 23, 21, 8, 3, , , 
2020/5/13, 19, 18, 9, 3, , , 
2020/5/14, 15, 18, 10, 4, , , 
2020/5/15, 19, 29, 9, 7, , , 
2020/5/16, 34, 28, 8, 6, , , 
2020/5/17, 44, 32, 10, 6, , , 
2020/5/18, 54, 25, 9, 6, , , 
2020/5/19, 22, 26, 11, 2, , , 
2020/5/20, 16, 25, 11, 1, , , 
2020/5/21, 17, 23, 9, 3, , , 
2020/5/22, 21, 20, 9, 5, , , 
2020/5/23, 24, 15, 9, 1, , , 
2020/5/24, 10, 16, 11, 1, , , 
2020/5/25, 16, 25, 8, 5, , , 
2020/5/26, 30, 26, 7, 5, , , 
2020/5/27, 28, 24, 7, 4, , , 
2020/5/28, 22, 25, 9, 6, , , 
2020/5/29, 34, 23, 7, 7, , , 
2020/5/30, 32, 54, 10, 2, , , 
2020/5/31, 24, 21, 10, 1, , , 
2020/6/1, 16, 24, 11, 1, , , 
2020/4/2, 13, 24, 9, 5, , , 
2020/4/3, 19, 31, 9, 4, , , 
2020/4/4, 21, 24, 9, , , , 
2020/4/5, 23, 20, 9, , , , 
2020/4/7, 12, 18, 8, 2, , , 
2020/4/8, 9, 17, 9, 2, , , 
2020/4/9, 13, 21, 9, 3, , , 
2020/4/10, 17, 21, 10, 3, , , 
2020/4/11, 24, 30, 9, 1, , , 
2020/4/12, 29, 29, 10, 1, , , 
2020/4/13, 27, 28, 10, 4, , , 
2020/4/14, 32, 32, 8, 7, , , 
2020/4/15, 24, 34, 9, 5, , , 
2020/4/16, 15, 30, 10, 1, , , 
2020/4/17, 24, 17, 9, 1, , , 
2020/4/18, 12, 12, 8, 2, , , 
2020/4/19, 12, 16, 7, 3, , , 
2020/4/20, 12, 40, 10, 1, , , 
2020/4/21, 34, 38, 9, 4, , , 
2020/4/22, 32, 32, 9, 5, , , 
2020/4/23, 30, 22, 8, 6, , , 
2020/4/24, 25, 27, 8, 3, , , 
2020/4/25, 29, 19, 6, 4, , , 
2020/4/26, 22, 20, 9, 1, , , 
2020/4/27, 18, 25, 10, 5, , , 
2020/4/28, 25, 20, 5, 4, , , 
2020/4/29, 16, 17, 9, 2, , , 
2020/4/30, 13, 19, 11, 2, , , 
2020/5/1, 17, 22, 10, 1, , , 
2020/3/2, 10, 25, 10, , , , 
2020/3/3, 17, 25, 8, 1, , , 
2020/3/4, 19, 24, 11, 3, , , 
2020/3/5, 24, 26, 10, 1, , , 
2020/3/6, 25, 19, 8, 1, , , 
2020/3/7, 16, 17, 10, 1, , , 
2020/3/8, 9, 20, 8, 1, , , 
2020/3/9, 13, 18, 9, 1, , , 
2020/3/10, 14, 26, 15, 3, , , 
2020/3/11, 15, 37, 13, 6, , , 
2020/3/12, 25, 27, 10, 4, , , 
2020/3/13, 13, 32, 9, 1, , , 
2020/3/14, 30, 29, 7, , , , 
2020/3/15, 19, 19, 7, , , , 
2020/3/16, 11, 23, 11, 3, , , 
2020/3/17, 11, 31, 10, 4, , , 
