date, pm25, pm10, o3, no2, so2, co, aqi
20-06-02,30,12, ,9, ,2, 
20-06-03,19,19, ,4, ,1, 
20-06-04,42,22, ,8, ,2, 
20-06-05,41,17, ,7, ,1, 
20-06-06,41,20, ,5, ,2, 
20-06-07,56,10, ,4, ,2, 
20-06-08,47,19, ,7, ,2, 
20-06-09,43, , , , , , 
20-05-02,17,11, ,1, , , 
20-05-03,22,16, ,2, , , 
20-05-04,27,9, ,5, ,1, 
20-05-05,24,14, ,5, , , 
20-05-06,24,10, ,3, , , 
20-05-07,15,31, ,5, , , 
20-05-08,32,15, ,5, , , 
20-05-09,23,11, ,1, , , 
20-05-10,22,13, ,3, ,1, 
20-05-11,28,10, ,6, ,1, 
20-05-12,25,11, ,4, , , 
20-05-13,21,10, ,4, , , 
20-05-14,24,8, ,5, , , 
20-05-15,20,11, ,5, , , 
20-05-16,28,13, ,3, ,1, 
20-05-17,33,14, ,3, ,1, 
20-05-18,37,10, ,6, ,1, 
20-05-19,20,13, ,4, , , 
20-05-20,17,14, ,6, ,1, 
20-05-21,24,14, ,7, , , 
20-05-22,27,13, ,7, ,2, 
20-05-23,21,7, ,4, , , 
20-05-24,15,6, ,1, , , 
20-05-25,24,7, ,3, , , 
20-05-26,40,7, ,3, , , 
20-05-27,23,10, ,4, ,1, 
20-05-28,16,13, ,7, ,2, 
20-05-29,35,7, ,5, , , 
20-05-30,22,20, ,1, , , 
20-05-31,14,12, ,2, ,1, 
20-06-01,21,14, ,7, , , 
20-04-02,24,11, ,8, , , 
20-04-03,22,15, ,6, ,1, 
20-04-04,24,14, ,1, , , 
20-04-05,22,11, ,1, , , 
20-04-06,16,8, ,5, , , 
20-04-07,15,8, ,4, , , 
20-04-08,14,7, ,3, , , 
20-04-09,17,11, ,7, ,1, 
20-04-10,19,11, ,4, , , 
20-04-11,27,19, ,1, , , 
20-04-12,38,20, ,1, , , 
20-04-13,32,18, ,2, , , 
20-04-14,28,19, ,7, ,1, 
20-04-15,33,17, ,6, , , 
20-04-16,18,21, ,3, ,1, 
20-04-17,31,8, ,4, , , 
20-04-18,16,6, ,2, , , 
20-04-19,12,6, ,2, , , 
20-04-20,17,32, ,4, , , 
20-04-21,43,26, ,5, , , 
20-04-22,33,24, ,6, , , 
20-04-23,39,11, ,6, ,1, 
20-04-24,27,18, ,6, ,1, 
20-04-25,32,8, ,3, , , 
20-04-26,17,13, ,1, , , 
20-04-27,27,17, ,3, , , 
20-04-28,26,7, , , , , 
20-04-29,13,9, , , , , 
20-04-30,21,8, , , , , 
20-05-01,21,12, ,3, , , 
20-03-02,14,17, ,3, , , 
20-03-03,23,15, ,1, , , 
20-03-04,22,16, ,6, ,1, 
20-03-05,26,16, ,5, , , 
20-03-06,25,12, ,5, ,1, 
20-03-07,15,7, ,2, , , 
20-03-08,14,10, ,2, , , 
20-03-09,15,9, ,1, , , 
20-03-10,21,14, ,7, , , 
20-03-11,18,24, ,12, ,1, 
20-03-12,27,13, ,7, ,1, 
20-03-13,18,20, ,4, , , 
20-03-14,34,21, ,1, , , 
20-03-15,18,10, ,2, , , 
20-03-17,19,16, ,8, ,1, 
20-03-18,21,20, ,9, ,1, 
20-03-19,23,20, ,5, , , 
20-03-20,21,18, ,4, , , 
20-03-21,25,11, ,3, , , 
20-03-22,20,7, ,1, , , 
20-03-23,18,15, ,3, , , 
20-03-24,20,14, ,4, , , 
20-03-25,19,10, ,2, , , 
20-03-26,11,9, ,5, , , 
20-03-27,15,18, ,12, ,1, 
20-03-28,27,11, ,4, , , 
20-03-29,14,15, ,2, , , 
20-03-30,24,11, ,6, , , 
20-03-31,27,14, ,6, , , 
20-04-01,21,11, ,3, , , 
20-02-02,15,12, ,2, , ,23
20-02-03,20,14, ,3, , ,29
20-02-04,19,16, ,3, , ,33
20-02-05,20,18, ,6, ,1,39
20-02-06,22,19, ,6, ,1,39
20-02-07,25,25, ,8, ,2,45
20-02-08,32,36, ,3, ,2,67
20-02-09,66,34, ,1, ,1,105
20-02-10,38,28, ,9, ,2,59
20-02-11,49,17, ,5, ,1,50
20-02-12,35,6, ,4, ,1,25
20-02-13,16,11, ,8, ,2,20
20-02-14,22,7, ,6, ,1,21
20-02-15,15,5, ,2, ,1,11
20-02-16,13,9, ,3, , ,14
20-02-17,18,16, ,10, ,1,28
20-02-18,26,16, ,5, , ,32
20-02-19,29,22, ,4, , ,44
20-02-20,30,16, ,4, , ,42
20-02-21,18,9, ,3, , ,23
20-02-22,10,12, ,3, , ,23
20-02-23,23,11, ,7, ,1,24
20-02-24,15,37, ,11, ,2,57
20-02-25,36,18, ,8, ,1,78
20-02-26,25,13, ,5, , ,27
20-02-27,23,17, ,5, , ,36
20-02-28,22,9, ,5, ,1,28
20-02-29,14,9, ,5, ,1,19
20-03-01,14,11, ,5, ,1,25
20-01-02,65,20, ,7, ,2,71
20-01-03,47,28, ,8, ,1,63
20-01-04,56,26, ,2, , ,63
20-01-05,44,11, ,2, , ,38
20-01-06,24,17, ,5, , , 
20-01-07,25,31, ,8, ,3, 
20-01-08,58,31, ,9, ,4, 
20-01-09,82,33, ,11, ,4, 
20-01-10,54,46, ,7, ,3, 
20-01-11,75,19, ,2, , , 
20-01-12,27,14, ,2, , , 
20-01-13,16,12, ,11, ,1, 
20-01-14,22,18, ,13, ,2, 
20-01-15,24,28, ,6, ,2, 
20-01-16,51,15, ,3, , , 
20-01-17,24,19, ,2, , , 
20-01-18,22,24, ,4, ,1, 
20-01-19,34,17, ,1, ,1, 
20-01-20,34,14, ,5, ,1, 
20-01-21,28,13, ,5, ,1, 
20-01-22,25,20, ,6, ,1, 
20-01-23,25,17, ,4, , , 
20-01-24,26,19, ,5, ,1, 
20-01-25,19,9, ,3, , , 
20-01-26,14,7, ,2, ,1, 
20-01-27,13,10, ,4, ,1, 
20-01-28,19,15, ,10, ,1, 
20-01-29,30,14, ,12, ,1, 
20-01-30,24,17, ,11, ,1, 
20-01-31,24,37, ,10, ,2, 
20-02-01,36,8, ,4, ,1,40
19-10-02,4,11, , , , , 
19-10-03,8,11, , , , , 
19-10-04,9,12, , , , , 
19-10-05,9,15, , , , , 
19-10-06,10,11, , , , , 
19-10-07,9,4, , , , , 
19-10-08,3,9, , , , , 
19-10-09,6,6, , , , , 
19-10-10,5,4, , , , , 
19-10-11,5,4, , , , , 
19-10-12,4,4, , , , , 
19-10-13,5,5, , , , , 
19-10-14,5,10, , , , , 
19-10-15,8,6, , , , , 
19-10-16,5,6, , , , , 
19-10-17,4,10, , , , , 
19-10-18,5,31, , , , , 
19-10-19,8,10, , , , , 
19-10-20,6,19, , , , , 
19-10-21,7,13, , , , , 
19-10-22,7,16, , , , , 
19-10-23,8,32, , , , , 
19-10-24,5,26, , , , , 
19-10-25,6,23, , , , , 
19-10-26,8,14, , , , , 
19-10-27,8,4, , , , , 
19-10-28,4,4, , , , , 
19-10-29,5,7, , , , , 
19-10-30,6,8, , , , , 
19-10-31,6,21, , , , , 
19-11-01,5,28, , , , , 
19-11-02,11, , , , , , 
19-11-05,6,13, , , , , 
19-11-06,6,18, , , , , 
19-11-07,9,16, , , , , 
19-11-08,5,8, , , , , 
19-11-09,7,8, , , , , 
19-11-10,5,6, , , , , 
19-11-11,4,9, , , , , 
19-11-12,5,10, , , , , 
19-11-13,9,7, , , , , 
19-11-14,5,5, , , , , 
19-11-15,4,6, , , , , 
19-11-16,5,8, , , , , 
19-11-17,7,6, , , , , 
19-11-18,5,8, , , , , 
19-11-19,8,11, , , , , 
19-11-20,9,22, , , , , 
19-11-21,9,32, , , , , 
19-11-22,16,8, , , , , 
19-11-23,6,8, , , , , 
19-11-24,6,6, , , , , 
19-11-25,5,9, , , , , 
19-11-26,5,8, , , , , 
19-11-27,7, , , , , , 
19-11-29,7,6, , , , , 
19-11-30,6,6, , , , , 
19-12-01,5,7, , , , , 
19-12-02,5,8, , , , , 
19-12-03,6,10, , , , , 
19-12-04,6,9, , , , , 
19-12-05,7,7, , , , , 
19-12-06,7,6, , , , , 
19-12-07,6,8, , , , , 
19-12-08,7,6, , , , , 
19-12-09,4,13, , , , , 
19-12-10,8,5, , , , , 
19-12-11,4,7, , , , , 
19-12-12,6,5, , , , , 
19-12-13,5,5, , , , , 
19-12-14,3,6, , , , , 
19-12-15,5,5, , , , , 
19-12-16,5,7, , , , , 
19-12-17,5,10, , , , , 
19-12-18,10,9, , , , , 
19-12-19,6,11, , , , , 
19-12-20,9,35, , , , , 
19-12-21,22,10, , , , , 
19-12-22,10,20, , , , , 
19-12-23,29,34, , , , , 
19-12-24,51,18, , , , , 
19-12-25,24,6, , , , , 
19-12-26,8,8, , , , , 
19-12-27,12,10, , , , , 
19-12-28,9,14, ,4, ,2, 
