,Adelaide,Brisbane,Melbourne,Perth,Sydney
2017-06-10,10.0,34.142857142857146,26.25,37.0,19.454545454545453
2017-06-11,10.333333333333334,14.714285714285714,42.875,48.333333333333336,13.3
2017-06-12,15.333333333333334,9.0,55.5,51.0,20.1
2017-06-13,11.333333333333334,10.857142857142858,36.0,47.666666666666664,38.8
2017-06-14,13.666666666666666,7.285714285714286,32.25,44.333333333333336,29.5
2017-06-15,9.0,11.166666666666666,48.0,43.75,30.363636363636363
2017-06-16,10.666666666666666,10.166666666666666,37.142857142857146,44.0,36.63636363636363
2017-06-17,11.666666666666666,15.428571428571429,38.25,39.333333333333336,42.54545454545455
2017-06-18,16.333333333333332,14.571428571428571,55.125,42.666666666666664,39.0
2017-06-19,22.0,10.714285714285714,58.125,37.333333333333336,41.54545454545455
2017-06-20,16.666666666666668,14.375,42.75,54.333333333333336,37.18181818181818
2017-06-21,9.333333333333334,10.75,25.625,44.666666666666664,25.818181818181817
2017-06-22,13.333333333333334,13.75,20.375,20.333333333333332,41.77777777777778
2017-06-23,9.666666666666666,25.125,37.57142857142857,13.333333333333334,34.54545454545455
2017-06-24,11.666666666666666,35.0,23.714285714285715,14.333333333333334,41.18181818181818
2017-06-25,14.666666666666666,43.125,19.571428571428573,16.333333333333332,48.54545454545455
2017-06-26,14.333333333333334,51.75,13.428571428571429,29.0,49.72727272727273
2017-06-27,8.333333333333334,44.25,12.428571428571429,37.0,43.1
2017-06-28,9.666666666666666,35.5,33.0,45.0,42.54545454545455
2017-06-29,10.333333333333334,36.125,22.285714285714285,27.333333333333332,52.9
2017-06-30,9.333333333333334,34.875,20.75,25.666666666666668,49.18181818181818
2017-07-01,11.333333333333334,21.875,20.0,36.333333333333336,32.72727272727273
2017-07-02,8.333333333333334,16.125,40.0,26.0,30.0
2017-07-03,5.0,35.375,35.125,31.0,49.18181818181818
2017-07-04,4.333333333333333,41.625,22.375,36.333333333333336,58.54545454545455
2017-07-05,7.333333333333333,41.0,11.142857142857142,28.333333333333332,52.09090909090909
2017-07-06,7.333333333333333,41.75,12.0,25.666666666666668,29.09090909090909
2017-07-07,6.666666666666667,33.375,21.375,26.0,23.90909090909091
2017-07-08,6.333333333333333,40.25,14.428571428571429,19.0,44.09090909090909
2017-07-09,5.0,32.25,16.75,33.666666666666664,47.36363636363637
2017-07-10,6.0,27.625,11.875,39.333333333333336,47.54545454545455
2017-07-11,9.666666666666666,40.0,10.125,31.0,43.45454545454545
2017-07-12,12.666666666666666,27.875,18.0,17.333333333333332,34.45454545454545
2017-07-13,5.333333333333333,23.75,41.75,33.5,29.90909090909091
2017-07-14,5.0,23.125,23.375,32.0,36.63636363636363
2017-07-15,8.666666666666666,34.0,12.714285714285714,26.75,38.18181818181818
2017-07-16,9.0,40.5,19.333333333333332,31.25,36.72727272727273
