,Adelaide,Brisbane,Melbourne,Perth,Sydney
2019-08-01,,,4.0,3.6666666666666665,2.0
2019-08-02,,,1.0,3.3333333333333335,2.5833333333333335
2019-08-03,,,1.0,4.333333333333333,2.8461538461538463
2019-08-04,,,1.0,2.0,2.2857142857142856
2019-08-05,,,1.0,2.6666666666666665,2.5714285714285716
2019-08-06,,,,2.3333333333333335,2.7857142857142856
2019-08-07,,,1.75,3.3333333333333335,2.5833333333333335
2019-08-08,,,1.0,3.6666666666666665,2.75
2019-08-09,,,2.0,4.666666666666667,1.4
2019-08-10,,,1.75,3.0,2.0
2019-08-11,,,1.0,2.0,1.0
2019-08-12,,,1.0,2.3333333333333335,2.0
2019-08-13,,,1.75,3.0,2.1818181818181817
2019-08-14,,,1.75,3.6666666666666665,2.0833333333333335
2019-08-15,,,1.0,2.6666666666666665,3.0833333333333335
2019-08-16,,,1.0,3.3333333333333335,2.5
2019-08-17,,,1.75,1.3333333333333333,1.9166666666666667
2019-08-18,,,1.0,4.0,2.5
2019-08-19,,,1.75,4.666666666666667,1.5
2019-08-20,,,1.0,3.0,1.0
2019-08-21,,,,2.3333333333333335,1.1
2019-08-22,,,1.75,2.3333333333333335,1.0
2019-08-23,,,2.5,1.6666666666666667,1.6666666666666667
2019-08-24,,,1.0,2.6666666666666665,2.3333333333333335
2019-08-25,,,2.0,2.6666666666666665,2.25
2019-08-26,,,2.75,2.3333333333333335,1.7777777777777777
2019-08-27,,,2.75,2.6666666666666665,1.4444444444444444
2019-08-28,,,1.75,3.0,1.5833333333333333
2019-08-29,,,3.0,4.666666666666667,1.9090909090909092
2019-08-30,,,3.75,2.0,1.2
2019-08-31,,,4.5,1.6666666666666667,1.125
2019-09-01,,,1.0,1.0,1.5
2019-09-02,,,1.0,1.6666666666666667,1.6428571428571428
2019-09-03,,,1.75,1.5,3.7857142857142856
2019-09-04,,,2.0,1.6666666666666667,2.357142857142857
2019-09-05,,,2.0,1.6666666666666667,2.0
2019-09-06,,,1.75,2.6666666666666665,2.2857142857142856
2019-09-07,,,1.0,3.6666666666666665,1.5555555555555556
2019-09-08,,,1.0,2.6666666666666665,1.0
2019-09-09,,,1.0,3.3333333333333335,1.2
2019-09-10,,,2.0,2.6666666666666665,1.4166666666666667
2019-09-11,,,3.5,2.6666666666666665,1.6666666666666667
2019-09-12,,,1.0,3.3333333333333335,1.6666666666666667
2019-09-13,,,1.25,3.0,2.0
2019-09-14,,,1.0,3.0,1.3
2019-09-15,,,2.0,3.0,2.090909090909091
2019-09-16,,,1.75,2.3333333333333335,1.5
2019-09-17,,,1.0,3.3333333333333335,1.5555555555555556
2019-09-18,,,2.0,3.0,1.8181818181818181
2019-09-19,,,2.25,1.5,3.3333333333333335
2019-09-20,,,1.75,2.6666666666666665,1.25
2019-09-21,,,1.0,2.3333333333333335,1.3076923076923077
2019-09-22,,,1.0,3.0,1.3636363636363635
2019-09-23,,,1.75,1.3333333333333333,1.0909090909090908
2019-09-24,,,1.75,2.0,1.2142857142857142
2019-09-25,,,1.25,3.3333333333333335,2.0
2019-09-26,,,2.0,1.3333333333333333,1.5
2019-09-27,,,1.0,1.3333333333333333,1.6153846153846154
2019-09-28,,,1.25,2.3333333333333335,1.2
2019-09-29,,,2.0,2.0,1.0833333333333333
2019-09-30,,,1.0,2.6666666666666665,1.2
2019-10-01,,,2.0,2.3333333333333335,1.1818181818181819
2019-10-02,,,2.25,2.6666666666666665,1.4545454545454546
2019-10-03,,,1.75,3.3333333333333335,1.8333333333333333
2019-10-04,,,1.0,2.0,1.5
2019-10-05,,,2.0,2.0,1.3
2019-10-06,,,1.25,1.5,1.8181818181818181
2019-10-07,,,2.0,2.0,1.8181818181818181
2019-10-08,,,1.0,2.0,1.1818181818181819
2019-10-09,,,1.0,3.3333333333333335,1.6
2019-10-10,,,1.0,3.0,1.1
2019-10-11,,,1.0,2.0,1.1818181818181819
2019-10-12,,,1.0,1.0,1.3333333333333333
2019-10-13,,,1.25,2.3333333333333335,1.1428571428571428
2019-10-14,,,1.0,1.3333333333333333,1.5
2019-10-15,,,1.0,1.3333333333333333,1.5
2019-10-16,,,1.75,1.6666666666666667,1.8181818181818181
