date, pm25, pm10, o3, no2, so2, co
2020/6/2, 17, 17, , 2, , 
2020/6/3, 15, 16, , 2, , 
2020/6/4, 22, 11, , 3, , 
2020/6/5, 20, 10, , 2, , 
2020/6/6, 19, 14, , 2, , 
2020/6/7, 26, 13, , 2, , 
2020/6/8, 34, 9, , 2, , 
2020/6/9, 15, 13, , 3, , 
2020/6/10, 27, 12, , 3, , 
2020/6/11, 20, 14, , 4, , 
2020/6/12, 19, , , , , 
2020/5/2, 16, 20, , 1, , 
2020/5/3, 13, 14, , , , 
2020/5/4, 22, 15, , 1, , 
2020/5/5, 27, 12, , 2, , 
2020/5/6, 17, 11, , 1, , 
2020/5/7, 20, 10, , 1, , 
2020/5/8, 23, 16, , 5, , 
2020/5/9, 23, 13, , 4, , 
2020/5/10, 25, 15, , 1, , 
2020/5/11, 21, 11, , 1, , 
2020/5/12, 17, 13, , 2, , 
2020/5/13, 19, 10, , 3, , 
2020/5/14, 13, 12, , 4, , 
2020/5/15, 25, 9, , 3, , 
2020/5/16, 19, 8, , , , 
2020/5/17, 14, 7, , , , 
2020/5/18, 12, 9, , , , 
2020/5/19, 13, 11, , 1, , 
2020/5/20, 17, 13, , 4, , 
2020/5/21, 20, 11, , 4, , 
2020/5/22, 21, 10, , 2, , 
2020/5/23, 13, 5, , 1, , 
2020/5/24, 11, 7, , , , 
2020/5/25, 14, 10, , 5, , 
2020/5/26, 21, 16, , 5, , 
2020/5/27, 28, 17, , 6, , 
2020/5/28, 30, 17, , 7, , 
2020/5/29, 32, 10, , 3, , 
2020/5/30, 20, 10, , 1, , 
2020/5/31, 18, 9, , 1, , 
2020/6/1, 17, 12, , 4, , 
2020/4/2, 21, 10, , 2, , 
2020/4/3, 18, 10, , 2, 2, 
2020/4/4, 25, 14, , 1, 4, 
2020/4/5, 27, 25, , 1, , 
2020/4/6, 26, 14, , 2, , 
2020/4/7, 17, 11, , 1, , 
2020/4/8, 17, 8, , , , 
2020/4/9, 17, 8, , 1, , 
2020/4/10, 14, 8, , , , 
2020/4/11, 11, 11, , 1, 1, 
2020/4/12, 27, 16, , , , 
2020/4/13, 25, 15, , , , 
2020/4/14, 21, 10, , 1, , 
2020/4/15, 16, 8, , 2, , 
2020/4/16, 16, , , , , 
2020/4/21, 30, 15, , 4, , 
2020/4/22, 26, 17, , 4, , 
2020/4/23, 29, 11, , 3, , 
