date, pm25, pm10, o3, no2, so2, co
2020/6/2, 12, 11, 17, 9, , 1
2020/6/3, 28, 20, 20, 5, , 
2020/6/4, 34, 21, 16, 13, , 3
2020/6/5, 23, 18, 9, 13, , 6
2020/6/6, 64, 12, 10, 9, , 3
2020/6/7, 54, 8, 19, 7, , 1
2020/6/8, 32, 13, 13, 12, , 5
2020/6/9, 60, 14, 11, 11, , 4
2020/6/10, 68, , 7, 14, , 7
2020/6/11, 71, , 10, 11, , 6
2020/6/12, 73, , , , , 
2020/5/2, 14, 11, 19, 3, , 1
2020/5/3, 23, 22, 17, 5, 2, 1
2020/5/4, 42, 12, 12, 13, 2, 2
2020/5/5, 13, 12, 14, 8, , 3
2020/5/6, 38, 11, 20, 5, , 1
2020/5/7, 21, 14, 20, 3, , 1
2020/5/8, 13, 19, 16, 6, , 1
2020/5/9, 25, 11, 16, 5, , 1
2020/5/10, 38, 12, 17, 4, , 1
2020/5/11, 28, 11, 13, 9, , 2
2020/5/12, 31, 10, 14, 4, , 1
2020/5/13, 22, 14, 15, 11, 1, 2
2020/5/14, 26, 21, 11, 11, , 5
2020/5/15, 51, 25, 3, 13, , 8
2020/5/16, 82, 24, 16, 9, , 6
2020/5/17, 80, 26, 15, 10, , 7
2020/5/18, 83, 26, 13, 11, , 5
2020/5/19, 85, 12, 16, 10, , 2
2020/5/20, 30, 7, 17, 5, , 1
2020/5/21, 23, 11, 14, 9, , 1
2020/5/22, 23, 15, 11, 14, , 2
2020/5/23, 22, 11, 16, 8, , 3
2020/5/24, 41, 11, 20, 3, , 1
2020/5/25, 21, 15, 13, 12, , 4
2020/5/26, 45, 16, 8, 10, , 4
2020/5/27, 49, 18, 11, 7, , 4
2020/5/28, 50, 16, 9, 11, , 3
2020/5/29, 32, 13, 14, 8, , 2
2020/5/30, 40, 11, 21, 5, , 2
2020/5/31, 26, 12, 17, 3, , 1
2020/6/1, 21, 8, 16, 7, , 1
2020/4/2, 34, 13, 16, 8, , 
2020/4/3, 34, 9, 22, 4, , 
2020/4/4, 33, 7, 16, 3, , 
2020/4/5, 18, 9, 14, 2, , 
2020/4/6, 25, 12, 16, 6, , 
2020/4/7, 20, 11, 14, 7, , 
2020/4/8, 20, 9, 12, 7, , 
2020/4/9, 30, 16, 7, 11, , 
2020/4/10, 31, 10, 18, 5, , 
2020/4/11, 27, 15, 17, 2, , 
2020/4/12, 30, 12, 18, 4, , 
2020/4/13, 25, 14, 21, 8, , 
2020/4/14, 23, 21, 24, 5, , 2
2020/4/15, 47, 21, 28, 6, , 2
2020/4/16, 38, 19, 16, 7, , 
