date, pm25, pm10, o3, no2, so2, co
2020/6/2, 5, , , , , 
2020/6/3, 5, , , , , 
2020/6/4, 23, , , , , 
2020/6/5, 23, , , , , 
2020/6/6, 45, , , , , 
2020/6/7, 36, , , , , 
2020/6/8, 10, , , , , 
2020/6/9, 36, , , , , 
2020/6/10, 37, , , , , 
2020/6/11, 44, , , , , 
2020/6/12, 52, , , , , 
2020/5/2, 7, , , , , 
2020/5/3, 10, , , , , 
2020/5/4, 25, , , , , 
2020/5/5, 8, , , , , 
2020/5/6, 24, , , , , 
2020/5/7, 9, , , , , 
2020/5/8, 8, , , , , 
2020/5/9, 16, , , , , 
2020/5/10, 8, , , , , 
2020/5/11, 7, , , , , 
2020/5/12, 11, , , , , 
2020/5/13, 8, , , , , 
2020/5/14, 14, , , , , 
2020/5/15, 29, , , , , 
2020/5/16, 38, , , , , 
2020/5/17, 44, , , , , 
2020/5/18, 49, , , , , 
2020/5/19, 40, , , , , 
2020/5/20, 12, , , , , 
2020/5/21, 7, , , , , 
2020/5/22, 10, , , , , 
2020/5/23, 14, , , , , 
2020/5/24, 12, , , , , 
2020/5/25, 11, , , , , 
2020/5/26, 15, , , , , 
2020/5/27, 34, , , , , 
2020/5/28, 14, , , , , 
2020/5/29, 21, , , , , 
2020/5/30, 18, , , , , 
2020/5/31, 12, , , , , 
2020/6/1, 8, , , , , 
2020/4/2, 24, , , , , 
2020/4/3, 22, , , , , 
2020/4/4, 15, , , , , 
2020/4/5, 4, , , , , 
2020/4/6, 3, , , , , 
2020/4/7, 7, , , , , 
2020/4/8, 5, , , , , 
2020/4/9, 6, , , , , 
2020/4/10, 22, , , , , 
2020/4/11, 21, , , , , 
2020/4/12, 20, , , , , 
2020/4/13, 9, , , , , 
2020/4/14, 13, , , , , 
2020/4/15, 26, , , , , 
2020/4/16, 24, , , , , 
2020/4/17, 16, , , , , 
2020/4/18, 14, , , , , 
2020/4/19, 11, , , , , 
2020/4/20, 15, , , , , 
2020/4/21, 19, , , , , 
2020/4/22, 24, , , , , 
2020/4/23, 20, , , , , 
2020/4/24, 22, , , , , 
2020/4/25, 25, , , , , 
2020/4/26, 27, , , , , 
2020/4/27, 21, , , , , 
2020/4/28, 24, , , , , 
2020/4/29, 17, , , , , 
2020/4/30, 8, , , , , 
2020/5/1, 4, , , , , 
2020/3/2, 11, , , , , 
2020/3/3, 14, , , , , 
2020/3/4, 11, , , , , 
2020/3/5, 21, , , , , 
2020/3/6, 6, , , , , 
2020/3/7, 8, , , , , 
2020/3/8, 10, , , , , 
2020/3/9, 6, , , , , 
2020/3/10, 7, , , , , 
2020/3/11, 15, , , , , 
2020/3/12, 13, , , , , 
2020/3/13, 15, , , , , 
2020/3/14, 12, , , , , 
2020/3/15, 11, , , , , 
2020/3/16, 5, , , , , 
2020/3/17, 10, , , , , 
2020/3/18, 13, , , , , 
2020/3/19, 9, , , , , 
2020/3/20, 13, , , , , 
2020/3/21, 14, , , , , 
2020/3/22, 25, , , , , 
2020/3/23, 15, , , , , 
2020/3/24, 7, , , , , 
2020/3/25, 6, , , , , 
2020/3/26, 3, , , , , 
2020/3/27, 9, , , , , 
2020/3/28, 24, , , , , 
2020/3/29, 35, , , , , 
2020/3/30, 12, , , , , 
2020/3/31, 15, , , , , 
2020/4/1, 10, , , , , 
2020/2/2, 14, 8, 15, 3, , 
2020/2/3, 16, 15, 14, 4, , 
2020/2/4, 18, 17, 16, 4, , 
2020/2/5, 23, 16, 14, 6, , 
2020/2/6, 21, , , , , 
2020/2/7, 67, , , , , 
2020/2/8, 109, , , , , 
2020/2/9, 55, , , , , 
2020/2/10, 29, , , , , 
2020/2/11, 11, , , , , 
2020/2/12, 28, , , , , 
2020/2/13, 14, , , , , 
2020/2/14, 12, , , , , 
2020/2/15, 30, , , , , 
2020/2/16, 21, , , , , 
2020/2/17, 10, , , , , 
2020/2/18, 20, , , , , 
2020/2/19, 20, , , , , 
2020/2/20, 20, , , , , 
2020/2/21, 10, , , , , 
2020/2/22, 10, 15, 16, 4, , 
2020/2/23, 11, 17, 34, 6, , 
2020/2/24, 20, 22, 14, 13, , 1
2020/2/25, 28, 14, 17, 9, , 1
2020/2/26, 25, 11, 14, 4, , 
2020/2/27, 13, 13, 15, 7, , 
2020/2/28, 13, 9, 11, 5, , 
2020/2/29, 9, , , , , 
2020/3/1, 6, , , , , 
2020/1/2, 25, 18, 21, 3, 1, 
2020/1/3, 21, 55, 60, 8, , 4
2020/1/4, 201, 41, 32, 4, 1, 2
2020/1/5, 118, 13, 13, 2, , 
2020/1/6, 18, 56, 17, 13, , 20
2020/1/7, 188, 19, 17, 6, , 7
2020/1/8, 72, 19, 25, 5, , 2
2020/1/9, 73, 29, 54, 5, , 4
2020/1/10, 72, 50, 31, 6, , 6
2020/1/11, 82, , , , , 
2020/1/12, 26, , , , , 
2020/1/13, 12, , , , , 
2020/1/14, 107, , , , , 
2020/1/15, 420, , , , , 
2020/1/16, 227, , , , , 
2020/1/17, 130, , , , , 
2020/1/18, 37, , , , , 
2020/1/21, 14, , , , , 
2020/1/22, 24, , , , , 
2020/1/23, 23, , , , , 
2020/1/24, 8, , , , , 
2020/1/25, 19, , , , , 
2020/1/26, 17, , , , , 
2020/1/27, 17, , , , , 
2020/1/28, 20, , , , , 
2020/1/29, 22, , , , , 
2020/1/30, 25, 25, 38, 17, , 3
2020/1/31, 31, 46, 42, 8, , 1
2020/2/1, 52, 16, 15, 6, , 1
2019/10/2, 12, , , , , 
2019/10/3, 22, , , , , 
2019/10/4, 18, , , , , 
2019/10/5, 18, , , , , 
2019/10/6, 14, , , , , 
2019/10/7, 24, , , , , 
2019/10/8, 9, , , , , 
2019/10/9, 4, , , , , 
2019/10/10, 9, , , , , 
2019/10/11, 5, , , , , 
2019/10/12, 9, , , , , 
2019/10/13, 12, , , , , 
2019/10/14, 13, , , , , 
2019/10/15, 13, , , , , 
2019/10/16, 22, , , , , 
2019/10/17, 14, , , , , 
2019/10/18, 49, , , , , 
2019/10/23, 15, , , , , 
2019/10/24, 24, , , , , 
2019/10/25, 21, , , , , 
2019/10/26, 23, , , , , 
2019/10/27, 16, , , , , 
2019/10/28, 17, , , , , 
2019/10/29, 11, , , , , 
2019/10/30, 14, , , , , 
2019/10/31, 16, , , , , 
2019/11/1, 22, , , , , 
2019/11/2, 29, , , , , 
2019/11/3, 31, , , , , 
2019/11/4, 6, , , , , 
2019/11/5, 6, , , , , 
2019/11/6, 5, , , , , 
2019/11/7, 12, , , , , 
2019/11/8, 17, , , , , 
2019/11/9, 6, , , , , 
2019/11/11, 7, , , , , 
2019/11/12, 8, , , , , 
2019/11/13, 17, , , , , 
2019/11/14, 18, , , , , 
2019/11/15, 8, , , , , 
2019/11/16, 4, , , , , 
2019/11/17, 18, , , , , 
2019/11/18, 19, , , , , 
2019/11/19, 14, , , , , 
2019/11/20, 13, , , , , 
2019/11/21, 9, , , , , 
2019/11/22, 26, , , , , 
2019/11/23, 27, , , , , 
2019/11/24, 19, , , , , 
2019/11/25, 31, , , , , 
2019/11/26, 22, , , , , 
2019/11/27, 18, , , , , 
2019/11/28, 16, , , , , 
2019/11/29, 17, , , , , 
2019/11/30, 27, , , , , 
2019/12/1, 19, , , , , 
2019/12/2, 7, , , , , 
2019/12/4, 14, , , , , 
2019/12/5, 18, , , , , 
2019/12/6, 14, , , , , 
2019/12/7, 18, , , , , 
2019/12/8, 33, , , , , 
2019/12/9, 22, , , , , 
2019/12/10, 19, , , , , 
2019/12/11, 23, , , , , 
2019/12/12, 17, , , , , 
2019/12/13, 12, , , , , 
2019/12/14, 15, , , , , 
2019/12/15, 8, , , , , 
2019/12/16, 6, , , , , 
2019/12/17, 12, , , , , 
2019/12/18, 17, , , , , 
2019/12/19, 18, , , , , 
2019/12/20, 26, , , , , 
2019/12/21, 55, , , , , 
2019/12/22, 82, , , , , 
2019/12/23, 35, , , , , 
2019/12/24, 44, , , , , 
2019/12/25, 41, , , , , 
2019/12/26, 49, , , , , 
2019/12/27, 91, , , , , 
2019/12/28, 27, , , , , 
2019/12/29, 59, , , , , 
2019/12/30, 50, , , , , 
2019/7/2, 7, , , , , 
2019/7/3, 8, , , , , 
2019/7/4, 14, , , , , 
2019/7/5, 29, , , , , 
2019/7/6, 70, , , , , 
2019/7/7, 46, , , , , 
2019/7/8, 20, , , , , 
2019/7/9, 8, , , , , 
2019/7/10, 7, , , , , 
2019/7/11, 6, , , , , 
2019/7/14, 31, , , , , 
2019/7/15, 30, , , , , 
2019/7/16, 42, , , , , 
2019/7/17, 28, , , , , 
2019/7/18, 22, , , , , 
2019/7/19, 35, , , , , 
2019/7/20, 36, , , , , 
2019/7/21, 30, , , , , 
2019/7/22, 26, , , , , 
2019/7/23, 33, , , , , 
2019/7/24, 30, , , , , 
2019/7/25, 29, , , , , 
2019/7/26, 26, , , , , 
2019/7/27, 25, , , , , 
2019/7/28, 38, , , , , 
2019/7/29, 43, , , , , 
2019/7/30, 33, , , , , 
2019/7/31, 27, , , , , 
2019/8/1, 41, , , , , 
2019/8/2, 47, , , , , 
2019/8/3, 26, , , , , 
2019/8/4, 25, , , , , 
2019/8/5, 27, , , , , 
2019/8/6, 34, , , , , 
2019/8/7, 23, , , , , 
2019/8/8, 15, , , , , 
2019/8/9, 16, , , , , 
2019/8/10, 8, , , , , 
2019/8/11, 9, , , , , 
2019/8/14, 5, , , , , 
2019/8/15, 10, , , , , 
2019/8/16, 9, , , , , 
