date, pm25, pm10, o3, no2, so2, co
2020/6/2, 19, 12, , , , 
2020/6/3, 21, 20, , , , 
2020/6/4, 32, 28, , , , 
2020/6/5, 36, 35, , , , 
2020/6/6, 47, 14, , , , 
2020/6/7, 37, 6, , , , 
2020/6/8, 19, 17, , , , 
2020/6/9, 34, 23, , , , 
2020/6/10, 43, 39, , , , 
2020/6/11, 52, 31, , , , 
2020/6/12, 51, , , , , 
2020/5/2, 19, 9, , , , 
2020/5/3, 22, 18, , , , 
2020/5/4, 29, 10, , , , 
2020/5/5, 21, 24, , , , 
2020/5/6, 35, 22, , , , 
2020/5/7, 27, 28, , , , 
2020/5/8, 25, 31, , , , 
2020/5/9, 28, 10, , , , 
2020/5/10, 20, 8, , , , 
2020/5/11, 20, 17, , , , 
2020/5/12, 24, 19, , , , 
2020/5/13, 23, 12, , , , 
2020/5/14, 21, 29, , , , 
2020/5/15, 33, 31, , , , 
2020/5/16, 44, 23, , , , 
2020/5/17, 44, 19, , , , 
2020/5/18, 52, 32, , , , 
2020/5/19, 47, 22, , , , 
2020/5/20, 28, 10, , , , 
2020/5/21, 19, 9, , , , 
2020/5/22, 24, 15, , , , 
2020/5/23, 27, 6, , , , 
2020/5/24, 21, 9, , , , 
2020/5/25, 23, 21, , , , 
2020/5/26, 35, 20, , , , 
2020/5/27, 47, 30, , , , 
2020/5/28, 30, 34, , , , 
2020/5/29, 35, 20, , , , 
2020/5/30, 32, 15, , , , 
2020/5/31, 28, 11, , , , 
2020/6/1, 20, 7, , , , 
2020/4/2, 49, 16, , , , 
2020/4/3, 47, 14, , , , 
2020/4/4, 34, 5, , , , 
2020/4/5, 20, 8, , , , 
2020/4/6, 20, 9, , , , 
2020/4/7, 22, 11, , , , 
2020/4/8, 23, 8, , , , 
2020/4/9, 23, 24, , , , 
2020/4/10, 43, 9, , , , 
2020/4/11, 33, 15, , , , 
2020/4/12, 28, 10, , , , 
2020/4/13, 24, 11, , , , 
2020/4/14, 27, 25, , , , 
2020/4/15, 38, 37, , , , 
2020/4/16, 38, 21, , , , 
2020/4/17, 27, 21, , , , 
2020/4/18, 25, 11, , , , 
2020/4/19, 22, 10, , , , 
2020/4/20, 25, 24, , , , 
2020/4/21, 30, 35, , , , 
2020/4/22, 35, 23, , , , 
2020/4/23, 33, 41, , , , 
2020/4/24, 39, 32, , , , 
2020/4/25, 36, 21, , , , 
2020/4/26, 33, 9, , , , 
2020/4/27, 24, 26, , , , 
2020/4/28, 37, 23, , , , 
2020/4/29, 31, 7, , , , 
2020/4/30, 20, 8, , , , 
2020/5/1, 20, 8, , , , 
2020/3/2, 23, 12, , , , 
2020/3/3, 21, 14, , , , 
2020/3/4, 22, 31, , , , 
2020/3/5, 37, 9, , , , 
2020/3/6, 24, 11, , , , 
2020/3/7, 26, 14, , , , 
2020/3/8, 25, 8, , , , 
2020/3/9, 22, 9, , , , 
2020/3/10, 19, 23, , , , 
2020/3/11, 32, 30, , , , 
2020/3/12, 35, 33, , , , 
2020/3/13, 27, 34, , , , 
2020/3/14, 28, 17, , , , 
2020/3/15, 22, 9, , , , 
2020/3/16, 20, 20, , , , 
2020/3/17, 25, 32, , , , 
2020/3/18, 28, 39, , , , 
2020/3/19, 24, 50, , , , 
2020/3/20, 32, 28, , , , 
2020/3/21, 27, 20, , , , 
2020/3/22, 33, 15, , , , 
2020/3/23, 28, 12, , , , 
2020/3/24, 21, 16, , , , 
2020/3/25, 23, 11, , , , 
2020/3/26, 19, 16, , , , 
2020/3/27, 26, 26, , , , 
2020/3/28, 37, 34, , , , 
2020/3/29, 34, 26, , , , 
2020/3/30, 24, 17, , , , 
2020/3/31, 28, 23, , , , 
2020/4/1, 30, 35, , , , 
2020/2/2, 25, 21, , , , 
2020/2/3, 22, 10, , , , 
2020/2/4, 23, 21, , , , 
2020/2/5, 25, 18, , , , 
2020/2/6, 26, 40, , , , 
2020/2/7, 70, 49, , , , 
2020/2/8, 106, 34, , , , 
2020/2/9, 67, 17, , , , 
2020/2/10, 35, 9, , , , 
2020/2/11, 23, 18, , , , 
2020/2/12, 36, 12, , , , 
2020/2/13, 28, 14, , , , 
2020/2/14, 23, 19, , , , 
