date, pm25, pm10, o3, no2, so2, co
2020/6/2, 5, 6, 17, 9, , 1
2020/6/3, 8, 21, 20, 5, , 
2020/6/4, 15, 24, 16, 13, , 3
2020/6/5, 25, 28, 9, 13, , 6
2020/6/6, 43, 15, 10, 9, , 3
2020/6/7, 32, 8, 19, 7, , 1
2020/6/8, 17, 13, 13, 12, , 5
2020/6/9, 36, 14, 11, 11, , 4
2020/6/10, 34, 11, 7, 14, , 7
2020/6/11, 23, 23, 10, 11, , 6
2020/6/12, 43, , , , , 
2020/5/2, 5, 9, 19, 3, , 1
2020/5/3, 7, 19, 17, 5, 2, 1
2020/5/4, 15, 5, 12, 13, 2, 2
2020/5/5, 9, 12, 14, 8, , 3
2020/5/6, 15, 9, 20, 5, , 1
2020/5/7, 11, 10, 20, 3, , 1
2020/5/8, 11, 20, 16, 6, , 1
2020/5/9, 11, 12, 16, 5, , 1
2020/5/10, 9, 10, 17, 4, , 1
2020/5/11, 15, 9, 13, 9, , 2
2020/5/12, 11, 8, 14, 4, , 1
2020/5/13, 9, 7, 14, 11, 1, 2
2020/5/14, 8, 17, 11, 11, , 5
2020/5/15, 33, 24, 9, 13, , 8
2020/5/16, 41, 17, 16, 9, , 6
2020/5/17, 35, 19, 15, 10, , 7
2020/5/18, 45, 18, 13, 11, , 5
2020/5/19, 34, 10, 16, 10, , 2
2020/5/20, 14, 6, 17, 5, , 1
2020/5/21, 5, 9, 14, 9, , 1
2020/5/22, 12, 11, 11, 14, , 2
2020/5/23, 16, 6, 16, 8, , 3
2020/5/24, 11, 9, 20, 3, , 1
2020/5/25, 9, 11, 13, 12, , 4
2020/5/26, 27, 13, 8, 10, , 4
2020/5/27, 26, 9, 11, 7, , 4
2020/5/28, 9, 11, 9, 11, , 3
2020/5/29, 19, 9, 14, 8, , 2
2020/5/30, 17, 9, 21, 5, , 2
2020/5/31, 16, 12, 17, 3, , 1
2020/6/1, 8, 5, 16, 7, , 1
2020/4/2, 31, 12, 16, 8, , 
2020/4/3, 29, 8, 22, 4, , 
2020/4/4, 16, 5, 16, 3, , 
2020/4/5, 4, 9, 14, 1, , 
2020/4/6, 8, 7, 16, 6, , 
2020/4/7, 7, 7, 14, 7, , 
2020/4/8, 10, 7, 12, 7, , 
2020/4/9, 16, 15, 7, 11, , 
2020/4/10, 35, 8, 18, 5, , 
2020/4/11, 16, 13, 17, 2, , 
2020/4/12, 10, 9, 18, 4, , 
2020/4/13, 8, 8, 21, 8, , 
2020/4/14, 13, 17, 24, 5, , 2
2020/4/15, 23, 19, 28, 6, , 2
2020/4/16, 25, 15, 15, 7, , 
2020/4/17, 11, 10, 16, 6, , 1
2020/4/18, 8, 8, 15, 3, , 1
2020/4/19, 8, 8, 20, 4, , 1
2020/4/20, 15, 16, 18, 7, , 2
2020/4/21, 19, 21, 17, 7, , 2
2020/4/22, 19, 13, 13, 10, , 2
2020/4/23, 16, 24, 16, 8, , 2
2020/4/24, 20, 12, 17, 9, , 2
2020/4/25, 13, 15, 19, 5, , 2
2020/4/26, 19, 18, 16, 5, , 2
2020/4/27, 35, 17, 16, 10, , 3
2020/4/28, 19, 14, 20, 7, , 3
2020/4/29, 15, 4, 16, 7, , 1
2020/4/30, 8, 6, 16, 8, , 2
2020/5/1, 8, 6, 18, 3, , 1
2020/3/2, 9, 13, 17, 3, , 
2020/3/3, 8, 15, 13, 2, , 
2020/3/4, 6, 26, 9, 11, , 2
2020/3/5, 21, 8, 12, 10, , 1
2020/3/6, 12, 20, 16, 3, , 
2020/3/7, 15, 18, 15, 2, , 
2020/3/8, 11, 11, 15, 3, , 
2020/3/9, 14, 10, 18, 3, , 
2020/3/10, 6, 15, 15, 12, , 1
2020/3/11, 18, 20, 25, 11, , 
2020/3/12, 16, 16, 29, 7, , 
2020/3/13, 9, 19, 20, 7, , 
2020/3/14, 11, 13, 15, 1, , 
2020/3/15, 8, 5, 13, 3, , 
2020/3/16, 5, 9, 21, 6, , 
2020/3/17, 8, 14, 21, 5, , 1
2020/3/18, 9, 22, 21, 8, , 
2020/3/19, 8, 28, 21, 11, , 
2020/3/20, 11, 12, 16, 4, , 
2020/3/21, 7, 19, 18, 3, , 
2020/3/22, 13, 12, 16, 5, , 
2020/3/23, 10, 11, 14, 6, , 
2020/3/24, 8, 8, 16, 6, , 
2020/3/25, 10, 6, 15, 6, , 
2020/3/26, 5, 11, 16, 7, , 
2020/3/27, 10, 20, 22, 7, , 
2020/3/28, 21, 18, 25, 3, , 
2020/3/29, 21, 12, 21, 2, , 
2020/3/30, 8, 11, 16, 8, , 
2020/3/31, 10, 14, 16, 8, , 
2020/4/1, 13, 23, 25, 6, , 
2020/2/2, 13, 11, 15, 3, , 
2020/2/3, 9, 15, 14, 4, , 
2020/2/4, 9, 20, 16, 4, , 
2020/2/5, 14, 19, 17, 6, , 
2020/2/6, 15, 38, 31, 10, , 2
2020/2/7, 58, 59, 26, 10, , 2
2020/2/8, 114, 41, 18, 5, , 2
2020/2/9, 78, 14, 15, , , 1
2020/2/10, 16, 7, , , , 
2020/2/11, 6, 15, , , , 
2020/2/12, 24, 16, , , , 
2020/2/13, 20, 8, , , , 
