date, pm25, pm10, o3, no2, so2, co
2020/6/2, 21, 11, 18, 10, , 1
2020/6/3, 20, 27, 18, 10, , 
2020/6/4, 34, 32, 16, 16, , 3
2020/6/5, 37, 24, 11, 16, , 6
2020/6/6, 42, 19, 13, 11, , 3
2020/6/7, 42, 12, 19, 8, , 1
2020/6/8, 28, 14, 13, 14, , 5
2020/6/9, 46, 18, 6, 17, , 4
2020/6/10, 43, 27, 5, 24, , 7
2020/6/11, 53, 19, 10, 18, , 6
2020/6/12, 51, , , , , 
2020/5/2, 18, 13, 22, 1, , 1
2020/5/3, 23, 24, 19, 2, 2, 1
2020/5/4, 31, 8, 15, 9, 2, 2
2020/5/5, 19, 11, 11, 10, , 3
2020/5/6, 35, 10, 18, 7, , 1
2020/5/7, 22, 11, 18, 4, , 1
2020/5/8, 20, 18, , 5, , 1
2020/5/9, 24, 10, 18, 3, , 1
2020/5/10, 20, 10, 18, 4, , 1
2020/5/11, 21, 12, 11, 11, , 2
2020/5/12, 25, 11, 14, 6, , 1
2020/5/13, 21, 13, 15, 12, 1, 2
2020/5/14, 25, 22, 9, 17, , 5
2020/5/15, 43, 23, 7, 17, , 8
2020/5/16, 44, 21, 17, 12, , 6
2020/5/17, 48, 20, 16, 13, , 7
2020/5/18, 52, 19, 14, 14, , 5
2020/5/19, 45, 9, 15, 7, , 2
2020/5/20, 22, 8, 16, 6, , 1
2020/5/21, 18, 12, 14, 12, , 1
2020/5/22, 24, 14, 11, 14, , 2
2020/5/23, 24, 12, 16, 10, , 3
2020/5/24, 26, 11, 18, 3, , 1
2020/5/25, 22, 17, 11, 14, , 4
2020/5/26, 32, 15, 6, 14, , 4
2020/5/27, 42, 17, 11, 12, , 4
2020/5/28, 34, 17, 6, 15, , 3
2020/5/29, 30, 9, 14, 11, , 2
2020/5/30, 25, 8, 22, 4, , 2
2020/5/31, 20, 13, 18, , , 1
2020/6/1, 20, 15, 20, 3, , 1
2020/4/2, 41, 13, 14, 10, , 
2020/4/3, 40, 8, 21, 5, , 
2020/4/4, 28, 7, 17, 3, , 
2020/4/5, 18, 8, 15, 2, , 
2020/4/6, 18, 12, 14, 8, , 
2020/4/7, 21, 14, 15, 8, , 
2020/4/8, 23, 16, 10, 9, , 
2020/4/9, 26, 17, 11, 13, , 
2020/4/10, 34, 11, 18, 6, , 
2020/4/11, 32, 17, 18, 1, , 
2020/4/12, 25, 13, 18, 2, , 
