date, pm25, pm10, o3, no2, so2, co
2020/6/2, 19, 11, 17, 9, , 1
2020/6/3, 20, 20, 20, 5, , 
2020/6/4, 29, 21, 16, 13, , 3
2020/6/5, 30, 18, 9, 13, , 6
2020/6/6, 46, 12, 10, 9, , 3
2020/6/7, 43, 8, 19, 7, , 1
2020/6/8, 24, 13, 13, 12, , 5
2020/6/9, 43, 14, 11, 11, , 4
2020/6/10, 44, , 7, 14, , 7
2020/6/11, 36, , 10, 11, , 6
2020/6/12, 44, , , , , 
2020/5/2, 18, 11, 19, 3, , 1
2020/5/3, 21, 22, 17, 5, 2, 1
2020/5/4, 30, 12, 12, 13, 2, 2
2020/5/5, 25, 12, 14, 8, , 3
2020/5/6, 34, 10, 20, 5, , 1
2020/5/7, 21, 14, 20, 3, , 1
2020/5/8, 21, 19, 16, 6, , 1
2020/5/9, 25, 11, 16, 5, , 1
2020/5/10, 20, 12, 17, 4, , 1
2020/5/11, 21, 11, 13, 9, , 2
2020/5/12, 22, 10, 14, 4, , 1
2020/5/13, 20, 14, 15, 11, 1, 2
2020/5/14, 23, 21, 11, 11, , 5
2020/5/15, 33, 25, 3, 13, , 8
2020/5/16, 38, 24, 16, 9, , 6
2020/5/17, 41, 26, 15, 10, , 7
2020/5/18, 50, 26, 13, 11, , 5
2020/5/19, 43, 12, 16, 10, , 2
2020/5/20, 22, 7, 17, 5, , 1
2020/5/21, 17, 11, 14, 9, , 1
2020/5/22, 24, 15, 11, 14, , 2
2020/5/23, 30, 11, 16, 8, , 3
2020/5/24, 26, 11, 20, 3, , 1
2020/5/25, 23, 15, 13, 12, , 4
2020/5/26, 30, 16, 8, 10, , 4
2020/5/27, 41, 18, 11, 7, , 4
2020/5/28, 23, 16, 9, 11, , 3
2020/5/29, 23, 13, 14, 8, , 2
2020/5/30, 26, 11, 21, 5, , 2
2020/5/31, 21, 12, 17, 3, , 1
2020/6/1, 20, 8, 16, 7, , 1
2020/4/2, 34, 13, 16, 8, , 
2020/4/3, 39, 9, 22, 4, , 
2020/4/4, 27, 7, 16, 3, , 
2020/4/5, 18, 9, 14, 2, , 
2020/4/6, 18, 12, 16, 6, , 
2020/4/7, 20, 11, 14, 7, , 
2020/4/8, 21, 9, 12, 7, , 
2020/4/9, 22, 16, 7, 11, , 
2020/4/10, 37, 10, 18, 5, , 
2020/4/11, 29, 15, 17, 2, , 
2020/4/12, 24, 12, 18, 4, , 
2020/4/13, 23, 14, 21, 8, , 
2020/4/14, 27, 21, 24, 5, , 2
2020/4/15, 34, 21, 28, 6, , 2
2020/4/16, 30, 19, 16, 7, , 
2020/4/17, 25, 14, 16, 6, , 1
2020/4/18, 22, 12, 15, 3, , 1
2020/4/19, 21, 11, 20, 4, , 1
2020/4/20, 27, 20, 18, 7, , 2
2020/4/21, 26, 18, 17, 7, , 2
2020/4/22, 31, 18, 13, 10, , 2
2020/4/23, 27, 25, 16, 8, , 2
2020/4/24, 33, 20, 17, 9, , 2
2020/4/25, 25, 20, 19, 5, , 2
2020/4/26, 30, 12, 16, 5, , 2
2020/4/27, 25, 19, 16, 10, , 3
2020/4/28, 30, 15, 20, 7, , 3
2020/4/29, 27, 7, 16, 7, , 1
2020/4/30, 21, 8, 16, 8, , 2
2020/5/1, 21, 8, 18, 3, , 1
2020/3/2, 20, 7, 17, 3, , 
2020/3/3, 20, , 13, 2, , 
2020/3/4, 20, 17, 9, 11, , 2
2020/3/5, 30, 6, 12, 10, , 1
2020/3/6, 21, 9, 16, 3, , 
2020/3/7, 24, 12, 15, 2, , 
2020/3/8, 24, 7, 15, 3, , 
2020/3/9, 21, 7, 18, 3, , 
2020/3/10, 18, 15, 15, 12, , 1
2020/3/11, 28, 16, 25, 11, , 
2020/3/12, 26, 20, 29, 7, , 
2020/3/13, 20, 20, 20, 7, , 
2020/3/14, 22, 14, 15, 1, , 
2020/3/15, 21, 7, 13, 3, , 
2020/3/16, 18, 11, 21, 6, , 
2020/3/17, 22, 16, 21, 5, , 1
2020/3/18, 23, 22, 21, 8, , 
2020/3/19, 19, 25, 21, 11, , 
2020/3/20, 23, 14, 16, 4, , 
2020/3/21, 23, 22, 18, 3, , 
2020/3/22, 32, 15, 16, 5, , 
2020/3/23, 26, 13, 14, 6, , 
2020/3/24, 20, 12, 16, 6, , 
2020/3/25, 20, 11, 15, 6, , 
2020/3/26, 17, 15, 16, 7, , 
2020/3/27, 24, 21, 22, 7, , 
