date, pm25, pm10, o3, no2, so2, co
2020/6/2, 17, , 19, , , 
2020/6/3, 19, , 25, , , 
2020/6/4, 27, , 23, , , 
2020/6/5, 30, , 15, , , 
2020/6/6, 40, , 24, , , 
2020/6/7, 29, , 24, , , 
2020/6/8, 15, , 21, , , 
2020/6/9, 21, , 15, , , 
2020/6/10, 36, , 13, , , 
2020/6/11, 44, , 11, , , 
2020/6/12, 43, , , , , 
2020/5/2, 5, , 19, , , 
2020/5/3, 6, , 17, , , 
2020/5/4, 13, , 18, , , 
2020/5/5, 6, , 6, , , 
2020/5/6, 27, , 18, , , 
2020/5/7, 11, , 14, , , 
2020/5/8, 11, , 17, , , 
2020/5/9, 9, , 18, , , 
2020/5/10, 4, , 18, , , 
2020/5/11, 5, , 16, , , 
2020/5/12, 9, , 12, , , 
2020/5/13, 7, , 19, , , 
2020/5/14, 16, , 18, , , 
2020/5/15, 22, , 18, , , 
2020/5/16, 31, , 16, , , 
2020/5/17, 44, , 19, , , 
2020/5/18, 46, , 14, , , 
2020/5/19, 40, , 13, , , 
2020/5/20, 24, , 18, , , 
2020/5/21, 18, , 20, , , 
2020/5/22, 21, , 20, , , 
2020/5/23, 24, , 18, , , 
2020/5/24, 20, , 21, , , 
2020/5/25, 20, , 14, , , 
2020/5/26, 23, , , , , 
2020/5/27, 47, , 11, , , 
2020/5/28, 24, , 13, , , 
2020/5/29, 26, , 14, , , 
2020/5/30, 26, , 19, , , 
2020/5/31, 26, , 20, , , 
2020/6/1, 20, , 21, , , 
2020/4/2, 24, , , , , 
2020/4/3, 23, , , , , 
2020/4/4, 18, , , , , 
2020/4/5, 3, , , , , 
2020/4/6, 3, , , , , 
2020/4/7, 4, , , , , 
2020/4/8, 4, , , , , 
2020/4/9, 6, , , , , 
2020/4/10, 17, , , , , 
2020/4/11, 22, , , , , 
2020/4/12, 10, , , , , 
2020/4/13, 6, , , , , 
2020/4/14, 9, , , , , 
2020/4/15, 25, , , , , 
2020/4/16, 23, , , , , 
2020/4/17, 9, , , , , 
2020/4/18, 7, , , , , 
2020/4/19, 6, , , , , 
2020/4/20, 10, , , , , 
2020/4/21, 13, , , , , 
2020/4/22, 14, , 17, , , 
2020/4/23, 10, , 15, , , 
2020/4/24, 19, , , , , 
2020/4/25, 17, , , , , 
2020/4/26, 25, , , , , 
2020/4/27, 12, , , , , 
2020/4/28, 13, , , , , 
2020/4/29, 16, , , , , 
2020/4/30, 5, , , , , 
2020/5/1, 4, , 19, , , 
2020/3/2, 5, , , , , 
2020/3/3, 5, , , , , 
2020/3/4, 4, , , , , 
2020/3/5, 14, , , , , 
2020/3/6, 7, , , , , 
2020/3/7, 7, , , , , 
2020/3/8, 6, , , , , 
2020/3/9, 6, , , , , 
2020/3/10, 4, , , , , 
2020/3/11, 9, , , , , 
2020/3/12, 19, , , , , 
2020/3/13, 9, , , , , 
2020/3/14, 8, , , , , 
2020/3/15, 6, , , , , 
2020/3/16, 2, , , , , 
2020/3/17, 7, , , , , 
2020/3/18, 7, , , , , 
2020/3/19, 5, , , , , 
2020/3/20, 9, , , , , 
2020/3/21, 6, , , , , 
2020/3/22, 10, , , , , 
2020/3/23, 7, , , , , 
2020/3/24, 4, , , , , 
2020/3/25, 4, , , , , 
2020/3/26, 1, , , , , 
2020/3/27, 6, , , , , 
2020/3/28, 23, , , , , 
2020/3/29, 25, , , , , 
2020/3/30, 8, , , , , 
2020/3/31, 7, , , , , 
2020/4/1, 8, , , , , 
2020/2/2, 25, 10, , , , 
2020/2/3, 22, 18, , , , 
2020/2/4, 23, 21, , , , 
2020/2/5, 25, 18, , , , 
2020/2/6, 26, , , , , 
2020/2/29, 4, , , , , 
2020/3/1, 4, , , , , 
2020/1/3, 39, 84, , , , 
2020/1/4, 133, 44, 17, 2, , 1
2020/1/5, 111, 17, 13, 4, , 
2020/1/6, 33, 68, 14, 15, , 21
2020/1/7, 170, 16, 17, 6, , 8
2020/1/8, 75, 22, 22, 5, , 3
2020/1/9, 66, 35, 49, 12, , 6
2020/1/10, 82, 79, 27, 11, , 8
2020/1/11, 120, , , , , 
2020/1/31, 31, 68, , , , 
2020/2/1, 48, 21, , , , 
2019/10/2, 23, , 28, , , 
2019/10/3, 32, , 26, , , 
2019/10/4, 31, , 22, , , 
2019/10/5, 27, , 21, , , 
2019/10/6, 23, , 23, , , 
2019/10/7, 31, , 21, , , 
2019/10/8, 21, , 22, , , 
2019/10/9, 18, , 22, , , 
2019/10/10, 17, , 21, , , 
2019/10/11, 15, , 21, , , 
2019/10/12, 18, , 23, , , 
2019/10/13, 21, , 24, , , 
2019/10/14, 23, , 25, , , 
2019/10/15, 22, , 23, , , 
2019/10/16, 26, , 22, , , 
2019/10/17, 20, , 20, , , 
2019/10/18, 17, , 22, , , 
2019/10/19, 19, , 21, , , 
2019/10/20, 21, , 20, , , 
2019/10/21, 22, , 23, , , 
2019/10/22, 22, , 25, , , 
2019/10/23, 26, , 33, , , 
2019/10/24, 39, , 37, , , 
2019/10/25, 33, , 23, , , 
2019/10/26, 30, , , , , 
2019/7/2, 18, , 19, , , 
2019/7/3, 18, , 18, , , 
2019/7/4, 25, , 18, , , 
2019/7/5, 35, , 2, , , 
2019/7/6, 60, , 19, , , 
2019/7/7, 55, , 14, , , 
2019/7/8, 31, , 21, , , 
2019/7/9, 19, , 13, , , 
2019/7/10, 20, , 19, , , 
2019/7/11, 18, , 22, , , 
2019/7/12, 18, , 23, , , 
2019/7/13, 22, , 24, , , 
2019/7/14, 18, , 23, , , 
2019/7/15, 19, , 22, , , 
2019/7/16, 22, , 20, , , 
2019/7/17, 17, , 20, , , 
2019/7/18, 15, , 20, , , 
2019/7/19, 21, , 23, , , 
2019/7/20, 23, , 17, , , 
2019/7/21, 22, , 21, , , 
2019/7/22, 18, , 19, , , 
2019/7/23, 23, , 23, , , 
2019/7/24, 19, , 18, , , 
2019/7/25, 18, , 17, , , 
2019/7/26, 19, , 17, , , 
2019/7/27, 18, , 16, , , 
2019/7/28, 26, , 11, , , 
2019/7/29, 25, , 21, , , 
2019/7/30, 22, , 25, , , 
2019/7/31, 19, , 20, , , 
2019/8/1, 23, , 21, , , 
2019/8/2, 25, , 23, , , 
2019/8/3, 19, , 20, , , 
2019/8/4, 18, , 20, , , 
2019/8/5, 20, , 19, , , 
2019/8/6, 20, , 17, , , 
2019/8/7, 20, , 19, , , 
2019/8/8, 21, , 23, , , 
2019/8/9, 18, , 23, , , 
2019/8/10, 15, , 23, , , 
2019/8/11, 17, , 24, , , 
2019/8/12, 18, , 22, , , 
2019/8/13, 20, , 19, , , 
2019/8/14, 16, , 17, , , 
2019/8/15, 18, , 17, , , 
2019/8/16, 18, , 21, , , 
2019/8/17, 18, , 23, , , 
2019/8/18, 19, , 22, , , 
2019/8/19, 18, , 23, , , 
2019/8/20, 16, , 21, , , 
2019/8/21, 17, , 21, , , 
2019/8/22, 16, , 24, , , 
2019/8/23, 22, , 21, , , 
2019/8/24, 26, , 21, , , 
2019/8/25, 23, , 23, , , 
2019/8/26, 18, , 22, , , 
2019/8/27, 20, , 21, , , 
2019/8/28, 23, , 22, , , 
2019/8/29, 19, , 26, , , 
2019/8/30, 20, , 16, , , 
2019/8/31, 23, , 23, , , 
2019/9/1, 32, , 22, , , 
2019/9/2, 18, , 19, , , 
2019/9/3, 20, , 22, , , 
2019/9/4, 20, , 23, , , 
2019/9/5, 26, , 16, , , 
2019/9/6, 31, , 22, , , 
2019/9/7, 28, , 23, , , 
2019/9/8, 18, , 22, , , 
2019/9/9, 18, , 23, , , 
2019/9/10, 21, , 24, , , 
2019/9/11, 21, , 18, , , 
2019/9/12, 26, , 21, , , 
2019/9/13, 24, , 20, , , 
2019/9/14, 26, , 24, , , 
2019/9/15, 28, , 12, , , 
2019/9/16, 37, , , , , 
2019/9/19, 23, , 25, , , 
2019/9/20, 27, , 28, , , 
2019/9/21, 25, , 25, , , 
2019/9/22, 31, , 22, , , 
2019/9/23, 19, , 23, , , 
2019/9/24, 15, , 21, , , 
2019/9/25, 17, , 21, , , 
2019/9/26, 18, , 14, , , 
2019/9/27, 21, , 20, , , 
2019/9/28, 21, , 24, , , 
2019/9/29, 21, , 23, , , 
2019/9/30, 21, , 24, , , 
2019/10/1, 20, , 20, , , 
2019/4/2, 18, 29, 22, 15, 2, 
2019/4/3, 24, 31, 18, 9, 2, 1
2019/4/4, 26, 33, 17, 13, 3, 2
2019/4/5, 34, 55, 29, 14, 3, 2
2019/4/6, 38, 20, 16, 5, 5, 
2019/4/7, 30, 18, , 7, 4, 1
2019/4/11, 18, 13, 21, 6, 2, 
2019/4/12, 16, 36, 26, 17, 3, 2
2019/4/13, 22, 28, 25, 10, 5, 
2019/4/14, 34, 22, 34, 10, 2, 
2019/4/15, 40, 55, 27, 24, 5, 
2019/4/16, 54, 54, 28, 13, 9, 2
2019/4/17, 47, 63, 27, 8, 16, 1
2019/4/18, 38, 21, 22, 6, 10, 1
2019/4/19, 29, 20, 21, 9, 3, 2
2019/4/20, 23, 35, 34, 19, 11, 3
2019/4/21, 43, 32, 22, 6, 17, 1
2019/4/22, 40, 11, 20, 2, 4, 
