date, pm25, pm10, o3, no2, so2, co
2020/6/3, 38, 11, 29, 2, , 2
2020/6/4, 37, 19, 22, 5, , 2
2020/6/5, 58, 10, 21, 2, , 
2020/6/6, 30, 13, 19, 6, , 5
2020/6/7, 38, 55, 19, 7, , 7
2020/6/8, 143, 24, 21, 10, , 4
2020/6/9, 69, 29, 21, 11, , 5
2020/6/10, 78, 45, 15, 8, , 5
2020/6/11, 113, 18, 23, 2, , 2
2020/6/12, 51, , , , , 
2020/5/2, 23, 15, 25, 6, , 2
2020/5/3, 28, 18, 20, 5, , 2
2020/5/4, 43, 16, 13, 4, , 2
2020/5/5, 33, 11, 24, 3, , 
2020/5/6, 20, 16, 24, 2, , 1
2020/5/7, 28, 9, 20, 5, , 1
2020/5/8, 18, 9, 25, 7, , 1
2020/5/9, 24, 13, 25, 5, , 3
2020/5/10, 39, 15, 24, 5, , 2
2020/5/11, 48, 17, 23, 6, , 3
2020/5/12, 50, 12, 23, 2, , 2
2020/5/13, 40, 13, 20, 9, , 1
2020/5/14, 33, 50, 26, 13, , 8
2020/5/15, 124, 55, 25, 9, , 10
2020/5/16, 142, 27, 22, 4, , 4
2020/5/17, 77, 29, 25, 2, , 3
2020/5/18, 74, 21, 24, 5, , 3
2020/5/19, 54, 23, 26, 3, , 2
2020/5/20, 61, 34, 31, 4, , 4
2020/5/21, 86, 30, 23, 7, , 3
2020/5/22, 78, 20, 21, 7, , 3
2020/5/23, 55, 25, 22, 5, , 5
2020/5/24, 62, 17, 19, 1, , 1
2020/5/25, 23, 18, 27, 2, , 1
2020/5/26, 32, 13, 21, 6, , 1
2020/5/27, 27, 10, 22, 4, , 2
2020/5/28, 30, , 19, 3, , 1
2020/5/30, 14, , , , , 
2020/4/2, 15, 10, 18, 3, , 1
2020/4/3, 20, 12, 23, 4, , 1
2020/4/4, 16, 19, 23, 2, , 1
2020/4/5, 37, 12, 23, 1, , 1
2020/4/6, 21, 9, 23, 1, , 
2020/4/7, 15, 11, 28, 4, , 2
2020/4/8, 15, 11, 29, 6, , 2
2020/4/9, 19, 19, 39, 8, , 2
2020/4/10, 45, 16, 43, 8, , 3
2020/4/11, 45, 17, 32, 5, , 2
2020/4/12, 46, 16, 15, 5, , 2
2020/4/13, 39, 11, 25, 3, , 2
2020/4/14, 28, 9, 20, 4, , 1
2020/4/15, 22, 12, 21, 5, , 1
2020/4/16, 21, 16, 25, 4, , 1
2020/4/17, 30, 20, 30, 7, , 3
2020/4/18, 41, 27, 19, 9, , 3
2020/4/19, 56, 15, 22, 3, , 1
2020/4/20, 37, 17, 20, 4, , 1
2020/4/21, 35, 11, 19, 5, , 2
2020/4/22, 20, 10, 15, 6, , 2
2020/4/23, 19, 10, 20, 6, , 2
2020/4/24, 22, 12, 17, 6, , 2
2020/4/25, 30, 9, 19, 4, , 2
2020/4/26, 25, 13, 26, 4, , 3
2020/4/27, 37, 22, 26, 4, , 3
2020/4/28, 61, 13, 25, 5, , 1
2020/4/29, 32, 18, 25, 3, , 2
2020/4/30, 37, 19, 23, 1, , 1
2020/5/1, 34, 17, 21, 2, , 
2020/3/2, 19, 11, 29, 2, , 
2020/3/3, 18, 11, 14, 11, , 2
2020/3/4, 19, 14, 40, 7, , 1
2020/3/5, 26, 14, 44, 11, , 2
2020/3/6, 28, 18, 23, 3, , 
2020/3/7, 33, 16, 25, 2, , 
2020/3/8, 28, 17, 43, 5, , 
2020/3/9, 33, 19, 29, 4, , 1
2020/3/10, 37, 15, 39, 4, , 1
2020/3/11, 26, 15, 43, 4, , 2
2020/3/12, 28, 19, 32, 8, , 2
2020/3/13, 31, 18, 24, 1, , 1
2020/3/14, 21, 13, 25, 2, , 2
2020/3/15, 19, 7, 24, 5, , 2
2020/3/16, 15, 7, 20, 3, , 
2020/3/17, 14, 7, 17, 3, , 
2020/3/18, 14, 10, 19, 3, , 1
2020/3/19, 13, 11, 23, 4, , 1
2020/3/20, 16, 10, 31, 4, , 1
2020/3/21, 18, 9, 29, 5, , 1
2020/3/22, 20, 7, 26, 1, , 1
2020/3/23, 10, 5, 27, 3, , 1
2020/3/24, 9, 6, 15, 1, , 1
2020/3/25, 12, , , , , 
2020/3/27, 20, 13, 19, 5, , 2
2020/3/28, 22, 14, 22, 1, , 1
2020/3/29, 19, 11, 21, 3, , 1
2020/3/30, 15, 8, 23, 4, , 1
2020/3/31, 14, 8, 25, 4, , 1
2020/4/1, 15, 8, 30, 5, , 1
2020/2/2, 11, 12, 20, 2, , 1
2020/2/3, 13, 15, 23, 1, , 
2020/2/4, 13, 20, 34, 2, , 2
2020/2/5, 19, 19, 29, 4, , 
2020/2/6, 23, 20, 22, 3, , 3
2020/2/7, 36, 17, 26, 3, , 2
2020/2/8, 36, 11, 22, 3, , 
2020/2/9, 20, 10, 21, 2, , 1
2020/2/10, 14, 22, 29, 1, , 
2020/2/11, 27, 24, 27, 1, , 2
2020/2/12, 43, 11, 44, 4, , 2
2020/2/13, 21, 15, 40, 4, , 2
2020/2/14, 28, 17, 52, 4, , 3
2020/2/15, 29, 20, 26, 2, , 2
2020/2/16, 38, 10, 20, 1, , 1
2020/2/17, 19, 13, 24, 2, , 1
2020/2/18, 22, 21, 23, 1, , 
2020/2/19, 22, 18, 40, 2, , 2
2020/2/20, 24, 13, 33, 2, , 1
2020/2/21, 22, 15, 22, 1, , 1
2020/2/22, 22, 10, 26, 5, , 
2020/2/23, 18, 9, 41, 5, , 
2020/2/24, 25, 9, 29, 1, , 
2020/2/25, 18, 8, 33, 2, , 2
2020/2/26, 16, 8, 21, 2, , 
2020/2/27, 17, 6, 21, 2, , 
2020/2/28, 17, 8, 22, 2, , 
2020/2/29, 16, 14, 25, 2, , 
2020/3/1, 22, 9, 21, 3, , 1
2020/1/2, 34, , , , , 
2020/1/8, 30, 13, 19, 3, , 1
2020/1/9, 23, 15, 25, 3, , 3
2020/1/10, 31, 31, 18, 1, , 2
2020/1/11, 56, 21, 31, 4, , 1
2020/1/12, 27, 21, 40, 5, , 2
2020/1/13, 40, 22, 28, 5, , 1
2020/1/14, 40, 26, 35, 3, , 1
2020/1/15, 46, 32, 29, 1, , 1
2020/1/16, 54, 19, 41, 3, , 1
2020/1/17, 35, 23, 27, 6, , 
2020/1/18, 42, 16, 23, 2, , 1
2020/1/19, 27, 15, 24, 2, , 
2020/1/20, 19, 15, 31, 3, , 1
2020/1/21, 21, 15, 15, 2, , 2
2020/1/22, 29, 19, 17, 3, , 
2020/1/23, 28, 15, 22, 3, , 1
2020/1/24, 26, 14, 6, 3, , 
2020/1/25, 25, , , , , 
2020/1/30, 21, 6, 19, 1, , 1
2020/1/31, 8, 10, 18, 2, , 1
2020/2/1, 15, 9, 19, 2, , 1
2019/10/2, 25, 10, 27, 5, , 2
2019/10/3, 27, 20, 28, 5, 5, 3
2019/10/4, 58, 17, 24, 2, , 1
2019/10/5, 35, 11, 23, 2, 2, 2
2019/10/6, 19, 10, 25, 3, 4, 1
2019/10/7, 20, 8, 28, 2, , 
2019/10/8, 20, 11, 27, 6, 8, 2
2019/10/9, 24, 20, 41, 8, 3, 3
2019/10/10, 53, 23, 27, 5, , 2
2019/10/11, 60, 13, 16, 6, 2, 
2019/10/12, 32, 8, 27, 2, 2, 1
2019/10/13, 19, 8, 25, 4, , 2
2019/10/14, 19, 7, 24, 4, 3, 1
2019/10/15, 17, 10, 26, 5, 2, 1
2019/10/16, 20, 10, 27, 3, 2, 1
2019/10/17, 23, 13, 26, 7, 4, 1
