date, pm25, pm10, o3, no2, so2, co
2020/6/3, 51, 10, 22, 13, 2, 4
2020/6/4, 31, 19, 21, 11, 2, 5
2020/6/5, 55, 20, 19, 5, 2, 2
2020/6/6, 59, 11, 14, 10, 2, 3
2020/6/7, 27, 37, 19, 9, 2, 7
2020/6/8, 101, 18, 17, 11, 2, 7
2020/6/9, 59, 21, 22, 12, 2, 8
2020/6/10, 63, 34, 15, 10, 2, 9
2020/6/11, 92, 20, 21, 6, , 2
2020/6/12, 56, , , , , 
2020/5/2, 20, 20, 23, 10, 2, 2
2020/5/3, 46, 19, 17, 6, , 3
2020/5/4, 44, 16, 13, 4, , 2
2020/5/5, 39, 11, 24, 4, 2, 2
2020/5/6, 18, 19, 23, 2, , 1
2020/5/7, 29, 13, 17, 6, 2, 2
2020/5/8, 30, 8, 23, 7, 2, 2
2020/5/9, 23, 13, 24, 7, 2, 3
2020/5/10, 39, 14, 22, 7, 4, 4
2020/5/11, 47, 15, 20, 7, 2, 3
2020/5/12, 46, 10, 21, 6, 2, 2
2020/5/13, 35, 13, 16, 10, 3, 3
2020/5/14, 38, 28, 21, 14, 2, 6
2020/5/15, 71, 29, 18, 9, 3, 8
2020/5/16, 74, 15, 21, 6, , 4
2020/5/17, 47, 30, 22, 3, 3, 4
2020/5/18, 76, 16, 23, 3, 2, 2
2020/5/19, 40, 20, 25, 7, 2, 4
2020/5/20, 53, 31, 26, 7, 2, 5
2020/5/21, 77, 18, 22, 6, 3, 3
2020/5/22, 55, 20, 20, 11, , 5
2020/5/23, 58, 22, 21, 8, , 5
2020/5/24, 62, 25, 18, 1, , 1
2020/5/25, 32, 37, 25, 2, 2, 1
2020/5/26, 53, 15, 15, 11, , 2
2020/5/27, 31, 10, 22, 6, 2, 2
2020/5/28, 30, 7, 19, 5, , 
2020/5/29, 19, 9, 21, 2, 2, 
2020/5/30, 16, , , , , 
2020/4/2, 27, 11, 18, 2, 2, 
2020/4/3, 27, 15, 22, 6, 2, 1
2020/4/4, 27, 19, 23, 2, 2, 
2020/4/5, 37, 16, 20, 2, , 
2020/4/6, 35, 8, 21, 2, , 1
2020/4/7, 21, 3, 31, 4, , 2
2020/4/8, 29, 12, 26, 8, 2, 3
2020/4/9, 53, 12, 22, 9, 2, 3
2020/4/10, 42, 10, 42, 6, , 1
2020/4/11, 38, 13, 35, 5, 2, 2
2020/4/12, 30, 11, 16, 3, 2, 1
2020/4/13, 43, 8, 21, 4, 2, 2
2020/4/14, 17, 7, 22, 3, 2, 1
2020/4/15, 16, 11, 21, 3, , 
2020/4/16, 20, 13, 23, 5, , 1
2020/4/17, 28, , 23, 9, 3, 1
2020/4/19, 56, , 21, 7, , 1
2020/4/20, 36, , 21, 5, 2, 1
2020/4/21, 40, 3, 17, 6, 2, 1
2020/4/22, 33, 11, 15, 6, 2, 2
2020/4/23, 29, 11, 19, 6, , 2
2020/4/24, 24, 12, 16, 6, 2, 2
2020/4/27, 6, 16, 20, 5, 3, 2
2020/4/28, 23, 14, 23, 2, , 
2020/4/29, 13, 18, 24, 5, , 1
2020/4/30, 21, 20, 23, 4, , 2
2020/5/1, 27, 17, 22, 6, 2, 1
2020/3/2, 23, 13, 27, 2, 2, 1
2020/3/3, 20, 15, 18, 5, 3, 1
2020/3/4, 28, 17, 32, 10, 4, 2
2020/3/5, 36, 21, 34, 11, 4, 2
2020/3/6, 45, 23, 20, 2, 3, 1
2020/3/7, 51, 21, 22, 3, 4, 1
2020/3/8, 45, 18, 34, 4, 4, 1
2020/3/9, 41, 21, 28, 4, 2, 1
2020/3/10, 38, 21, 33, 5, 3, 1
2020/3/11, 33, 24, 33, 6, 2, 1
2020/3/12, 39, 24, 22, 5, 2, 1
2020/3/13, 45, 19, 22, 2, , 1
2020/3/14, 24, 16, 25, 2, 2, 2
2020/3/15, 29, 9, 22, 2, 2, 1
2020/3/16, 33, 7, 18, 3, 2, 1
2020/3/17, 17, 9, 20, 2, , 1
2020/3/18, 18, 13, 19, 3, , 1
2020/3/19, 19, 15, 21, 7, 2, 1
2020/3/20, 30, 13, 29, 7, 5, 1
2020/3/21, 33, 13, 28, 4, , 1
2020/3/22, 35, 8, 25, 1, 2, 
2020/3/23, 20, 7, 26, 6, 2, 1
2020/3/24, 18, 9, 14, 2, 2, 
2020/3/25, 19, , , , , 
2020/3/27, 35, 16, 19, 4, , 2
2020/3/28, 41, 12, 19, 2, 2, 1
