date, pm25, pm10, o3, no2, so2, co
20-06-03,38,11,29,2, ,2
20-06-04,37,19,22,5, ,2
20-06-05,58,10,21,2, , 
20-06-06,30,13,19,6, ,5
20-06-07,38,55,19,7, ,7
20-06-08,143,30, ,7, ,6
20-06-09,82, , , , , 
20-05-02,23,15,25,6, ,2
20-05-03,28,18,20,5, ,2
20-05-04,43,16,13,4, ,2
20-05-05,33,11,24,3, , 
20-05-06,20,16,24,2, ,1
20-05-07,28,9,20,5, ,1
20-05-08,18,9,25,7, ,1
20-05-09,24,13,25,5, ,3
20-05-10,39,15,24,5, ,2
20-05-11,48,17,23,6, ,3
20-05-12,50,12,23,2, ,2
20-05-13,40,13,20,9, ,1
20-05-14,33,50,26,13, ,8
20-05-15,124,55,25,9, ,10
20-05-16,142,27,22,4, ,4
20-05-17,77,29,25,2, ,3
20-05-18,74,21,24,5, ,3
20-05-19,54,23,26,3, ,2
20-05-20,61,34,31,4, ,4
20-05-21,86,30,23,7, ,3
20-05-22,78,20,21,7, ,3
20-05-23,55,25,22,5, ,5
20-05-24,62,17,19,1, ,1
20-05-25,23,18,27,2, ,1
20-05-26,32,13,21,6, ,1
20-05-27,27,10,22,4, ,2
20-05-28,30, ,19,3, ,1
20-05-30,14, , , , , 
20-04-02,15,10,18,3, ,1
20-04-03,20,12,23,4, ,1
20-04-04,16,19,23,2, ,1
20-04-05,37,12,23,1, ,1
20-04-06,21,9,23,1, , 
20-04-07,15,11,28,4, ,2
20-04-08,15,11,29,6, ,2
20-04-09,19,19,39,8, ,2
20-04-10,45,16,43,8, ,3
20-04-11,45,17,32,5, ,2
20-04-12,46,16,15,5, ,2
20-04-13,39,11,25,3, ,2
20-04-14,28,9,20,4, ,1
20-04-15,22,12,21,5, ,1
20-04-16,21,16,25,4, ,1
20-04-17,30,20,30,7, ,3
20-04-18,41,27,19,9, ,3
20-04-19,56,15,22,3, ,1
20-04-20,37,17,20,4, ,1
20-04-21,35,11,19,5, ,2
20-04-22,20,10,15,6, ,2
20-04-23,19,10,20,6, ,2
20-04-24,22,12,17,6, ,2
20-04-25,30,9,19,4, ,2
20-04-26,25,13,26,4, ,3
20-04-27,37,22,26,4, ,3
20-04-28,61,13,25,5, ,1
20-04-29,32,18,25,3, ,2
20-04-30,37,19,23,1, ,1
20-05-01,34,17,21,2, , 
20-03-02,19,11,29,2, , 
20-03-03,18,11,14,11, ,2
20-03-04,19,14,40,7, ,1
20-03-05,26,14,44,11, ,2
20-03-06,28,18,23,3, , 
20-03-07,33,16,25,2, , 
20-03-08,28,17,43,5, , 
20-03-09,33,19,29,4, ,1
20-03-10,37,15,39,4, ,1
20-03-11,26,15,43,4, ,2
20-03-12,28,19,32,8, ,2
20-03-13,31,18,24,1, ,1
20-03-14,21,13,25,2, ,2
20-03-15,19,7,24,5, ,2
20-03-16,15,7,20,3, , 
20-03-17,14,7,17,3, , 
20-03-18,14,10,19,3, ,1
20-03-19,13,11,23,4, ,1
20-03-20,16,10,31,4, ,1
20-03-21,18,9,29,5, ,1
20-03-22,20,7,26,1, ,1
20-03-23,10,5,27,3, ,1
20-03-24,9,6,15,1, ,1
20-03-25,12, , , , , 
20-03-27,20,13,19,5, ,2
20-03-28,22,14,22,1, ,1
20-03-29,19,11,21,3, ,1
20-03-30,15,8,23,4, ,1
20-03-31,14,8,25,4, ,1
20-04-01,15,8,30,5, ,1
20-02-02,11,12,20,2, ,1
20-02-03,13,15,23,1, , 
20-02-04,13,20,34,2, ,2
20-02-05,19,19,29,4, , 
20-02-06,23,20,22,3, ,3
20-02-07,36,17,26,3, ,2
20-02-08,36,11,22,3, , 
20-02-09,20,10,21,2, ,1
20-02-10,14,22,29,1, , 
20-02-11,27,24,27,1, ,2
20-02-12,43,11,44,4, ,2
20-02-13,21,15,40,4, ,2
20-02-14,28,17,52,4, ,3
20-02-15,29,20,26,2, ,2
20-02-16,38,10,20,1, ,1
20-02-17,19,13,24,2, ,1
20-02-18,22,21,23,1, , 
20-02-19,22,18,40,2, ,2
20-02-20,24,13,33,2, ,1
20-02-21,22,15,22,1, ,1
