date, pm25, pm10, o3, no2, so2, co
2020/6/2, 43, 6, 17, 1, 1, 
2020/6/3, 17, 9, 18, 4, 1, 
2020/6/4, 23, 13, 19, 5, 1, 
2020/6/5, 32, 17, 10, 6, 1, 
2020/6/6, 34, 15, 20, 3, 1, 
2020/6/7, 41, 19, 17, 1, 1, 
2020/6/8, 54, 8, 19, 1, 1, 
2020/6/9, 24, 10, 17, 2, 1, 
2020/6/10, 20, 11, 9, 7, 1, 
2020/6/11, 17, 7, 15, 4, 1, 
2020/6/12, 26, 2, 13, 1, , 
2020/6/13, 26, , , , , 
2020/5/2, 8, 6, 21, , , 
2020/5/3, 17, 9, 19, 3, 1, 
2020/5/4, 26, 13, 17, 2, 1, 
2020/5/5, 24, 12, 17, 3, 1, 
2020/5/6, 17, 16, 17, 4, 1, 
2020/5/7, 32, 20, 12, 5, 1, 
2020/5/8, 38, 24, 19, 4, 1, 
2020/5/9, 37, 16, 19, 2, 1, 
2020/5/10, 33, 6, 20, 1, 1, 
2020/5/11, 15, 12, 18, 4, 1, 
2020/5/12, 24, 20, 16, 5, 1, 
2020/5/13, 36, 26, 3, 7, 1, 
2020/5/14, 48, 19, 17, 3, 1, 
2020/5/15, 30, 12, 17, 2, 1, 
2020/5/16, 13, 10, 16, 3, 1, 
2020/5/17, 25, 11, 18, 4, 1, 
2020/5/18, 36, 13, 9, 6, 1, 
2020/5/19, 29, 10, 13, 5, 1, 
2020/5/20, 27, 14, 13, 4, , 
2020/5/21, 28, 10, 17, 4, , 
2020/5/22, 22, 2, 18, , 1, 
2020/5/23, 12, 4, 17, 1, , 
2020/5/24, 12, 5, 19, , , 
2020/5/25, 11, 5, 20, 1, 1, 
2020/5/26, 9, 11, 18, 1, 1, 
2020/5/27, 12, 11, 17, 4, 1, 
2020/5/28, 21, 13, 14, 4, 1, 
2020/5/29, 36, 13, 11, 4, 1, 
2020/5/30, 30, 15, 15, 3, 1, 
2020/5/31, 45, 19, 10, 2, 1, 
2020/6/1, 57, 12, 20, 2, 1, 
2020/4/2, 17, 16, 11, 4, 1, 
2020/4/3, 31, 10, 12, 1, 1, 
2020/4/4, 23, 9, 19, , , 
2020/4/5, 21, 8, 16, 1, , 
2020/4/6, 28, 15, 15, 1, 1, 
2020/4/7, 12, 13, 18, 1, 1, 
2020/4/8, 16, 14, 12, 4, , 
2020/4/9, 18, 10, 17, 3, 1, 
2020/4/10, 17, 10, 13, 1, 1, 
2020/4/11, 15, 12, 21, 1, , 
2020/4/12, 17, 10, 20, 1, , 
2020/4/13, 19, 20, 26, 2, 2, 
2020/4/14, 38, 23, 26, 5, 1, 
2020/4/15, 45, 31, 30, 6, 1, 
2020/4/16, 48, 27, 16, 4, 1, 
2020/4/17, 43, 9, 22, 5, 1, 
2020/4/18, 20, 16, 21, 3, 1, 
2020/4/19, 26, 17, 24, 1, 1, 
2020/4/20, 50, 27, 6, 5, 1, 
2020/4/21, 40, 31, 17, 4, 1, 
2020/4/22, 46, 22, 20, 3, , 
2020/4/23, 35, 31, 21, 5, 1, 
2020/4/24, 27, 24, 21, 4, 1, 
2020/4/25, 28, 20, 26, 2, 1, 
2020/4/26, 38, 18, 20, 1, , 
2020/4/27, 39, 20, 15, 5, 1, 
2020/4/28, 20, 25, 13, 4, 1, 
2020/4/29, 24, 20, 16, 3, 1, 
2020/4/30, 28, 4, 15, 2, , 
2020/5/1, 17, 5, 20, 2, , 
2020/3/2, 28, 25, 35, 4, 1, 
