date, pm25, pm10, o3, no2, so2, co
2020/6/2, 25, 4, 19, 1, , 1
2020/6/3, 9, 6, 20, 2, , 1
2020/6/4, 9, 11, 21, 5, , 1
2020/6/5, 17, 13, 15, 6, , 1
2020/6/6, 23, 14, 21, 5, , 2
2020/6/7, 35, 16, 18, 3, , 2
2020/6/8, 49, 8, 20, 1, , 
2020/6/9, 18, 7, 20, 2, , 1
2020/6/10, 11, 8, 9, 9, , 2
2020/6/11, 17, 8, 15, 5, , 2
2020/6/12, 20, 7, 14, 1, , 1
2020/6/13, 23, , , , , 
2020/5/2, 13, 7, 23, , , 
2020/5/3, 16, 10, 20, 2, , 1
2020/5/4, 19, 12, 19, 3, , 1
2020/5/5, 22, 10, 18, 4, , 1
2020/5/6, 20, 12, 21, 5, , 1
2020/5/7, 25, 15, 12, 7, , 1
2020/5/8, 31, 19, 20, 4, , 1
2020/5/9, 32, 19, 20, 3, , 2
2020/5/10, 48, 6, 20, 1, , 1
2020/5/11, 21, 10, 20, 4, , 1
2020/5/12, 15, 13, 20, 6, , 1
2020/5/13, 24, 16, 8, 7, , 2
2020/5/14, 34, 12, 19, 3, , 2
2020/5/15, 30, 10, 19, 1, , 1
2020/5/16, 13, 8, 18, 3, , 1
2020/5/17, 22, 9, 18, 3, , 2
2020/5/18, 25, 9, 14, 5, , 2
2020/5/19, 25, , 17, 6, , 1
2020/5/20, 22, , 16, 5, , 2
2020/5/21, 24, 7, 20, 4, , 1
2020/5/22, 14, 4, 19, 1, , 1
2020/5/23, 13, 3, 18, 1, , 1
2020/5/24, 8, 6, 20, 1, , 1
2020/5/25, 13, 5, 22, 1, , 1
2020/5/26, 8, 9, 20, 2, , 
2020/5/27, 13, 7, 19, 4, , 2
2020/5/28, 16, 8, 17, 3, , 2
2020/5/29, 16, 12, 11, 6, , 1
2020/5/30, 22, 11, 19, 3, , 1
2020/5/31, 31, 14, 13, 4, , 3
2020/6/1, 47, 8, 21, 3, , 2
2020/4/2, 29, 13, 11, 5, , 2
2020/4/3, 34, 5, 15, 2, , 2
2020/4/4, 47, 6, 19, 1, , 1
2020/4/5, 28, 9, 16, 1, , 
2020/4/6, 15, 9, 15, 1, , 1
2020/4/7, 14, 13, 18, 1, , 
2020/4/8, 16, 9, 16, 4, , 
2020/4/9, 13, 8, 19, 3, , 
2020/4/10, 13, 7, 14, 3, , 1
