date, pm25, pm10, o3, no2, so2, co
2020/6/2, 13, 4, 11, 14, , 1
2020/6/3, 8, 8, 15, 11, , 1
2020/6/4, 13, 13, 14, 19, 1, 1
2020/6/5, 19, 21, 5, 24, 1, 3
2020/6/6, 41, 19, 11, 19, 1, 3
2020/6/7, 44, 23, 12, 13, , 3
2020/6/8, 59, , , , , 
2020/6/10, 18, 9, 8, 14, 4, 2
2020/6/11, 19, 13, 12, 14, 1, 1
2020/6/12, 31, , , , , 
2020/5/2, 13, 6, 16, 6, , 
2020/5/3, 10, 7, 16, 8, , 1
2020/5/4, 14, 11, 12, 11, 1, 1
2020/5/5, 18, 8, 11, 13, 1, 1
2020/5/6, 16, 17, 11, 17, 1, 2
2020/5/7, 34, 15, 8, 19, 1, 2
2020/5/8, 31, 13, 10, 16, 1, 1
2020/5/9, 23, 9, 12, 10, 1, 1
2020/5/10, 13, 5, 17, 6, , 1
2020/5/11, 11, 9, 11, 15, 1, 1
2020/5/12, 16, 13, 16, 16, 1, 1
2020/5/13, 24, 19, 6, 21, 1, 2
2020/5/14, 37, 14, 10, 15, 1, 2
2020/5/15, 24, 10, 7, 16, 1, 1
2020/5/16, 17, 11, 13, 14, 1, 1
2020/5/17, 26, 19, 12, 13, 1, 3
2020/5/18, 50, 13, 8, 16, 1, 2
2020/5/19, 30, 14, 9, 16, 1, 1
2020/5/20, 34, 13, 8, 14, 1, 1
2020/5/21, 20, 10, 8, 15, 1, 1
2020/5/22, 20, 4, 11, 11, , 1
2020/5/23, 8, 5, 11, 9, , 1
2020/5/24, 10, 10, 17, 4, , 
2020/5/25, 11, 8, 16, 9, , 1
2020/5/26, 10, 13, 14, 12, , 1
2020/5/27, 16, 11, 12, 16, 1, 1
2020/5/28, 18, 16, 7, 24, 1, 3
2020/5/29, 34, 13, 2, 20, 1, 2
2020/5/30, 29, 15, 13, 13, , 2
2020/5/31, 35, 9, 8, 12, 1, 1
2020/6/1, 19, 8, 10, 13, , 
2020/4/2, 15, 12, 17, 4, 1, 
2020/4/3, 19, 9, 13, 9, 1, 1
2020/4/4, 16, 7, 15, 11, 1, 1
2020/4/5, 11, 7, 16, 4, , 
2020/4/6, 11, 8, 16, 5, 1, 1
2020/4/7, 11, 8, 13, 10, 1, 1
2020/4/8, 8, 6, 15, 9, , 1
2020/4/9, 8, 8, 12, 12, 1, 1
2020/4/10, 10, 5, 11, 4, 1, 
2020/4/11, 7, 7, 15, 6, , 1
2020/4/12, 11, 8, 18, 6, 1, 1
2020/4/13, 9, 16, 23, 9, 1, 1
2020/4/14, 31, 20, 19, 14, 1, 1
2020/4/15, 39, 27, 21, 18, 2, 2
2020/4/16, 52, 19, 11, 20, 1, 1
2020/4/17, 31, 16, 11, 16, 1, 2
2020/4/18, 20, 10, 19, 10, , 1
2020/4/19, 14, 14, , 22, 1, 2
2020/4/20, 27, 17, 4, 19, 1, 1
2020/4/21, 31, 18, 19, 15, 1, 
2020/4/22, 23, , , 31, 7, 
2020/4/25, 29, 22, 28, 13, 1, 1
2020/4/26, 39, 19, 16, 8, 1, 1
2020/4/27, 27, 13, 15, 9, 1, 1
2020/4/28, 18, 13, 16, 6, , 
2020/4/29, 20, 12, 15, 8, 1, 1
2020/4/30, 24, 10, 12, 11, 2, 1
2020/5/1, 31, 6, 13, 9, 1, 
2020/3/3, 31, 5, 14, 4, 2, 1
2020/3/4, 5, 13, 11, 11, , 1
2020/3/5, 14, 14, 9, 12, 1, 1
2020/3/6, 13, 13, 16, 10, 1, 1
2020/3/7, 19, 10, 15, 4, 1, 
2020/3/8, 10, 6, 13, 5, , 1
2020/3/9, 9, 5, 12, 4, , 1
2020/3/10, 8, 7, 11, 8, , 1
2020/3/11, 8, 10, 12, 9, 1, 2
2020/3/12, 15, 8, 12, 9, 1, 1
