date, pm25, pm10, o3, no2, so2, co
2020/6/2, 40, 6, 18, 4, 1, 
2020/6/3, 19, 12, 17, 4, 1, 
2020/6/4, 34, 11, 21, 5, , 
2020/6/5, 31, 15, 14, 4, 1, 
2020/6/6, 47, 17, 19, 3, 1, 
2020/6/7, 58, 32, 19, 1, 1, 
2020/6/8, 89, 10, 20, 1, , 
2020/6/9, 34, 8, 16, 4, , 
2020/6/10, 21, 12, 14, 4, 1, 
2020/6/11, 27, 8, 13, 3, 1, 
2020/6/12, 31, 6, 9, 1, , 
2020/6/13, 19, , , , , 
2020/5/2, 11, 8, 23, , 1, 
2020/5/3, 16, 9, 20, 3, , 
2020/5/4, 24, 14, 18, 2, , 
2020/5/5, 39, 13, 17, 4, , 
2020/5/6, 29, 11, 18, 4, 1, 
2020/5/7, 49, 15, 15, 3, 2, 
2020/5/8, 53, 15, 20, 4, 1, 
2020/5/9, 32, 13, 20, 1, , 
2020/5/10, 33, 8, 21, 3, , 
2020/5/11, 26, 13, 18, 4, , 
2020/5/12, 32, 13, 19, 4, 1, 
2020/5/13, 39, 19, 7, 4, 1, 
2020/5/14, 53, 16, 18, 3, , 
2020/5/15, 45, 12, 18, 3, 1, 
2020/5/16, 19, 9, 19, 3, , 
2020/5/17, 35, 18, 21, 3, 1, 
2020/5/18, 62, 12, 15, 2, , 
2020/5/19, 38, 8, 13, 3, 1, 
2020/5/20, 28, 11, 18, 2, , 
2020/5/21, 32, 7, 16, 2, , 
2020/5/22, 19, 3, 18, 5, , 
2020/5/23, 17, 7, 16, 3, , 
2020/5/24, 9, 7, 19, 2, , 
2020/5/26, 6, 8, 20, 1, , 
2020/5/27, 21, 10, 18, 4, 1, 
2020/5/28, 23, 14, 15, 4, , 
2020/5/29, 44, 12, 13, 4, 1, 
2020/5/30, 39, 11, 17, 2, 3, 
2020/5/31, 47, 14, 12, 2, , 
2020/6/1, 47, 11, 21, 1, 1, 
2020/4/2, 21, 11, 14, 1, 1, 
2020/4/3, 22, 6, 15, 1, 1, 
2020/4/4, 20, 10, 20, , , 
2020/4/5, 24, 12, 18, , , 
2020/4/6, 11, 8, 19, 1, , 
2020/4/7, 18, 13, 18, 2, 1, 
2020/4/8, 16, 11, 10, 5, 1, 
2020/4/9, 15, 11, 19, 4, , 
2020/4/10, 14, 9, 15, 1, 1, 
2020/4/11, 24, 10, 22, 1, 1, 
2020/4/12, 24, 13, 21, 1, , 
2020/4/13, 22, 22, 27, 1, 2, 
2020/4/14, 46, 20, 31, 3, 1, 
2020/4/15, 43, 19, 25, 4, 1, 
2020/4/16, 33, 14, 20, 2, 1, 
2020/4/17, 29, 12, 23, 2, , 
2020/4/18, 26, 16, 27, 2, , 
2020/4/19, 25, 19, 28, 2, 1, 
2020/4/20, 43, 15, 15, 2, 1, 
2020/4/21, 34, 16, 18, 2, 1, 
2020/4/22, 15, 15, 22, 1, 1, 
2020/4/23, 26, 22, 23, 4, , 
2020/4/24, 35, 21, 22, 3, 1, 
2020/4/25, 30, 23, 26, 2, 1, 
2020/4/26, 42, 23, 21, 2, , 
2020/4/27, 53, 15, 17, 3, , 
2020/4/28, 25, 18, 5, 2, 1, 
2020/4/29, 27, 11, 16, 2, 1, 
2020/4/30, 31, 5, 20, 2, 1, 
2020/5/1, 22, 4, 20, 1, 1, 
2020/3/2, 21, 24, 31, 4, 2, 
2020/3/3, 37, 27, 16, 2, , 
2020/3/4, 33, 11, 12, 4, 1, 
2020/3/5, 15, 9, 13, 3, , 
2020/3/6, 14, 12, 26, 2, 1, 
2020/3/7, 20, 11, 21, 1, , 
2020/3/8, 16, 8, 17, 2, , 
2020/3/9, 12, 10, 15, 3, 1, 
2020/3/10, 13, 8, 20, 2, , 
2020/3/11, 15, 9, 18, 2, , 
2020/3/12, 16, 14, 19, 2, , 
2020/3/13, 13, 8, 20, 1, 1, 
2020/3/14, 20, 12, 15, 2, 1, 
2020/3/15, 16, 11, 17, 1, , 
2020/3/16, 17, 9, 14, 1, , 
2020/3/17, 18, 9, 18, 1, 1, 
2020/3/18, 10, 9, 21, 2, 1, 
2020/3/19, 22, 14, 31, 3, , 
2020/3/20, 23, 19, 30, 3, 1, 
2020/3/21, 27, 22, 28, 1, 1, 
2020/3/22, 24, 17, 31, 1, 1, 
2020/3/23, 27, 16, 19, 1, 1, 
2020/3/24, 22, 13, 18, 1, 1, 
2020/3/25, 13, 11, 13, 2, , 
2020/3/26, 21, 11, 16, 1, , 
2020/3/27, 21, 14, 15, 2, 1, 
2020/3/28, 19, 12, 21, 1, 1, 
2020/3/29, 17, 8, 14, 1, , 
2020/3/30, 9, 9, 18, 1, , 
2020/3/31, 15, 13, 30, 1, , 
2020/4/1, 15, 14, 23, 2, 1, 
2020/2/2, 35, 37, 55, 8, 3, 
2020/2/3, 50, 25, 32, 4, , 
2020/2/4, 37, 35, 28, 3, 1, 
2020/2/5, 75, 16, 26, 4, 3, 
2020/2/6, 15, 10, 13, 5, , 
2020/2/7, 8, 7, 17, 4, , 
2020/2/8, 10, 8, 17, 2, , 
2020/2/9, 6, 9, 16, 1, 1, 
2020/2/10, 10, , 27, 2, 1, 
2020/2/14, 11, 15, 24, 2, , 
2020/2/15, 19, 14, 36, 2, , 
2020/2/16, 18, 12, 26, 1, 1, 
2020/2/17, 13, 7, 18, 3, 1, 
2020/2/18, 8, 13, 34, 3, 2, 
2020/2/19, 11, , 18, 2, 13, 
2020/2/21, 17, 19, 29, 3, 2, 
2020/2/22, 21, 12, 15, 2, 1, 
2020/2/23, 12, 12, 21, 2, 3, 
