date, pm25, pm10, o3, no2, so2, co
2020/6/2, 10, 12, 17, 4, 1, 1
2020/6/3, 14, 15, 16, 6, 1, 1
2020/6/4, 21, 21, 18, 12, 1, 1
2020/6/5, 21, 18, 15, 10, 1, 2
2020/6/6, 36, 24, 20, 7, 1, 4
2020/6/7, 56, 26, 18, 4, 1, 5
2020/6/8, 74, 9, 20, 2, , 2
2020/6/9, 16, 9, 11, 10, 1, 3
2020/6/10, 16, 10, 9, 11, 1, 3
2020/6/11, 20, 13, 14, 7, 1, 2
2020/6/12, 20, 9, 10, 6, 1, 2
2020/6/13, 18, , , , , 
2020/5/2, 10, 7, 22, 1, 1, 
2020/5/3, 12, 11, 20, 5, , 2
2020/5/4, 26, 18, 17, 7, 1, 2
2020/5/5, 37, 16, 16, 8, 1, 1
2020/5/6, 25, 11, 19, 3, 1, 2
2020/5/7, 20, 12, 16, 3, 1, 1
2020/5/8, 15, 14, 18, 2, 1, 1
2020/5/9, 14, 13, 19, 1, 1, 1
2020/5/10, 12, 8, 20, 2, 1, 1
2020/5/11, 15, 16, 16, 7, 1, 1
2020/5/12, 23, 15, 19, 4, 1, 1
2020/5/13, 30, 31, 9, 11, 1, 3
2020/5/14, 33, 19, 20, 6, 1, 3
2020/5/15, 29, 11, , , , 
2020/5/16, 14, 11, 16, 7, 1, 1
2020/5/17, 28, 20, 18, 8, , 4
2020/5/18, 58, 17, 8, 9, , 4
2020/5/19, 43, 9, 17, 4, 1, 4
2020/5/20, 19, 10, 17, 2, 1, 1
2020/5/21, 12, 10, 15, 6, 1, 1
2020/5/22, 12, 6, 18, 2, 1, 1
2020/5/23, 9, 6, 15, 3, , 1
2020/5/24, 13, 7, 20, 1, , 9
2020/5/25, 9, 8, 17, 2, , 1
2020/5/26, 13, 11, 17, 5, 1, 
2020/5/27, 23, 14, 15, 9, , 3
2020/5/28, 16, 14, 14, 7, 1, 2
2020/5/29, 21, 18, 8, 12, 1, 3
2020/5/30, 28, 14, 18, 4, 1, 2
2020/5/31, 35, 10, 16, 1, 1, 2
2020/6/1, 23, 9, 20, 1, 1, 1
2020/4/2, 20, 13, 15, 5, 1, 3
2020/4/3, 18, 8, 14, 1, 1, 2
2020/4/4, 14, 9, 19, 1, 1, 1
2020/4/5, 10, 13, 18, 1, , 
2020/4/6, 15, 10, 16, 2, , 1
2020/4/7, 13, 12, 16, 7, , 1
2020/4/8, 16, 14, 11, 10, 1, 2
2020/4/9, 19, 13, 14, 7, 1, 1
2020/4/10, 18, 10, 15, 2, 1, 2
2020/4/11, 22, 9, 21, 1, , 1
2020/4/12, 8, 11, 21, 2, , 2
2020/4/13, 18, 26, 28, 2, 2, 3
2020/4/14, 59, 22, 31, 5, 2, 2
2020/4/15, 45, 22, 31, 4, 1, 2
2020/4/16, 45, 17, 22, 3, , 2
2020/4/17, 14, 17, 24, 3, , 1
2020/4/18, 18, 17, 25, 4, 1, 1
2020/4/19, 30, 23, 25, 5, 1, 4
2020/4/20, 50, 18, 15, 3, 1, 2
2020/4/21, 31, 18, 18, 3, 1, 1
2020/4/22, 15, 19, 21, 3, 1, 1
2020/4/23, 18, 23, 23, 6, 2, 2
2020/4/24, 28, 27, 22, 5, 1, 1
2020/4/25, 22, 26, 31, 3, 1, 2
2020/4/26, 34, 21, 20, 1, 1, 2
