date, pm25, pm10, o3, no2, so2, co
2020/6/2, 27, 6, 18, 6, , 
2020/6/3, 24, 12, 17, 7, , 
2020/6/4, 32, 12, 20, 3, , 
2020/6/5, 27, 16, 11, 5, , 
2020/6/6, 29, 17, 18, 2, , 
2020/6/7, 45, 18, 17, 2, , 
2020/6/8, 42, 9, 20, 1, , 
2020/6/9, 26, 10, 16, 7, , 
2020/6/10, 24, 10, 9, 8, , 
2020/6/11, 23, 9, 15, 5, , 
2020/6/12, 20, 7, 1, 5, , 
2020/6/13, 28, , , , , 
2020/5/2, 11, 8, 22, 1, , 
2020/5/3, 20, 9, 20, 2, , 
2020/5/4, 22, 13, 17, 3, , 
2020/5/5, 24, 13, 17, 5, , 
2020/5/6, 19, 11, 17, 3, , 
2020/5/7, 24, 17, 13, 6, , 
2020/5/8, 32, 21, 18, 7, , 
2020/5/9, 34, 15, 18, 3, , 
2020/5/10, 30, 10, 21, 2, , 
2020/5/11, 26, 14, 19, 4, , 
2020/5/12, 31, 18, 17, 5, , 
2020/5/13, 32, 17, 2, 6, , 
2020/5/14, 32, 19, 17, 3, , 
2020/5/15, 34, 13, 17, 4, , 
2020/5/16, 14, 9, 15, 3, , 
2020/5/17, 29, 14, 18, 2, , 
2020/5/18, 44, 13, 9, 7, , 
2020/5/19, 23, 9, 12, 7, , 
2020/5/20, 24, 13, 13, 4, , 
2020/5/21, 21, 10, 16, 5, , 
2020/5/22, 17, 2, 18, , , 
2020/5/23, 13, 2, 18, 4, , 
2020/5/24, 22, 4, 19, 2, , 
2020/5/25, 15, 4, 21, 1, , 
2020/5/26, 20, 8, 20, 1, , 
2020/5/27, 14, 8, 18, 4, , 
2020/5/28, 21, 12, 12, 5, , 
2020/5/29, 23, 12, 11, 5, , 
2020/5/30, 29, 13, 14, 4, , 
2020/5/31, 31, 15, 9, 2, , 
2020/6/1, 47, 9, 21, 1, , 
2020/4/2, 20, 13, 11, 5, , 
2020/4/3, 27, 8, 11, 3, , 
2020/4/4, 13, 10, 19, 1, , 
2020/4/5, 13, 12, 17, 2, , 
2020/4/6, 17, 11, 15, 3, , 
2020/4/7, 21, 15, 17, 3, , 
2020/4/8, 16, 14, 11, 6, , 
2020/4/9, 24, 12, 15, 4, , 
2020/4/10, 25, 9, 13, 3, , 
2020/4/11, 26, 11, 21, 2, , 
2020/4/12, 22, 11, 20, 2, , 
2020/4/13, 25, 17, 25, 2, , 
2020/4/14, 37, 23, 31, 3, , 
2020/4/15, 46, 22, 29, 3, , 
2020/4/16, 43, 24, 11, 8, , 
2020/4/17, 35, 15, 22, 6, , 
2020/4/18, 32, 18, 22, 4, , 
2020/4/22, 22, 20, 21, 3, , 
2020/4/23, 27, 28, 22, 5, , 
2020/4/24, 28, 27, 21, 5, , 
2020/4/25, 24, 23, 27, 2, , 
2020/4/26, 35, 19, 21, 1, , 
2020/4/27, 32, 20, 13, 5, , 
2020/4/28, 23, 25, 14, 6, , 
2020/4/29, 28, 16, 14, 4, , 
2020/4/30, 23, 8, 12, 5, , 
2020/5/1, 15, 6, 19, 1, , 
2020/3/2, 29, 33, 33, 4, , 
2020/3/3, 36, 26, 16, 1, , 
2020/3/4, 33, 13, 10, 7, , 
2020/3/5, 19, 12, 9, 7, , 
2020/3/6, 14, 12, 23, 3, , 
2020/3/7, 14, 11, 20, 1, , 
2020/3/8, 22, 8, 16, 1, , 
2020/3/9, 25, 10, 16, 2, , 
2020/3/10, 29, 10, 16, 4, , 
2020/3/11, 35, 12, 17, 2, , 
2020/3/12, 16, 10, 17, 3, , 
2020/3/13, 36, 10, 20, 3, , 
2020/3/14, 27, 12, 16, 2, , 
2020/3/15, 24, 11, 16, 1, , 
2020/3/16, 17, 9, 14, 1, , 
2020/3/17, 25, 10, 16, 4, , 
2020/3/18, 59, 11, 25, 3, , 
