,Adelaide,Brisbane,Melbourne,Perth,Sydney
2019-08-01,5.0,35.77777777777778,33.25,42.66666666666666,25.142857142857146
2019-08-02,6.0,18.0,39.5,35.333333333333336,28.30769230769231
2019-08-03,7.0,16.11111111111111,23.5,21.0,37.846153846153854
2019-08-04,7.333333333333332,18.222222222222218,20.0,36.333333333333336,46.5
2019-08-05,7.0,33.888888888888886,21.125,25.33333333333333,45.0
2019-08-06,8.5,30.88888888888889,25.125,31.33333333333333,43.92857142857143
2019-08-07,9.25,33.44444444444444,17.625,22.33333333333333,51.07692307692307
2019-08-08,10.25,40.333333333333336,21.0,29.33333333333333,44.28571428571429
2019-08-09,11.75,30.88888888888889,21.6,35.333333333333336,38.857142857142854
2019-08-10,9.0,25.88888888888889,21.6,38.66666666666666,23.214285714285715
2019-08-11,8.5,42.555555555555564,23.2,28.66666666666667,22.57142857142857
2019-08-12,8.75,31.222222222222218,19.2,23.33333333333333,22.428571428571423
2019-08-13,9.5,20.777777777777782,21.571428571428577,23.33333333333333,16.357142857142858
2019-08-14,8.333333333333334,30.555555555555557,15.75,34.333333333333336,31.357142857142854
2019-08-15,7.25,36.555555555555564,21.75,24.75,41.357142857142854
2019-08-16,7.0,36.111111111111114,19.4,26.0,61.28571428571429
2019-08-17,7.0,39.555555555555564,19.6,90.0,44.28571428571429
2019-08-18,8.333333333333334,47.66666666666666,21.0,24.33333333333333,33.07142857142857
2019-08-19,8.25,44.444444444444436,21.8,47.33333333333334,44.92857142857143
2019-08-20,7.5,33.55555555555556,19.0,42.66666666666666,29.785714285714285
2019-08-21,9.0,31.444444444444446,20.2,34.666666666666664,21.538461538461537
2019-08-22,7.75,25.555555555555557,22.2,28.33333333333333,22.384615384615387
2019-08-23,7.5,23.555555555555557,25.625,30.33333333333333,22.214285714285715
2019-08-24,7.25,29.33333333333333,35.0,22.0,36.07692307692308
2019-08-25,6.75,31.777777777777782,23.5,26.66666666666667,53.07142857142857
2019-08-26,7.75,34.666666666666664,20.0,27.66666666666667,47.14285714285714
2019-08-27,8.0,33.888888888888886,25.625,23.0,26.785714285714285
2019-08-28,7.5,31.222222222222218,32.125,25.33333333333333,23.714285714285715
2019-08-29,9.5,23.444444444444446,21.8,97.0,24.0
2019-08-30,8.75,29.11111111111111,24.25,38.66666666666666,28.714285714285715
2019-08-31,9.0,34.666666666666664,30.875,96.0,23.285714285714285
2019-09-01,9.0,20.33333333333333,42.857142857142854,26.0,25.5
2019-09-02,9.75,26.222222222222218,19.2,26.33333333333333,27.214285714285715
2019-09-03,9.25,24.0,20.0,26.0,29.285714285714285
2019-09-04,9.666666666666666,28.88888888888889,20.571428571428573,98.0,31.714285714285715
2019-09-05,9.333333333333334,37.66666666666666,31.125,26.0,29.92857142857143
2019-09-06,9.75,41.0,30.25,25.66666666666667,25.42857142857143
2019-09-07,7.5,102.22222222222223,27.125,28.0,33.714285714285715
2019-09-08,8.0,83.0,20.8,39.0,24.23076923076923
2019-09-09,11.0,51.111111111111114,22.0,36.66666666666666,22.25
2019-09-10,11.5,46.555555555555564,24.625,32.666666666666664,22.153846153846153
2019-09-11,9.75,50.444444444444436,24.25,44.66666666666666,24.42857142857143
2019-09-12,11.25,50.66666666666666,28.42857142857143,30.33333333333333,28.714285714285715
2019-09-13,11.0,24.555555555555557,20.285714285714285,31.0,30.57142857142857
2019-09-14,8.25,27.0,25.857142857142854,33.5,33.142857142857146
2019-09-15,9.333333333333334,55.25,29.375,41.5,37.785714285714285
2019-09-16,8.5,59.0,31.375,31.0,39.5
2019-09-17,8.75,37.125,21.857142857142854,27.66666666666667,32.785714285714285
2019-09-18,7.5,43.555555555555564,20.571428571428573,40.333333333333336,22.142857142857146
2019-09-19,21.5,41.555555555555564,25.2,26.0,22.57142857142857
2019-09-20,21.75,40.444444444444436,29.0,25.33333333333333,21.571428571428577
2019-09-21,10.333333333333334,46.0,24.6,25.66666666666667,26.5
2019-09-22,5.5,37.555555555555564,29.875,25.0,30.0
2019-09-23,6.0,18.555555555555557,19.0,25.33333333333333,46.57142857142857
2019-09-24,5.5,34.111111111111114,17.4,27.0,30.142857142857146
2019-09-25,6.75,34.111111111111114,18.571428571428573,22.66666666666667,24.153846153846153
2019-09-26,6.75,26.0,17.8,33.666666666666664,27.07142857142857
2019-09-27,8.0,26.88888888888889,23.125,26.33333333333333,25.42857142857143
2019-09-28,8.75,29.555555555555557,22.6,30.0,36.0
2019-09-29,7.75,26.555555555555557,22.6,35.333333333333336,26.857142857142854
2019-09-30,6.5,33.44444444444444,24.625,33.666666666666664,24.5
2019-10-01,9.5,33.0,23.0,39.66666666666666,28.285714285714285
2019-10-02,11.75,25.222222222222218,28.2,26.66666666666667,26.0
2019-10-03,11.0,18.777777777777782,34.875,29.33333333333333,31.357142857142854
2019-10-04,14.0,18.444444444444443,32.0,45.66666666666666,36.42857142857143
2019-10-05,15.25,18.666666666666668,28.0,31.0,40.5
2019-10-06,16.75,20.33333333333333,22.8,24.66666666666667,35.46153846153846
2019-10-07,12.666666666666664,30.222222222222218,31.25,27.0,24.785714285714285
2019-10-08,9.0,26.0,19.25,26.33333333333333,33.846153846153854
2019-10-09,6.0,41.77777777777778,18.8,38.333333333333336,32.53846153846154
2019-10-10,5.0,,18.2,45.33333333333334,20.928571428571427
2019-10-11,5.0,,17.8,52.0,19.46153846153846
2019-10-12,4.0,,22.0,34.333333333333336,18.142857142857142
2019-10-13,5.0,,23.4,24.33333333333333,20.5
2019-10-14,10.0,14.625,24.4,24.0,21.846153846153847
2019-10-15,8.0,17.875,21.8,24.66666666666667,28.461538461538463
2019-10-16,6.5,25.625,27.375,26.33333333333333,27.461538461538463
2019-10-17,9.5,27.75,18.75,25.0,32.69230769230769
2019-10-18,16.5,31.5,22.875,24.66666666666667,30.42857142857143
2019-10-19,9.5,34.625,20.2,26.33333333333333,22.0
2019-10-20,12.25,36.42857142857143,22.57142857142857,25.0,22.714285714285715
2019-10-21,11.5,41.857142857142854,24.857142857142854,36.0,23.357142857142854
2019-10-22,12.0,22.0,26.285714285714285,37.66666666666666,26.57142857142857
2019-10-23,16.25,15.428571428571427,30.8,38.66666666666666,30.5
2019-10-24,17.75,14.714285714285715,39.375,24.33333333333333,37.357142857142854
2019-10-25,17.75,17.571428571428573,35.625,23.33333333333333,45.384615384615394
2019-10-26,12.25,18.5,36.25,28.0,56.07142857142857
2019-10-27,7.5,22.0,24.42857142857143,34.0,54.30769230769231
2019-10-28,6.5,30.11111111111111,21.714285714285715,40.333333333333336,28.23076923076923
2019-10-29,9.0,36.5,25.2,37.333333333333336,35.92857142857143
2019-10-30,11.25,24.375,28.6,22.66666666666667,49.384615384615394
2019-10-31,18.25,26.125,36.8,22.66666666666667,88.57142857142857
2019-11-01,23.25,17.125,44.4,22.0,151.21428571428572
2019-11-02,18.0,18.5,36.42857142857143,22.0,109.28571428571428
2019-11-03,,20.25,38.857142857142854,24.0,81.78571428571429
2019-11-04,,24.25,17.0,26.0,70.0
2019-11-05,11.0,26.875,23.0,23.66666666666667,44.214285714285715
2019-11-06,14.0,24.375,19.5,23.66666666666667,31.57142857142857
2019-11-07,12.75,45.125,19.428571428571427,34.0,25.93333333333333
2019-11-08,9.75,41.25,19.0,44.0,27.13333333333333
2019-11-09,8.5,83.8888888888889,15.75,30.66666666666667,24.2
2019-11-10,7.25,107.25,19.4,25.66666666666667,20.53333333333333
2019-11-11,11.25,114.0,23.25,49.33333333333334,35.266666666666666
2019-11-12,11.5,166.375,22.0,34.666666666666664,57.46666666666667
2019-11-13,8.5,50.25,20.666666666666668,32.333333333333336,108.93333333333334
2019-11-14,6.25,81.0,21.714285714285715,41.333333333333336,54.2
2019-11-15,6.25,64.25,17.285714285714285,39.5,31.4
2019-11-16,9.0,84.75,18.4,47.66666666666666,49.33333333333334
2019-11-17,8.0,74.75,23.66666666666667,39.0,35.93333333333333
2019-11-18,9.75,106.625,24.83333333333333,43.0,43.13333333333333
2019-11-19,12.0,53.0,20.666666666666668,43.66666666666666,64.85714285714286
2019-11-20,24.0,56.875,32.0,55.0,126.53333333333332
2019-11-21,29.25,62.125,64.6,34.666666666666664,69.06666666666666
2019-11-22,15.0,71.875,33.5,25.66666666666667,96.53333333333332
2019-11-23,9.0,33.375,35.666666666666664,31.0,134.26666666666668
2019-11-24,7.75,35.625,24.714285714285715,29.33333333333333,59.4
2019-11-25,12.75,33.25,32.0,34.666666666666664,44.93333333333333
2019-11-26,10.75,30.0,30.42857142857143,32.333333333333336,55.14285714285714
