,Adelaide,Brisbane,Melbourne,Perth,Sydney
2019-08-01,,,15.75,8.333333333333334,12.857142857142858
2019-08-02,,,11.25,7.333333333333333,12.692307692307692
2019-08-03,,,5.5,3.6666666666666665,10.0
2019-08-04,,,9.25,3.0,6.714285714285714
2019-08-05,,,7.25,8.666666666666666,10.857142857142858
2019-08-06,,,4.5,6.333333333333333,14.0
2019-08-07,,,9.5,8.0,14.923076923076923
2019-08-08,,,9.0,9.333333333333334,9.785714285714286
2019-08-09,,,9.0,7.333333333333333,3.3333333333333335
2019-08-10,,,13.5,3.3333333333333335,1.5833333333333333
2019-08-11,,,4.0,2.6666666666666665,2.1538461538461537
2019-08-12,,,10.5,7.666666666666667,7.0
2019-08-13,,,8.0,5.0,12.928571428571429
2019-08-14,,,10.0,6.666666666666667,13.714285714285714
2019-08-15,,,6.5,8.0,14.142857142857142
2019-08-16,,,9.5,4.333333333333333,13.142857142857142
2019-08-17,,,11.5,5.0,10.142857142857142
2019-08-18,,,3.0,6.666666666666667,7.285714285714286
2019-08-19,,,8.5,7.0,4.0
2019-08-20,,,5.75,9.0,5.923076923076923
2019-08-21,,,5.0,8.0,5.846153846153846
2019-08-22,,,9.75,6.333333333333333,4.785714285714286
2019-08-23,,,10.75,5.333333333333333,7.857142857142857
2019-08-24,,,4.25,5.666666666666667,9.857142857142858
2019-08-25,,,8.25,4.666666666666667,8.0
2019-08-26,,,17.25,7.0,5.642857142857143
2019-08-27,,,13.5,7.666666666666667,5.857142857142857
2019-08-28,,,15.25,10.0,9.214285714285714
2019-08-29,,,13.5,5.0,7.928571428571429
2019-08-30,,,20.5,1.0,4.285714285714286
2019-08-31,,,8.75,4.666666666666667,3.4285714285714284
2019-09-01,,,6.0,2.3333333333333335,5.357142857142857
2019-09-02,,,8.5,2.3333333333333335,9.142857142857142
2019-09-03,,,14.25,3.0,11.428571428571429
2019-09-04,,,11.75,3.0,12.285714285714286
