,Adelaide,Brisbane,Melbourne,Perth,Sydney
2019-08-01,,,16.8,22.0,16.928571428571427
2019-08-02,,,18.2,20.0,17.153846153846153
2019-08-03,,,19.2,19.333333333333332,19.5
2019-08-04,,,17.2,26.0,20.714285714285715
2019-08-05,,,18.4,25.333333333333332,21.214285714285715
2019-08-06,,,17.6,21.0,15.5
2019-08-07,,,15.2,20.666666666666668,19.833333333333332
2019-08-08,,,21.0,13.666666666666666,23.142857142857142
2019-08-09,,,21.6,17.333333333333332,23.214285714285715
2019-08-10,,,21.6,20.666666666666668,23.214285714285715
2019-08-11,,,23.2,22.333333333333332,22.571428571428573
2019-08-12,,,19.2,23.333333333333332,22.428571428571427
2019-08-13,,,15.4,23.333333333333332,16.357142857142858
2019-08-14,,,15.2,20.333333333333332,21.142857142857142
2019-08-15,,,18.2,21.333333333333332,21.928571428571427
2019-08-16,,,19.4,26.0,23.428571428571427
2019-08-17,,,19.6,26.333333333333332,22.5
2019-08-18,,,21.0,24.333333333333332,25.857142857142858
2019-08-19,,,21.8,23.0,23.642857142857142
2019-08-20,,,19.0,20.666666666666668,21.785714285714285
2019-08-21,,,20.2,22.666666666666668,21.53846153846154
2019-08-22,,,21.4,25.333333333333332,22.384615384615383
2019-08-23,,,19.6,24.333333333333332,22.214285714285715
2019-08-24,,,20.6,22.0,25.857142857142858
2019-08-25,,,22.8,23.0,24.857142857142858
2019-08-26,,,18.4,22.666666666666668,20.142857142857142
2019-08-27,,,18.4,23.0,21.714285714285715
2019-08-28,,,15.0,23.333333333333332,23.714285714285715
2019-08-29,,,21.8,17.333333333333332,19.714285714285715
2019-08-30,,,11.6,28.0,21.785714285714285
2019-08-31,,,22.0,28.333333333333332,23.285714285714285
2019-09-01,,,21.2,26.0,25.5
2019-09-02,,,19.2,26.333333333333332,23.571428571428573
2019-09-03,,,16.6,26.0,22.857142857142858
2019-09-04,,,18.6,27.333333333333332,21.928571428571427
2019-09-05,,,16.6,26.0,24.0
2019-09-06,,,19.8,25.666666666666668,23.571428571428573
2019-09-07,,,22.2,22.666666666666668,23.923076923076923
2019-09-08,,,20.8,25.0,24.23076923076923
2019-09-09,,,22.0,26.0,22.25
2019-09-10,,,20.6,29.666666666666668,22.153846153846153
2019-09-11,,,19.0,22.666666666666668,24.428571428571427
2019-09-12,,,20.6,21.666666666666668,24.5
2019-09-13,,,17.8,23.333333333333332,23.285714285714285
2019-09-14,,,21.4,16.666666666666668,25.0
2019-09-15,,,16.0,22.666666666666668,26.785714285714285
2019-09-16,,,21.25,21.333333333333332,22.714285714285715
2019-09-17,,,21.4,21.0,20.642857142857142
2019-09-18,,,20.2,24.0,20.857142857142858
2019-09-19,,,25.2,26.0,22.571428571428573
2019-09-20,,,29.0,25.333333333333332,21.571428571428573
2019-09-21,,,24.6,25.666666666666668,24.0
2019-09-22,,,21.2,25.0,23.642857142857142
2019-09-23,,,19.0,25.333333333333332,22.285714285714285
2019-09-24,,,17.4,27.0,23.857142857142858
2019-09-25,,,17.0,16.666666666666668,24.153846153846153
2019-09-26,,,17.8,28.333333333333332,27.071428571428573
2019-09-27,,,20.4,22.333333333333332,23.214285714285715
2019-09-28,,,22.6,25.333333333333332,19.714285714285715
2019-09-29,,,22.6,25.333333333333332,26.857142857142858
2019-09-30,,,22.2,24.333333333333332,22.5
2019-10-01,,,20.0,28.666666666666668,23.071428571428573
2019-10-02,,,26.8,26.666666666666668,26.0
2019-10-03,,,25.2,29.333333333333332,31.357142857142858
2019-10-04,,,19.6,24.0,27.5
2019-10-05,,,18.0,22.666666666666668,21.928571428571427
2019-10-06,,,22.8,24.666666666666668,23.071428571428573
2019-10-07,,,19.0,27.0,24.785714285714285
2019-10-08,,,19.2,26.333333333333332,21.285714285714285
2019-10-09,,,18.8,38.333333333333336,20.692307692307693
2019-10-10,,,18.2,26.333333333333332,20.928571428571427
2019-10-11,,,17.8,16.0,19.071428571428573
2019-10-12,,,22.0,26.333333333333332,18.142857142857142
2019-10-13,,,23.4,24.333333333333332,20.5
2019-10-14,,,24.4,23.666666666666668,21.846153846153847
