,Adelaide,Brisbane,Melbourne,Perth,Sydney
2019-08-01,4.75,8.555555555555555,16.4,10.666666666666666,14.153846153846153
2019-08-02,6.0,8.11111111111111,12.6,8.0,15.23076923076923
2019-08-03,5.5,7.888888888888889,8.0,12.666666666666666,16.928571428571427
2019-08-04,6.0,11.88888888888889,10.2,8.333333333333334,15.285714285714286
2019-08-05,7.0,11.666666666666666,11.2,11.333333333333334,17.928571428571427
2019-08-06,8.5,13.777777777777779,11.6,6.333333333333333,19.692307692307693
2019-08-07,9.25,16.0,12.4,10.666666666666666,20.5
2019-08-08,10.25,12.11111111111111,7.2,12.666666666666666,23.285714285714285
2019-08-09,11.75,26.88888888888889,10.6,10.333333333333334,25.428571428571427
2019-08-10,9.0,22.77777777777778,8.0,7.666666666666667,17.571428571428573
2019-08-11,8.5,42.55555555555556,10.8,3.3333333333333335,7.071428571428571
2019-08-12,8.75,21.666666666666668,11.0,5.0,7.714285714285714
2019-08-13,9.5,15.0,9.8,11.333333333333334,12.357142857142858
2019-08-14,7.5,14.555555555555555,8.8,9.666666666666666,18.071428571428573
2019-08-15,7.25,13.444444444444445,12.2,6.666666666666667,23.928571428571427
2019-08-16,7.0,15.333333333333334,13.0,9.666666666666666,17.428571428571427
2019-08-17,7.0,17.666666666666668,10.4,11.333333333333334,17.428571428571427
2019-08-18,7.25,18.555555555555557,5.8,16.333333333333332,17.285714285714285
2019-08-19,8.25,21.444444444444443,11.2,14.0,17.857142857142858
2019-08-20,7.5,30.88888888888889,9.0,13.666666666666666,12.0
2019-08-21,9.0,18.11111111111111,13.2,11.0,10.428571428571429
2019-08-22,7.75,17.77777777777778,22.2,11.0,12.692307692307692
2019-08-23,7.5,23.555555555555557,20.0,11.0,20.928571428571427
2019-08-24,7.25,18.555555555555557,16.0,8.333333333333334,25.071428571428573
2019-08-25,6.75,17.0,10.0,7.666666666666667,24.285714285714285
2019-08-26,7.75,15.333333333333334,20.0,7.333333333333333,18.714285714285715
2019-08-27,6.25,15.222222222222221,13.2,8.666666666666666,10.142857142857142
2019-08-28,7.5,11.777777777777779,13.2,11.0,9.214285714285714
2019-08-29,9.5,14.222222222222221,14.0,15.333333333333334,12.142857142857142
2019-08-30,8.75,15.222222222222221,24.2,11.333333333333334,10.0
2019-08-31,9.0,10.222222222222221,11.6,12.333333333333334,9.428571428571429
2019-09-01,9.0,11.666666666666666,7.6,12.666666666666666,10.642857142857142
2019-09-02,9.75,13.0,10.4,12.0,11.571428571428571
2019-09-03,9.25,16.88888888888889,13.0,10.0,14.785714285714286
2019-09-04,8.5,22.555555555555557,15.8,9.333333333333334,14.785714285714286
2019-09-05,9.0,25.11111111111111,13.8,9.0,16.571428571428573
2019-09-06,9.75,29.444444444444443,10.0,9.0,21.0
2019-09-07,7.5,102.22222222222223,8.8,12.333333333333334,21.0
2019-09-08,8.0,65.77777777777777,9.6,11.0,8.307692307692308
2019-09-09,11.0,28.444444444444443,15.4,12.333333333333334,7.416666666666667
2019-09-10,11.5,46.55555555555556,15.2,17.666666666666668,11.333333333333334
2019-09-11,9.75,25.0,14.0,12.333333333333334,16.076923076923077
2019-09-12,11.25,15.0,22.2,11.0,17.714285714285715
2019-09-13,8.75,16.25,17.4,9.333333333333334,21.928571428571427
2019-09-14,8.25,27.0,23.0,11.0,23.5
2019-09-15,8.0,28.25,11.0,13.666666666666666,19.428571428571427
2019-09-16,8.5,21.75,15.2,12.666666666666666,19.214285714285715
2019-09-17,8.75,23.22222222222222,15.0,15.0,16.571428571428573
2019-09-18,7.5,21.88888888888889,18.4,9.0,11.071428571428571
2019-09-19,21.5,20.333333333333332,18.4,10.333333333333334,9.642857142857142
2019-09-20,21.75,21.444444444444443,20.4,10.333333333333334,14.0
2019-09-21,8.75,15.777777777777779,24.6,7.333333333333333,16.357142857142858
2019-09-22,5.5,11.11111111111111,5.4,6.0,21.928571428571427
2019-09-23,6.0,16.0,8.4,6.666666666666667,16.642857142857142
2019-09-24,5.5,19.88888888888889,10.4,8.333333333333334,9.785714285714286
2019-09-25,6.75,17.666666666666668,10.8,9.0,11.23076923076923
2019-09-26,6.75,15.88888888888889,13.6,8.333333333333334,14.642857142857142
2019-09-27,8.0,16.11111111111111,16.8,9.333333333333334,17.285714285714285
2019-09-28,8.75,15.222222222222221,15.4,10.666666666666666,16.571428571428573
2019-09-29,7.75,18.333333333333332,13.2,10.333333333333334,16.785714285714285
2019-09-30,6.5,21.11111111111111,11.2,12.333333333333334,18.428571428571427
2019-10-01,9.5,15.666666666666666,23.0,7.333333333333333,16.5
2019-10-02,11.75,12.444444444444445,28.2,8.0,14.571428571428571
2019-10-03,11.0,12.444444444444445,28.6,13.333333333333334,21.428571428571427
2019-10-04,14.0,13.0,9.2,13.0,27.583333333333332
2019-10-05,15.25,13.11111111111111,13.4,9.666666666666666,24.642857142857142
2019-10-06,16.75,17.444444444444443,16.4,9.333333333333334,11.857142857142858
2019-10-07,10.0,13.777777777777779,14.6,7.0,19.214285714285715
2019-10-08,9.0,20.77777777777778,10.6,9.666666666666666,21.46153846153846
2019-10-09,6.0,,8.6,16.0,8.214285714285714
2019-10-10,4.0,,7.8,18.0,12.428571428571429
2019-10-11,4.0,,11.0,11.666666666666666,10.928571428571429
2019-10-12,4.0,,10.8,7.0,7.5
2019-10-13,5.0,9.444444444444445,10.6,7.333333333333333,7.571428571428571
2019-10-14,10.0,11.222222222222221,15.8,6.0,9.5
2019-10-15,7.0,17.555555555555557,13.4,8.666666666666666,16.214285714285715
2019-10-16,6.5,20.0,11.4,9.666666666666666,21.0
2019-10-17,9.5,23.22222222222222,9.2,11.333333333333334,17.571428571428573
2019-10-18,16.5,26.77777777777778,17.0,11.666666666666666,15.071428571428571
2019-10-19,9.5,25.375,10.8,14.0,16.0
2019-10-20,12.25,23.75,14.6,16.666666666666668,18.142857142857142
2019-10-21,11.5,14.625,11.2,16.0,15.285714285714286
2019-10-22,12.0,9.625,15.6,13.0,16.0
2019-10-23,16.25,8.75,25.75,9.666666666666666,18.357142857142858
2019-10-24,17.75,9.875,30.0,12.333333333333334,26.153846153846153
2019-10-25,17.75,13.0,23.4,12.666666666666666,31.071428571428573
2019-10-26,12.25,14.333333333333334,14.2,10.666666666666666,54.61538461538461
2019-10-27,7.5,22.0,11.8,13.666666666666666,34.07692307692308
2019-10-28,6.5,30.11111111111111,16.2,14.666666666666666,19.0
2019-10-29,9.0,21.333333333333332,19.0,8.333333333333334,22.214285714285715
2019-10-30,11.25,15.88888888888889,28.6,12.666666666666666,46.357142857142854
2019-10-31,18.25,13.0,36.8,13.333333333333334,70.64285714285714
2019-11-01,23.25,10.88888888888889,44.4,11.666666666666666,51.285714285714285
2019-11-02,18.0,13.555555555555555,11.6,12.666666666666666,41.92857142857143
2019-11-03,,15.88888888888889,8.6,8.0,38.92857142857143
2019-11-04,11.333333333333334,18.22222222222222,7.6,6.333333333333333,20.5
2019-11-05,11.0,25.88888888888889,9.8,9.0,9.928571428571429
2019-11-06,14.0,21.22222222222222,17.4,14.666666666666666,11.071428571428571
2019-11-07,12.75,23.666666666666668,11.6,21.0,22.466666666666665
2019-11-08,9.75,39.55555555555556,9.4,15.333333333333334,27.133333333333333
2019-11-09,8.5,83.88888888888889,9.8,13.0,16.266666666666666
2019-11-10,7.25,56.0,7.2,25.666666666666668,9.6
2019-11-11,11.25,86.22222222222223,16.0,17.0,17.4
2019-11-12,11.5,34.333333333333336,22.0,19.0,57.46666666666667
2019-11-13,8.5,49.77777777777778,17.2,17.0,56.6
2019-11-14,6.25,43.111111111111114,10.2,21.333333333333332,21.333333333333332
2019-11-15,6.25,48.77777777777778,13.6,21.666666666666668,29.066666666666666
2019-11-16,9.0,35.44444444444444,18.0,21.0,33.86666666666667
2019-11-17,8.0,49.22222222222222,14.2,19.333333333333332,26.285714285714285
2019-11-18,9.75,27.22222222222222,17.6,21.0,33.92857142857143
2019-11-19,12.0,31.77777777777778,17.2,23.333333333333332,60.06666666666667
2019-11-20,24.0,32.666666666666664,17.8,16.666666666666668,35.266666666666666
2019-11-21,29.25,32.44444444444444,64.6,16.0,46.93333333333333
2019-11-22,11.75,19.88888888888889,14.6,15.666666666666666,69.66666666666667
2019-11-23,9.0,21.77777777777778,19.4,14.333333333333334,38.6
2019-11-24,7.75,19.11111111111111,21.0,17.333333333333332,26.8
2019-11-25,12.75,20.0,26.8,14.333333333333334,24.466666666666665
2019-11-26,10.75,25.22222222222222,19.6,17.0,55.142857142857146
2019-11-27,11.333333333333334,48.77777777777778,19.6,25.333333333333332,69.21428571428571
2019-11-28,10.25,44.44444444444444,19.0,17.0,30.933333333333334
2019-11-29,7.25,27.0,20.0,19.0,54.46666666666667
2019-11-30,6.75,27.88888888888889,7.6,14.333333333333334,58.13333333333333
2019-12-01,7.75,25.333333333333332,7.0,12.666666666666666,31.285714285714285
2019-12-02,9.0,49.77777777777778,17.0,12.333333333333334,35.53333333333333
2019-12-03,10.25,110.88888888888889,18.2,12.0,46.266666666666666
2019-12-04,10.5,59.888888888888886,14.2,20.0,55.06666666666667
2019-12-05,8.75,46.111111111111114,17.2,21.0,59.42857142857143
2019-12-06,7.75,41.111111111111114,21.2,27.333333333333332,63.285714285714285
2019-12-07,9.5,67.11111111111111,24.4,,53.8
2019-12-08,9.5,53.111111111111114,15.2,,41.333333333333336
2019-12-09,12.0,41.44444444444444,32.0,,35.93333333333333
2019-12-10,8.25,29.22222222222222,14.6,20.0,71.53333333333333
2019-12-11,8.75,31.0,16.0,,63.0
2019-12-12,8.0,30.666666666666668,13.8,,26.642857142857142
2019-12-13,7.0,24.375,19.4,18.333333333333332,21.733333333333334
2019-12-14,6.25,20.0,9.2,18.666666666666668,31.333333333333332
2019-12-15,6.25,19.625,9.6,20.0,42.86666666666667
2019-12-16,9.5,29.875,15.0,32.333333333333336,41.86666666666667
2019-12-17,12.0,24.75,27.6,27.666666666666668,22.666666666666668
2019-12-18,12.0,17.75,32.6,22.666666666666668,23.466666666666665
2019-12-19,14.0,17.5,23.4,16.666666666666668,55.266666666666666
2019-12-20,34.5,18.75,51.2,16.333333333333332,50.785714285714285
2019-12-21,18.25,13.0,29.8,16.333333333333332,44.4
2019-12-22,18.75,20.333333333333332,27.4,23.0,52.4
2019-12-23,30.5,12.0,32.4,21.333333333333332,35.06666666666667
2019-12-24,19.0,17.11111111111111,24.4,17.666666666666668,26.733333333333334
2019-12-25,10.75,8.375,31.6,20.666666666666668,25.733333333333334
2019-12-26,9.75,12.25,17.2,23.333333333333332,21.066666666666666
2019-12-27,12.75,7.75,26.4,16.666666666666668,16.2
2019-12-28,17.5,9.222222222222221,37.0,12.333333333333334,17.533333333333335
2019-12-29,17.75,10.875,22.0,15.333333333333334,33.6
2019-12-30,13.0,,,,
2019-12-31,,,,,
2020-01-01,33.0,15.5,17.333333333333332,18.333333333333332,55.46153846153846
2020-01-02,27.25,13.0,19.666666666666668,,48.30769230769231
2020-01-03,35.0,11.875,60.22222222222222,,40.2
2020-01-04,32.0,11.375,48.22222222222222,,37.07142857142857
2020-01-05,17.0,11.285714285714286,18.11111111111111,,77.07692307692308
2020-01-06,21.333333333333332,10.571428571428571,65.2,,50.0
2020-01-07,30.5,11.88888888888889,24.0,17.666666666666668,25.066666666666666
2020-01-08,37.5,17.444444444444443,20.22222222222222,13.0,51.214285714285715
2020-01-09,42.75,21.333333333333332,29.666666666666668,13.666666666666666,55.4
2020-01-10,45.25,24.11111111111111,46.2,24.666666666666668,14.133333333333333
2020-01-11,31.25,24.11111111111111,24.5,20.666666666666668,44.214285714285715
2020-01-12,17.25,18.0,9.833333333333334,22.333333333333332,49.214285714285715
2020-01-13,16.0,19.555555555555557,59.0,22.0,45.214285714285715
2020-01-14,19.25,15.666666666666666,155.5,27.0,20.533333333333335
2020-01-15,33.0,12.5,96.83333333333333,28.0,16.133333333333333
2020-01-16,22.25,14.125,43.5,17.333333333333332,24.333333333333332
2020-01-17,22.0,14.75,20.142857142857142,23.333333333333332,36.93333333333333
2020-01-18,23.333333333333332,9.375,19.857142857142858,15.333333333333334,19.133333333333333
2020-01-19,20.333333333333332,11.375,24.285714285714285,15.666666666666666,11.866666666666667
2020-01-20,18.25,16.625,12.142857142857142,15.0,16.733333333333334
2020-01-21,17.25,21.444444444444443,15.285714285714286,15.333333333333334,18.2
2020-01-22,21.25,18.77777777777778,21.571428571428573,19.0,26.428571428571427
2020-01-23,19.5,14.333333333333334,15.5,13.333333333333334,150.85714285714286
2020-01-24,20.5,15.0,16.5,12.666666666666666,69.35714285714286
2020-01-25,13.5,12.88888888888889,15.833333333333334,,47.15384615384615
2020-01-26,8.75,10.777777777777779,14.5,,22.53846153846154
2020-01-27,10.75,11.666666666666666,14.0,,36.30769230769231
2020-01-28,16.0,12.0,20.5,,27.214285714285715
2020-01-29,20.25,13.666666666666666,20.666666666666668,10.0,30.285714285714285
2020-01-30,24.75,10.777777777777779,27.2,6.666666666666667,25.928571428571427
2020-01-31,36.25,11.0,51.0,9.666666666666666,30.133333333333333
2020-02-01,16.5,10.88888888888889,23.4,9.333333333333334,30.2
2020-02-02,13.25,10.444444444444445,10.3,11.666666666666666,36.6
2020-02-03,17.0,14.444444444444445,15.6,14.333333333333334,26.8
2020-02-04,18.5,13.625,19.4,19.0,33.06666666666667
2020-02-05,20.25,17.0,17.8,20.0,15.266666666666667
2020-02-06,22.25,8.125,36.57142857142857,19.666666666666668,11.466666666666667
2020-02-07,27.25,9.88888888888889,51.166666666666664,16.666666666666668,9.266666666666667
2020-02-08,36.0,9.555555555555555,32.5,10.333333333333334,11.8
2020-02-09,39.75,9.333333333333334,14.333333333333334,11.333333333333334,12.6
2020-02-10,36.25,11.555555555555555,8.2,22.666666666666668,12.0
2020-02-11,25.75,12.0,16.0,27.0,16.214285714285715
2020-02-12,13.0,9.222222222222221,14.0,13.0,9.933333333333334
2020-02-13,11.5,5.111111111111111,13.6,16.333333333333332,13.866666666666667
2020-02-14,9.0,13.875,17.6,18.333333333333332,15.933333333333334
2020-02-15,7.25,14.125,12.4,22.0,17.733333333333334
2020-02-16,10.0,13.125,9.4,11.333333333333334,11.866666666666667
2020-02-17,18.25,11.666666666666666,20.8,15.666666666666666,9.0
2020-02-18,19.75,12.444444444444445,16.4,25.0,15.266666666666667
2020-02-19,23.5,14.666666666666666,15.2,20.0,18.0
2020-02-20,20.5,41.333333333333336,12.6,14.333333333333334,14.666666666666666
2020-02-21,13.5,17.77777777777778,11.8,18.0,20.714285714285715
2020-02-22,14.25,13.88888888888889,14.777777777777779,12.333333333333334,12.714285714285714
2020-02-23,14.0,11.666666666666666,19.333333333333332,11.0,12.214285714285714
2020-02-24,30.666666666666668,9.777777777777779,23.454545454545453,10.666666666666666,14.214285714285714
2020-02-25,21.0,11.11111111111111,18.272727272727273,10.0,14.714285714285714
2020-02-26,16.0,11.333333333333334,13.090909090909092,9.666666666666666,18.714285714285715
2020-02-27,17.75,9.666666666666666,16.90909090909091,6.666666666666667,32.642857142857146
2020-02-28,12.25,13.777777777777779,10.454545454545455,8.0,21.571428571428573
2020-02-29,11.25,12.0,10.0,14.333333333333334,17.571428571428573
2020-03-01,14.0,13.333333333333334,14.5,9.0,20.071428571428573
2020-03-02,18.25,14.11111111111111,11.0,11.666666666666666,28.4
2020-03-03,18.5,10.0,13.166666666666666,12.333333333333334,23.333333333333332
2020-03-04,19.75,12.11111111111111,23.375,14.0,14.466666666666667
2020-03-05,19.75,15.555555555555555,7.375,16.0,14.133333333333333
