,Adelaide,Brisbane,Melbourne,Perth,Sydney
2019-08-01,,,2.0,2.0,1.3076923076923077
2019-08-02,,,1.0,,1.5
2019-08-03,,,1.0,,1.2142857142857142
2019-08-04,,,2.0,,1.0769230769230769
2019-08-05,,,,,2.142857142857143
2019-08-06,,,,2.0,1.4615384615384615
2019-08-07,,,,,1.5833333333333333
2019-08-08,,,1.0,2.0,1.5
2019-08-09,,,1.0,6.0,1.1
2019-08-10,,,1.0,2.0,1.0
2019-08-11,,,1.0,,1.0
2019-08-12,,,4.0,,1.125
2019-08-13,,,1.0,,1.2727272727272727
2019-08-14,,,1.0,2.0,4.0
2019-08-15,,,2.0,8.0,2.3846153846153846
2019-08-16,,,2.0,,1.5833333333333333
2019-08-17,,,2.0,90.0,1.2307692307692308
2019-08-18,,,,2.0,3.3846153846153846
2019-08-19,,,1.0,40.0,1.8181818181818181
2019-08-20,,,,4.0,1.0909090909090908
2019-08-21,,,1.0,2.0,1.2
2019-08-22,,,2.0,,1.0
2019-08-23,,,,2.0,1.4
2019-08-24,,,1.0,,1.1428571428571428
2019-08-25,,,2.0,2.0,1.0
2019-08-26,,,2.0,,1.5
2019-08-27,,,1.0,7.0,1.0
2019-08-28,,,1.0,2.0,1.1666666666666667
2019-08-29,,,2.0,97.0,1.1
2019-08-30,,,2.0,,1.0
2019-08-31,,,1.0,96.0,1.4545454545454546
2019-09-01,,,,,1.3
2019-09-02,,,1.0,2.0,1.2307692307692308
2019-09-03,,,2.0,,1.0769230769230769
2019-09-04,,,1.0,98.0,1.2142857142857142
2019-09-05,,,1.0,,1.25
2019-09-06,,,1.0,2.0,1.8461538461538463
2019-09-07,,,1.0,4.0,2.0
2019-09-08,,,1.0,15.0,1.0
2019-09-09,,,2.0,2.0,1.5
2019-09-10,,,2.0,3.0,1.6666666666666667
2019-09-11,,,1.0,,1.8461538461538463
2019-09-12,,,1.0,,1.5
2019-09-13,,,2.0,2.0,1.3571428571428572
2019-09-14,,,1.0,5.0,1.3076923076923077
2019-09-15,,,,4.0,2.6153846153846154
2019-09-16,,,1.0,,1.9230769230769231
2019-09-17,,,1.0,2.0,1.2
2019-09-18,,,1.0,,1.4285714285714286
2019-09-19,,,1.0,,1.6428571428571428
2019-09-20,,,,2.0,1.6153846153846154
2019-09-21,,,1.0,2.0,2.6923076923076925
2019-09-22,,,,4.0,1.6363636363636365
2019-09-23,,,1.0,2.0,1.1818181818181819
2019-09-24,,,1.0,2.0,1.6153846153846154
2019-09-25,,,1.0,2.0,1.2142857142857142
2019-09-26,,,1.0,,1.0
2019-09-27,,,1.0,7.0,1.0
2019-09-28,,,2.0,9.0,1.0
2019-09-29,,,1.0,6.0,1.25
2019-09-30,,,1.0,,1.0833333333333333
2019-10-01,,,2.0,2.0,1.0769230769230769
2019-10-02,,,1.0,,2.357142857142857
2019-10-03,,,,5.0,3.357142857142857
2019-10-04,,,1.0,,1.9285714285714286
2019-10-05,,,1.0,2.0,1.125
2019-10-06,,,1.0,4.0,1.7857142857142858
2019-10-07,,,2.0,,1.2857142857142858
2019-10-08,,,1.0,8.0,1.1
2019-10-09,,,1.0,3.0,1.0
2019-10-10,,,1.0,,1.6
2019-10-11,,,1.0,2.0,1.0
2019-10-12,,,,2.0,1.0
2019-10-13,,,,,1.25
2019-10-14,,,1.0,3.0,2.2857142857142856
2019-10-15,,,,2.0,3.4285714285714284
2019-10-16,,,1.0,2.0,1.0909090909090908
2019-10-17,,,1.0,4.0,1.5555555555555556
2019-10-18,,,1.0,4.0,2.2
2019-10-19,,,,,1.7272727272727273
2019-10-20,,,2.0,,1.1666666666666667
2019-10-21,,,2.0,,1.1
2019-10-22,,,1.0,,2.7142857142857144
2019-10-23,,,1.0,,2.142857142857143
2019-10-24,,,,,1.2307692307692308
2019-10-25,,,1.0,2.0,1.0909090909090908
2019-10-26,,,1.0,3.0,1.375
2019-10-27,,,,7.0,1.25
2019-10-28,,,1.0,2.0,1.2142857142857142
2019-10-29,,,1.0,2.0,2.0
2019-10-30,,,2.0,,4.3076923076923075
2019-10-31,,,1.0,,3.4166666666666665
2019-11-01,,,,2.0,4.214285714285714
2019-11-02,,,1.0,,2.2857142857142856
2019-11-03,,,,2.0,1.6428571428571428
2019-11-04,,,1.0,2.0,1.1
2019-11-05,,,1.0,2.0,1.1818181818181819
2019-11-06,,,,2.0,2.3846153846153846
2019-11-07,,,1.0,5.0,1.1111111111111112
2019-11-08,,,1.0,,1.0
2019-11-09,,,,,1.1111111111111112
2019-11-10,,,1.0,,1.0
2019-11-11,,,,2.0,3.066666666666667
2019-11-12,,,1.0,,1.8461538461538463
2019-11-13,,,,7.0,1.0
2019-11-14,,,,2.0,2.6
2019-11-15,,,,3.0,1.9333333333333333
2019-11-16,,,1.0,2.0,1.0769230769230769
2019-11-17,,,1.0,2.0,1.1428571428571428
2019-11-18,,,1.0,8.0,2.066666666666667
2019-11-19,,,,2.0,2.533333333333333
2019-11-20,,,,2.0,1.4615384615384615
2019-11-21,,,,3.0,2.3333333333333335
2019-11-22,,,1.0,2.0,1.2142857142857142
2019-11-23,,,,5.0,1.5714285714285714
2019-11-24,,,,4.0,1.2857142857142858
2019-11-25,,,1.0,2.0,1.3571428571428572
2019-11-26,,,5.0,7.0,1.1333333333333333
2019-11-27,,,2.0,2.0,1.1818181818181819
2019-11-28,,,1.0,2.0,3.2666666666666666
2019-11-29,,,2.0,2.0,4.266666666666667
2019-11-30,,,1.0,,1.6428571428571428
2019-12-01,,,,4.0,1.0
2019-12-02,,,1.0,,1.1818181818181819
2019-12-03,,,1.0,8.0,1.7
2019-12-04,,,1.0,4.0,2.0
2019-12-05,,,1.0,2.0,1.7692307692307692
2019-12-06,,,,,1.7692307692307692
2019-12-07,,,1.0,,1.0
2019-12-08,,,1.0,,1.25
2019-12-09,,,,,1.1666666666666667
2019-12-10,,,,,1.8571428571428572
2019-12-11,,,,,1.1333333333333333
2019-12-12,,,1.0,,1.0
2019-12-13,,,5.0,3.0,1.0
2019-12-14,,,1.0,4.0,2.1666666666666665
2019-12-15,,,2.0,4.0,2.1666666666666665
2019-12-16,,,,3.0,1.2
2019-12-17,,,1.0,4.0,1.5
2019-12-18,,,,4.0,3.272727272727273
2019-12-19,,,,4.0,3.909090909090909
2019-12-20,,,1.0,3.0,2.272727272727273
2019-12-21,,,,2.0,4.666666666666667
2019-12-22,,,,3.0,1.0
2019-12-23,,,2.0,3.0,1.25
2019-12-24,,,2.0,5.0,1.2857142857142858
2019-12-25,,,1.0,4.0,1.3333333333333333
2019-12-26,,,,4.0,2.4444444444444446
2019-12-27,,,2.0,3.0,1.9
2019-12-28,,2.5,1.0,3.0,4.833333333333333
2019-12-29,,,2.0,2.0,2.9166666666666665
2019-12-30,,,,,
2019-12-31,,,,,
2020-01-01,,,,3.0,1.0
2020-01-02,,1.0,1.0,,1.0
2020-01-03,,1.0,1.0,,5.0
2020-01-04,,1.0,1.0,,2.1818181818181817
2020-01-05,,1.3333333333333333,,,1.5555555555555556
2020-01-06,,1.0,1.0,,1.0
2020-01-07,,1.0,,3.0,5.333333333333333
2020-01-08,,1.0,,5.0,1.1666666666666667
2020-01-09,,1.0,1.0,4.0,1.0
2020-01-10,,1.0,,4.0,3.5
2020-01-11,,1.3333333333333333,1.0,3.0,3.5454545454545454
2020-01-12,,5.5,,4.0,1.1666666666666667
2020-01-13,,8.0,1.0,6.0,1.0
2020-01-14,,2.0,1.0,4.0,1.8
2020-01-15,,6.0,1.0,3.0,1.4166666666666667
2020-01-16,,1.0,,4.0,1.2727272727272727
2020-01-17,,1.0,,4.0,1.0
2020-01-18,,1.0,,3.0,1.2
2020-01-19,,1.0,,3.0,1.0
2020-01-20,,2.5,,5.0,2.8181818181818183
2020-01-21,,2.25,,4.0,1.25
2020-01-22,,2.75,,4.0,1.9090909090909092
2020-01-23,,3.25,,3.0,2.090909090909091
2020-01-24,,2.0,,5.0,1.0
2020-01-25,,2.0,,,1.0
2020-01-26,,1.0,1.0,,2.7
2020-01-27,,1.0,1.0,,1.4444444444444444
2020-01-28,,,,,2.8
2020-01-29,,2.0,,2.0,8.571428571428571
2020-01-30,,1.0,1.0,2.0,1.6363636363636365
2020-01-31,,1.0,,5.0,4.583333333333333
2020-02-01,,1.0,,4.0,3.0833333333333335
2020-02-02,,1.6666666666666667,,2.0,2.0
2020-02-03,,3.3333333333333335,,4.0,1.375
2020-02-04,,6.5,,3.0,1.0909090909090908
2020-02-05,,9.0,,5.0,2.1666666666666665
2020-02-06,,6.0,,2.0,1.0
2020-02-07,,5.0,,3.0,1.0
2020-02-08,,1.5,,5.0,1.0
2020-02-09,,1.0,,3.0,1.0
2020-02-10,,1.0,,4.0,12.7
2020-02-11,,1.0,,5.0,2.909090909090909
2020-02-12,,1.0,,3.0,1.6666666666666667
2020-02-13,,1.0,,4.0,1.0
2020-02-14,,1.0,,5.0,1.0
2020-02-15,,1.0,,2.0,1.1
2020-02-16,,,,4.0,1.0
2020-02-17,,1.0,,7.0,1.0
2020-02-18,,1.0,,4.0,3.0833333333333335
2020-02-19,,3.3333333333333335,,4.0,3.0
2020-02-20,,1.0,,4.0,1.0
2020-02-21,,1.5,,4.0,1.1
2020-02-22,,1.5,,4.0,1.0
2020-02-23,,1.0,,3.0,2.0
2020-02-24,,1.0,,5.0,2.5833333333333335
