date, pm25, pm10, o3, no2, so2, co
2020/6/2, 29, 14, , , , 
2020/6/3, 24, 12, , , , 
2020/6/4, 28, 15, , , , 
2020/6/5, 32, 14, , , , 
2020/6/6, 26, , , , , 
2020/6/11, 20, 12, , , , 
2020/6/12, 30, , , , , 
2020/5/2, 21, 17, , , , 
2020/5/3, 23, 13, , , , 
2020/5/4, 20, 24, , , , 
2020/5/5, 38, 41, , , , 
2020/5/6, 45, 17, , , 1, 
2020/5/7, 33, 20, , , , 
2020/5/8, 38, 23, , , , 
2020/5/9, 37, 20, , , , 
2020/5/10, 44, 18, , , , 
2020/5/11, 40, 19, , , , 
2020/5/12, 27, 22, , , , 
2020/5/13, 31, 16, , , , 
2020/5/14, 26, 20, , , , 
2020/5/15, 33, 13, , , , 
2020/5/16, 25, 13, , , , 
2020/5/17, 16, 10, , , , 
2020/5/18, 16, 12, , , , 
2020/5/19, 22, 21, , , , 
2020/5/20, 20, 30, , , , 
2020/5/21, 36, 25, , , , 
2020/5/22, 37, 15, , , , 
2020/5/23, 18, 70, , , 2, 
2020/5/24, 11, 237, , , 4, 
2020/5/25, 50, 340, , , 1, 
2020/5/26, 69, 19, , , , 
2020/5/27, 60, 26, , , , 
2020/5/28, 59, 27, , , , 
2020/5/29, 54, 19, , , , 
2020/5/30, 49, 13, , , 1, 
2020/5/31, 36, 11, , , , 
2020/6/1, 32, 14, , , , 
2020/4/2, 19, 11, , , 1, 
2020/4/3, 13, 14, , , , 
2020/4/4, 15, 11, , , , 
2020/4/5, 12, 25, , , , 
2020/4/6, 25, 17, , , 7, 
2020/4/7, 18, 17, , , 12, 
2020/4/8, 23, 10, , , 1, 
2020/4/9, 11, 11, , , 2, 
2020/4/10, 15, 6, , , 2, 
2020/4/11, 8, 6, , , , 
2020/4/12, 15, 13, , , , 
2020/4/13, 16, 14, , , , 
2020/4/14, 19, 15, , , , 
2020/4/15, 23, 12, , , , 
2020/4/16, 19, 15, , , , 
2020/4/17, 20, 13, , , , 
2020/4/18, 18, 19, , , , 
2020/4/19, 28, 25, , , , 
2020/4/20, 20, 18, , , , 
2020/4/21, 27, 16, , , , 
2020/4/22, 27, 23, , , , 
2020/4/23, 31, 15, , , , 
2020/4/24, 19, 23, , , , 
2020/4/25, 32, 14, , , , 
2020/4/26, 27, 12, , , , 
2020/4/27, 23, 15, , , , 
2020/4/28, 24, 11, , , , 
2020/4/29, 14, 13, , , , 
2020/4/30, 20, 27, , , , 
2020/5/1, 40, 7, , , , 
2020/3/2, 28, 19, , , , 
2020/3/3, 36, 11, , , , 
2020/3/4, 31, 13, , , 1, 
2020/3/5, 30, 15, , , , 
2020/3/6, 25, 14, , , , 
2020/3/7, 24, 11, , , 4, 
2020/3/8, 31, 14, , , 4, 
2020/3/9, 19, 10, , , 3, 
2020/3/10, 16, 8, , , 5, 
2020/3/11, 30, 10, , , 5, 
2020/3/12, 18, 9, , , 7, 
2020/3/13, 17, 10, , , 3, 
2020/3/14, 25, 10, , , 6, 
2020/3/15, 25, 9, , , 13, 
2020/3/16, 25, 15, , , 12, 
