date, pm25, pm10, o3, no2, so2, co
2020/6/2, 29, 10, 10, 2, , 
2020/6/3, 21, 16, 12, 2, , 
2020/6/4, 43, 11, 10, 4, , 
2020/6/5, 28, 10, 11, 2, , 
2020/6/6, 23, 11, 11, 2, , 
2020/6/7, 35, 13, 11, 3, , 
2020/6/8, 39, 9, 11, 3, , 
2020/6/9, 31, 9, 10, 3, , 
2020/6/10, 27, 6, 5, 4, , 
2020/6/11, 18, , , , , 
2020/5/2, 20, 13, 11, 1, , 
2020/5/3, 19, 7, 10, , , 
2020/5/4, 17, 13, 12, 1, , 
2020/5/5, 29, 13, 11, 2, , 
2020/5/6, 25, 10, 10, 2, , 
2020/5/7, 17, 11, 9, 2, , 
2020/5/8, 18, 10, 11, 4, , 
2020/5/9, 20, 11, , , , 
2020/5/10, 33, 12, , , , 
2020/5/11, 27, 11, , , , 
2020/5/12, 18, 10, , , , 
2020/5/13, 16, 7, , , , 
2020/5/14, 13, 10, , , , 
2020/5/15, 11, 10, , , , 
2020/5/16, 11, 10, , , , 
2020/5/17, 11, 10, , , , 
2020/5/18, 11, 10, , , , 
2020/5/19, 11, 10, , , , 
2020/5/20, 11, , , , , 
2020/5/27, 33, 23, 10, 5, , 
2020/5/28, 56, 21, 10, 4, , 
2020/5/29, 58, 11, 11, 3, , 
2020/5/30, 28, 10, 10, 1, , 
2020/5/31, 29, 8, 9, 1, , 
2020/6/1, 26, 10, 8, 3, , 
2020/4/2, 47, 8, 9, 1, , 
2020/4/3, 16, 7, 10, 2, 1, 
2020/4/4, 15, 7, 9, 1, , 
2020/4/5, 15, 23, 12, 1, , 
2020/4/6, 26, 13, 13, 2, , 
2020/4/7, 17, 14, 11, 1, , 
2020/4/8, 16, 7, 10, 1, , 
2020/4/9, 9, 6, 10, 1, , 
2020/4/10, 8, 4, 8, , , 
2020/4/11, 8, 9, 12, 1, , 
2020/4/12, 21, 13, 12, , , 
2020/4/13, 21, 17, 11, , , 
2020/4/14, 19, 9, 11, 2, , 
2020/4/15, 17, 9, 10, 2, , 
2020/4/16, 19, 8, 11, 3, , 
2020/4/17, 13, 9, 14, 1, , 
2020/4/18, 16, 15, 8, 3, , 
2020/4/19, 31, 12, 11, 2, , 
2020/4/20, 27, 14, 14, 3, , 
2020/4/21, 33, 13, 16, 3, , 
2020/4/22, 25, 14, 13, 3, , 
2020/4/23, 27, 18, 12, 2, , 
2020/4/24, 34, 19, 14, 3, , 
2020/4/25, 39, 16, 13, 1, , 
2020/4/26, 39, 15, 13, 1, , 
2020/4/27, 34, 12, 12, 3, , 
2020/4/28, 25, 6, 8, 2, , 
2020/4/29, 15, 7, 9, 2, , 
2020/4/30, 15, 12, 10, 3, , 
2020/5/1, 22, 8, 11, 2, , 
2020/3/2, 15, 10, 9, 4, 1, 
2020/3/3, 16, 8, , 5, 1, 
2020/3/4, 12, 9, , 4, , 
2020/3/5, 12, 17, , 4, 1, 
2020/3/6, 13, 9, 6, 5, 1, 
2020/3/7, 13, 7, 8, 4, 1, 
2020/3/8, 15, 13, 6, 4, 1, 
2020/3/9, 14, 5, 5, 5, 1, 
2020/3/10, 8, 4, 5, 5, , 
2020/3/11, 7, 8, 6, 4, 1, 
2020/3/12, 8, 5, 4, 5, , 
2020/3/13, 8, 8, 6, 5, 1, 
2020/3/14, 7, 6, 6, 4, , 
2020/3/15, 7, 6, 6, 4, , 
2020/3/16, 8, 11, 5, 4, 1, 
2020/3/17, 12, 8, 11, 4, , 
2020/3/18, 8, 9, 12, 1, , 
2020/3/19, 9, 9, 11, 1, , 
2020/3/20, 9, 9, 13, 3, , 
2020/3/21, 13, 14, 17, 2, , 
2020/3/22, 20, 18, 14, , , 
2020/3/23, 24, 11, 11, 2, , 
2020/3/24, 15, 9, 9, 1, , 
2020/3/25, 9, 7, 9, 1, , 
2020/3/26, 8, 6, 9, 2, , 
2020/3/27, 10, 5, 9, 1, , 
2020/3/28, 7, 7, 9, 1, , 
2020/3/29, 10, 4, 8, , , 
2020/3/30, 6, 7, 10, 2, , 
2020/3/31, 12, 10, 15, 2, , 
2020/4/1, 17, 33, 11, 2, , 
2020/2/2, 3, 1, 6, 1, 1, 
2020/2/3, 3, 1, 10, 1, 1, 
2020/2/4, 3, 4, 8, 1, 1, 
2020/2/5, 3, , 7, 1, , 
2020/2/8, 16, 5, 3, 1, , 
2020/2/9, 8, 5, 6, , 1, 
2020/2/10, 10, 9, 6, 1, 1, 
2020/2/11, 10, 8, 7, 2, 1, 
2020/2/12, 17, 6, 4, 1, , 
2020/2/13, 6, 2, 4, 2, 1, 
2020/2/14, 6, , 7, 1, 1, 
2020/2/18, 14, 6, 5, 1, , 
2020/2/19, 9, 10, 8, 2, 1, 
2020/2/20, 15, 37, 13, 2, 1, 
2020/2/21, 32, 13, 9, 1, , 
2020/2/22, 16, 10, 7, , , 
2020/2/23, 10, 7, 5, 1, , 
2020/2/24, 8, 5, 4, 1, 1, 
2020/2/25, 9, 8, 4, 2, , 
2020/2/26, 10, 7, 5, 2, , 
2020/2/27, 10, 7, 7, 2, 1, 
2020/2/28, 14, 11, 10, 2, 1, 
2020/2/29, 17, 9, 8, 1, , 
2020/3/1, 11, 11, 8, 1, , 
2020/1/4, 14, 9, 4, 1, 1, 
2020/1/5, 16, 9, 6, 2, 1, 
2020/1/6, 13, 9, 5, 1, 1, 
2020/1/7, 14, 10, 2, 1, 1, 
2020/1/8, 16, 7, 4, 1, 1, 
2020/1/9, 38, 15, 8, 2, 1, 
2020/1/10, 55, 18, 7, 2, 1, 
2020/1/11, 51, 19, 8, 1, 1, 
2020/1/12, 46, 21, 8, 1, 1, 
2020/1/13, 28, 12, 7, 1, 1, 
2020/1/14, 25, 17, 4, 1, , 
2020/1/15, 17, 12, 5, 2, , 
2020/1/16, 8, 6, 1, 2, , 
2020/1/17, 15, 9, , 1, , 
2020/1/18, 13, 10, 2, , , 
2020/1/19, 5, 4, 4, , , 
2020/1/20, 18, 8, 10, 1, 1, 
2020/1/21, 16, 13, 6, 1, 1, 
2020/1/22, 19, 13, 2, 1, 1, 
2020/1/23, 30, 14, 11, 3, 1, 
2020/1/24, 9, 9, 1, 1, 1, 
2020/1/25, 14, 13, 3, 1, 2, 
2020/1/26, 9, 10, , 1, 1, 
2020/1/27, 6, 6, 1, 1, 1, 
2020/1/28, 14, 10, 3, , , 
2020/1/29, 8, 7, 1, 1, 1, 
2020/1/30, 13, 9, 6, 2, 1, 
2020/1/31, 8, 9, 3, 2, 1, 
2020/2/1, 8, 5, 4, 2, 1, 
2019/10/2, 21, 12, , , , 
2019/10/3, 14, 11, , , , 
2019/10/4, 14, 9, , , , 
2019/10/5, 11, 11, , , , 
2019/10/6, 18, 16, , , , 
2019/10/7, 27, 12, , , , 
2019/10/8, 20, 21, , , , 
2019/10/9, 39, , , , , 
2019/10/14, 10, 9, , , , 
2019/10/15, 15, 13, , , , 
2019/10/16, 17, 15, , , , 
2019/10/17, 19, 17, , , , 
2019/10/18, 26, 28, , , , 
2019/10/19, 32, 20, , , , 
2019/10/20, 27, 22, , , , 
2019/10/21, 39, 12, , , , 
2019/10/22, 16, 7, , , , 
2019/10/23, 11, 8, , , , 
2019/10/24, 13, 8, , , , 
2019/10/25, 14, 7, , , , 
2019/10/26, 11, 12, , , , 
2019/10/27, 17, 23, , , , 
2019/10/28, 30, 28, , , , 
2019/10/29, 32, 17, , , , 
2019/10/30, 19, 14, , , , 
2019/10/31, 23, 9, , , , 
2019/11/1, 13, 8, , , , 
2019/11/2, 12, 11, , , , 
2019/11/3, 12, 13, , , , 
2019/11/4, 19, 15, , , , 
2019/11/5, 22, 19, , , , 
