date, pm25, pm10, o3, no2, so2, co
20-06-02,29,13, , , , 
20-06-03,15,13, , , , 
20-06-04,20,17, , , , 
20-06-05,31,13, , , , 
20-06-06,25,16, , , , 
20-06-07,37,15, , , , 
20-06-08,38,11, , , , 
20-06-09,30, , , , , 
20-05-02,16,15, , , , 
20-05-03,18,9, , , , 
20-05-04,12,13, , , , 
20-05-05,23,16, , , , 
20-05-06,28,15, , , , 
20-05-07,25,15, , , , 
20-05-08,27,15, , , , 
20-05-09,28,13, , , , 
20-05-10,28,13, , , , 
20-05-11,23,15, , , , 
20-05-12,19,15, , , , 
20-05-13,24,13, , , , 
20-05-14,23,15, , , , 
20-05-15,31,13, , , , 
20-05-16,22,8, , , , 
20-05-17,13,9, , , , 
20-05-18,16,11, , , , 
20-05-19,16,12, , , , 
20-05-20,19,14, , , , 
20-05-21,24,12, , , , 
20-05-22,26,9, , , , 
20-05-23,13,7, , , , 
20-05-24,12,7, , , , 
20-05-25,13,10, , , , 
20-05-26,21,12, , , , 
20-05-27,27,15, , , , 
20-05-28,27,17, , , , 
20-05-29,35,15, , , , 
20-05-30,31,11, , , , 
20-05-31,22,10, , , , 
20-06-01,21,14, , , , 
20-04-02,21,14, , , , 
20-04-03,22,10, , , , 
20-04-04,18,10, , , , 
20-04-05,19,32, , , , 
20-04-06,38,17, , , , 
20-04-07,26,14, , , , 
20-04-08,19,10, , , , 
20-04-09,14,12, , , , 
20-04-10,16,8, , , , 
20-04-11,15,11, , , , 
20-04-12,19,14, , , , 
20-04-13,21,15, , , , 
20-04-14,26,14, , , , 
20-04-15,24,13, , , , 
20-04-16,24,12, , , , 
20-04-17,20,13, , , , 
20-04-18,22,20, , , , 
20-04-19,34,16, , , , 
20-04-20,32,16, , , , 
20-04-21,29,17, , , , 
20-04-22,25,22, , , , 
20-04-23,44,18, , , , 
20-04-24,30,19, , , , 
20-04-25,37,16, , , , 
20-04-26,35,14, , , , 
20-04-27,31,13, , , , 
20-04-28,25,10, , , , 
20-04-29,18,12, , , , 
20-04-30,19,18, , , , 
20-05-01,32,10, , , , 
20-03-02,27,15, , , , 
20-03-03,26,12, , , , 
