date, pm25, pm10, o3, no2, so2, co
2020/6/3, 53, 9, , 9, , 3
2020/6/4, 21, 15, , 11, , 5
2020/6/5, 47, 13, , 8, , 3
2020/6/6, 40, 9, , 9, , 3
2020/6/7, 27, 19, , 11, , 7
2020/6/8, 57, 19, , 10, , 6
2020/6/9, 63, 17, , 11, , 6
2020/6/10, 54, 18, , 8, , 5
2020/6/11, 58, 11, , 7, , 
2020/6/12, 23, , , , , 
2020/5/2, 20, 13, , 7, , 2
2020/5/3, 25, 16, , 3, , 2
2020/5/4, 38, 11, , 4, , 2
2020/5/5, 18, 8, , 4, , 1
2020/5/6, 13, 17, , 1, , 1
2020/5/7, 22, 9, , 6, , 1
2020/5/8, 15, 8, , 7, , 3
2020/5/9, 11, 13, , 7, , 5
2020/5/10, 41, 14, , 8, , 3
2020/5/11, 47, 14, , 6, , 5
2020/5/12, 44, 8, , 8, , 3
2020/5/13, 24, 13, , 8, , 3
2020/5/14, 38, 18, , 11, , 4
2020/5/15, 46, 19, , 8, , 6
2020/5/16, 55, 22, , 8, , 5
2020/5/17, 66, 29, , 3, , 4
2020/5/18, 78, 14, , 4, , 2
2020/5/19, 33, 17, , 8, , 5
2020/5/20, 45, 24, , 3, , 6
2020/5/21, 68, 18, , 13, , 3
2020/5/22, 55, 14, , 10, , 3
2020/5/23, 40, 17, , 6, , 4
2020/5/24, 50, 29, , 1, , 1
2020/5/25, 30, 44, , 1, , 1
2020/5/26, 62, 13, , 9, , 2
2020/5/27, 24, 8, , 5, , 2
2020/5/28, 22, 7, , 4, , 3
2020/5/29, 14, 8, , 3, , 2
2020/5/30, 12, , , , , 
2020/4/2, 6, 5, , 3, , 
2020/4/3, 9, 10, , 5, , 2
2020/4/4, 13, 21, , 3, , 1
2020/4/5, 29, 13, , 1, , 1
2020/4/6, 25, 8, , 3, , 1
2020/4/7, 15, 8, , 3, , 3
2020/4/8, 11, 9, , 7, , 4
2020/4/9, 18, 10, , 6, , 3
2020/4/10, 22, 11, , 7, , 3
2020/4/11, 26, 14, , 5, , 4
2020/4/12, 33, 9, , 1, , 3
2020/4/13, 19, 7, , 4, , 2
2020/4/14, 12, 5, , 4, , 2
2020/4/15, 9, 9, , 1, , 2
2020/4/16, 12, 10, , 4, , 1
2020/4/17, 16, 15, , 6, , 1
2020/4/18, 30, 19, , 9, , 3
2020/4/19, 47, 12, , 3, , 1
2020/4/20, 24, 15, , 1, , 1
2020/4/21, 26, , , 5, , 2
2020/4/24, 15, 9, , 5, , 4
2020/4/25, 19, 5, , 3, , 2
2020/4/26, 8, 9, , 3, , 2
2020/4/27, 24, 14, , 5, , 2
2020/4/28, 39, 11, , 2, , 1
2020/4/29, 18, 14, , 4, , 2
2020/4/30, 26, 14, , 6, , 1
2020/5/1, 22, 14, , 7, , 2
2020/3/2, 17, 11, , 2, , 1
2020/3/3, 21, 11, , 7, , 1
2020/3/4, 23, 11, , 9, , 3
2020/3/5, 26, 13, , 8, , 3
2020/3/6, 30, 17, , 1, , 
2020/3/7, 31, 13, , 1, , 2
2020/3/8, 22, 15, , 3, , 2
2020/3/9, 32, 18, , 3, , 2
2020/3/10, 35, 14, , 5, , 2
2020/3/11, 24, 15, , 3, , 2
2020/3/12, 28, 16, , 4, , 3
2020/3/13, 28, 14, , 3, , 3
2020/3/14, 23, 12, , 3, , 3
2020/3/15, 24, 6, , 2, , 
2020/3/16, 17, 7, , 3, , 4
2020/3/17, 12, 7, , 1, , 4
2020/3/18, 11, 11, , 2, , 3
2020/3/19, 17, 29, , 5, , 
2020/3/20, 63, 13, , 6, , 3
2020/3/21, 32, 12, , 4, , 3
2020/3/22, 31, 6, , 1, , 3
2020/3/23, 14, 6, , 5, , 3
2020/3/24, 17, 8, , 4, , 3
2020/3/25, 18, , , , , 
2020/3/27, 23, 10, , 3, , 4
2020/3/28, 23, 15, , , , 3
2020/3/29, 22, 11, , 2, , 
2020/3/30, 15, 5, , 4, , 2
2020/3/31, 4, 4, , 4, , 3
2020/4/1, 3, 5, , 3, , 3
2020/2/2, 12, 10, , 3, , 2
2020/2/3, 16, 13, , 3, , 2
2020/2/4, 17, 15, , 4, , 
2020/2/5, 20, 15, , 7, , 3
2020/2/6, 33, 17, , 1, , 
2020/2/7, 37, 15, , 1, , 
2020/2/8, 33, 8, , 1, , 3
2020/2/9, 15, 8, , 2, , 
2020/2/10, 10, 19, , 3, , 
2020/2/11, 29, 24, , 3, , 
2020/2/12, 47, 11, , 3, , 
2020/2/13, 22, 14, , 4, , 
2020/2/14, 33, 16, , 3, , 4
2020/2/15, 31, 20, , 1, , 4
2020/2/16, 38, 13, , 1, , 2
2020/2/17, 27, 14, , 3, , 1
2020/2/18, 25, 21, , 4, , 1
2020/2/19, 30, 18, , 4, , 2
2020/2/20, 31, 13, , 5, , 2
2020/2/21, 30, 17, , 5, , 
2020/2/22, 40, 11, , 5, , 3
2020/2/23, 32, 12, , 4, , 2
2020/2/24, 44, 10, , 3, , 1
2020/2/25, 25, 10, , 4, , 3
2020/2/26, 30, 9, , 5, , 2
2020/2/27, 23, 6, , 3, , 2
2020/2/28, 20, 7, , 3, , 1
2020/2/29, 15, 12, , 1, , 1
2020/3/1, 20, 8, , 2, , 
2020/1/2, 30, , , , , 
2020/1/8, 29, 10, , 1, , 1
2020/1/9, 20, 10, , 1, , 2
2020/1/10, 18, 17, , 2, , 2
2020/1/11, 28, 17, , 3, , 1
2020/1/12, 27, 19, , 5, , 2
2020/1/13, 39, 19, , 2, , 1
2020/1/14, 31, 23, , 3, , 3
2020/1/15, 40, 23, , 2, , 2
2020/1/16, 39, 14, , 3, , 1
2020/1/17, 25, 20, , 1, , 2
2020/1/18, 34, 13, , 2, , 2
