date, pm25, pm10, o3, no2, co, so2
20-06-03,33, ,25,11, , 
20-06-04,13, ,22,10, , 
20-06-05,28, ,22,6, , 
20-06-06,33, ,22,6, , 
20-06-07,13, ,23,10, , 
20-06-08,44, ,22,8, , 
20-06-09,41, ,26,10, , 
20-06-10,36, ,24,3, , 
20-06-11,43, ,28,2, , 
20-06-12,11, , , , , 
20-05-19,23, ,30,5, , 
20-05-20,45, ,37,4, , 
20-05-21,69, ,23,13, , 
20-05-22,70, ,25,7, , 
20-05-23,36, ,24,3, , 
20-05-24,18, ,22,1, , 
20-05-25,30, ,32,1, , 
20-05-26,61, ,27,4, , 
20-05-27,11, ,27,3, , 
20-05-28,4, ,27,2, , 
20-05-29,6, ,27,1, , 
20-05-30,3, , , , , 
18-01-30,22,17,20,3,1, 
18-01-31,23,17,25,3,1, 
18-02-01,30,15,30,3, , 
18-02-02,30,11,26,5, , 
18-02-03,23,12,28,2,3, 
18-02-04,28,14,14, ,2, 
18-02-05,35, , , , , 
17-01-03,28, , , , , 
17-01-05,39, ,23,2, , 
17-01-06,46, ,19,1, , 
17-01-07,36, ,23,2, , 
17-01-08,32, ,30,2, , 
17-01-09,40, ,36,1, , 
17-01-10,41, ,36,3, , 
17-01-11,44, ,41,2, , 
17-01-12,40, ,22, , , 
17-01-13,33, ,30,3, , 
17-01-14,38, ,41,2, , 
17-01-15,45, ,28,4, , 
17-01-16,51, ,21,3, , 
17-01-17,39, ,26,3, , 
17-01-18,35, ,36,1, , 
17-01-19,33, ,21,3, , 
17-01-20,34, ,31,2, , 
17-01-21,34, ,30,3, , 
17-01-22,40, ,21, , , 
17-01-23,42, ,20,3, , 
17-01-24,26, ,33,2, , 
17-01-25,32, ,45,4, , 
17-01-26,44, ,44,4, , 
17-01-27,39, ,25,1, , 
17-01-28,50, ,36,2, , 
17-01-29,29, ,19,2, , 
17-01-30,42, ,13,2, , 
17-01-31,26, ,11,3, , 
17-02-01,12, ,26,2, , 
17-02-02,19, ,27,2, , 
17-02-03,25, ,26,4, , 
17-02-04,37, ,20,3, , 
17-02-05,35, , , , , 
17-02-07,30, ,22,7, , 
17-02-08,38, ,29,1, , 
17-02-09,27, ,17,2, , 
17-02-10,24, ,16,2, , 
17-02-11,11, ,18,1, , 
17-02-12,14, ,16, , , 
17-02-13,12, , , , , 
17-02-15,29, ,31,3, , 
17-02-16,26, ,31,2, , 
17-02-17,26, ,28,2, , 
17-02-18,28, ,31,2, , 
17-02-19,22, ,44,2, , 
17-02-20,26, ,22, , , 
17-02-21,37, ,22, , , 
17-02-22,26, ,24,4, , 
17-02-23,30, ,36,3, , 
17-02-24,25, ,39,4, , 
17-02-25,27, ,41,3, , 
17-02-26,25, ,26,1, , 
17-02-27,38, ,35,4, , 
17-02-28,26, ,25,4, , 
17-03-01,29, ,45,2, , 
17-03-02,39, ,33,4, , 
17-03-03,47, ,33,6, , 
17-03-04,50, ,40,4, , 
17-03-05,38, , , , , 
17-03-08,43, ,37,5, , 
17-03-09,39, ,29,2, , 
17-03-10,31, ,24,2, , 
17-03-11,16, ,28,1, , 
17-03-12,19, ,24,2, , 
17-03-13,29, ,25,1, , 
17-03-14,38, ,26, , , 
17-03-15,24, ,24,3, , 
17-03-16,40, ,36,3, , 
17-03-17,37, ,19,7, , 
17-03-18,42, ,20,1, , 
16-10-02,41, ,32, , , 
16-10-03,48, ,32, , , 
16-10-04,42, ,26,3, , 
16-10-05,24, ,27,2, , 
16-10-06,21, ,29,1, , 
16-10-07,32, ,27,1, , 
16-10-08,29, ,32,1, , 
16-10-09,28, ,34,3, , 
16-10-10,37, ,31,3, , 
