date, pm25, pm10, o3, no2, so2, co
2020/6/2, 34, 6, 13, 8, , 
2020/6/3, 13, 10, 20, 8, , 
2020/6/4, 18, 15, 18, 12, , 
2020/6/5, 21, 22, 9, 17, , 
2020/6/6, 43, 22, 16, 13, , 
2020/6/7, 58, 21, 17, 7, , 
2020/6/8, 65, 9, 18, 4, , 
2020/6/9, 19, 10, 18, 9, , 
2020/6/10, 18, 10, 9, 14, , 
2020/6/11, 21, 8, 19, 9, , 
2020/6/12, 15, , , , , 
2020/5/2, 6, 9, 21, 2, , 
2020/5/3, 11, 14, 19, 5, , 
2020/5/4, 23, 12, 18, 6, , 
2020/5/5, 21, 13, 16, 8, , 
2020/5/6, 17, 16, 15, 14, , 
2020/5/7, 32, 15, 12, 13, , 
2020/5/8, 34, 15, 18, 15, , 
2020/5/9, 22, 11, 17, 6, , 
2020/5/10, 16, 8, 20, 4, , 
2020/5/11, 15, 12, 17, 9, , 
2020/5/12, 19, 14, 15, 14, , 
2020/5/13, 31, 21, 7, 17, , 
2020/5/14, 38, 13, 16, 8, , 
2020/5/15, 26, 11, 16, 10, , 
2020/5/16, 19, 12, 15, 8, , 
2020/5/17, 28, 19, 17, 7, , 
2020/5/18, 61, 14, 12, 11, , 
2020/5/19, 35, 12, 12, 14, , 
2020/5/20, 24, 12, 14, 9, , 
2020/5/21, 20, 10, 13, 11, , 
2020/5/22, 16, 4, 15, 4, , 
2020/5/23, 9, 5, 16, 5, , 
2020/5/24, 11, 12, 20, 1, , 
2020/5/25, 11, 8, 20, 2, , 
2020/5/26, 11, 14, 18, 5, , 
2020/5/27, 17, 12, 17, 9, , 
2020/5/28, 16, 15, 12, 10, , 
2020/5/29, 33, 15, 7, 14, , 
2020/5/30, 25, 17, 17, 10, , 
2020/5/31, 39, 20, 12, 9, , 
2020/6/1, 40, 17, 17, 7, , 
2020/4/2, 17, 14, 11, 5, , 
2020/4/3, 21, 9, 16, 8, , 
2020/4/4, 14, 10, 19, 1, , 
2020/4/5, 10, 11, 17, 8, , 
2020/4/6, 12, 11, 16, 5, , 
2020/4/7, 14, 12, 18, 5, , 
2020/4/8, 13, 8, 18, 3, , 
2020/4/9, 13, 11, 16, 7, , 
2020/4/10, 10, 8, 14, 6, , 
2020/4/11, 18, 10, 20, 3, , 
2020/4/12, 11, 14, 19, 4, , 
2020/4/13, 21, 20, 25, 8, , 
2020/4/14, 40, 22, 26, 11, , 
2020/4/15, 43, 27, 32, 18, , 
2020/4/16, 49, 19, 17, 12, , 
2020/4/17, 37, 14, 22, 8, , 
2020/4/18, 12, 16, 22, 8, , 
2020/4/19, 22, 18, 22, 8, , 
2020/4/20, 36, 22, 8, 15, , 
2020/4/21, 37, 24, 20, 13, , 
2020/4/22, 31, 20, 21, 13, , 
2020/4/23, 28, 25, 23, 17, , 
2020/4/24, 33, 30, 19, 18, , 
2020/4/25, 36, 26, 33, 10, , 
2020/4/26, 36, 20, 19, 7, , 
2020/4/27, 29, 16, 16, 7, , 
2020/4/28, 16, 16, 18, 9, , 
2020/4/29, 20, 12, 14, 9, , 
2020/4/30, 16, 8, 12, 11, , 
2020/5/1, 13, 5, 18, 4, , 
2020/3/2, 22, 26, 34, 10, , 
2020/3/3, 26, 24, 18, 2, , 
2020/3/4, 20, 14, 16, 7, , 
2020/3/5, 12, 15, 16, 8, , 
2020/3/6, 17, 14, 19, 6, , 
2020/3/7, 17, 13, 18, 2, , 
2020/3/8, 13, 8, 15, 3, , 
2020/3/9, 8, 8, 15, 4, , 
2020/3/10, 7, 8, 14, 7, , 
2020/3/11, 11, 12, 15, 7, , 
2020/3/12, 14, 10, 17, 9, , 
2020/3/13, 11, 12, 17, 10, , 
2020/3/14, 17, 14, 20, 4, , 
2020/3/15, 14, 13, 16, 1, , 
2020/3/16, 16, 9, 13, 3, , 
2020/3/17, 10, 10, 15, 6, , 
2020/3/18, 13, 17, 20, 11, , 
2020/3/19, 20, 18, 34, 17, , 
2020/3/20, 16, 30, 28, 14, , 
2020/3/21, 32, 22, 20, 4, , 
2020/3/22, 19, 20, 30, 4, , 
2020/3/23, 24, 16, 16, 3, , 
2020/3/24, 16, 12, 16, 6, , 
2020/3/25, 14, 17, 20, 7, , 
2020/3/26, 18, 16, 17, 4, , 
2020/3/27, 17, 16, 16, 7, , 
2020/3/28, 16, 13, 18, 6, , 
2020/3/29, 19, 9, 17, 4, , 
2020/3/30, 10, 12, 11, 11, , 
2020/3/31, 15, 17, 22, 7, , 
2020/4/1, 22, 17, 20, 4, , 
2020/2/2, 33, 31, 25, 3, , 
2020/2/3, 46, 26, 35, 6, , 
2020/2/4, 39, 31, 19, 3, , 
2020/2/5, 53, 14, 17, 6, , 
2020/2/6, 13, 13, 12, 5, , 
2020/2/7, 11, 12, 19, 6, , 
2020/2/8, 10, 15, 17, 4, , 
2020/2/9, 11, 18, 15, 3, , 
2020/2/10, 12, 12, 23, 1, , 
2020/2/11, 10, 17, 33, 10, , 
2020/2/12, 23, 11, 12, 5, , 
2020/2/13, 13, 16, 13, 5, , 
2020/2/14, 21, 17, 14, 3, , 
2020/2/15, 15, 18, 19, 6, , 
2020/2/16, 21, 13, 16, 1, , 
2020/2/17, 14, 9, 9, 8, , 
2020/2/18, 11, 14, 34, 7, , 
2020/2/19, 22, 19, 25, 7, , 
2020/2/20, 11, 14, 19, 6, , 
2020/2/21, 15, 19, 17, 6, , 
2020/2/22, 22, 12, 14, 3, , 
2020/2/23, 15, 12, 17, 4, , 
2020/2/24, 11, 14, 19, 8, , 
2020/2/25, 12, 15, 23, 8, , 
2020/2/26, 18, 18, 26, 8, , 
2020/2/27, 20, 33, 18, 5, , 
2020/2/28, 30, 21, 22, 7, , 
2020/2/29, 22, 16, 19, 6, , 
2020/3/1, 16, 18, 25, 8, , 
2020/1/2, 73, 47, 17, 3, , 
2020/1/3, 79, 35, 28, 3, , 
2020/1/4, 61, 33, 75, 6, , 
2020/1/5, 51, 62, 24, 1, , 
2020/1/6, 108, 44, 18, 5, , 
2020/1/7, 66, 24, 25, 7, , 
2020/1/8, 48, 58, 51, 3, , 
2020/1/9, 120, 54, 22, 2, , 
2020/1/10, 129, 12, 31, 6, , 
2020/1/11, 25, 41, 19, 4, , 
2020/1/12, 68, 49, 16, 5, , 
2020/1/13, 94, 39, 15, 8, , 
2020/1/14, 87, 19, 16, 6, , 
2020/1/15, 27, 16, 16, 7, , 
2020/1/16, 22, 25, 29, 13, , 
2020/1/17, 52, 39, 24, 4, , 
2020/1/18, 85, 21, 23, 3, , 
2020/1/19, 46, 11, 21, 6, , 
2020/1/20, 23, 16, 26, 8, , 
2020/1/21, 20, 17, 34, 9, , 
2020/1/22, 25, 30, 27, 9, , 
2020/1/23, 29, 59, 39, 14, , 
2020/1/24, 46, 58, 21, 2, , 
2020/1/25, 76, 48, 23, 3, , 
2020/1/26, 44, 25, 44, 6, , 
2020/1/27, 33, 34, 29, 2, , 
2020/1/28, 58, 27, 26, 5, , 
2020/1/29, 36, 30, 25, 3, , 
2020/1/30, 50, 26, 30, 7, , 
2020/1/31, 42, 21, 26, 7, , 
2020/2/1, 30, 29, 56, 8, , 
2019/10/2, 22, 14, 21, 7, 1, 1
2019/10/3, 19, 15, 19, 17, 3, 2
2019/10/4, 40, 24, 28, 21, 4, 3
2019/10/5, 47, 28, 26, 11, 2, 2
2019/10/6, 34, 22, 22, 2, 1, 1
2019/10/7, 16, 10, 21, 5, 5, 2
2019/10/8, 31, 21, 20, 6, 1, 1
2019/10/9, 29, 9, 21, 4, , 
2019/10/10, 19, 13, 20, 7, , 1
2019/10/11, 19, 11, 21, 7, 1, 1
2019/10/12, 14, 8, 19, 3, , 1
2019/10/13, 15, 8, 20, 5, 1, 1
2019/10/14, 14, 11, 20, 9, 4, 2
2019/10/15, 26, 16, 17, 12, 4, 2
2019/10/16, 25, 20, 23, 8, 1, 3
2019/10/18, 30, 15, 25, 12, 4, 1
2019/10/19, 21, 17, 23, 9, 3, 1
2019/10/20, 27, 19, 23, 3, 1, 1
2019/10/21, 24, 15, 19, 9, 1, 3
2019/10/22, 23, 16, 23, 11, 2, 2
2019/10/23, 26, 15, 23, 9, 1, 2
2019/10/24, 21, 24, 33, 11, 2, 3
2019/10/25, 42, 32, 38, 17, 1, 3
2019/10/26, 59, 49, 28, 3, 2, 1
2019/10/27, 60, 31, 27, 4, 2, 
2019/10/28, 28, 18, 19, 9, 1, 2
2019/10/29, 22, 21, 34, 10, 2, 3
2019/10/30, 35, 40, 41, 19, 4, 5
2019/10/31, 73, 71, 46, 11, 1, 7
2019/11/1, 155, 49, 39, 7, 5, 4
2019/11/2, 106, 41, 35, 7, 3, 4
2019/11/3, 83, 39, 35, 10, 1, 3
2019/11/4, 73, 20, 29, 6, 1, 3
2019/11/5, 46, 12, 21, 4, 1, 1
2019/11/6, 16, 14, 32, 13, 2, 1
2019/11/7, 18, 25, 26, 7, , 1
2019/11/8, 28, 27, 22, 7, , 1
2019/11/9, 26, 17, 21, 3, 1, 
2019/11/10, 16, 10, 20, 3, 1, 1
2019/11/11, 16, 18, 34, 8, 4, 3
2019/11/12, 30, 61, 31, 10, 2, 6
2019/11/13, 130, 54, 24, 6, 1, 
2019/11/14, 56, 18, 24, 11, 5, 
2019/11/15, 22, 23, 39, 12, 3, 2
2019/11/16, 40, 32, 20, 2, 1, 1
2019/11/17, 47, 23, 19, 2, 1, 
2019/11/18, 32, 22, 26, 8, 2, 2
2019/11/19, 37, 42, 53, 14, 2, 6
2019/11/20, 84, 32, 19, 4, 1, 1
2019/11/21, 63, 39, 47, 12, 3, 7
2019/11/22, 75, 52, 19, 8, 1, 3
2019/11/23, 103, 35, 17, 3, 2, 1
2019/11/24, 47, 26, 19, 2, 2, 1
2019/11/25, 36, 24, 41, 9, 2, 2
2019/11/26, 42, 55, 35, 8, 1, 4
2019/11/27, 90, 65, 28, 6, 1, 1
2019/11/28, 66, 34, 36, 6, 1, 3
