date, pm25, pm10, o3, no2, so2, co
2020/6/2, 23, 6, 15, 8, 1, 1
2020/6/3, 15, 11, 18, 10, 1, 2
2020/6/4, 26, 14, 18, 10, 1, 3
2020/6/5, 20, 21, 11, 13, 1, 5
2020/6/6, 55, 23, 17, 9, 1, 6
2020/6/7, 68, 23, 16, 6, 1, 6
2020/6/8, 70, 8, 20, 4, 1, 2
2020/6/9, 18, 11, 15, 10, 1, 2
2020/6/10, 21, 11, 4, 14, 1, 4
2020/6/11, 27, 10, 19, 8, 1, 2
2020/6/12, 29, , , , , 
2020/5/2, 9, 8, 22, 1, , 1
2020/5/3, 16, 13, 21, 6, 1, 1
2020/5/4, 28, 17, 18, 9, 1, 3
2020/5/5, 36, 13, 16, 8, 1, 1
2020/5/6, 17, 15, 17, 9, 1, 3
2020/5/7, 30, 15, 14, 11, 1, 6
2020/5/8, 32, 12, 16, 6, 1, 
2020/5/9, 18, 12, 19, 2, 1, 1
2020/5/10, 16, 8, 21, 4, 1, 
2020/5/11, 17, 15, 17, 11, 1, 2
2020/5/12, 28, 16, 17, 14, 1, 4
2020/5/13, 35, 25, 5, 15, 1, 4
2020/5/14, 41, 20, 17, 9, 1, 4
2020/5/15, 37, 13, 15, 8, 1, 2
2020/5/16, 16, 13, 16, 6, 1, 2
2020/5/17, 30, 21, 17, 5, 1, 5
2020/5/18, 63, 18, 6, 11, 1, 5
2020/5/19, 41, 10, 15, 9, 1, 4
2020/5/20, 26, 10, 15, 6, 1, 2
2020/5/22, 18, 5, 16, 4, , 1
2020/5/23, 9, 7, 15, 5, , 1
2020/5/24, 15, 7, 21, 1, , 1
2020/5/25, 12, 8, 19, 3, , 
2020/5/26, 8, 11, 17, 6, , 1
2020/5/27, 13, 14, 14, 12, 1, 3
2020/5/28, 21, 17, 12, 10, 1, 4
2020/5/29, 37, 18, 5, 13, 1, 4
2020/5/30, 38, 16, 18, 5, 1, 6
2020/5/31, 45, 14, 14, 11, 1, 3
2020/6/1, 33, 11, 19, 5, 1, 4
2020/4/2, 20, 15, 15, 7, 1, 2
2020/4/3, 25, 7, 15, 2, 1, 1
2020/4/4, 13, 9, 20, 1, , 
2020/4/5, 14, 12, 19, 2, , 
2020/4/6, 12, 10, 16, 3, 1, 
2020/4/7, 12, 13, 17, 6, 1, 2
2020/4/8, 13, 13, 12, 10, 1, 2
2020/4/9, 14, 12, 15, 8, 1, 1
2020/4/10, 12, 8, 14, 4, 1, 2
2020/4/11, 17, 8, 21, 1, , 1
2020/4/12, 12, 13, 22, 5, , 1
2020/4/13, 22, 20, 26, 4, 2, 2
2020/4/14, 44, 22, 31, 9, 2, 2
2020/4/15, 37, 23, 29, 12, 1, 2
2020/4/16, 44, 17, 22, 9, 1, 1
2020/4/17, 27, 16, 21, 9, 1, 1
2020/4/18, 22, 20, 23, 8, 1, 1
2020/4/19, 27, 20, 25, 6, 1, 2
2020/4/20, 40, 17, 13, 8, 1, 2
2020/4/21, 32, 23, 18, 10, 1, 2
2020/4/22, 23, 21, 21, 10, 1, 1
2020/4/23, 23, 23, 22, 10, 1, 2
2020/4/24, 25, 27, 21, 11, 1, 1
2020/4/25, 25, 23, 33, 7, 1, 2
2020/4/26, 33, 18, 21, 3, 1, 1
2020/4/27, 23, 19, 10, 12, 1, 2
2020/4/28, 20, 16, 17, 7, 1, 2
2020/4/29, 23, 19, 19, 6, 2, 2
2020/4/30, 32, 8, 15, 8, 2, 4
2020/5/1, 19, 6, 19, 3, 1, 1
2020/3/2, 27, 28, 36, 7, 2, 2
2020/3/3, 27, 26, 17, 2, , 2
2020/3/4, 26, 15, 17, 6, , 1
2020/3/5, 13, 15, 15, 9, 2, 2
2020/3/6, 15, 14, 22, 6, 1, 1
2020/3/7, 21, 14, 19, 3, , 
2020/3/8, 13, 8, 16, 2, , 1
2020/3/9, 14, 10, 16, 5, 1, 1
2020/3/10, 11, 11, 16, 7, 1, 1
2020/3/11, 12, 14, 16, 5, 1, 2
2020/3/12, 17, 11, 18, 7, 1, 2
2020/3/13, 14, 12, 23, 7, 2, 2
2020/3/14, 14, 14, 14, 4, 1, 1
2020/3/15, 14, 12, 16, 2, 1, 
2020/3/16, 14, 10, 13, 4, 1, 
2020/3/17, 13, 11, 14, 6, 1, 2
2020/3/18, 13, 13, 25, 7, 2, 2
2020/3/19, 17, 17, 37, 8, 1, 1
2020/3/20, 18, 25, 30, 9, 1, 2
2020/3/21, 22, 23, 24, 4, 1, 1
2020/3/22, 24, 19, 31, 3, 1, 1
2020/3/23, 24, 19, 17, 5, 1, 1
2020/3/24, 16, 13, 16, 4, 1, 2
2020/3/25, 13, 17, 14, 8, 1, 2
2020/3/26, 19, 15, 17, 5, 1, 1
2020/3/27, 19, 16, 17, 7, 1, 1
2020/3/28, 17, 13, 19, 5, 1, 2
2020/3/29, 16, 9, 18, 3, 1, 1
2020/3/30, 16, 10, 15, 7, 1, 1
2020/3/31, 13, 16, 26, 6, 1, 1
2020/4/1, 18, 16, 13, 10, 1, 2
2020/2/2, 36, 36, 29, 5, 3, 3
2020/2/3, 58, 32, 38, 5, 1, 2
2020/2/4, 40, 35, 20, 3, 1, 3
