date, pm25, pm10, o3, no2, so2, co
2020/6/2, 18, 10, 15, 8, 1, 1
2020/6/3, 22, 13, 17, 10, 1, 2
2020/6/4, 29, 16, 18, 14, 1, 3
2020/6/5, 25, 23, 14, 14, 1, 4
2020/6/6, 52, 26, 18, 13, 1, 6
2020/6/7, 73, 26, 18, 6, 1, 5
2020/6/8, 81, 10, 20, 2, 1, 1
2020/6/9, 21, 11, 15, 10, 1, 1
2020/6/10, 20, 11, 6, 15, 1, 2
2020/6/11, 26, 11, 15, 8, 1, 1
2020/6/12, 22, 8, 12, 2, 1, 1
2020/6/13, 14, , , , , 
2020/5/2, 12, 7, 23, 2, , 
2020/5/3, 13, 11, 20, 6, 1, 1
2020/5/4, 24, 16, 17, 8, 1, 1
2020/5/5, 32, 16, 17, 9, 1, 1
2020/5/6, 21, 15, 18, 10, 1, 2
2020/5/7, 37, 16, 14, 9, 1, 1
2020/5/8, 27, 15, 21, 6, 1, 1
2020/5/9, 18, 13, 20, 1, 1, 1
2020/5/10, 13, 8, 21, 2, 1, 
2020/5/11, 12, 15, 17, 12, 1, 1
2020/5/12, 28, 18, 18, 11, 1, 2
2020/5/13, 41, 26, 6, 15, 1, 2
2020/5/14, 36, 16, 17, 8, 1, 2
2020/5/15, 20, 13, 15, 6, 1, 1
2020/5/16, 17, 14, 16, 8, 1, 2
2020/5/17, 27, 22, 17, 9, 1, 4
2020/5/18, 61, 14, 7, 12, 1, 2
2020/5/19, 34, 11, 15, 10, 1, 1
2020/5/20, 23, 11, 17, 6, 1, 1
2020/5/21, 23, 10, 14, 8, 1, 1
2020/5/22, 13, 5, 17, 4, 1, 
2020/5/23, 10, 6, 16, 4, 1, 1
2020/5/26, 19, 11, 18, 6, , 
2020/5/27, 13, 14, 17, 11, 1, 1
2020/5/28, 21, 15, 12, 12, 1, 4
2020/5/29, 33, 14, 9, 14, 1, 1
2020/5/30, 32, 16, 18, 6, 1, 3
2020/5/31, 46, 13, 15, 6, 1, 1
2020/6/1, 30, 10, 21, 3, 1, 2
2020/4/2, 21, 14, 16, 6, 1, 1
2020/4/3, 27, 8, 18, 3, 1, 1
2020/4/4, 15, 10, 21, , , 
2020/4/5, 8, 12, 19, 2, 1, 
2020/4/6, 15, 9, 16, 3, 1, 
2020/4/7, 14, 13, 17, 7, 1, 1
2020/4/8, 14, 12, 11, 11, 1, 1
2020/4/9, 19, 12, 16, 9, 1, 1
2020/4/10, 18, 9, 16, 5, 1, 1
2020/4/11, 18, 9, 22, 1, , 1
2020/4/12, 13, 13, 22, 5, 1, 1
2020/4/13, 23, 22, 28, 6, 2, 1
2020/4/14, 51, 24, 31, 12, 2, 1
2020/4/15, 49, 25, 29, 12, 1, 1
2020/4/16, 46, 19, 20, 5, 1, 1
2020/4/17, 25, 18, 22, 9, 1, 
2020/4/18, 22, 15, 23, 10, 1, 1
2020/4/19, 26, 19, 26, 8, 1, 1
2020/4/20, 41, 20, 14, 8, 1, 1
2020/4/21, 30, 22, 20, 9, 1, 1
2020/4/22, 26, 22, 20, 11, 1, 1
2020/4/23, 27, 26, 24, 12, 1, 1
2020/4/24, 36, 27, 22, 10, 1, 1
2020/4/25, 32, 29, 32, 11, 1, 2
2020/4/26, 46, 21, 22, 2, 1, 1
2020/4/27, 26, 20, 12, 12, 1, 1
2020/4/28, 26, 20, 18, 8, 1, 1
2020/4/29, 27, 23, 18, 5, 2, 1
2020/4/30, 49, 9, 18, 8, 1, 1
2020/5/1, 22, 5, 20, 2, 1, 
2020/3/2, 25, 28, 37, 9, 3, 
2020/3/3, 28, 27, 17, 4, , 
2020/3/4, 26, 16, 18, 7, 1, 1
2020/3/5, 19, 15, 17, 7, 3, 1
2020/3/6, 14, 12, 24, 5, 1, 1
2020/3/7, 19, 12, 20, 2, 1, 
2020/3/8, 14, 8, 16, 2, , 
2020/3/9, 9, 10, 16, 5, 1, 
2020/3/10, 15, 10, 17, 7, 1, 1
2020/3/11, 12, 11, 17, 6, 1, 1
2020/3/12, 13, 11, 19, 8, 1, 1
2020/3/13, 14, 11, 23, 9, 2, 1
2020/3/14, 12, 12, 14, 4, 4, 
2020/3/15, 16, 11, 16, 1, 2, 
2020/3/16, 13, 9, 14, 4, 1, 
2020/3/17, 12, 10, 14, 6, 1, 1
2020/3/18, 12, 13, 27, 7, 2, 1
2020/3/19, 17, 19, 36, 7, 1, 1
2020/3/20, 20, 26, 32, 7, 1, 1
2020/3/21, 21, 26, 25, 5, 1, 1
2020/3/22, 26, 20, 31, 3, 1, 1
2020/3/23, 25, 19, 18, 4, 1, 
2020/3/24, 18, 15, 16, 5, 1, 1
2020/3/25, 18, 18, 14, 6, 2, 1
2020/3/26, 22, 16, 15, 7, 1, 
2020/3/27, 18, 16, 17, 8, 5, 1
2020/3/28, 18, 15, 20, 5, 1, 1
2020/3/29, 18, 9, 18, 4, 1, 
2020/3/30, 13, 11, 17, 6, 1, 1
2020/3/31, 17, 16, 27, 5, 1, 1
2020/4/1, 22, 18, 17, 9, 1, 1
2020/2/2, 41, 37, 32, 6, 3, 2
2020/2/3, 53, 28, 38, 5, , 1
2020/2/4, 41, 36, 24, 2, 1, 1
2020/2/5, 63, 15, 24, 5, 4, 1
2020/2/6, 17, 11, 14, 5, , 
2020/2/7, 12, 7, 18, 4, , 
2020/2/8, 9, 10, 18, 2, , 
2020/2/9, 10, 9, 18, 1, , 
2020/2/10, 8, 10, 30, 4, 3, 1
2020/2/11, 14, 15, 46, 6, 2, 
2020/2/12, 21, 11, 15, 5, 3, 
2020/2/13, 14, 13, 11, 7, , 1
2020/2/14, 13, 17, 19, 4, , 2
2020/2/15, 12, 19, 35, 4, 1, 1
2020/2/16, 23, 12, 25, 1, 1, 
2020/2/17, 14, 10, 12, 6, 1, 1
2020/2/18, 12, 14, 43, 5, 2, 
2020/2/19, 18, 19, 27, 5, 1, 
2020/2/20, 13, 17, 23, 7, 1, 1
2020/2/21, 19, 24, 23, 6, 1, 
2020/2/22, 27, 15, 16, 3, 1, 
2020/2/23, 18, 13, 20, 3, 2, 1
2020/2/24, 14, 15, 27, 6, 2, 1
2020/2/25, 12, 15, 33, 8, 3, 1
2020/2/26, 17, 19, 28, 4, 1, 
2020/2/27, 17, 36, 24, 4, 2, 
2020/2/28, 31, 24, 27, 7, 1, 1
2020/2/29, 22, 20, 24, 4, 1, 
2020/3/1, 24, 21, 33, 8, 6, 1
2020/1/2, 89, 52, 30, 1, , 3
2020/1/3, 89, 43, 46, 1, , 1
2020/1/4, 75, 38, 59, 5, 2, 2
2020/1/5, 59, 65, 31, 1, 1, 3
2020/1/6, 106, 52, 20, 4, 1, 1
2020/1/7, 82, 24, 35, 5, 4, 2
2020/1/8, 48, 49, 62, 3, 1, 14
2020/1/9, 104, 57, 29, 2, 1, 8
2020/1/10, 137, 15, 47, 8, 7, 2
2020/1/11, 35, 46, 23, 5, 7, 2
2020/1/12, 78, 52, 15, 3, , 4
2020/1/13, 100, 49, 20, 7, , 3
2020/1/14, 108, 23, 25, 7, 1, 1
2020/1/15, 37, 18, 27, 6, 2, 1
