date, pm25, pm10, o3, no2, so2, co
2020/6/2, 21, 6, 13, 6, 1, 
2020/6/3, 16, 12, 20, 6, 1, 
2020/6/4, 12, 16, 19, 7, 1, 
2020/6/5, 22, 23, 8, 16, 1, 
2020/6/6, 34, 20, 16, 11, 1, 
2020/6/7, 45, 20, 18, 8, 1, 
2020/6/8, 52, 12, 18, 4, 1, 
2020/6/9, 15, 10, 20, 10, 1, 
2020/6/10, 23, 10, , , , 
2020/6/11, 17, 9, 22, 8, 1, 
2020/6/12, 19, , , , , 
2020/5/2, 16, 8, 22, 1, 1, 
2020/5/3, 16, 13, 20, 7, , 
2020/5/4, 24, 14, 21, 7, 2, 
2020/5/5, 21, 13, 18, 7, 1, 
2020/5/6, 14, 18, 16, 11, 2, 
2020/5/7, 33, 12, 15, 11, 1, 
2020/5/8, 28, 12, 19, 4, 1, 
2020/5/9, 26, 11, 18, 2, 1, 
2020/5/10, 17, 8, 21, 3, 1, 
2020/5/11, 20, 10, 19, 9, 1, 
2020/5/12, 19, 15, 20, 10, 1, 
2020/5/13, 25, 19, 10, 14, 2, 
2020/5/14, 32, 14, 21, 5, 1, 
2020/5/15, 28, 12, 16, 10, 1, 
2020/5/16, 22, 10, 19, 8, 1, 
2020/5/17, 22, 16, 20, 7, 1, 
2020/5/18, 43, 11, 19, 10, 1, 
2020/5/19, 22, 12, 19, 8, 1, 
2020/5/20, 19, 9, 15, 6, 1, 
2020/5/21, 20, 12, 14, 9, 1, 
2020/5/22, 26, 5, 16, 3, 2, 
2020/5/23, 12, 5, 17, 1, 4, 
2020/5/24, 10, 18, 20, 1, 4, 
2020/5/25, 23, 14, 20, 1, 4, 
2020/5/26, 19, 19, 23, 2, 1, 
2020/5/27, 23, 12, 17, 9, 1, 
2020/5/28, 19, 15, 16, 9, 1, 
2020/5/29, 27, 15, 5, 14, 2, 
2020/5/30, 35, 15, 20, 7, 1, 
2020/5/31, 41, 9, 13, 5, 2, 
2020/6/1, 21, 9, 18, 3, 1, 
2020/4/2, 23, 13, 22, 2, 1, 
2020/4/3, 28, 12, 22, 3, 1, 
2020/4/4, 19, 9, 21, 2, 2, 
2020/4/5, 20, 11, 19, 4, 1, 
2020/4/6, 23, 12, 19, 5, 1, 
2020/4/7, 12, 12, 21, 5, 1, 
2020/4/8, 11, 9, 21, 1, , 
2020/4/9, 15, 12, 19, 5, 1, 
2020/4/10, 21, 8, 14, 3, 2, 
2020/4/11, 15, 8, 22, 2, 1, 
2020/4/12, 17, 15, 21, 3, , 
2020/4/13, 19, 22, 28, 6, 2, 
2020/4/14, 39, 25, 27, 7, 2, 
2020/4/15, 37, 28, 35, 10, 4, 
2020/4/16, 48, 18, 23, 10, 1, 
2020/4/17, 38, 16, 23, 5, 1, 
2020/4/18, 35, 17, 24, 4, 1, 
2020/4/19, 22, 18, 24, 9, 1, 
2020/4/20, 34, 21, 8, 14, 1, 
2020/4/21, 42, 24, 21, 11, 2, 
2020/4/22, 27, 20, 25, 11, 1, 
2020/4/23, 34, 26, 26, 13, 2, 
2020/4/24, 35, 27, 26, 11, 1, 
2020/4/25, 31, 25, 33, 8, 2, 
2020/4/26, 42, 21, 21, 4, 1, 
2020/4/27, 27, 20, 21, 8, 3, 
2020/4/28, 19, 18, 21, 1, 1, 
2020/4/29, 20, 12, 18, 2, 2, 
2020/4/30, 19, 13, 16, 6, 5, 
2020/5/1, 19, 7, 19, 2, 1, 
2020/3/2, 19, 27, 35, 15, 3, 
2020/3/3, 42, 25, 21, 1, , 
2020/3/4, 28, 20, 20, 3, 1, 
2020/3/5, 24, 22, 19, 2, 1, 
2020/3/6, 19, 16, 23, 8, 1, 
2020/3/7, 25, 15, 20, 1, , 
2020/3/8, 24, 10, 17, 2, 1, 
2020/3/9, 16, 9, 19, 3, 1, 
2020/3/10, 24, 10, 17, 4, 1, 
2020/3/11, 14, 12, 17, 6, 1, 
2020/3/12, 22, 10, 19, 10, 1, 
2020/3/13, 17, 13, 20, 7, 1, 
2020/3/14, 18, 17, 21, 5, 3, 
2020/3/15, 29, 15, 17, 2, 1, 
2020/3/16, 24, 11, 15, 2, 1, 
2020/3/17, 20, 12, 17, 6, 1, 
2020/3/18, 22, 19, 22, 6, 6, 
2020/3/19, 19, 26, 42, 9, 2, 
2020/3/20, 30, 29, 31, 13, 1, 
2020/3/21, 32, 25, 22, 6, 1, 
2020/3/22, 26, 23, 32, 6, 1, 
2020/3/23, 27, 18, 19, , , 
2020/3/24, 32, 13, 19, 5, , 
2020/3/25, 15, 20, 22, 8, 2, 
2020/3/26, 23, 19, 20, 1, , 
2020/3/27, 25, 22, 20, , , 
2020/3/28, 22, 15, 19, 6, 1, 
2020/3/29, 33, 13, 19, 4, 1, 
2020/3/30, 16, 12, 14, 10, 1, 
2020/3/31, 23, 19, 25, 11, 1, 
2020/4/1, 29, 20, 23, , , 
2020/2/2, 34, 34, 28, 2, 1, 
2020/2/3, 50, 25, 35, 4, 1, 
2020/2/4, 42, 29, 18, 2, 2, 
2020/2/5, 52, 15, 19, 5, 1, 
