date, pm25, pm10, o3, no2, so2, co
2020/6/2, 14, 6, 15, 6, , 1
2020/6/3, 10, 11, 20, 6, , 1
2020/6/4, 15, 15, 17, 13, 1, 2
2020/6/5, 17, 22, 8, 19, 1, 4
2020/6/6, 46, 21, 15, 14, 1, 5
2020/6/7, 54, 31, 18, 8, 1, 4
2020/6/8, 62, , 19, 3, 1, 
2020/6/9, 16, 5, 20, 10, 1, 2
2020/6/10, 18, , , , , 
2020/6/11, 22, , 19, 9, 1, 2
2020/6/12, 21, , , , , 
2020/5/2, 8, 8, 22, 1, , 1
2020/5/3, 12, 12, 20, 5, , 1
2020/5/4, 22, 13, 19, 7, 1, 1
2020/5/5, 19, 12, 15, 9, 1, 1
2020/5/6, 17, 15, 16, 13, 1, 2
2020/5/7, 29, 12, 15, 11, 1, 2
2020/5/8, 26, 12, 19, 7, 1, 2
2020/5/9, 23, 11, 19, 2, 1, 1
2020/5/10, 13, 8, 21, 3, 1, 1
2020/5/11, 12, 12, 17, 12, 1, 2
2020/5/12, 16, 16, 18, 12, 2, 3
2020/5/13, 32, 18, 7, 17, 1, 2
2020/5/14, 29, 15, 15, 10, 1, 2
2020/5/15, 28, 10, 15, 11, , 1
2020/5/16, 16, 12, 13, 12, 1, 3
2020/5/17, 24, 19, 16, 12, 1, 4
2020/5/18, 56, 13, 10, 14, 1, 4
2020/5/19, 36, 11, 14, 12, 1, 3
2020/5/20, 20, 9, 17, 6, 1, 1
2020/5/21, 15, 9, 14, 8, 1, 2
2020/5/22, 16, 4, 15, 6, , 1
2020/5/23, 7, 5, 15, 4, , 2
2020/5/24, 11, 11, 21, 1, 1, 1
2020/5/25, 12, 8, 20, 3, 1, 1
2020/5/26, 9, 14, 18, 7, 1, 
2020/5/27, 12, 12, 15, 12, 1, 2
2020/5/28, 17, 16, 11, 13, 1, 5
2020/5/29, 32, 14, 5, 15, 1, 3
2020/5/30, 26, 16, 19, 9, 1, 4
2020/5/31, 36, 9, 15, 5, 1, 
2020/6/1, 17, 9, 20, 3, 1, 1
2020/4/2, 23, 14, 15, 9, 2, 2
2020/4/3, 21, 10, 16, 8, 1, 2
2020/4/4, 17, 7, 20, 1, 1, 1
2020/4/5, 15, 11, 19, 3, , 1
2020/4/6, 12, 11, 15, 6, , 1
2020/4/7, 16, 13, 15, 10, 1, 1
2020/4/8, 13, 9, 17, 7, , 1
2020/4/9, 13, 11, 15, 10, 1, 2
2020/4/10, 11, 6, 15, 4, 3, 2
2020/4/11, 10, 7, 21, 1, , 1
2020/4/12, 12, 14, 20, 7, 1, 1
2020/4/13, 19, 19, 26, 8, 1, 2
2020/4/14, 37, 23, 25, 12, 1, 3
2020/4/15, 38, 29, 29, 18, 3, 3
2020/4/16, 48, 17, 23, 10, 1, 1
2020/4/17, 31, 14, 22, 5, , 1
2020/4/18, 20, 16, 23, 7, 1, 2
2020/4/19, 15, 19, 22, 11, 1, 2
2020/4/20, 33, 16, 11, 13, 1, 1
2020/4/21, 32, 20, 20, 13, 1, 2
2020/4/22, 24, 20, 20, 15, 1, 2
2020/4/23, 24, 24, 24, 14, 2, 2
2020/4/24, 33, 26, 22, 16, 1, 2
2020/4/25, 30, 25, 34, 11, 2, 3
2020/4/26, 42, 17, 22, 3, 1, 1
2020/4/27, 21, 19, 20, 8, 1, 1
2020/4/28, 18, 18, 18, 7, 1, 1
2020/4/29, 17, 11, 18, 7, 2, 
2020/4/30, 14, 11, 15, 9, 1, 1
2020/5/1, 13, 6, 20, 2, 1, 
2020/3/2, 22, 26, 37, 9, 3, 2
2020/3/3, 31, 24, 19, 2, , 2
2020/3/4, 23, 16, 18, 6, , 1
2020/3/5, 14, 16, 19, 6, 3, 2
2020/3/6, 16, 15, 20, 5, 1, 1
2020/3/7, 22, 13, 20, 3, , 2
2020/3/8, 17, 8, 15, 6, , 2
2020/3/9, 8, 8, 13, 7, 3, 2
2020/3/10, 10, 9, 14, 9, 1, 2
2020/3/11, 10, 11, 13, 7, 1, 2
2020/3/12, 16, 10, 15, 7, 1, 2
2020/3/13, 12, 13, 14, 9, 2, 2
2020/3/14, 15, 14, 19, 4, 4, 1
2020/3/15, 19, 13, 17, 2, 1, 1
2020/3/16, 12, 9, 13, 6, 1, 2
2020/3/17, 13, 10, 14, 6, , 2
2020/3/18, 10, 16, 20, 9, 4, 3
2020/3/19, 19, 23, 34, 15, 3, 3
2020/3/20, 23, 25, 32, 13, 1, 2
2020/3/21, 28, 22, 20, 4, 1, 2
2020/3/22, 27, 19, 31, 3, 1, 2
2020/3/23, 23, 16, 16, 5, , 1
2020/3/24, 18, 11, 16, 4, , 1
2020/3/25, 9, 17, 9, 12, 2, 2
2020/3/26, 23, 16, 17, 7, , 1
2020/3/27, 22, 18, 17, 11, 1, 1
2020/3/28, 20, 15, 14, 9, 1, 2
2020/3/29, 24, 10, 18, 4, 2, 
2020/3/30, 10, 10, 15, 8, 1, 2
2020/3/31, 13, 16, 21, 8, 2, 2
2020/4/1, 17, 18, 20, 8, 2, 2
2020/2/2, 38, 33, 28, 3, 2, 3
2020/2/3, 53, 26, 35, 8, 1, 3
2020/2/4, 41, 30, 19, 3, , 3
2020/2/5, 56, 11, 15, 4, 1, 1
2020/2/6, 9, 11, 14, 6, 1, 
2020/2/7, 17, 12, 21, 5, , 1
2020/2/8, 17, 16, 20, 2, , 2
2020/2/9, 19, 19, 16, 4, 1, 1
2020/2/10, 15, 15, 22, 8, 1, 
2020/2/11, 16, 17, 33, 7, 3, 2
2020/2/12, 17, 10, 12, 7, 1, 
2020/2/13, 12, 16, 9, 9, , 
2020/2/14, 23, 18, 15, 6, 1, 1
2020/2/15, 16, 18, 23, 6, 1, 2
2020/2/16, 24, 13, 20, 2, 1, 1
2020/2/17, 16, 10, 10, 8, 1, 2
2020/2/18, 14, 15, 35, 9, 3, 2
2020/2/19, 18, 20, 27, 5, , 1
2020/2/20, 14, 15, 21, 5, 1, 1
2020/2/21, 19, 20, 18, 6, 1, 1
2020/2/22, 19, 13, 14, 6, , 2
2020/2/23, 15, 12, 19, 2, 1, 1
2020/2/24, 9, 15, 20, 6, 3, 2
2020/2/25, 14, 16, 19, 7, 4, 2
2020/2/26, 19, 18, 28, 4, 2, 1
2020/2/27, 17, 34, 19, 4, 1, 1
2020/2/28, 33, 23, 23, 7, 1, 1
2020/2/29, 22, 17, 17, 5, 2, 2
2020/3/1, 18, 18, 25, 4, 5, 2
2020/1/2, 76, 40, 19, 2, 1, 4
2020/1/3, 70, 31, 22, 4, 1, 2
2020/1/4, 53, 33, 63, 12, 3, 6
2020/1/5, 51, 61, 26, 1, 1, 4
2020/1/6, 108, 42, 15, 6, 1, 2
2020/1/7, 63, 22, 27, 7, 2, 3
2020/1/8, 41, 56, 55, 4, , 21
2020/1/9, 120, 53, 24, 3, 1, 8
2020/1/10, 131, 12, 34, 5, 3, 4
2020/1/11, 26, 38, 22, 2, 3, 4
2020/1/12, 70, 47, 18, 4, 1, 4
2020/1/13, 95, 36, 14, 6, 1, 3
2020/1/14, 86, 18, 15, 6, 1, 2
2020/1/15, 23, 14, 16, 6, 1, 2
2020/1/16, 17, 26, 30, 12, 1, 4
2020/1/17, 55, 37, 26, 4, , 7
2020/1/18, 85, 19, 25, 3, 1, 4
2020/1/19, 50, 11, 21, 6, 1, 3
2020/1/20, 20, 16, 24, 11, 3, 3
2020/1/21, 19, 19, 36, 6, 1, 2
2020/1/22, 26, 28, 37, 7, 1, 3
2020/1/23, 21, 55, 41, 11, 3, 3
2020/1/24, 54, 59, 23, 6, 1, 4
2020/1/25, 93, 48, 21, 8, , 3
2020/1/26, 46, 22, 45, 6, 2, 2
2020/1/27, 48, 33, 32, 2, 1, 3
2020/1/28, 55, 26, 22, 8, 4, 2
2020/1/29, 35, 30, 27, 4, 1, 2
2020/1/30, 56, 24, 25, 8, 1, 2
2020/1/31, 43, 19, 23, 5, 3, 2
2020/2/1, 28, 28, 51, 8, 2, 3
2019/10/2, 26, 15, 18, 12, 3, 2
2019/10/3, 18, 23, 30, 19, 4, 3
2019/10/4, 36, 26, 27, 8, 2, 2
2019/10/5, 38, 23, 21, 3, 1, 1
2019/10/6, 39, 10, 22, 4, 5, 2
2019/10/7, 14, 23, 23, 3, 1, 2
2019/10/8, 35, 23, 19, 6, 1, 1
2019/10/9, 33, 10, 20, 4, , 
2019/10/10, 17, 14, 20, 6, , 1
2019/10/11, 15, 9, 17, 6, 1, 1
2019/10/12, 14, 7, 18, 3, , 1
2019/10/13, 15, 8, 18, 5, 1, 1
2019/10/14, 13, 9, 19, 8, 4, 2
2019/10/15, 8, 16, 22, 11, 4, 2
2019/10/16, 20, 22, 22, 10, 1, 3
2019/10/17, 32, 22, 27, 7, 2, 2
2019/10/18, 39, 15, 25, 7, 4, 1
2019/10/19, 20, 16, 23, 6, 3, 1
2019/10/20, 19, 18, 22, 2, 1, 1
2019/10/21, 26, 15, 21, 6, 1, 3
2019/10/22, 23, 15, 22, 11, 2, 2
2019/10/23, 23, 15, 23, 7, 1, 2
2019/10/24, 25, 26, 32, 11, 2, 3
2019/10/25, 48, 33, 35, 16, 1, 3
2019/10/26, 63, 52, 29, 2, 2, 1
2019/10/27, 61, 31, 22, 5, 2, 
2019/10/28, 28, 18, 18, 8, 1, 2
2019/10/29, 18, 21, 27, 10, 2, 3
2019/10/30, 31, 43, 41, 17, 4, 5
2019/10/31, 80, 68, 36, 11, 1, 7
2019/11/1, 154, 49, 32, 6, 5, 4
2019/11/2, 104, 43, 32, 5, 3, 4
2019/11/3, 83, 42, 26, 10, 1, 3
2019/11/4, 73, 22, 27, 5, 1, 3
2019/11/5, 51, 11, 21, 4, 1, 1
2019/11/6, 18, 14, 31, 10, 2, 1
2019/11/7, 21, 22, 25, 4, , 1
2019/11/8, 25, 27, 23, 2, , 1
2019/11/9, 26, 16, 21, 2, 1, 
2019/11/10, 19, 10, 21, 2, 1, 1
2019/11/11, 14, 17, 34, 5, 4, 3
2019/11/12, 24, 57, 32, 7, 2, 6
2019/11/13, 124, 50, 23, 4, 1, 
2019/11/14, 57, 16, 25, 8, 5, 
2019/11/15, 27, 24, 40, 11, 3, 2
2019/11/16, 40, 34, 19, 2, 1, 1
2019/11/17, 51, 23, 20, 2, 1, 
2019/11/18, 35, 21, 25, 5, 2, 2
2019/11/19, 33, 48, 58, 16, 2, 6
2019/11/20, 106, 36, 19, 4, 1, 1
2019/11/21, 79, 42, 42, 8, 3, 7
2019/11/22, 84, 56, 19, 7, 1, 3
2019/11/23, 110, 36, 17, 4, 2, 1
2019/11/24, 52, 26, 20, 2, 2, 1
2019/11/25, 44, 25, 28, 4, 2, 2
2019/11/26, 44, 56, 38, 5, 1, 4
2019/11/27, 93, 62, 24, 5, 1, 1
2019/11/28, 68, 30, 34, 7, 1, 3
2019/11/29, 50, 57, 50, 10, 6, 4
2019/11/30, 85, 53, 24, 6, 1, 3
2019/12/1, 94, 27, 19, 5, 1, 2
2019/12/2, 43, 34, 25, 5, 1, 4
2019/12/3, 67, 52, 49, 8, 1, 4
2019/12/4, 136, 56, 62, 8, 2, 5
2019/12/5, 145, 56, 43, 9, 2, 6
