,Adelaide,Brisbane,Melbourne,Perth,Sydney
2019-08-01,5.0,35.77777777777778,33.25,42.666666666666664,25.142857142857142
2019-08-02,5.0,18.0,39.5,35.333333333333336,28.307692307692307
2019-08-03,7.0,16.11111111111111,23.5,21.0,37.84615384615385
2019-08-04,7.333333333333333,18.22222222222222,20.0,36.333333333333336,46.5
2019-08-05,7.0,33.888888888888886,21.125,21.0,45.0
2019-08-06,5.0,30.88888888888889,25.125,31.333333333333332,43.92857142857143
2019-08-07,5.666666666666667,33.44444444444444,17.625,22.333333333333332,51.07692307692308
2019-08-08,9.333333333333334,40.333333333333336,18.75,29.333333333333332,44.285714285714285
2019-08-09,7.333333333333333,30.88888888888889,19.0,35.333333333333336,38.857142857142854
2019-08-10,7.333333333333333,25.88888888888889,12.875,38.666666666666664,18.142857142857142
2019-08-11,4.666666666666667,21.11111111111111,19.625,28.666666666666668,15.5
2019-08-12,6.666666666666667,31.22222222222222,17.714285714285715,12.333333333333334,10.076923076923077
2019-08-13,7.666666666666667,20.77777777777778,21.571428571428573,14.666666666666666,15.692307692307692
2019-08-14,8.333333333333334,30.555555555555557,15.75,34.333333333333336,31.357142857142858
2019-08-15,5.666666666666667,36.55555555555556,21.75,25.666666666666668,41.357142857142854
2019-08-16,3.6666666666666665,36.111111111111114,16.0,20.333333333333332,61.285714285714285
2019-08-17,5.0,39.55555555555556,16.142857142857142,27.0,44.285714285714285
2019-08-18,8.333333333333334,47.666666666666664,20.375,20.0,33.07142857142857
2019-08-19,6.5,44.44444444444444,17.25,47.333333333333336,44.92857142857143
2019-08-20,5.333333333333333,33.55555555555556,13.75,42.666666666666664,29.785714285714285
2019-08-21,4.666666666666667,31.444444444444443,17.25,34.666666666666664,16.642857142857142
2019-08-22,6.0,25.555555555555557,14.875,28.333333333333332,16.571428571428573
2019-08-23,4.666666666666667,15.666666666666666,25.625,30.333333333333332,14.75
2019-08-24,6.333333333333333,29.333333333333332,35.0,18.0,36.07692307692308
2019-08-25,5.666666666666667,31.77777777777778,23.5,26.666666666666668,53.07142857142857
2019-08-26,6.0,34.666666666666664,19.125,27.666666666666668,47.142857142857146
2019-08-27,8.0,33.888888888888886,25.625,22.666666666666668,26.785714285714285
2019-08-28,6.333333333333333,31.22222222222222,32.125,25.333333333333332,18.785714285714285
2019-08-29,6.666666666666667,23.444444444444443,21.375,27.666666666666668,24.0
2019-08-30,8.333333333333334,29.11111111111111,24.25,38.666666666666664,28.714285714285715
2019-08-31,6.0,34.666666666666664,30.875,21.666666666666668,16.214285714285715
2019-09-01,5.0,20.333333333333332,42.857142857142854,23.666666666666668,15.285714285714286
2019-09-02,7.333333333333333,26.22222222222222,18.428571428571427,25.333333333333332,27.214285714285715
2019-09-03,6.333333333333333,24.0,20.0,22.666666666666668,29.285714285714285
2019-09-04,9.666666666666666,28.88888888888889,20.571428571428573,18.333333333333332,31.714285714285715
2019-09-05,9.333333333333334,37.666666666666664,31.125,17.666666666666668,29.928571428571427
2019-09-06,8.333333333333334,41.0,30.25,20.666666666666668,25.428571428571427
2019-09-07,7.0,51.111111111111114,27.125,28.0,33.714285714285715
2019-09-08,3.3333333333333335,83.0,18.25,39.0,24.0
2019-09-09,6.333333333333333,51.111111111111114,19.25,36.666666666666664,13.416666666666666
2019-09-10,8.0,23.11111111111111,24.625,32.666666666666664,14.416666666666666
2019-09-11,8.0,50.44444444444444,24.25,44.666666666666664,20.666666666666668
2019-09-12,7.0,50.666666666666664,28.428571428571427,30.333333333333332,28.714285714285715
2019-09-13,11.0,24.555555555555557,20.285714285714285,31.0,30.571428571428573
2019-09-14,5.0,26.75,25.857142857142858,30.666666666666668,33.142857142857146
2019-09-15,9.333333333333334,55.25,29.375,32.333333333333336,37.785714285714285
2019-09-16,4.333333333333333,59.0,31.375,28.0,39.5
2019-09-17,6.0,37.125,21.857142857142858,27.666666666666668,32.785714285714285
2019-09-18,5.0,43.55555555555556,20.571428571428573,40.333333333333336,22.142857142857142
2019-09-19,4.0,41.55555555555556,22.5,22.0,17.214285714285715
2019-09-20,7.333333333333333,40.44444444444444,24.75,15.0,20.428571428571427
2019-09-21,10.333333333333334,46.0,21.25,25.666666666666668,26.5
2019-09-22,3.6666666666666665,37.55555555555556,29.875,19.666666666666668,30.0
2019-09-23,3.3333333333333335,18.555555555555557,16.0,18.666666666666668,46.57142857142857
2019-09-24,4.0,34.111111111111114,14.0,16.0,30.142857142857142
2019-09-25,4.0,34.111111111111114,18.571428571428573,22.666666666666668,19.5
2019-09-26,5.0,26.0,15.625,33.666666666666664,24.23076923076923
