date, pm25, pm10, o3, no2, so2, co
2020/6/2, 29, 13, , , , 
2020/6/3, 15, 13, , , , 
2020/6/4, 20, 17, , , , 
2020/6/5, 31, 13, , , , 
2020/6/6, 25, 16, , , , 
2020/6/7, 37, 15, , , , 
2020/6/8, 38, 17, , , , 
2020/6/9, 38, 13, , , , 
2020/6/10, 26, 10, , , , 
2020/6/11, 20, 10, , , , 
2020/6/12, 19, , , , , 
2020/5/2, 16, 15, , , , 
2020/5/3, 18, 9, , , , 
2020/5/4, 12, 13, , , , 
2020/5/5, 23, 16, , , , 
2020/5/6, 28, 15, , , , 
2020/5/7, 25, 15, , , , 
2020/5/8, 27, 15, , , , 
2020/5/9, 28, 13, , , , 
2020/5/10, 28, 13, , , , 
2020/5/11, 23, 15, , , , 
2020/5/12, 19, 15, , , , 
2020/5/13, 24, 13, , , , 
2020/5/14, 23, 15, , , , 
2020/5/15, 31, 13, , , , 
2020/5/16, 22, 8, , , , 
2020/5/17, 13, 9, , , , 
2020/5/18, 16, 11, , , , 
2020/5/19, 16, 12, , , , 
2020/5/20, 19, 14, , , , 
2020/5/21, 24, 12, , , , 
2020/5/22, 26, 9, , , , 
2020/5/23, 13, 7, , , , 
2020/5/24, 12, 7, , , , 
2020/5/25, 13, 10, , , , 
2020/5/26, 21, 12, , , , 
2020/5/27, 27, 15, , , , 
2020/5/28, 27, 17, , , , 
2020/5/29, 35, 15, , , , 
2020/5/30, 31, 11, , , , 
2020/5/31, 22, 10, , , , 
2020/6/1, 21, 14, , , , 
2020/4/2, 21, 14, , , , 
2020/4/3, 22, 10, , , , 
2020/4/4, 18, 10, , , , 
2020/4/5, 19, 32, , , , 
2020/4/6, 38, 17, , , , 
2020/4/7, 26, 14, , , , 
2020/4/8, 19, 10, , , , 
2020/4/9, 14, 12, , , , 
2020/4/10, 16, 8, , , , 
2020/4/11, 15, 11, , , , 
2020/4/12, 19, 14, , , , 
2020/4/13, 21, 15, , , , 
2020/4/14, 26, 14, , , , 
2020/4/15, 24, 13, , , , 
2020/4/16, 24, 12, , , , 
2020/4/17, 20, 13, , , , 
2020/4/18, 22, 20, , , , 
2020/4/19, 34, 16, , , , 
2020/4/20, 32, 16, , , , 
2020/4/21, 29, 17, , , , 
2020/4/22, 25, 22, , , , 
2020/4/23, 44, 18, , , , 
2020/4/24, 30, 19, , , , 
2020/4/25, 37, 16, , , , 
2020/4/26, 35, 14, , , , 
2020/4/27, 31, 13, , , , 
2020/4/28, 25, 10, , , , 
