date, pm25, pm10, o3, no2, so2, co
2020/6/2, 29, 9, 9, , , 
2020/6/3, 11, 8, 8, , , 
2020/6/4, 17, 13, 9, , , 
2020/6/5, 29, 12, 9, , , 
2020/6/6, 27, 18, 10, , , 
2020/6/7, 46, 16, 9, , , 
2020/6/8, 48, 11, 9, , , 
2020/6/9, 31, 9, 9, , , 
2020/6/10, 23, 7, 6, , , 
2020/6/11, 18, 9, 8, , , 
2020/6/12, 20, , , , , 
2020/5/2, 21, 14, 10, , , 
2020/5/3, 23, 12, 9, , , 
2020/5/4, 30, 15, 11, , , 
2020/5/5, 37, 14, 9, , , 
2020/5/6, 26, 13, 7, , , 
2020/5/7, 22, 12, 7, , , 
2020/5/8, 22, 18, 8, , , 
2020/5/9, 35, 13, 10, , , 
2020/5/10, 37, 11, 9, , , 
2020/5/11, 19, 13, 10, , , 
2020/5/12, 22, 13, 9, , , 
2020/5/13, 19, 10, 8, , , 
2020/5/14, 22, 13, 8, , , 
2020/5/15, 30, 11, 9, , , 
2020/5/16, 22, 5, 9, , , 
2020/5/17, 8, 6, 9, , , 
2020/5/18, 15, 8, 8, , , 
2020/5/19, 9, 8, 8, , , 
2020/5/20, 13, 10, 3, , , 
2020/5/21, 19, 8, 5, , , 
2020/5/22, 21, 5, 7, , , 
2020/5/23, 14, 7, 9, , , 
2020/5/24, 24, 5, 8, , , 
2020/5/25, 14, 6, 8, , , 
2020/5/26, 16, 20, 9, , , 
2020/5/27, 38, 12, 7, , , 
2020/5/28, 27, 24, 8, , , 
2020/5/29, 50, 15, 9, , , 
2020/5/30, 36, 11, 9, , , 
2020/5/31, 26, 9, 8, , , 
2020/6/1, 26, 11, 6, , , 
2020/4/2, 22, 18, 7, , , 
2020/4/3, 47, 9, 8, , , 
2020/4/4, 14, 9, 7, , , 
2020/4/5, 22, 30, 11, , , 
2020/4/6, 36, 17, 11, , , 
2020/4/7, 30, 15, 10, , , 
2020/4/8, 29, 9, 8, , , 
2020/4/9, 11, 9, 8, , , 
2020/4/10, 17, 5, 7, , , 
2020/4/11, 14, 10, 11, , , 
2020/4/12, 28, 15, 11, , , 
2020/4/13, 32, 14, 10, , , 
2020/4/14, 28, 14, 9, , , 
2020/4/15, 25, 13, 8, , , 
2020/4/16, 25, 11, 8, , , 
2020/4/17, 22, 14, 10, , , 
2020/4/18, 27, 19, 7, , , 
2020/4/19, 45, 15, 9, , , 
2020/4/20, 43, 23, 11, , , 
2020/4/21, 48, 19, 14, , , 
2020/4/22, 41, 22, 14, , , 
2020/4/23, 48, 21, 10, , , 
2020/4/24, 43, 23, 12, , , 
2020/4/25, 52, 22, 12, , , 
2020/4/26, 57, 16, 11, , , 
2020/4/27, 44, 17, 10, , , 
2020/4/28, 33, 8, 7, , , 
2020/4/29, 17, 13, 7, , , 
2020/4/30, 22, 17, 9, , , 
2020/5/1, 33, 9, 10, , , 
2020/3/2, 26, 12, 2, , , 
2020/3/3, 22, , , , , 
2020/3/5, 17, 16, 8, , , 
2020/3/6, 21, 11, 7, , , 
2020/3/7, 16, 10, 10, , , 
2020/3/8, 26, 13, 8, , , 
2020/3/9, 16, 7, 6, , , 
2020/3/10, 14, 4, 6, , , 
