date, pm25, pm10, o3, no2, so2, co
2020/6/2, 39, 13, 11, 1, , 
2020/6/3, 26, 11, 10, 3, , 
2020/6/4, 26, 16, 10, 5, , 
2020/6/5, 40, 15, 10, 5, , 
2020/6/6, 37, 13, 12, 4, , 
2020/6/7, 41, 22, 11, 3, , 
2020/6/8, 75, 16, 10, 4, , 
2020/6/9, 48, 11, 10, 3, , 
2020/6/10, 26, 7, 7, 3, , 
2020/6/11, 21, 6, 3, , , 
2020/6/12, 15, , , , , 
2020/5/2, 18, 12, 11, 1, , 
2020/5/3, 23, 9, 10, 1, , 
2020/5/4, 18, 11, 11, 1, , 
2020/5/5, 26, 12, 11, 3, , 
2020/5/6, 28, 10, 10, 2, , 
2020/5/7, 19, 12, 8, 5, , 
2020/5/8, 20, 13, 10, 5, , 
2020/5/9, 31, 14, 12, 3, , 
2020/5/10, 47, , 10, 1, , 
2020/5/12, 17, 11, 9, 2, , 
2020/5/13, 18, 12, 9, 3, , 
2020/5/14, 31, 14, 9, 5, , 
2020/5/15, 34, 9, 10, 2, , 
2020/5/16, 23, 6, 10, , , 
2020/5/17, 13, 7, 11, 1, , 
2020/5/18, 15, 9, 10, 2, , 
2020/5/19, 15, 9, 9, 3, , 
2020/5/20, 16, 13, 3, 5, , 
2020/5/21, 32, 9, 6, 3, , 
2020/5/22, 27, 7, 8, 1, , 
2020/5/23, 18, 7, 10, , , 
2020/5/24, 28, 5, 9, , , 
2020/5/25, 14, 9, 9, 4, , 
2020/5/26, 24, 10, 10, 5, , 
2020/5/27, 32, 15, 9, 7, , 
2020/5/28, 40, 16, 11, 7, , 
2020/5/29, 43, 16, 10, 5, , 
2020/5/30, 42, 11, 10, 3, , 
2020/5/31, 27, 10, 9, 2, , 
2020/6/1, 30, 13, 7, 4, , 
2020/4/2, 25, 8, 10, 2, , 
2020/4/3, 20, 9, 12, 2, , 
2020/4/4, 24, 7, 8, 1, , 
2020/4/5, 20, 27, 13, 1, , 
2020/4/6, 36, 12, 14, 2, , 
2020/4/7, 24, 10, 11, 1, , 
2020/4/8, 17, 7, 10, 1, , 
2020/4/9, 12, 8, 9, 1, , 
2020/4/10, 15, 4, 9, 1, , 
2020/4/11, 12, 8, 12, 1, , 
2020/4/12, 20, 10, 12, 1, , 
2020/4/13, 20, 10, 12, 1, , 
2020/4/14, 23, 9, 11, 3, , 
2020/4/15, 23, 9, 10, 3, , 
2020/4/16, 20, 8, 11, 2, , 
2020/4/17, 18, 9, 12, 2, , 
2020/4/18, 19, 16, 9, 3, , 
2020/4/19, 38, 13, 10, 3, , 
2020/4/20, 38, 13, 12, 5, , 
2020/4/21, 35, 13, 17, 5, , 
2020/4/22, 30, 15, 17, 4, , 
2020/4/23, 36, 13, 13, 4, , 
2020/4/24, 28, 17, 13, 4, , 
2020/4/25, 41, 14, 14, 2, , 
