date, pm25, pm10, o3, no2, so2, co
2020/6/2, 31, 15, , 2, , 1
2020/6/3, 16, 13, , 5, , 2
2020/6/4, 21, 22, , 11, , 3
2020/6/5, 42, 16, , 10, , 3
2020/6/6, 30, 19, , 7, , 4
2020/6/7, 43, 17, , 6, , 3
2020/6/8, 43, 21, , 8, , 3
2020/6/9, 45, 16, , 8, , 2
2020/6/10, 32, 11, , 7, , 3
2020/6/11, 22, 12, , 6, , 3
2020/6/12, 22, , , , , 
2020/5/2, 21, 16, , 2, , 1
2020/5/3, 19, 11, , 2, , 1
2020/5/4, 14, 15, , 4, , 1
2020/5/5, 27, 17, , 7, , 1
2020/5/6, 29, 17, , 8, , 2
2020/5/7, 27, 18, , 10, , 3
2020/5/8, 30, 19, , 9, , 3
2020/5/9, 36, 14, , 5, , 2
2020/5/10, 30, 14, , 3, , 1
2020/5/11, 23, 16, , 6, , 1
2020/5/12, 21, 16, , 7, , 2
2020/5/13, 23, 15, , 8, , 2
2020/5/14, 24, 18, , 8, , 2
2020/5/15, 35, 14, , 7, , 1
2020/5/16, 26, 8, , 3, , 1
2020/5/17, 14, 9, , 3, , 1
2020/5/18, 16, 12, , 6, , 2
2020/5/19, 17, 13, , 8, , 2
2020/5/20, 21, 15, , 8, , 3
2020/5/21, 27, 12, , 7, , 2
2020/5/22, 26, 9, , 2, , 1
2020/5/23, 13, 8, , 1, , 1
2020/5/24, 13, 8, , 1, , 1
2020/5/25, 13, 12, , 6, , 2
2020/5/26, 24, 13, , 8, , 2
2020/5/27, 27, 16, , 11, , 2
2020/5/28, 29, 20, , 12, , 3
2020/5/29, 39, 18, , 10, , 3
2020/5/30, 38, 13, , 6, , 2
2020/5/31, 27, 12, , 5, , 3
2020/6/1, 27, 15, , 7, , 3
2020/4/2, 22, 14, , 7, , 1
2020/4/3, 23, 11, , 5, , 1
2020/4/4, 18, 11, , 2, , 1
2020/4/5, 19, 31, , 3, , 1
2020/4/6, 38, 18, , 6, , 1
2020/4/7, 27, 14, , 6, , 1
2020/4/8, 20, 11, , 5, , 1
2020/4/9, 15, 12, , 6, , 1
2020/4/10, 17, 8, , 1, , 1
2020/4/11, 15, 12, , 2, , 1
2020/4/12, 19, 14, , 4, , 1
2020/4/13, 21, 16, , 3, , 1
2020/4/14, 27, 16, , 7, , 1
2020/4/15, 27, 16, , 8, , 2
2020/4/16, 25, 15, , 7, , 1
2020/4/17, 23, 14, , 6, , 2
2020/4/18, 22, 20, , 7, , 1
2020/4/19, 34, 16, , 6, , 1
2020/4/20, 33, 19, , 10, , 2
2020/4/21, 33, 21, , 11, , 1
2020/4/22, 28, 21, , 10, , 2
2020/4/23, 38, 19, , 10, , 2
2020/4/24, 31, 21, , 8, , 2
2020/4/25, 41, 17, , 6, , 2
2020/4/26, 37, 15, , 4, , 2
2020/4/27, 33, 16, , 8, , 2
2020/4/28, 29, 11, , 7, , 2
2020/4/29, 18, 13, , 7, , 2
2020/4/30, 19, 18, , 5, , 2
2020/5/1, 31, 13, , 2, , 1
2020/3/2, 25, 15, , 7, , 1
2020/3/3, 24, 12, , 3, , 1
2020/3/4, 21, 14, , 6, , 1
2020/3/5, 24, 16, , 6, , 1
2020/3/6, 25, 14, , 6, , 1
2020/3/7, 22, 11, , 5, , 1
2020/3/8, 19, 17, , 3, , 1
2020/3/9, 27, 13, , 7, , 2
2020/3/10, 22, 9, , 6, , 1
2020/3/11, 17, 14, , 7, , 1
2020/3/12, 20, 10, , 10, , 1
2020/3/13, 17, 14, , 6, , 1
2020/3/14, 21, 12, , 5, , 1
2020/3/15, 18, 9, , 3, , 1
2020/3/16, 13, 17, , 5, , 1
2020/3/17, 25, 14, , 6, , 1
2020/3/18, 21, 15, , 7, , 1
2020/3/19, 22, 13, , 6, , 1
2020/3/20, 18, , , , , 
2020/3/25, 22, 13, , 7, , 1
2020/3/26, 19, 13, , 7, , 1
2020/3/27, 20, 11, , 6, , 1
2020/3/28, 19, 12, , 3, , 1
2020/3/29, 21, 9, , 4, , 1
2020/3/30, 16, 11, , 6, , 1
2020/3/31, 18, 13, , 6, , 1
2020/4/1, 22, 14, , 7, , 4
2020/2/2, 22, 11, , 2, , 1
2020/2/3, 21, 16, , 4, , 1
2020/2/4, 27, 16, , 7, , 3
2020/2/5, 34, 19, , 7, , 2
2020/2/6, 36, 8, , 6, , 3
2020/2/7, 16, 12, , 6, , 2
2020/2/8, 22, 11, , 3, , 2
2020/2/9, 20, 10, , 4, , 2
2020/2/10, 18, 12, , 7, , 2
2020/2/11, 20, 12, , 6, , 1
2020/2/12, 22, 11, , 7, , 2
2020/2/13, 18, 6, , 5, , 1
2020/2/14, 11, 15, , 5, , 1
2020/2/15, 22, 14, , 3, , 1
2020/2/16, 24, 14, , 3, , 1
2020/2/17, 24, 13, , 6, , 1
2020/2/18, 22, 12, , 5, , 1
2020/2/19, 20, 13, , 4, , 1
2020/2/20, 21, 39, , 8, , 1
2020/2/21, 43, 17, , 8, , 1
2020/2/22, 25, 14, , 4, , 1
2020/2/23, 22, 13, , 4, , 1
2020/2/24, 22, 11, , 6, , 1
2020/2/25, 19, 12, , 6, , 1
2020/2/26, 19, 14, , 6, , 1
2020/2/27, 21, 11, , 8, , 2
2020/2/28, 19, 15, , 9, , 2
2020/2/29, 27, 13, , 5, , 1
2020/3/1, 22, 14, , 4, , 1
2020/1/2, 31, 15, , 4, , 1
2020/1/3, 26, 16, , 4, , 1
2020/1/4, 34, 13, , 4, , 1
2020/1/5, 30, 12, , 2, , 1
2020/1/6, 26, 13, , 4, , 1
2020/1/7, 24, 15, , 5, , 1
2020/1/8, 31, 23, , 6, , 1
2020/1/9, 54, 26, , 5, , 2
2020/1/10, 63, 26, , 5, , 2
2020/1/11, 61, 27, , 4, , 2
2020/1/12, 56, 19, , 4, , 2
2020/1/13, 49, 25, , 6, , 1
2020/1/14, 45, 17, , 8, , 1
2020/1/15, 32, 14, , 5, , 2
2020/1/16, 27, 16, , 6, , 2
2020/1/17, 33, 17, , 6, , 2
2020/1/18, 33, 8, , 5, , 2
2020/1/19, 16, 12, , 4, , 1
2020/1/20, 24, 25, , 5, , 2
2020/1/21, 34, 25, , 7, , 2
2020/1/22, 37, 21, , 6, , 2
2020/1/23, 34, 16, , 4, , 2
2020/1/24, 28, 18, , 4, , 2
2020/1/25, 29, 14, , 2, , 1
2020/1/26, 24, 13, , 3, , 1
2020/1/27, 22, 14, , 3, , 1
2020/1/28, 24, 14, , 5, , 2
2020/1/29, 23, 15, , 5, , 1
2020/1/30, 24, 14, , 6, , 2
2020/1/31, 22, 12, , 5, , 2
2020/2/1, 19, 12, , 3, , 1
2019/10/2, 36, 17, , , , 
2019/10/3, 28, 16, , , , 
2019/10/4, 25, 15, , , , 
2019/10/5, 23, 14, , , , 
2019/10/6, 25, 20, , , , 
2019/10/7, 37, 15, , , , 
2019/10/8, 30, 22, , , , 
2019/10/9, 46, , , , , 
2019/10/14, 18, 13, , , , 
2019/10/15, 22, 18, , , , 
2019/10/16, 30, 19, , , , 
2019/10/17, 33, 22, , , , 
2019/10/18, 35, 31, , , , 
2019/10/19, 46, 26, , , , 
2019/10/20, 45, 26, , , , 
2019/10/21, 49, 18, , , , 
2019/10/22, 29, 12, , , , 
