date, pm25, pm10, o3, no2, so2, co
2020/6/2, 15, 15, , , 1, 
2020/6/3, 10, 11, , , 1, 
2020/6/4, 15, 10, , , 1, 
2020/6/5, 19, 9, , , , 
2020/6/6, 20, 21, , , , 
2020/6/7, 35, 12, , , , 
2020/6/8, 34, 7, , , 1, 
2020/6/9, 15, 10, , , , 
2020/6/10, 19, 8, , , , 
2020/6/11, 11, 8, , , , 
2020/6/12, 12, , , , , 
2020/5/2, 12, 14, , , 4, 
2020/5/3, 10, 9, , , 4, 
2020/5/4, 17, 12, , , 4, 
2020/5/5, 20, 10, , , 4, 
2020/5/6, 16, 9, , , 3, 
2020/5/7, 11, 11, , , 2, 
2020/5/8, 15, 13, , , , 
2020/5/9, 23, 13, , , , 
2020/5/10, 27, 12, , , , 
2020/5/11, 18, 10, , , 1, 
2020/5/12, 13, 10, , , 1, 
2020/5/13, 14, 7, , , 1, 
2020/5/14, 11, 11, , , 1, 
2020/5/15, 23, 8, , , 2, 
2020/5/16, 21, 6, , , 2, 
2020/5/17, 9, 5, , , 2, 
2020/5/18, 9, 9, , , 2, 
2020/5/19, 10, 7, , , 2, 
2020/5/20, 8, 10, , , 2, 
2020/5/21, 15, 9, , , 2, 
2020/5/22, 16, 9, , , , 
2020/5/23, 7, 5, , , 1, 
2020/5/24, 10, 5, , , 1, 
2020/5/25, 10, 8, , , 1, 
2020/5/26, 16, 11, , , 1, 
2020/5/27, 22, 15, , , 1, 
2020/5/28, 26, 14, , , , 
2020/5/29, 30, 10, , , , 
2020/5/30, 22, 10, , , , 
2020/5/31, 24, 6, , , , 
2020/6/1, 15, 9, , , , 
2020/4/2, 16, 9, , , , 
2020/4/3, 12, 6, , , 2, 
2020/4/4, 11, 7, , , 2, 
2020/4/5, 9, 26, , , , 
2020/4/6, 20, 14, , , , 
2020/4/7, 12, 10, , , , 
2020/4/8, 12, 6, , , , 
2020/4/9, 7, 6, , , , 
2020/4/10, 12, 4, , , , 
2020/4/11, 5, 8, , , 1, 
2020/4/12, 11, 14, , , 1, 
2020/4/13, 19, 15, , , , 
2020/4/14, 24, 10, , , , 
2020/4/15, 17, 10, , , , 
2020/4/16, 23, 9, , , , 
2020/4/17, 11, 16, , , 2, 
2020/4/18, 18, 16, , , , 
2020/4/19, 27, 11, , , , 
2020/4/20, 25, 14, , , 1, 
2020/4/21, 32, 12, , , 1, 
2020/4/22, 20, 11, , , 1, 
2020/4/23, 23, 11, , , 1, 
2020/4/24, 15, 15, , , 1, 
2020/4/25, 24, 17, , , 1, 
2020/4/26, 40, 12, , , 1, 
2020/4/27, 27, 11, , , 1, 
2020/4/28, 20, 7, , , 1, 
2020/4/29, 9, 6, , , 1, 
2020/4/30, 9, 15, , , 5, 
2020/5/1, 19, 11, , , 3, 
2020/3/2, 12, 13, , , 1, 
2020/3/3, 15, 8, , , 1, 
2020/3/4, 5, 10, , , , 
2020/3/5, 12, 13, , , 1, 
2020/3/6, 10, 13, , , 1, 
2020/3/7, 12, 9, , , 1, 
2020/3/8, 16, 13, , , 1, 
2020/3/9, 10, 7, , , 1, 
2020/3/10, 7, 5, , , 1, 
2020/3/11, 9, 9, , , 2, 
2020/3/12, 8, 7, , , 1, 
2020/3/13, 8, 9, , , 1, 
2020/3/14, 10, 8, , , 2, 
2020/3/15, 9, 6, , , 2, 
2020/3/16, 8, 11, , , 2, 
2020/3/17, 11, 11, , , 2, 
2020/3/18, 12, 9, , , 2, 
2020/3/19, 11, 10, , , 1, 
2020/3/20, 10, 11, , , , 
2020/3/21, 14, 9, , , , 
2020/3/22, 15, 13, , , , 
2020/3/23, 11, 12, , , , 
2020/3/24, 17, 9, , , , 
2020/3/25, 10, 7, , , , 
2020/3/26, 8, 9, , , , 
2020/3/27, 12, 7, , , , 
2020/3/28, 9, 10, , , , 
2020/3/29, 14, 11, , , , 
2020/3/30, 9, 7, , , , 
2020/3/31, 9, 11, , , , 
2020/4/1, 16, 10, , , , 
2020/2/2, 11, 11, , , 1, 
2020/2/3, 12, 16, , , 2, 
2020/2/4, 19, 12, , , , 
2020/2/5, 22, 12, , , , 
2020/2/6, 16, 6, , , , 
2020/2/7, 8, 9, , , , 
2020/2/8, 10, 7, , , , 
2020/2/9, 8, 8, , , , 
2020/2/10, 9, 11, , , , 
2020/2/11, 16, 10, , , 1, 
2020/2/12, 16, 8, , , , 
2020/2/13, 7, 4, , , , 
2020/2/14, 7, 11, , , , 
2020/2/15, 12, 14, , , 1, 
2020/2/16, 15, 10, , , , 
2020/2/17, 13, 9, , , 1, 
2020/2/18, 11, 11, , , 1, 
2020/2/19, 12, 14, , , 1, 
2020/2/20, 15, 39, , , 1, 
2020/2/21, 31, 14, , , 1, 
2020/2/22, 15, 12, , , 1, 
2020/2/23, 11, 10, , , 1, 
2020/2/24, 11, 7, , , 1, 
2020/2/25, 9, 10, , , 1, 
2020/2/26, 11, 9, , , 1, 
2020/2/27, 11, 12, , , 1, 
2020/2/28, 12, 11, , , 1, 
2020/2/29, 12, 11, , , , 
2020/3/1, 13, 12, , , 1, 
2020/1/2, 13, 9, , , , 
2020/1/3, 11, 10, , , , 
2020/1/4, 17, 9, , , 1, 
2020/1/5, 16, 11, , , 2, 
2020/1/6, 16, 9, , , 1, 
2020/1/7, 13, 7, , , , 
2020/1/8, 15, 14, , , , 
