date, pm25, o3, no2, so2, co
2020/7/2, 39, 25, 7, , 2
2020/7/3, 49, 27, 6, , 1
2020/7/4, 26, 26, 4, , 1
2020/7/5, 33, 18, 8, , 
2020/7/6, 45, , , , 
2020/6/2, 21, 36, 10, , 1
2020/6/3, 39, 29, 12, , 2
2020/6/4, 46, 44, 12, , 2
2020/6/5, 47, 42, 12, , 2
2020/6/6, 44, 36, 6, , 1
2020/6/7, 33, 26, 3, , 1
2020/6/8, 19, 32, 6, , 1
2020/6/9, 19, 53, 13, , 2
2020/6/10, 32, 36, 8, , 1
2020/6/11, 36, 31, 5, , 1
2020/6/12, 36, 25, 6, , 1
2020/6/13, 30, 29, 4, , 2
2020/6/14, 14, 21, 3, , 1
2020/6/15, 13, 25, 11, , 1
2020/6/16, 24, 28, 16, , 2
2020/6/17, 38, 23, 25, , 2
2020/6/18, 50, 43, 21, , 2
2020/6/19, 50, 45, 14, , 2
2020/6/20, 41, 51, 8, , 2
2020/6/21, 44, 38, 6, , 2
2020/6/22, 43, 51, 11, , 3
2020/6/23, 55, 35, 5, , 2
2020/6/24, 41, 26, 6, , 1
2020/6/25, 26, 33, 9, , 1
2020/6/26, 35, 37, 13, , 2
2020/6/27, 38, 34, 5, 1, 1
2020/6/28, 27, 25, 5, , 2
2020/6/29, 30, 40, 10, , 2
2020/6/30, 32, 27, 7, , 1
2020/7/1, 20, 41, 11, , 2
2020/5/2, 25, 26, 11, , 2
2020/5/3, 33, 32, 9, , 2
2020/5/4, 34, 26, 6, , 1
2020/5/5, 21, 24, 12, , 1
2020/5/6, 23, 24, 12, , 1
2020/5/7, 18, 25, 12, , 1
2020/5/8, 27, 18, 8, , 1
2020/5/9, 23, 26, 7, , 1
2020/5/10, 14, 20, 12, , 1
2020/5/11, 25, 19, 8, , 1
2020/5/12, 15, 25, 11, , 1
2020/5/13, 22, 31, 14, , 1
2020/5/14, 25, 25, 17, , 2
2020/5/15, 46, 19, 22, , 2
2020/5/16, 47, 25, 7, , 2
2020/5/17, 24, 27, 5, , 1
2020/5/18, 20, 30, 3, , 1
2020/5/19, 21, 30, 6, , 1
2020/5/20, 20, 33, 8, , 1
2020/5/21, 25, 30, 15, , 1
2020/5/22, 29, 30, 27, , 2
2020/5/23, 54, 38, 18, , 2
2020/5/24, 56, 32, 9, , 2
2020/5/25, 35, 32, 13, , 2
2020/5/26, 40, 38, 18, , 2
2020/5/27, 54, 37, 16, 1, 2
2020/5/28, 51, 26, 14, , 2
2020/5/29, 29, 28, 6, , 1
2020/5/30, 24, 21, 7, , 1
2020/5/31, 29, 28, 4, , 1
2020/6/1, 11, 32, 9, , 1
2020/4/2, 15, 31, 10, , 1
2020/4/3, 19, 22, 10, , 1
2020/4/4, 22, 22, 13, , 1
2020/4/5, 15, 22, 7, , 1
2020/4/6, 28, 25, 14, , 1
2020/4/7, 26, 32, 22, , 2
2020/4/8, 38, 31, 10, , 1
2020/4/9, 37, 29, 8, , 1
2020/4/10, 27, 26, 4, , 1
2020/4/11, 14, 27, 7, , 1
2020/4/12, 23, 31, 12, , 1
2020/4/13, 31, 29, 9, , 1
2020/4/14, 25, 29, 9, , 1
2020/4/15, 29, 23, 13, , 1
2020/4/16, 23, 24, 14, , 1
2020/4/17, 23, 31, 14, , 1
2020/4/18, 32, 33, 13, , 1
2020/4/19, 49, 29, 7, , 1
2020/4/20, 42, 32, 11, , 1
2020/4/21, 35, 30, 8, , 1
2020/4/22, 25, 28, 9, , 1
2020/4/23, 27, 32, 12, , 1
2020/4/24, 27, 28, 12, , 1
2020/4/25, 19, 28, 13, , 1
2020/4/26, 27, 27, 8, , 1
2020/4/27, 28, 31, 8, , 1
2020/4/28, 19, 29, 9, , 1
2020/4/29, 33, 33, 6, , 1
2020/4/30, 22, 35, 12, , 1
2020/5/1, 26, 24, 9, , 2
2020/3/2, 42, 24, 20, , 2
2020/3/3, 47, 12, 26, , 4
2020/3/4, 73, 22, 14, , 2
2020/3/5, 40, 26, 15, 1, 2
2020/3/6, 26, 25, 12, , 2
2020/3/7, 21, 27, 12, , 2
2020/3/8, 16, 29, 11, , 2
2020/3/9, 27, 29, 14, , 2
2020/3/10, 35, 27, 10, , 2
2020/3/11, 49, 22, 17, , 2
2020/3/12, 37, 20, 12, , 1
2020/3/13, 29, 25, 9, , 2
2020/3/14, 29, 23, 7, , 1
2020/3/15, 18, 30, 8, , 1
2020/3/16, 13, 24, 14, , 1
2020/3/17, 24, 21, 13, , 2
