date, pm25, pm10, o3, no2, so2, co
2020/6/2, 3, 11, 17, 9, , 1
2020/6/3, 7, 20, 20, 5, , 
2020/6/4, 28, 21, 16, 13, , 3
2020/6/5, 31, 18, 9, 13, , 6
2020/6/6, 44, 12, 10, 9, , 3
2020/6/7, 34, 8, 19, 7, , 1
2020/6/8, 11, 13, 13, 12, , 5
2020/6/9, 45, 14, 11, 11, , 4
2020/6/10, 44, , 7, 14, , 7
2020/6/11, 42, , 10, 11, , 6
2020/6/12, 57, , , , , 
2020/5/2, 7, 11, 19, 3, , 1
2020/5/3, 9, 22, 17, 5, 2, 1
2020/5/4, 33, 12, 12, 13, 2, 2
2020/5/5, 20, 12, 14, 8, , 3
2020/5/6, 30, 11, 20, 5, , 1
2020/5/7, 10, 14, 20, 3, , 1
2020/5/8, 12, 19, 16, 6, , 1
2020/5/9, 21, 11, 16, 5, , 1
2020/5/10, 10, 12, 17, 4, , 1
2020/5/11, 22, 11, 13, 9, , 2
2020/5/12, 14, 10, 14, 4, , 1
2020/5/13, 8, 14, 15, 11, 1, 2
2020/5/14, 19, 21, 11, 11, , 5
2020/5/15, 29, 25, 3, 13, , 8
2020/5/16, 37, 24, 16, 9, , 6
2020/5/17, 50, 26, 15, 10, , 7
2020/5/18, 51, 26, 13, 11, , 5
2020/5/19, 38, 12, 16, 10, , 2
2020/5/20, 9, 7, 17, 5, , 1
2020/5/21, 7, 11, 14, 9, , 1
2020/5/22, 11, 15, 11, 14, , 2
2020/5/23, 15, 11, 16, 8, , 3
2020/5/24, 16, 11, 20, 3, , 1
2020/5/25, 10, 15, 13, 12, , 4
2020/5/26, 11, 16, 8, 10, , 4
2020/5/27, 28, 18, 11, 7, , 4
2020/5/28, 12, 16, 9, 11, , 3
2020/5/29, 19, 13, 14, 8, , 2
2020/5/30, 15, 11, 21, 5, , 2
2020/5/31, 11, 12, 17, 3, , 1
2020/6/1, 8, 8, 16, 7, , 1
2020/4/2, 32, 13, 16, 8, , 
2020/4/3, 32, 9, 22, 4, , 
2020/4/4, 20, 7, 16, 3, , 
2020/4/5, 6, 9, 14, 2, , 
2020/4/6, 6, 12, 16, 6, , 
2020/4/7, 18, 11, 14, 7, , 
2020/4/8, 13, 9, 12, 7, , 
2020/4/9, 9, 16, 7, 11, , 
2020/4/10, 31, 10, 18, 5, , 
2020/4/11, 26, 15, 17, 2, , 
2020/4/12, 22, 12, 18, 4, , 
2020/4/13, 16, 14, 21, 8, , 
2020/4/14, 23, 21, 24, 5, , 2
2020/4/15, 33, 21, 28, 6, , 2
