date, pm25, pm10, o3, no2, so2, co
2020/6/2, 11, 6, 17, 9, , 1
2020/6/3, 16, 21, 20, 5, , 
2020/6/4, 23, 24, 16, 13, , 3
2020/6/5, 28, 28, 9, 13, , 6
2020/6/6, 51, 15, 10, 9, , 3
2020/6/7, 38, 8, 19, 7, , 1
2020/6/8, 23, 13, 13, 12, , 5
2020/6/9, 37, 14, 11, 11, , 4
2020/6/10, 41, 11, 7, 14, , 7
2020/6/11, 22, 23, 10, 11, , 6
2020/6/12, 51, , , , , 
2020/5/2, 12, 9, 19, 3, , 1
2020/5/3, 10, 19, 17, 5, 2, 1
2020/5/4, 22, 5, 12, 13, 2, 2
2020/5/5, 13, 12, 14, 8, , 3
2020/5/6, 35, 9, 20, 5, , 1
2020/5/7, 15, 10, 20, 3, , 1
2020/5/8, 12, 20, 16, 6, , 1
2020/5/9, 25, 12, 16, 5, , 1
2020/5/10, 15, 10, 17, 4, , 1
2020/5/11, 15, 9, 13, 9, , 2
2020/5/12, 15, 8, 14, 4, , 1
2020/5/13, 14, 7, 15, 11, 1, 2
2020/5/14, 15, 17, 11, 11, , 5
2020/5/15, 36, 24, 3, 13, , 8
2020/5/16, 49, 17, 16, 9, , 6
2020/5/17, 34, 19, 15, 10, , 7
2020/5/18, 47, 18, 13, 11, , 5
2020/5/19, 43, 10, 16, 10, , 2
2020/5/20, 21, 6, 17, 5, , 1
2020/5/21, 9, 9, 14, 9, , 1
2020/5/22, 20, 11, 11, 14, , 2
2020/5/23, 22, 6, 16, 8, , 3
2020/5/24, 19, 9, 20, 3, , 1
2020/5/25, 14, 11, 13, 12, , 4
2020/5/26, 29, 13, 8, 10, , 4
2020/5/27, 29, 9, 11, 7, , 4
2020/5/28, 16, 11, 9, 11, , 3
2020/5/29, 18, 9, 14, 8, , 2
2020/5/30, 20, 9, 21, 5, , 2
2020/5/31, 14, 12, 17, 3, , 1
2020/6/1, 10, 5, 16, 7, , 1
2020/4/2, 36, 12, 16, 8, , 
2020/4/3, 38, 8, 22, 4, , 
2020/4/4, 19, 5, 16, 3, , 
2020/4/5, 18, 6, 14, 2, , 
2020/4/6, 8, 7, 16, 6, , 
2020/4/7, 17, 7, 14, 7, , 
2020/4/8, 19, 7, 12, 7, , 
2020/4/9, 16, 15, 7, 11, , 
2020/4/10, 38, 8, 18, 5, , 
2020/4/11, 27, 13, 17, 2, , 
2020/4/12, 21, 9, 18, 4, , 
2020/4/13, 13, 8, 21, 8, , 
2020/4/14, 23, 17, 24, 5, , 2
2020/4/15, 33, 19, 28, 6, , 2
2020/4/16, 37, 15, 16, 7, , 
2020/4/17, 22, 10, 16, 6, , 1
2020/4/18, 12, 8, 15, 3, , 1
2020/4/19, 12, 8, 20, 4, , 1
2020/4/20, 22, 16, 18, 7, , 2
2020/4/21, 24, 21, 17, 7, , 2
2020/4/22, 30, 13, 13, 10, , 2
2020/4/23, 25, 24, 16, 8, , 2
2020/4/24, 34, 12, 17, 9, , 2
2020/4/25, 24, 15, 19, 5, , 2
2020/4/26, 31, 18, 16, 5, , 2
2020/4/27, 23, 17, 16, 10, , 3
2020/4/28, 30, 14, 20, 7, , 3
2020/4/29, 25, 4, 16, 7, , 1
2020/4/30, 17, 6, 16, 8, , 2
2020/5/1, 12, 6, 18, 3, , 1
2020/3/2, 17, 13, 17, 3, , 
2020/3/3, 13, 15, 14, 3, , 
2020/3/4, 10, 26, 9, 11, , 2
2020/3/5, 24, 8, 12, 10, , 1
2020/3/6, 15, 20, 16, 3, , 
2020/3/7, 18, 18, 15, 2, , 
2020/3/8, 15, 11, 15, 3, , 
2020/3/9, 12, 10, 18, 3, , 
2020/3/10, 10, 15, 15, 12, , 1
2020/3/11, 21, 20, 25, 11, , 
2020/3/12, 26, 16, 29, 7, , 
2020/3/13, 16, 19, 20, 7, , 
2020/3/14, 15, 13, 15, 1, , 
2020/3/15, 18, 5, 13, 3, , 
2020/3/16, 13, 9, 21, 6, , 
2020/3/17, 16, 14, 21, 5, , 1
2020/3/18, 15, 22, 21, 8, , 
2020/3/19, 13, 28, 21, 11, , 
2020/3/20, 20, 12, 16, 4, , 
2020/3/21, 18, 19, 18, 3, , 
2020/3/22, 24, 12, 16, 5, , 
2020/3/23, 18, 11, 14, 6, , 
2020/3/24, 16, 8, 16, 6, , 
2020/3/25, 16, 6, 15, 6, , 
2020/3/26, 9, 11, 16, 7, , 
2020/3/27, 22, 20, 22, 7, , 
2020/3/28, 23, 18, 25, 3, , 
2020/3/29, 26, 12, 21, 2, , 
2020/3/30, 15, 11, 16, 8, , 
2020/3/31, 17, 14, 16, 8, , 
2020/4/1, 20, 23, 25, 6, , 
2020/2/14, 23, , , , , 
2020/2/15, 25, , , , , 
2020/2/16, 19, , , , , 
2020/2/17, 15, , , , , 
2020/2/18, 25, , , , , 
2020/2/19, 32, , , , , 
2020/2/20, 18, , , , , 
2020/2/21, 15, , , , , 
2020/2/22, 12, , , , , 
2020/2/23, 21, , , , , 
2020/2/24, 24, 23, 11, 5, , 1
2020/2/25, 40, 22, 17, 9, , 1
2020/2/26, 30, 14, 14, 4, , 
2020/2/27, 16, 15, 15, 7, , 
2020/2/28, 14, 10, 13, 6, , 1
2020/2/29, 12, 9, 16, 7, , 
2020/3/1, 18, 12, 23, 5, , 
