date, pm25, pm10, o3, no2, so2, co
2020/6/2, 15, 24, 16, 10, , 1
2020/6/3, 31, 21, 19, 8, , 
2020/6/4, 36, 27, 17, 15, , 2
2020/6/5, 37, 26, 10, 17, , 4
2020/6/6, 51, 13, 12, 10, 1, 2
2020/6/7, 48, 7, 19, 5, , 1
2020/6/8, 22, 10, 15, 14, , 2
2020/6/9, 35, 17, 10, 17, , 4
2020/6/10, 58, 23, 7, 20, 1, 4
2020/6/11, 50, 17, 7, 16, , 4
2020/6/12, 54, , , , , 
2020/5/2, 16, 11, 18, 3, , 
2020/5/3, 24, 19, 18, 3, , 
2020/5/4, 35, 9, 15, 11, 1, 1
2020/5/5, 18, 11, 13, 11, , 2
2020/5/6, 25, 10, 16, 5, , 1
2020/5/7, 26, 12, 16, 4, , 1
2020/5/8, 15, 18, 16, 6, , 1
2020/5/9, 21, 9, 18, 4, , 1
2020/5/10, 13, 9, 18, 3, , 
2020/5/11, 23, 11, 13, 9, , 1
2020/5/12, 17, 9, 12, 6, , 1
2020/5/13, 18, 14, 15, 12, , 1
2020/5/14, 21, 19, 11, 17, , 3
2020/5/15, 35, 18, 11, 18, , 4
2020/5/16, 52, 15, 17, 11, , 3
2020/5/17, 53, 17, 14, 15, , 4
2020/5/18, 58, 17, 15, 15, , 4
2020/5/19, 55, 10, 14, 9, , 1
2020/5/20, 25, 7, 16, 6, , 1
2020/5/21, 12, 10, 13, 11, , 1
2020/5/22, 22, 16, 16, 12, , 1
2020/5/23, 34, 7, 17, 6, , 1
2020/5/24, 18, 11, 21, 3, 1, 
2020/5/25, 14, 17, 11, 17, , 3
2020/5/26, 37, 12, 8, 14, , 3
2020/5/27, 40, 13, 10, 11, , 2
2020/5/28, 31, 15, 9, 13, , 2
2020/5/29, 29, 10, 12, 11, , 2
2020/5/30, 24, 8, 18, 4, , 1
2020/5/31, 24, 10, 18, 2, , 1
2020/6/1, 21, 7, 15, 7, , 1
2020/4/2, 49, 15, 13, , , 1
2020/4/3, 48, 9, 21, , , 1
2020/4/4, 22, 4, 16, , , 
2020/4/5, 8, 8, 14, 1, , 
2020/4/6, 20, 11, 16, 3, , 
2020/4/7, 14, 14, 17, 5, , 
2020/4/8, 18, 8, 13, 12, , 
2020/4/9, 14, 19, 12, , 1, 1
2020/4/10, 33, 10, 18, , , 1
2020/4/11, 26, 19, 17, , , 
2020/4/12, 22, 10, 18, 3, , 
2020/4/13, 16, 12, 20, 7, , 
2020/4/14, 25, 19, 23, , , 
2020/4/15, 41, 23, 25, 9, , 1
2020/4/16, 42, 23, 14, 9, , 5
2020/4/17, 21, 25, 14, 7, , 6
2020/4/18, 21, 12, 16, 4, , 2
2020/4/19, 17, 9, 20, 5, 2, 2
2020/4/20, 19, 23, 17, 10, , 2
2020/4/21, 35, 20, 15, 10, , 1
2020/4/22, 37, 18, 11, 13, , 2
2020/4/23, 37, 24, 15, 10, , 2
2020/4/24, 42, 23, 16, 12, 1, 2
2020/4/25, 34, 16, 18, 4, , 1
2020/4/26, 38, 15, 6, 10, , 2
2020/4/27, 28, 19, 17, 11, , 1
2020/4/28, 38, 15, 18, 8, , 1
2020/4/29, 33, 7, 15, 10, , 1
2020/4/30, 17, 8, 17, 8, , 2
2020/5/1, 18, 8, 18, 5, , 
2020/3/2, 17, 12, 16, 4, , 
2020/3/3, 16, 12, 12, 5, , 
2020/3/4, 21, 24, 5, 17, , 2
2020/3/5, 32, 8, 11, 11, , 1
2020/3/6, 22, 11, 15, 5, , 
2020/3/7, 19, 13, 15, 3, , 
2020/3/8, 22, 8, 13, 6, , 
2020/3/9, 22, 8, 18, 4, , 
2020/3/10, 16, 22, 16, 15, 2, 1
2020/3/11, 29, 20, 30, 15, , 1
2020/3/12, 24, 18, 29, , , 
2020/3/13, 25, 22, 17, , 2, 
2020/3/14, 22, 16, 15, , , 
2020/3/15, 25, 9, 14, , , 
2020/3/16, 15, 16, 17, , 1, 1
2020/3/17, 22, 19, 19, , , 1
2020/3/18, 23, 24, 19, , , 
2020/3/19, 21, 33, 19, , , 1
2020/3/20, 31, 26, 14, , , 
2020/3/21, 28, 20, 18, , , 
2020/3/22, 26, 15, 15, , , 
2020/3/23, 23, 11, 14, , , 
2020/3/24, 22, 17, 16, , 1, 1
2020/3/25, 24, 10, 15, , , 
2020/3/26, 15, 13, 12, , , 
2020/3/27, 16, 20, 22, 12, , 2
2020/3/28, 25, 24, 25, 26, , 1
2020/3/29, 34, 19, 19, , , 
2020/3/30, 23, 16, 14, , , 
2020/3/31, 22, 16, 14, 14, , 
2020/4/1, 22, 26, 15, 25, 1, 2
2020/2/2, 31, 10, 14, 3, , 
2020/2/3, 15, 18, 13, 4, , 
2020/2/4, 19, 21, 15, 4, , 
2020/2/5, 28, 18, 13, 5, , 
2020/2/6, 24, 40, 31, 10, , 2
2020/2/7, 59, 48, 21, 10, , 3
2020/2/8, 104, 32, 18, 7, , 2
2020/2/9, 69, 15, 16, 3, , 1
2020/2/10, 25, 8, 11, 8, , 1
2020/2/11, 17, 21, 14, 7, , 1
2020/2/12, 22, 11, 14, 5, , 1
2020/2/13, 17, 16, 18, 9, , 1
2020/2/14, 19, 19, 19, 12, , 2
2020/2/15, 29, 11, 12, 5, , 1
2020/2/16, 22, 9, 14, 4, , 1
2020/2/17, 16, 18, 26, 9, , 1
2020/2/18, 28, 16, 17, 10, , 1
2020/2/19, 26, 14, 12, 6, , 
2020/2/20, 26, 12, 13, 6, , 
2020/2/21, 18, 10, 13, 5, , 
2020/2/22, 15, 13, 18, 5, , 
