date, pm25, pm10, o3, no2, so2, co
20-06-02,11, , , , , 
20-06-03,19, , , , , 
20-06-04,28, , , , , 
20-06-05,25, , , , , 
20-06-06,65, , , , , 
20-06-07,50, , , , , 
20-06-08,15, , , , , 
20-06-09,29, , , , , 
20-05-02,17, , , , , 
20-05-03,18, , , , , 
20-05-04,27, , , , , 
20-05-05,18, , , , , 
20-05-06,28, , , , , 
20-05-07,19, , , , , 
20-05-08,16, , , , , 
20-05-09,17, , , , , 
20-05-10,11, , , , , 
20-05-11,17, , , , , 
20-05-12,19, , , , , 
20-05-13,16, , , , , 
20-05-14,23, , , , , 
20-05-15,43, , , , , 
20-05-16,56, , , , , 
20-05-17,62, , , , , 
20-05-18,64, , , , , 
20-05-19,66, , , , , 
20-05-20,26, , , , , 
20-05-21,14, , , , , 
20-05-22,16, , , , , 
20-05-23,22, , , , , 
20-05-24,18, , , , , 
20-05-25,14, , , , , 
20-05-26,23, , , , , 
20-05-27,39, , , , , 
20-05-28,31, , , , , 
20-05-29,25, , , , , 
20-05-30,28, , , , , 
20-05-31,17, , , , , 
20-06-01,12, , , , , 
20-04-02,44, , , , , 
20-04-03,39, , , , , 
20-04-04,24, , , , , 
20-04-05,17, , , , , 
20-04-06,14, , , , , 
20-04-07,20, , , , , 
20-04-08,19, , , , , 
20-04-09,20, , , , , 
20-04-10,33, , , , , 
20-04-11,29, , , , , 
20-04-12,24, , , , , 
20-04-13,14, , , , , 
20-04-14,23, , , , , 
20-04-15,38, , , , , 
20-04-16,32, , , , , 
20-04-17,25, , , , , 
20-04-18,21, , , , , 
20-04-19,16, , , , , 
20-04-20,21, , , , , 
20-04-21,24, , , , , 
20-04-22,28, , , , , 
20-04-23,25, , , , , 
20-04-24,31, , , , , 
20-04-25,28, , , , , 
20-04-26,31, , , , , 
20-04-27,4, , , , , 
20-04-28,40, , , , , 
20-04-29,25, , , , , 
20-04-30,17, , , , , 
20-05-01,15, , , , , 
20-03-02,22, , , , , 
20-03-03,22, , , , , 
20-03-04,17, , , , , 
20-03-05,35, , , , , 
20-03-06,30, , , , , 
20-03-07,27, , , , , 
20-03-08,23, , , , , 
20-03-09,19, , , , , 
20-03-10,27, , , , , 
20-03-11,35, , , , , 
20-03-12,30, , , , , 
20-03-13,23, , , , , 
20-03-14,24, , , , , 
20-03-15,26, , , , , 
20-03-16,16, , , , , 
20-03-17,26, , , , , 
20-03-18,26, , , , , 
20-03-19,18, , , , , 
20-03-20,27, , , , , 
20-03-21,26, , , , , 
20-03-22,31, , , , , 
20-03-23,23, , , , , 
20-03-24,20, , , , , 
20-03-25,18, , , , , 
20-03-26,17, , , , , 
20-03-27,15, , , , , 
20-03-31,11, , , , , 
20-04-01,23, , , , , 
20-02-02,28,8,15,3, , 
20-02-03,16,15,14,4, , 
20-02-04,19,17,16,4, , 
20-02-05,27,16,14,6, , 
20-02-06,29, , , , , 
20-02-07,62, , , , , 
20-02-08,106, , , , , 
20-02-09,79, , , , , 
20-02-11,27, , , , , 
20-02-12,35, , , , , 
20-02-13,25, , , , , 
20-02-14,23, , , , , 
20-02-15,24, , , , , 
20-02-16,32, , , , , 
20-02-17,21, , , , , 
20-02-18,36, , , , , 
20-02-19,35, , , , , 
20-02-20,32, , , , , 
20-02-21,25, , , , , 
20-02-22,24,15,16,4, , 
20-02-23,24,17,34,6, , 
20-02-24,31,22,14,13, ,1
20-02-25,55,14,17,9, ,1
20-02-26,39,11,14,4, , 
20-02-27,24,13,15,7, , 
20-02-28,25,9,11,5, , 
20-02-29,23, , , , , 
20-03-01,25, , , , , 
20-01-02,44,18,21,3,1, 
20-01-03,26,55,60,8, ,4
20-01-04,112,41,32,4,1,2
20-01-05,82,13,13,2, , 
20-01-06,20,56,17,13, ,20
20-01-07,134,19,17,6, ,7
20-01-08,70,19,25,5, ,2
20-01-09,55,29,54,5, ,4
20-01-10,69,50,31,6, ,6
20-01-11,78, , , , , 
20-01-12,32, , , , , 
20-01-13,18, , , , , 
20-01-14,96, , , , , 
20-01-15,272, , , , , 
20-01-16,145, , , , , 
20-01-17,86, , , , , 
20-01-18,26, , , , , 
20-01-19,47, , , , , 
20-01-20,62, , , , , 
20-01-21,33, , , , , 
20-01-22,34, , , , , 
20-01-23,26, , , , , 
20-01-24,18, , , , , 
20-01-25,28, , , , , 
20-01-26,28, , , , , 
20-01-27,21, , , , , 
20-01-28,21, , , , , 
20-01-29,27, , , , , 
20-01-30,34,25,38,17, ,3
20-01-31,39,46,42,8, ,1
20-02-01,49,16,15,6, ,1
19-10-02,25, , , , , 
19-10-03,39, , , , , 
19-10-04,33, , , , , 
19-10-05,26, , , , , 
19-10-06,21, , , , , 
19-10-07,28, , , , , 
19-10-08,13, , , , , 
19-10-09,14, , , , , 
19-10-10,15, , , , , 
19-10-11,14, , , , , 
19-10-12,18, , , , , 
19-10-13,14, , , , , 
19-10-14,17, , , , , 
19-10-15,15, , , , , 
19-10-16,22, , , , , 
19-10-17,16, , , , , 
19-10-18,17, , , , , 
19-10-19,19, , , , , 
