date, pm25, pm10, o3, no2, co
2020/6/3, 33, , 25, 11, 
2020/6/4, 13, , 22, 10, 
2020/6/5, 28, , 22, 6, 
2020/6/6, 33, , 22, 6, 
2020/6/7, 13, , 23, 10, 
2020/6/8, 44, , 22, 8, 
2020/6/9, 41, , 26, 10, 
2020/6/10, 36, , 24, 3, 
2020/6/11, 43, , 28, 2, 
2020/6/12, 11, , , , 
2020/5/19, 23, , 30, 5, 
2020/5/20, 45, , 37, 4, 
2020/5/21, 69, , 23, 13, 
2020/5/22, 70, , 25, 7, 
2020/5/23, 36, , 24, 3, 
2020/5/24, 18, , 22, 1, 
2020/5/25, 30, , 32, 1, 
2020/5/26, 61, , 27, 4, 
2020/5/27, 11, , 27, 3, 
2020/5/28, 4, , 27, 2, 
2020/5/29, 6, , 27, 1, 
2020/5/30, 3, , , , 
2018/1/30, 22, 17, 20, 3, 1
2018/1/31, 23, 17, 25, 3, 1
2018/2/1, 30, 15, 30, 3, 
2018/2/2, 30, 11, 26, 5, 
2018/2/3, 23, 12, 28, 2, 3
2018/2/4, 28, 14, 14, , 2
2018/2/5, 35, , , , 
2017/1/3, 28, , , , 
2017/1/5, 39, , 23, 2, 
2017/1/6, 46, , 19, 1, 
2017/1/7, 36, , 23, 2, 
2017/1/8, 32, , 30, 2, 
2017/1/9, 40, , 36, 1, 
2017/1/10, 41, , 36, 3, 
2017/1/11, 44, , 41, 2, 
2017/1/12, 40, , 22, , 
2017/1/13, 33, , 30, 3, 
2017/1/14, 38, , 41, 2, 
2017/1/15, 45, , 28, 4, 
2017/1/16, 51, , 21, 3, 
2017/1/17, 39, , 26, 3, 
2017/1/18, 35, , 36, 1, 
2017/1/19, 33, , 21, 3, 
2017/1/20, 34, , 31, 2, 
2017/1/21, 34, , 30, 3, 
2017/1/22, 40, , 21, , 
2017/1/23, 42, , 20, 3, 
2017/1/24, 26, , 33, 2, 
2017/1/25, 32, , 45, 4, 
2017/1/26, 44, , 44, 4, 
2017/1/27, 39, , 25, 1, 
2017/1/28, 50, , 36, 2, 
2017/1/29, 29, , 19, 2, 
2017/1/30, 42, , 13, 2, 
2017/1/31, 26, , 11, 3, 
2017/2/1, 12, , 26, 2, 
2017/2/2, 19, , 27, 2, 
2017/2/3, 25, , 26, 4, 
2017/2/4, 37, , 20, 3, 
2017/2/5, 35, , , , 
2017/2/7, 30, , 22, 7, 
2017/2/8, 38, , 29, 1, 
2017/2/9, 27, , 17, 2, 
2017/2/10, 24, , 16, 2, 
2017/2/11, 11, , 18, 1, 
2017/2/12, 14, , 16, , 
2017/2/13, 12, , , , 
2017/2/15, 29, , 31, 3, 
2017/2/16, 26, , 31, 2, 
2017/2/17, 26, , 28, 2, 
2017/2/18, 28, , 31, 2, 
2017/2/19, 22, , 44, 2, 
2017/2/20, 26, , 22, , 
2017/2/21, 37, , 22, , 
2017/2/22, 26, , 24, 4, 
2017/2/23, 30, , 36, 3, 
2017/2/24, 25, , 39, 4, 
2017/2/25, 27, , 41, 3, 
2017/2/26, 25, , 26, 1, 
2017/2/27, 38, , 35, 4, 
2017/2/28, 26, , 25, 4, 
2017/3/1, 29, , 45, 2, 
2017/3/2, 39, , 33, 4, 
2017/3/3, 47, , 33, 6, 
2017/3/4, 50, , 40, 4, 
2017/3/5, 38, , , , 
2017/3/8, 43, , 37, 5, 
2017/3/9, 39, , 29, 2, 
2017/3/10, 31, , 24, 2, 
2017/3/11, 16, , 28, 1, 
2017/3/12, 19, , 24, 2, 
2017/3/13, 29, , 25, 1, 
2017/3/14, 38, , 26, , 
2017/3/15, 24, , 24, 3, 
2017/3/16, 40, , 36, 3, 
2017/3/17, 37, , 19, 7, 
2017/3/18, 42, , 20, 1, 
2016/10/2, 41, , 32, , 
2016/10/3, 48, , 32, , 
2016/10/4, 42, , 26, 3, 
2016/10/5, 24, , 27, 2, 
2016/10/6, 21, , 29, 1, 
2016/10/7, 32, , 27, 1, 
2016/10/8, 29, , 32, 1, 
2016/10/9, 28, , 34, 3, 
2016/10/10, 37, , 31, 3, 
2016/10/11, 30, , 32, 4, 
2016/10/12, 26, , 32, 4, 
2016/10/13, 29, , 27, 2, 
2016/10/14, 41, , 31, 1, 
2016/10/15, 31, , 31, , 
2016/10/16, 34, , 31, 3, 
2016/10/17, 34, , 30, 3, 
2016/10/18, 24, , 37, 2, 
2016/10/19, 30, , 30, 4, 
2016/10/20, 31, , 31, 1, 
2016/10/21, 23, , 33, 4, 
2016/10/22, 29, , 37, 6, 
2016/10/23, 40, , 42, 2, 
2016/10/24, 40, , 32, 2, 
2016/10/25, 38, , 29, 3, 
2016/10/26, 24, , 32, 3, 
2016/10/27, 29, , 29, 5, 
2016/10/28, 24, , 29, 5, 
2016/10/29, 29, , 28, , 
2016/10/30, 27, , 31, 2, 
2016/10/31, 32, , 33, 2, 
2016/11/1, 43, , 36, 2, 
2016/11/2, 37, , 43, 3, 
2016/11/3, 52, , 28, 1, 
2016/11/4, 63, , 31, 2, 
2016/11/5, 34, , 35, 3, 
2016/11/6, 32, , 23, 1, 
2016/11/7, 40, , 33, 1, 
2016/11/8, 27, , 33, 2, 
2016/11/9, 35, , 29, 2, 
2016/11/10, 34, , 27, 3, 
2016/11/11, 18, , 26, , 
2016/11/12, 24, , 27, 3, 
2016/11/13, 28, , 37, 4, 
2016/11/14, 34, , 32, 2, 
2016/11/15, 31, , 31, 2, 
2016/11/16, 41, , 28, 1, 
2016/11/17, 43, , 30, 3, 
2016/11/18, 23, , 50, 3, 
2016/11/19, 26, , 26, 6, 
2016/11/20, 37, , 24, 1, 
2016/11/21, 27, , 28, 3, 
2016/11/22, 33, , 32, 2, 
2016/11/23, 27, , 35, 2, 
2016/11/24, 34, , 37, 1, 
2016/11/25, 37, , 48, 3, 
2016/11/26, 41, , 54, 3, 
2016/11/27, 37, , 23, 1, 
2016/11/28, 81, , 43, 3, 
2016/11/29, 51, , 29, 3, 
2016/11/30, 48, , 31, 2, 
2016/12/1, 37, , 26, 3, 
2016/12/2, 28, , 37, 2, 
2016/12/3, 36, , 25, , 
2016/12/4, 35, , 27, 1, 
2016/12/5, 24, , 25, 2, 
2016/12/6, 32, , 22, 4, 
2016/12/7, 30, , 21, 3, 
2016/12/8, 28, , 31, 3, 
2016/12/9, 42, , 42, 3, 
2016/12/10, 54, , 42, 3, 
2016/12/11, 49, , 27, 1, 
2016/12/12, 59, , 30, 2, 
2016/12/13, 35, , 27, 2, 
2016/12/14, 24, , 38, 2, 
2016/12/15, 27, , 45, 4, 
2016/12/16, 27, , 30, 2, 
2016/12/17, 36, , 29, 1, 
2016/12/18, 35, , 21, 1, 
2016/12/19, 37, , 28, 2, 
2016/12/20, 39, , 33, 3, 
2016/12/21, 37, , 46, 2, 
2016/12/22, 32, , 27, 1, 
2016/12/23, 42, , 33, 2, 
2016/12/24, 29, , 27, 5, 
2016/12/25, 46, , , , 
2016/12/29, 36, , 32, 2, 
2016/12/30, 34, , 28, 1, 
2016/12/31, 33, , 26, 2, 
2017/1/1, 27, , 31, 3, 
2017/1/2, 25, , , , 
2016/7/2, 33, , 26, 5, 
2016/7/3, 28, , 29, 5, 
2016/7/4, 35, , 28, 3, 
2016/7/5, 23, , 24, 3, 
2016/7/6, 17, , 24, 4, 
2016/7/7, 17, , 27, 2, 
2016/7/8, 17, , 35, 5, 
2016/7/9, 30, , 35, 2, 
2016/7/10, 30, , 35, 8, 
2016/7/11, 35, , 30, 7, 
2016/7/12, 27, , 27, 6, 
2016/7/13, 29, , 25, 6, 
2016/7/14, 23, , 25, 2, 
2016/7/15, 19, , 29, 2, 
2016/7/16, 20, , 27, 1, 
2016/7/17, 26, , 35, 1, 
2016/7/18, 38, , 36, 6, 
2016/7/19, 34, , 31, 9, 
2016/7/20, 30, , 30, 4, 
2016/7/21, 23, , 35, 3, 
2016/7/22, 22, , 34, 8, 
2016/7/23, 33, , 32, 4, 
2016/7/24, 30, , 30, 4, 
2016/7/25, 32, , 29, 6, 
2016/7/26, 28, , 29, 5, 
2016/7/27, 32, , 21, 8, 
2016/7/28, 34, , 22, 7, 
2016/7/29, 30, , 27, 4, 
2016/7/30, 32, , 38, 1, 
2016/7/31, 47, , 35, 5, 
2016/8/1, 49, , 30, 5, 
2016/8/2, 36, , 24, 6, 
2016/8/3, 22, , 21, 4, 
2016/8/4, 19, , 19, 6, 
2016/8/5, 26, , 20, 6, 
2016/8/6, 20, , 32, 1, 
2016/8/7, 20, , 35, , 
2016/8/8, 32, , 36, , 
2016/8/9, 38, , 36, , 
2016/8/10, 29, , 32, 3, 
2016/8/11, 21, , 33, 2, 
2016/8/12, 18, , 33, 6, 
2016/8/13, 24, , 37, 5, 
2016/8/14, 33, , 37, 2, 
2016/8/15, 35, , 35, 6, 
2016/8/16, 26, , 32, 4, 
2016/8/17, 22, , 35, 1, 
2016/8/18, 20, , 36, 5, 
2016/8/19, 33, , 33, 3, 
2016/8/20, 25, , 37, 6, 
2016/8/21, 20, , 35, 2, 
2016/8/22, 26, , 33, 3, 
2016/8/23, 23, , 31, 6, 
2016/8/24, 28, , 31, 4, 
2016/8/25, 24, , 25, 3, 
2016/8/26, 18, , 33, 1, 
2016/8/27, 16, , 40, , 
2016/8/28, 23, , 33, , 
2016/8/29, 29, , 34, 3, 
2016/8/30, 23, , 29, 6, 
2016/8/31, 26, , 33, 1, 
2016/9/1, 20, , 33, 4, 
2016/9/2, 23, , 33, 5, 
2016/9/3, 27, , 34, 5, 
2016/9/4, 24, , 32, 3, 
2016/9/5, 29, , 33, 3, 
2016/9/6, 30, , 33, 3, 
2016/9/7, 23, , 34, 1, 
2016/9/8, 30, , 35, , 
2016/9/9, 43, , 33, 4, 
2016/9/10, 34, , 32, 2, 
2016/9/11, 18, , 26, 2, 
2016/9/12, 17, , 29, 1, 
2016/9/13, 14, , 30, 3, 
2016/9/14, 16, , 34, 4, 
2016/9/15, 16, , 33, 7, 
2016/9/16, 24, , 33, 3, 
2016/9/17, 28, , 37, 4, 
2016/9/18, 29, , 34, 3, 
2016/9/19, 40, , 34, 3, 
2016/9/20, 32, , 36, 4, 
2016/9/21, 36, , 39, 7, 
2016/9/22, 49, , 33, 7, 
2016/9/23, 37, , 34, 4, 
2016/9/24, 28, , 33, 3, 
2016/9/25, 23, , 31, 2, 
2016/9/26, 26, , 33, 4, 
2016/9/27, 37, , 33, , 
2016/9/28, 30, , 33, 5, 
2016/9/29, 35, , 34, 3, 
2016/9/30, 27, , 33, 3, 
2016/10/1, 28, , 34, , 
2016/4/3, 43, , 53, 6, 
2016/4/4, 54, , 34, 2, 
2016/4/5, 51, , 29, 2, 
2016/4/6, 31, , 29, 3, 
2016/4/7, 34, , 30, 3, 
2016/4/8, 36, , 30, 3, 
2016/4/9, 39, , 24, 4, 
2016/4/10, 43, , 27, 2, 
2016/4/11, 30, , 19, 2, 
2016/4/12, 23, , 25, 2, 
2016/4/13, 19, , 27, 2, 
2016/4/14, 19, , 28, 4, 
2016/4/15, 21, , 28, 3, 
2016/4/16, 25, , 33, 2, 
2016/4/17, 26, , 28, 1, 
2016/4/18, 35, , 24, , 
2016/4/19, 23, , 26, 2, 
2016/4/20, 20, , 30, 4, 
2016/4/21, 27, , 25, 3, 
2016/4/22, 27, , 26, 3, 
2016/4/23, 20, , 27, 5, 
2016/4/24, 27, , 27, 2, 
2016/4/25, 97, , 23, 1, 
2016/4/26, 16, , 29, , 
2016/4/27, 18, , 30, 3, 
2016/4/28, 25, , 28, , 
2016/4/29, 21, , 29, 1, 
2016/4/30, 39, , 29, 3, 
2016/5/1, 33, , 30, 3, 
2016/5/2, 29, , 26, 5, 
2016/5/3, 27, , 25, 5, 
2016/5/4, 26, , 25, 4, 
2016/5/5, 27, , 26, 4, 
2016/5/6, 22, , 26, 5, 
2016/5/7, 24, , 30, 1, 
2016/5/8, 25, , 30, 5, 
2016/5/9, 29, , 28, 5, 
2016/5/10, 32, , 26, 7, 
2016/5/11, 33, , 25, 1, 
2016/5/13, 32, , 22, 3, 
2016/5/14, 27, , 27, 4, 
2016/5/15, 27, , 29, 2, 
2016/5/16, 31, , 28, 6, 
2016/5/17, 46, , 28, 7, 
2016/5/18, 44, , 26, 4, 
2016/5/19, 113, , 16, 11, 
2016/5/20, 40, , 32, 5, 
2016/5/21, 55, , 34, , 
2016/5/22, 37, , 33, 1, 
2016/5/23, 33, , 29, 2, 
2016/5/24, 22, , 35, , 
2016/5/25, 30, , 33, 4, 
2016/5/26, 27, , 33, 15, 
2016/5/27, 26, , 28, 5, 
2016/5/28, 27, , 32, 2, 
2016/5/29, 29, , 28, 4, 
2016/5/30, 32, , 29, 11, 
2016/5/31, 23, , 30, 7, 
2016/6/1, 29, , 25, 4, 
2016/6/2, 34, , 24, 2, 
2016/6/3, 22, , 26, 1, 
2016/6/4, 23, , 34, 10, 
2016/6/5, 29, , 27, 10, 
2016/6/6, 36, , 35, 1, 
2016/6/7, 32, , 33, 2, 
2016/6/8, 21, , 32, 8, 
2016/6/9, 30, , 27, 3, 
2016/6/10, 33, , 25, 3, 
2016/6/11, 22, , 23, 4, 
2016/6/12, 16, , 28, 3, 
2016/6/13, 17, , 35, 4, 
2016/6/14, 19, , 23, 5, 
2016/6/15, 32, , 22, 7, 
2016/6/16, 33, , 24, 7, 
2016/6/17, 30, , 23, 5, 
2016/6/18, 25, , 23, 3, 
2016/6/19, 16, , 29, 1, 
2016/6/20, 17, , 33, , 
2016/6/21, 28, , 32, 6, 
2016/6/22, 23, , 34, 2, 
2016/6/23, 25, , 29, 9, 
2016/6/24, 28, , 28, 5, 
2016/6/25, 29, , 32, 3, 
2016/6/26, 26, , 29, 6, 
2016/6/27, 36, , 26, 5, 
2016/6/28, 25, , 30, 2, 
2016/6/29, 20, , 34, 8, 
2016/6/30, 27, , 34, 7, 
2016/7/1, 32, , 27, 8, 
2016/1/5, 52, , 27, 1, 
2016/1/6, 55, , 35, 1, 
2016/1/7, 57, , 51, 2, 
2016/1/8, 50, , 42, 2, 
2016/1/9, 46, , 34, 3, 
2016/1/10, 52, , 26, 1, 
2016/1/11, 50, , 31, 1, 
2016/1/12, 40, , 19, , 
2016/1/13, 28, , 29, 1, 
2016/1/14, 29, , 25, 2, 
2016/1/15, 29, , 49, 2, 
2016/1/16, 34, , 38, 2, 
2016/1/17, 36, , 31, 3, 
2016/1/18, 42, , 14, 2, 
2016/1/19, 46, , , , 
2015/10/2, 29, , 33, 5, 
2015/10/3, 38, , 28, 1, 
2015/10/4, 39, , 26, 1, 
2015/10/5, 32, , 31, , 
2015/10/6, 31, , 30, 4, 
2015/10/7, 30, , 35, 3, 
2015/10/8, 32, , 36, 5, 
2015/10/9, 42, , 47, 5, 
2015/10/10, 44, , 33, 4, 
2015/10/11, 63, , 47, 3, 
2015/10/12, 67, , 59, 3, 
2015/10/13, 44, , 36, 2, 
2015/10/14, 50, , 28, , 
2015/10/15, 33, , 29, , 
2015/10/16, 23, , 31, 4, 
2015/10/17, 21, , 37, 2, 
2015/10/18, 27, , 31, , 
2015/10/19, 31, , 30, 3, 
2015/10/20, 24, , 41, 2, 
2015/10/21, 27, , 51, 4, 
2015/10/22, 34, , 30, , 
2015/10/23, 38, , 28, , 
2015/10/24, 29, , 31, 1, 
2015/10/25, 31, , 32, 2, 
2015/10/26, 26, , 35, 3, 
2015/10/27, 22, , 35, 1, 
2015/10/28, 33, , 37, 2, 
2015/10/29, 37, , 29, 2, 
2015/10/30, 63, , 29, 1, 
2015/10/31, 46, , 23, 3, 
2015/11/1, 28, , 29, 3, 
2015/11/2, 25, , 30, 1, 
2015/11/3, 24, , 38, 3, 
2015/11/4, 34, , 40, 3, 
2015/11/5, 64, , 29, 4, 
2015/11/6, 34, , 31, 2, 
2015/11/7, 31, , 29, 1, 
2015/11/8, 45, , 29, 2, 
