date, pm25, pm10, o3, no2, so2, co
2020/6/2, 16, 4, 19, , , 
2020/6/3, 8, 7, 19, 5, , 
2020/6/4, 15, 11, 20, 9, 1, 
2020/6/5, 26, 15, 17, 11, 1, 
2020/6/6, 41, 15, 21, 9, 1, 
2020/6/7, 39, 13, 20, 3, 1, 
2020/6/8, 36, 8, 20, 1, , 
2020/6/9, 15, 8, , 6, 1, 
2020/6/10, 13, 7, 12, 8, 1, 
2020/6/11, 15, 7, 18, 4, 1, 
2020/6/12, 16, 9, 8, 4, 1, 
2020/6/13, 17, , , , , 
2020/5/2, 10, 8, 23, , , 
2020/5/3, 12, 8, 19, 5, , 
2020/5/4, 23, 11, 18, 6, 1, 
2020/5/5, 19, 10, 18, 7, 1, 
2020/5/6, 24, 14, 19, 11, 1, 
2020/5/7, 30, 19, 12, 13, 1, 
2020/5/8, 34, 20, 18, 9, 1, 
2020/5/9, 32, 18, 20, 10, 1, 
2020/5/10, 26, 6, 20, 1, 1, 
2020/5/11, 11, 9, 19, 8, 1, 
2020/5/12, 22, 14, 20, 11, 1, 
2020/5/13, 32, 15, 15, 9, 1, 
2020/5/14, 31, 9, 19, 4, 1, 
2020/5/15, 14, 10, 19, 2, 1, 
2020/5/16, 11, 7, 19, 5, 1, 
2020/5/17, 13, 11, 19, 7, 1, 
2020/5/18, 27, 6, 16, 6, 1, 
2020/5/19, 11, 11, 18, 8, 1, 
2020/5/20, 21, 13, 17, 8, 1, 
2020/5/21, 26, 3, 21, 6, 1, 
2020/5/22, 21, 3, 18, 1, , 
2020/5/23, 11, 3, 18, , 1, 
2020/5/24, 10, 5, 20, 1, , 
2020/5/25, 10, 4, 22, 1, 1, 
2020/5/26, 10, 8, 19, 2, 1, 
2020/5/27, 12, 8, 18, 8, 1, 
2020/5/28, 19, 9, 20, 10, 1, 
2020/5/29, 19, 12, 14, 8, 1, 
2020/5/30, 28, 15, 20, 7, 1, 
2020/5/31, 35, 11, 15, 3, 1, 
2020/6/1, 38, 9, 20, 9, 1, 
2020/4/2, 16, 12, 14, 4, 1, 
2020/4/3, 25, 9, 16, 3, 1, 
2020/4/4, 18, 7, 19, 1, , 
2020/4/5, 15, 9, 16, , , 
2020/4/6, 17, 7, 15, 2, , 
2020/4/7, 11, 11, 18, 5, 1, 
2020/4/8, 19, 8, 17, 6, 1, 
2020/4/9, 11, 9, 20, 6, 1, 
2020/4/10, 20, 8, 18, 4, , 
2020/4/11, 19, 9, 21, , , 
2020/4/12, 12, 12, 19, 5, 1, 
2020/4/13, 27, 16, 23, 6, 2, 
2020/4/14, 32, 20, 28, 14, 2, 
2020/4/15, 40, 16, 33, 12, 1, 
2020/4/16, 34, 22, 6, 17, 1, 
2020/4/17, 35, 13, 21, 7, , 
