date, pm25, pm10, o3, no2, so2, co
2020/6/2, 33, 8, 15, 7, 1, 
2020/6/3, 12, 14, 20, 9, 1, 1
2020/6/4, 18, 18, 16, 15, 1, 2
2020/6/5, 24, 26, 9, 18, 2, 3
2020/6/6, 47, 18, 17, 12, 1, 3
2020/6/7, 41, 21, 17, 6, 1, 4
2020/6/8, 62, 10, 18, 3, 1, 1
2020/6/9, 18, 13, 15, 11, 1, 1
2020/6/10, 19, 10, 6, 15, 1, 2
2020/6/11, 23, 11, 16, 9, 1, 1
2020/6/12, 28, , , , , 
2020/5/2, 12, 10, 21, 1, , 
2020/5/3, 10, 12, 19, 7, 1, 1
2020/5/4, 23, 15, 18, 8, 1, 1
2020/5/5, 26, 14, 14, 9, 1, 1
2020/5/6, 19, 18, 11, 16, 1, 2
2020/5/7, 34, 20, 12, 14, 1, 1
2020/5/8, 34, 16, 18, 12, 1, 1
2020/5/9, 21, 15, 18, 8, 1, 1
2020/5/10, 20, 8, 20, 7, , 1
2020/5/11, 12, 17, 17, 11, 1, 2
2020/5/12, 30, 17, 15, 14, 1, 2
2020/5/13, 29, 24, 6, 18, 1, 2
2020/5/14, 45, 16, 15, 8, 1, 1
2020/5/15, 28, 14, 14, 10, 1, 1
2020/5/16, 23, 12, 17, 9, 1, 1
2020/5/17, 28, 16, 17, 8, 1, 3
2020/5/18, 48, 17, 7, 13, 1, 2
2020/5/19, 32, 13, 12, 13, 1, 1
2020/5/20, 25, 20, 14, 11, 1, 1
2020/5/21, 25, 11, 15, 10, 1, 1
2020/5/22, 21, 7, 16, 3, , 
2020/5/23, 10, 6, 16, 3, , 
2020/5/24, 12, 8, 20, 1, , 
2020/5/25, 11, 10, 20, 6, , 
2020/5/26, 16, 12, 16, 6, , 
2020/5/27, 16, 17, 14, 12, 1, 1
2020/5/28, 20, 19, 12, 12, 1, 3
2020/5/29, 36, 20, 7, 13, 1, 2
2020/5/30, 31, 16, 15, 9, 1, 3
2020/5/31, 38, 16, 13, 9, 1, 1
2020/6/1, 33, 16, 18, 6, 1, 4
2020/4/2, 23, 18, 10, 11, 5, 1
2020/4/3, 22, 11, 14, 7, 1, 1
2020/4/4, 16, 10, 19, 2, , 
2020/4/5, 13, 11, 18, 4, , 
2020/4/6, 12, 14, 15, 6, 1, 1
2020/4/7, 13, 13, 17, 6, 1, 1
2020/4/8, 19, 10, 15, 8, , 1
2020/4/9, 16, 12, 15, 9, 1, 1
2020/4/10, 17, 10, 11, 7, 1, 2
2020/4/11, 17, 10, 20, 4, , 
2020/4/12, 14, 12, 20, 7, , 
2020/4/13, 18, 18, 26, 6, 3, 1
2020/4/14, 37, 23, 25, 16, 1, 1
2020/4/15, 42, 30, 33, 18, 2, 1
2020/4/16, 48, 22, 19, 13, 1, 1
2020/4/17, 36, 18, 20, 6, , 
2020/4/18, 21, 16, 22, 8, 1, 1
2020/4/19, 24, 16, 24, 9, 1, 1
