date, pm25, pm10, o3, no2, so2, co
2020/6/2, 16, 6, 14, 6, , 1
2020/6/3, 11, 10, 20, 5, 1, 2
2020/6/4, 16, 13, 17, 8, 1, 2
2020/6/5, 20, 15, 16, 7, 1, 3
2020/6/6, 41, 17, 18, 5, 1, 4
2020/6/7, 49, 17, 16, 3, 1, 4
2020/6/8, 52, 9, 19, 2, 1, 2
2020/6/9, 14, 10, 12, 6, 1, 3
2020/6/10, 21, 8, 14, 7, 1, 3
2020/6/11, 23, 10, 14, 7, 1, 2
2020/6/12, 18, 8, 8, 7, , 3
2020/6/13, 20, , , , , 
2020/5/2, 9, 7, 22, 1, , 
2020/5/3, 14, 12, 20, 2, , 2
2020/5/4, 23, 13, 16, 6, 1, 3
2020/5/5, 28, 11, 14, 5, , 3
2020/5/6, 18, 11, 19, 4, 1, 3
2020/5/7, 30, 11, 14, 5, 1, 3
2020/5/8, 21, 10, 20, 3, 1, 2
2020/5/9, 20, 10, 19, 2, , 2
2020/5/10, 15, 8, 21, 2, 1, 1
2020/5/11, 19, 10, 16, 6, 1, 3
2020/5/12, 23, 12, 19, 6, 2, 3
2020/5/13, 25, 13, 9, 9, 1, 3
2020/5/14, 29, 14, 12, 9, 1, 3
2020/5/15, 30, 10, 12, 7, 1, 3
2020/5/16, 21, 11, 13, 4, , 3
2020/5/17, 26, 15, 17, 3, , 4
2020/5/18, 56, 12, 7, 6, , 4
2020/5/19, 33, 9, 16, 4, 1, 3
2020/5/20, 21, 9, 17, 3, , 2
2020/5/21, 19, 7, 14, 5, , 2
2020/5/22, 19, 4, 16, 5, , 1
2020/5/23, 7, 5, 14, 3, , 1
2020/5/24, 13, 8, 21, 1, , 1
2020/5/25, 16, 9, 19, 4, , 2
2020/5/26, 9, 12, 15, 7, , 3
2020/5/27, 14, 10, 13, 6, 1, 3
2020/5/28, 18, 14, 13, 6, 1, 4
2020/5/29, 36, 13, 7, 8, , 4
2020/5/30, 30, 13, 20, 2, 1, 4
2020/5/31, 35, 9, 14, 3, 2, 2
2020/6/1, 22, 6, 20, 2, 1, 2
2020/4/2, 14, 10, 15, 3, 8, 3
2020/4/3, 23, 7, 17, 2, 1, 2
2020/4/4, 14, 6, 19, 1, , 1
2020/4/5, 11, 12, 18, 1, , 1
2020/4/6, 14, 10, 16, 2, , 1
2020/4/7, 14, 11, 15, 4, 1, 
2020/4/8, 14, 10, 14, 7, , 2
2020/4/9, 15, 11, 12, 6, 1, 2
2020/4/10, 11, 6, 14, 1, , 2
2020/4/11, 8, 6, 21, 1, , 1
2020/4/12, 7, 13, 21, 1, , 2
2020/4/13, 21, 17, 25, 2, 1, 3
2020/4/14, 38, 18, 31, 4, 1, 2
2020/4/15, 36, 20, 34, 6, 2, 
2020/4/16, 39, 13, 21, 5, 1, 2
2020/4/17, 19, 14, 20, 5, , 
2020/4/18, 19, 14, 23, 2, 1, 1
2020/4/19, 26, 15, 23, 2, 1, 3
2020/4/20, 32, 12, 17, 2, 1, 3
2020/4/21, 25, 16, 21, 5, 1, 2
2020/4/22, 22, 14, 21, 4, 1, 3
2020/4/23, 24, 18, 26, 5, 3, 2
2020/4/24, 22, 22, 23, 5, 1, 3
2020/4/25, 21, 20, 33, 4, 2, 2
2020/4/26, 27, 17, 20, 1, 1, 2
2020/4/27, 19, 15, 9, 6, 1, 2
2020/4/28, 19, 12, 19, 2, , 2
2020/4/29, 15, 10, 19, 3, 3, 2
2020/4/30, 15, 8, 15, 5, 1, 2
2020/5/1, 14, 4, 19, 1, 1, 1
2020/3/2, 22, 23, 34, 5, 6, 2
2020/3/3, 26, 23, 16, 3, , 3
2020/3/4, 26, 15, 17, 4, , 2
2020/3/5, 18, 14, 17, 5, 3, 3
2020/3/6, 14, 12, 19, 5, 1, 2
2020/3/7, 19, 13, 18, 2, 1, 
2020/3/8, 16, 8, 14, 2, , 2
2020/3/9, 9, 9, 13, 4, , 2
2020/3/10, 7, 9, 14, 5, 1, 2
2020/3/11, 12, 10, 15, 4, 1, 2
2020/3/12, 15, 9, 17, 3, , 2
2020/3/13, 7, 10, 22, 4, 4, 2
2020/3/14, 9, 12, 14, 4, 1, 3
2020/3/15, 15, 11, 14, 2, 1, 2
2020/3/16, 12, 9, 11, 5, , 2
2020/3/17, 12, 10, 14, 3, , 2
2020/3/18, 12, 14, 24, 2, 2, 2
2020/3/19, 15, 16, 41, 6, 1, 2
2020/3/20, 23, 21, 31, 4, 1, 2
2020/3/21, 26, 20, 20, 1, , 
2020/3/22, 21, 17, 30, 1, 1, 2
2020/3/23, 20, 15, 15, 3, , 
2020/3/24, 22, 10, 15, 1, , 
2020/3/25, 9, 13, 14, 5, 1, 2
2020/3/26, 16, 14, 14, 3, , 2
2020/3/27, 17, 12, 17, 4, , 2
2020/3/28, 17, 12, 17, 2, , 2
2020/3/29, 18, 9, 18, 1, 1, 2
2020/3/30, 18, 9, 16, 3, 1, 2
2020/3/31, 16, 14, 23, 3, 1, 2
2020/4/1, 15, 12, 19, 3, , 2
2020/2/2, 30, 32, , 3, 3, 4
2020/2/3, 58, 26, , 5, , 4
2020/2/4, 35, 30, 20, 3, 1, 3
2020/2/5, 52, 12, 20, 2, 1, 2
2020/2/6, 14, 10, 13, 1, , 2
2020/2/7, 8, 9, 20, 2, , 2
2020/2/8, 12, 14, 18, , , 
2020/2/9, 16, 12, 14, , , 3
2020/2/10, 10, 11, , 2, 1, 3
2020/2/11, 10, 17, 41, 3, 3, 
2020/2/12, 13, 13, 21, 2, 2, 
2020/2/13, 12, 13, 17, 4, , 
2020/2/14, 17, 14, 13, 3, 1, 2
2020/2/15, 13, 22, 28, 3, 1, 3
2020/2/16, 24, 13, 21, 3, 1, 2
2020/2/17, 15, 12, 12, 4, , 3
2020/2/18, 13, 13, 41, 2, 4, 
2020/2/19, 21, 5, , 3, , 9
2020/2/20, 12, 12, 20, 4, 1, 2
2020/2/21, 14, 17, 21, 3, , 2
2020/2/22, 21, 10, 16, 2, , 
2020/2/23, 13, 10, 18, 1, 1, 
2020/2/24, 12, 11, 19, 2, 4, 2
2020/2/25, 12, 13, 25, 4, 8, 2
2020/2/26, 13, 14, 26, 3, 1, 3
2020/2/27, 16, 31, 21, 3, 1, 2
2020/2/28, 28, 17, 23, 4, , 
2020/2/29, 17, 15, 19, 4, , 
2020/3/1, 19, 17, 31, 4, 7, 3
2020/1/2, 67, 40, 21, 1, , 4
2020/1/3, 67, 34, 33, 2, 3, 4
2020/1/4, 54, 30, 69, 3, 4, 5
2020/1/5, 52, 59, 26, 1, , 5
2020/1/6, 106, 43, 17, 3, , 3
2020/1/7, 68, 21, 29, 3, 3, 5
2020/1/8, 40, 51, 47, 3, , 19
2020/1/9, 112, 51, 23, 4, 1, 9
2020/1/10, 131, 12, 39, 4, 4, 5
2020/1/11, 30, 34, 20, 3, 5, 5
2020/1/12, 67, 46, 16, 3, , 5
2020/1/13, 94, 33, 17, 6, , 4
2020/1/14, 80, 15, 19, 2, , 2
2020/1/15, 25, 12, 20, 2, 1, 3
2020/1/16, 17, 20, 32, 6, 1, 5
2020/1/17, 44, 40, 23, 5, , 9
2020/1/18, 94, 21, 23, 3, , 5
2020/1/19, 46, 12, 19, 3, , 4
2020/1/20, 21, 17, 30, 4, 9, 3
2020/1/21, 21, 18, , 3, 1, 2
2020/1/22, 25, 25, 33, 5, 4, 4
2020/1/23, 32, 104, 43, 4, 3, 3
2020/1/24, 63, 63, 28, 5, , 6
2020/1/25, 90, 45, 24, 1, , 3
2020/1/26, 45, 21, 49, 2, 3, 
2020/1/27, 38, 35, 33, 2, 1, 4
2020/1/28, 63, 23, 38, 4, 4, 3
2020/1/29, 27, 27, 28, 2, , 4
2020/1/30, 55, 23, 36, 3, 2, 3
2020/1/31, 51, 21, 44, 4, 6, 
2020/2/1, 39, 25, 39, 3, 3, 3
2019/10/2, 21, 11, 30, 6, 3, 
2019/10/3, 18, 15, 36, 8, 5, 2
2019/10/4, 33, , 29, 3, 2, 2
2019/10/6, 31, 9, 23, 1, 1, 2
2019/10/7, 15, 18, 22, 3, 1, 
2019/10/8, 27, 20, 19, 5, , 2
2019/10/9, 34, 8, , 4, 1, 
2019/10/10, 19, 12, 19, 5, , 2
2019/10/11, 18, 8, 16, 5, , 3
2019/10/12, 11, 7, 13, 5, , 3
2019/10/13, 12, 7, 5, 3, , 2
2019/10/14, 16, 8, , 2, 3, 2
2019/10/15, 14, 13, , 5, 5, 2
2019/10/16, 18, 18, , 8, , 
2019/10/17, 27, 16, 2, 10, , 2
2019/10/18, 31, 13, 2, 12, , 
2019/10/19, 17, 13, 5, 8, , 
2019/10/20, 20, 17, 2, 8, , 
2019/10/21, 22, 12, 21, 2, , 2
2019/10/22, 21, 11, 24, 5, 5, 2
2019/10/23, 22, 14, 27, 4, 5, 3
2019/10/24, 27, 22, 37, 7, 1, 3
2019/10/25, 39, 24, 37, 6, 1, 2
2019/10/26, 53, 47, 29, 1, , 2
2019/10/27, 56, 34, 27, 3, , 1
2019/10/28, 25, 15, 19, 5, 1, 2
2019/10/29, 21, 19, 38, 4, 3, 3
2019/10/30, 40, 45, 48, 9, 5, 8
2019/10/31, 97, 75, 55, 7, 3, 9
2019/11/1, 164, 45, 44, 4, 8, 4
2019/11/2, 107, 35, 40, 3, 2, 4
2019/11/3, 74, 31, 26, 4, 2, 4
2019/11/4, 62, 16, 31, 3, , 3
2019/11/5, 43, 9, 20, 3, 1, 2
2019/11/6, 15, 9, 32, 3, 1, 1
2019/11/7, 16, 16, 27, 3, , 1
2019/11/8, 22, 24, 22, 2, , 2
2019/11/9, 28, 16, 22, 2, , 1
2019/11/10, 19, 10, 22, 2, , 1
2019/11/11, 11, 16, 35, 4, 4, 5
2019/11/12, 25, 58, 31, 4, 1, 6
2019/11/13, 121, 56, 25, 2, , 1
2019/11/14, 52, 15, 28, 5, 5, 
2019/11/15, 19, 17, 28, 5, 1, 1
2019/11/16, 24, 25, 18, 1, , 2
2019/11/17, 19, , , , , 
2019/11/20, 146, 36, 21, 3, 1, 2
2019/11/21, 72, 42, 52, 4, 3, 8
2019/11/22, 91, 60, 16, 8, 1, 6
2019/11/23, 134, 34, 16, 3, 1, 
2019/11/24, 55, 26, 21, 1, 1, 2
2019/11/25, 44, 20, 38, 3, 1, 4
2019/11/26, 40, 54, 36, 3, 1, 5
2019/11/27, 104, 68, 28, 2, , 1
2019/11/28, 68, 26, 37, 4, 2, 3
2019/11/29, 46, 55, 62, 5, 6, 5
2019/11/30, 84, 53, 20, 5, 1, 4
2019/12/1, 105, 25, 21, 2, 1, 2
2019/12/2, 48, 20, 22, 1, , 1
2019/12/3, 33, 18, 33, 3, , 2
2019/12/4, 37, 30, 64, 4, 2, 5
2019/12/5, 60, 50, 33, 4, , 3
2019/12/6, 113, 54, 36, 6, 2, 3
2019/12/7, 70, 47, 39, 1, , 4
2019/12/8, 92, 33, 19, 1, , 2
2019/12/9, 69, 26, 24, 1, 1, 3
2019/12/10, 45, 77, 73, 9, 2, 20
2019/12/11, 130, 66, 20, 4, 1, 2
2019/12/12, 125, 22, 20, 2, , 2
2019/12/13, 47, 17, 17, 5, 1, 2
2019/12/14, 43, 23, 39, 2, 2, 4
2019/12/15, 52, 33, 36, 2, 2, 4
2019/12/16, 75, 31, 18, 3, 1, 2
2019/12/17, 66, 18, 19, 4, 1, 
2019/12/18, 34, 14, 27, 3, 3, 2
2019/12/19, 19, 50, 85, 7, 3, 10
2019/12/20, 96, 50, 19, 4, , 2
2019/12/21, 96, 40, 50, 4, 6, 6
2019/12/22, 67, 48, 19, 1, , 2
2019/12/23, 88, 33, 21, 6, 1, 2
2019/12/24, 59, 22, 22, 2, , 3
2019/12/25, 44, 20, 25, 1, , 
2019/12/26, 39, 16, 27, 1, 2, 2
2019/12/27, 41, 12, 25, 1, 1, 
2019/12/28, 24, 13, 45, 2, 5, 2
2019/12/29, 18, 23, 33, 4, 3, 3
2019/12/30, 36, , , , , 
2019/7/2, 29, 12, 6, 11, 1, 4
2019/7/3, 37, 18, 12, 12, 1, 5
2019/7/4, 50, 17, 9, 12, 1, 4
2019/7/5, 37, 8, 18, 7, , 3
2019/7/6, 17, 7, 18, 5, , 4
2019/7/7, 36, 7, 18, 4, 1, 3
2019/7/8, 26, 8, 16, 5, 1, 3
2019/7/9, 25, 6, 15, 7, 1, 2
2019/7/10, 22, 6, 20, 4, 2, 3
2019/7/11, 24, 6, 23, 2, , 1
2019/7/12, 15, 11, 21, 1, 1, 2
2019/7/13, 20, 8, 24, 2, 1, 1
2019/7/14, 14, 6, 23, 1, , 1
2019/7/15, 9, 6, 21, 7, , 2
2019/7/16, 12, 8, 17, 7, 1, 2
2019/7/17, 20, 7, 21, 4, , 
2019/7/18, 15, 6, 20, 7, , 2
2019/7/19, 14, 10, 18, 9, , 3
2019/7/20, 34, 13, 14, 5, 1, 5
2019/7/21, 49, , , , , 
2019/7/23, 43, 13, 23, 9, 1, 2
2019/7/24, 30, 12, 20, 8, 1, 3
2019/7/25, 21, 13, 20, 9, 1, 3
2019/7/26, 27, 13, 9, 10, 1, 4
2019/7/27, 30, 17, 17, 7, 1, 4
2019/7/28, 46, 15, 21, 5, 1, 4
