date, pm25, pm10, o3, no2, so2, co
20-06-02,34,6,13,8, , 
20-06-03,13,10,20,8, , 
20-06-04,18,15,18,12, , 
20-06-05,21,22,9,17, , 
20-06-06,43,22,16,13, , 
20-06-07,58,21,17,7, , 
20-06-08,65,10,8,7, , 
20-06-09,21, , , , , 
20-05-02,6,9,21,2, , 
20-05-03,11,14,19,5, , 
20-05-04,23,12,18,6, , 
20-05-05,21,13,16,8, , 
20-05-06,17,16,15,14, , 
20-05-07,32,15,12,13, , 
20-05-08,34,15,18,15, , 
20-05-09,22,11,17,6, , 
20-05-10,16,8,20,4, , 
20-05-11,15,12,17,9, , 
20-05-12,19,14,15,14, , 
20-05-13,31,21,7,17, , 
20-05-14,38,13,16,8, , 
20-05-15,26,11,16,10, , 
20-05-16,19,12,15,8, , 
20-05-17,28,19,17,7, , 
20-05-18,61,14,12,11, , 
20-05-19,35,12,12,14, , 
20-05-20,24,12,14,9, , 
20-05-21,20,10,13,11, , 
20-05-22,16,4,15,4, , 
20-05-23,9,5,16,5, , 
20-05-24,11,12,20,1, , 
20-05-25,11,8,20,2, , 
20-05-26,11,14,18,5, , 
20-05-27,17,12,17,9, , 
20-05-28,16,15,12,10, , 
20-05-29,33,15,7,14, , 
20-05-30,25,17,17,10, , 
20-05-31,39,20,12,9, , 
20-06-01,40,17,17,7, , 
20-04-02,17,14,11,5, , 
20-04-03,21,9,16,8, , 
20-04-04,14,10,19,1, , 
20-04-05,10,11,17,8, , 
20-04-06,12,11,16,5, , 
20-04-07,14,12,18,5, , 
20-04-08,13,8,18,3, , 
20-04-09,13,11,16,7, , 
20-04-10,10,8,14,6, , 
20-04-11,18,10,20,3, , 
20-04-12,11,14,19,4, , 
20-04-13,21,20,25,8, , 
20-04-14,40,22,26,11, , 
20-04-15,43,27,32,18, , 
20-04-16,49,19,17,12, , 
20-04-17,37,14,22,8, , 
20-04-18,12,16,22,8, , 
20-04-19,22,18,22,8, , 
20-04-20,36,22,8,15, , 
20-04-21,37,24,20,13, , 
20-04-22,31,20,21,13, , 
20-04-23,28,25,23,17, , 
20-04-24,33,30,19,18, , 
20-04-25,36,26,33,10, , 
20-04-26,36,20,19,7, , 
20-04-27,29,16,16,7, , 
20-04-28,16,16,18,9, , 
20-04-29,20,12,14,9, , 
20-04-30,16,8,12,11, , 
20-05-01,13,5,18,4, , 
20-03-02,22,26,34,10, , 
20-03-03,26,24,18,2, , 
20-03-04,20,14,16,7, , 
20-03-05,12,15,16,8, , 
20-03-06,17,14,19,6, , 
20-03-07,17,13,18,2, , 
20-03-08,13,8,15,3, , 
20-03-09,8,8,15,4, , 
20-03-10,7,8,14,7, , 
20-03-11,11,12,15,7, , 
20-03-12,14,10,17,9, , 
20-03-13,11,12,17,10, , 
20-03-14,17,14,20,4, , 
20-03-15,14,13,16,1, , 
20-03-16,16,9,13,3, , 
20-03-17,10,10,15,6, , 
20-03-18,13,17,20,11, , 
20-03-19,20,18,34,17, , 
20-03-20,16,30,28,14, , 
20-03-21,32,22,20,4, , 
20-03-22,19,20,30,4, , 
20-03-23,24,16,16,3, , 
20-03-24,16,12,16,6, , 
20-03-25,14,17,20,7, , 
20-03-26,18,16,17,4, , 
20-03-27,17,16,16,7, , 
20-03-28,16,13,18,6, , 
20-03-29,19,9,17,4, , 
20-03-30,10,12,11,11, , 
20-03-31,15,17,22,7, , 
20-04-01,22,17,20,4, , 
20-02-02,33,31,25,3, , 
20-02-03,46,26,35,6, , 
20-02-04,39,31,19,3, , 
20-02-05,53,14,17,6, , 
20-02-06,13,13,12,5, , 
20-02-07,11,12,19,6, , 
20-02-08,10,15,17,4, , 
20-02-09,11,18,15,3, , 
20-02-10,12,12,23,1, , 
20-02-11,10,17,33,10, , 
20-02-12,23,11,12,5, , 
20-02-13,13,16,13,5, , 
20-02-14,21,17,14,3, , 
20-02-15,15,18,19,6, , 
20-02-16,21,13,16,1, , 
20-02-17,14,9,9,8, , 
20-02-18,11,14,34,7, , 
20-02-19,22,19,25,7, , 
20-02-20,11,14,19,6, , 
20-02-21,15,19,17,6, , 
20-02-22,22,12,14,3, , 
20-02-23,15,12,17,4, , 
20-02-24,11,14,19,8, , 
20-02-25,12,15,23,8, , 
20-02-26,18,18,26,8, , 
20-02-27,20,33,18,5, , 
20-02-28,30,21,22,7, , 
20-02-29,22,16,19,6, , 
20-03-01,16,18,25,8, , 
20-01-02,73,47,17,3, , 
20-01-03,79,35,28,3, , 
20-01-04,61,33,75,6, , 
20-01-05,51,62,24,1, , 
20-01-06,108,44,18,5, , 
20-01-07,66,24,25,7, , 
20-01-08,48,58,51,3, , 
20-01-09,120,54,22,2, , 
20-01-10,129,12,31,6, , 
20-01-11,25,41,19,4, , 
20-01-12,68,49,16,5, , 
20-01-13,94,39,15,8, , 
20-01-14,87,19,16,6, , 
20-01-15,27,16,16,7, , 
20-01-16,22,25,29,13, , 
20-01-17,52,39,24,4, , 
20-01-18,85,21,23,3, , 
20-01-19,46,11,21,6, , 
20-01-20,23,16,26,8, , 
20-01-21,20,17,34,9, , 
20-01-22,25,30,27,9, , 
20-01-23,29,59,39,14, , 
20-01-24,46,58,21,2, , 
20-01-25,76,48,23,3, , 
20-01-26,44,25,44,6, , 
20-01-27,33,34,29,2, , 
20-01-28,58,27,26,5, , 
20-01-29,36,30,25,3, , 
20-01-30,50,26,30,7, , 
20-01-31,42,21,26,7, , 
20-02-01,30,29,56,8, , 
