date, pm25, o3, no2, so2, co
2020/7/2, 7, 27, 2, 1, 
2020/7/3, 15, 23, 3, 1, 
2020/7/4, 11, 26, 7, 8, 
2020/7/5, 67, 25, 4, 1, 
2020/7/6, 50, 25, 2, , 
2020/7/7, 13, 17, 3, , 
2020/7/8, 12, 23, 6, , 
2020/7/9, 19, , , , 
2020/6/2, 12, 21, 6, 1, 1
2020/6/3, 14, 28, 5, 1, 1
2020/6/4, 12, 30, 2, 1, 1
2020/6/5, 10, 24, 5, 1, 1
2020/6/6, 15, 26, 2, 1, 1
2020/6/7, 12, 22, 1, 1, 1
2020/6/8, 11, 23, 1, 1, 1
2020/6/9, 12, 13, 2, 1, 1
2020/6/10, 8, 16, 4, 1, 1
2020/6/11, 6, 28, 7, 1, 1
2020/6/12, 15, 17, 10, 1, 
2020/6/13, 8, 22, 5, 1, 
2020/6/14, 6, 23, 1, 1, 
2020/6/15, 9, 23, 2, 1, 
2020/6/16, 7, 27, 5, 1, 
2020/6/17, 11, 24, 5, 1, 
2020/6/18, 11, 22, 4, 1, 
2020/6/19, 13, 19, 10, 1, 
2020/6/20, 17, 15, 4, 1, 
2020/6/21, 12, 22, 3, 1, 
2020/6/22, 9, 29, 5, 1, 
2020/6/23, 9, 21, 6, 1, 
2020/6/24, 10, 18, 6, 1, 
2020/6/25, 9, 20, 7, 1, 
2020/6/26, 18, 26, 7, 1, 
2020/6/27, 17, 17, 1, 1, 
2020/6/28, 6, 21, 4, 1, 
2020/6/29, 8, 16, 2, 1, 
2020/6/30, 19, 22, 1, 1, 
2020/7/1, 11, 17, 2, 1, 
2020/5/2, 12, 32, 5, 1, 1
2020/5/3, 17, 32, 2, 1, 1
2020/5/4, 13, 30, 6, 1, 1
2020/5/5, 10, 34, 6, 1, 1
2020/5/6, 12, 33, 2, 1, 1
2020/5/7, 10, 30, 3, 1, 1
2020/5/8, 13, 34, 4, 1, 1
2020/5/9, 16, 35, 2, 1, 1
2020/5/10, 9, 36, 7, 1, 1
2020/5/11, 20, 31, 7, 1, 1
2020/5/12, 17, 26, 7, 1, 1
2020/5/13, 19, 31, 2, 1, 1
2020/5/14, 8, 31, 5, 1, 1
2020/5/15, 11, 34, 2, 1, 1
2020/5/16, 14, 16, 6, 1, 2
2020/5/17, 15, 32, 2, 1, 1
2020/5/18, 11, 28, 4, 1, 1
2020/5/19, 11, 23, 1, 1, 1
2020/5/20, 11, 29, 3, 1, 1
2020/5/21, 10, 26, 3, 1, 1
2020/5/22, 6, 23, 3, 1, 1
2020/5/23, 9, 27, 3, 1, 1
2020/5/24, 13, 23, 8, 1, 1
2020/5/25, 23, 21, 6, 1, 1
2020/5/26, 14, 26, 4, 1, 1
2020/5/27, 6, 32, 6, 1, 1
2020/5/28, 15, 32, 9, 1, 1
2020/5/29, 15, 34, 5, 1, 1
2020/5/30, 17, 23, 5, 1, 1
2020/5/31, 15, 21, 2, , 1
2020/6/1, 7, 28, 3, 1, 1
2020/4/2, 11, 27, 6, 1, 1
2020/4/3, 18, 27, 2, 1, 1
2020/4/4, 8, 28, 3, 1, 1
2020/4/5, 14, 26, 3, 1, 1
2020/4/6, 12, 29, 6, 1, 1
2020/4/7, 17, 30, 7, 1, 1
2020/4/8, 23, 31, 8, 1, 2
2020/4/9, 33, 33, 6, 1, 1
2020/4/10, 30, 27, 6, 1, 1
2020/4/11, 26, 35, 2, 1, 1
2020/4/12, 19, 37, 3, 1, 1
2020/4/13, 23, 35, 6, 1, 1
2020/4/14, 15, 32, 5, 1, 1
2020/4/15, 22, 34, 4, 1, 1
2020/4/16, 11, 32, 7, 1, 1
2020/4/17, 21, 30, 9, 1, 2
2020/4/18, 16, 25, 6, 1, 1
2020/4/19, 19, 27, 1, 1, 1
2020/4/20, 12, 27, 4, 1, 1
2020/4/21, 16, 27, 1, 1, 1
2020/4/22, 8, 21, 6, 1, 1
2020/4/23, 9, 23, 5, 1, 1
2020/4/24, 9, 21, 8, 1, 1
2020/4/25, 11, 32, 5, 1, 1
2020/4/26, 21, 32, 2, 1, 1
2020/4/27, 18, 30, 2, 1, 1
2020/4/28, 14, 23, 8, 1, 1
2020/4/29, 21, 24, 4, 1, 1
2020/4/30, 13, 30, 1, 1, 1
2020/5/1, 9, 34, 3, 1, 1
2020/3/2, 20, 24, 7, , 2
2020/3/3, 17, 25, 4, 1, 1
2020/3/4, 6, 28, 9, 1, 2
2020/3/5, 24, 25, 8, 1, 2
2020/3/6, 16, 26, 11, 1, 2
2020/3/7, 13, 27, 10, 1, 2
2020/3/8, 26, 27, 8, 1, 2
2020/3/9, 17, 18, 9, 1, 2
2020/3/10, 19, 29, 8, 1, 1
2020/3/11, 14, 28, 5, 1, 1
2020/3/12, 13, 25, 9, 1, 2
2020/3/13, 15, 28, 5, 1, 1
2020/3/14, 19, 27, 2, 1, 1
2020/3/15, 15, 30, 3, 1, 1
