date, pm25, o3, no2, so2, co
2020/7/2, 17, 27, 12, 1, 3
2020/7/3, 32, 23, 10, 1, 3
2020/7/4, 17, 26, 8, 8, 3
2020/7/5, 30, 25, 6, 1, 2
2020/7/6, 53, 25, 10, , 3
2020/7/7, 20, 17, 7, , 2
2020/7/8, 11, 23, 11, , 3
2020/7/9, 25, , , , 
2020/6/2, 21, 21, 13, 1, 
2020/6/3, 21, 28, 9, 1, 
2020/6/4, 18, 30, 6, 1, 
2020/6/5, 17, 24, 10, 1, 
2020/6/6, 17, 26, 7, 1, 
2020/6/7, 11, 22, 9, 1, 
2020/6/8, 13, 23, 9, 1, 
2020/6/9, 16, 13, 8, 1, 
2020/6/10, 12, 16, 13, 1, 
2020/6/11, 17, 28, 12, 1, 
2020/6/12, 17, 17, 12, 1, 
2020/6/13, 16, 22, 8, 1, 
2020/6/14, 8, 23, 5, 1, 
2020/6/15, 11, 23, 9, 1, 2
2020/6/16, 13, 27, 10, 1, 2
2020/6/17, 17, 24, 12, 1, 3
2020/6/18, 23, 22, 9, 1, 2
2020/6/19, 20, 19, 16, 1, 3
2020/6/20, 32, 15, 8, 1, 1
2020/6/21, 17, 22, 7, 1, 1
2020/6/22, 12, 29, 11, 1, 2
2020/6/23, 18, 21, 10, 1, 1
2020/6/24, 15, 18, 13, 1, 3
2020/6/25, 18, 20, 13, 1, 6
2020/6/26, 99, 26, 10, 1, 3
2020/6/27, 27, 17, 3, 1, 1
2020/6/28, 10, 21, 8, 1, 2
2020/6/29, 12, 16, 9, 1, 2
2020/6/30, 24, 22, 10, 1, 2
2020/7/1, 18, 17, 10, 1, 2
2020/5/2, 21, 32, 10, 1, 3
2020/5/3, 23, 32, 4, 1, 2
2020/5/4, 11, 30, 15, 1, 4
2020/5/5, 19, 34, 16, 1, 
2020/5/6, 18, 33, 7, 1, 2
2020/5/7, 16, 30, 7, 1, 2
2020/5/8, 17, 34, 13, 1, 
2020/5/9, 17, 35, 10, 1, 
2020/5/10, 17, 36, 22, 1, 
2020/5/11, 34, 31, 19, 1, 
2020/5/12, 30, 26, 14, 1, 
2020/5/13, 24, 31, 10, 1, 
2020/5/14, 14, 31, 14, 1, 
2020/5/15, 15, 34, 14, 1, 
2020/5/16, 11, 16, 11, 1, 
2020/5/17, 25, 32, 5, 1, 
2020/5/18, 10, 28, 12, 1, 
2020/5/19, 20, 23, 12, 1, 
2020/5/20, 14, 29, 13, 1, 
2020/5/21, 14, 26, 7, 1, 
2020/5/22, 11, 23, 9, 1, 
2020/5/23, 19, 27, 8, 1, 
2020/5/24, 15, 23, 11, 1, 
2020/5/25, 27, 21, 9, 1, 
2020/5/26, 18, 26, 11, 1, 
2020/5/27, 13, 32, 12, 1, 
2020/5/28, 18, 32, 18, 1, 
2020/5/29, 33, 34, 10, 1, 
2020/5/30, 27, 23, 8, 1, 
2020/5/31, 24, 21, 5, 1, 
2020/6/1, 14, 28, 8, 1, 
2020/4/2, 14, 27, 12, 1, 2
2020/4/3, 21, 27, 9, 1, 2
2020/4/4, 12, 28, 8, 1, 2
2020/4/5, 16, 26, 5, 1, 2
2020/4/6, 15, 29, 14, 1, 3
2020/4/7, 19, 30, 11, 1, 3
2020/4/8, 29, 31, 11, 1, 3
2020/4/9, 36, 33, 12, 1, 3
2020/4/10, 40, 27, 16, 1, 3
2020/4/11, 37, 35, 7, 1, 2
2020/4/12, 20, 37, 9, 1, 2
2020/4/13, 24, 35, 16, 1, 3
2020/4/14, 26, 32, 15, 1, 3
2020/4/15, 29, 34, 11, 1, 3
2020/4/16, 15, 32, 15, 1, 3
2020/4/17, 28, 30, 17, 1, 3
2020/4/18, 28, 25, 10, 1, 2
2020/4/19, 20, 27, 7, 1, 2
2020/4/20, 13, 27, 10, 1, 3
2020/4/21, 27, 27, 10, 1, 2
2020/4/22, 12, 21, 13, 1, 2
2020/4/23, 13, 23, 11, 1, 3
2020/4/24, 18, 21, 16, 1, 4
2020/4/25, 22, 32, 7, 1, 2
2020/4/26, 25, 32, 3, 1, 3
2020/4/27, 23, 30, 10, 1, 3
2020/4/28, 9, 23, 15, 1, 3
2020/5/1, 11, 34, 14, 1, 4
2020/3/2, 29, 24, 16, , 3
2020/3/3, 23, 25, 15, 1, 3
2020/3/4, 11, 28, 18, 1, 4
2020/3/5, 27, 25, 18, 1, 4
2020/3/6, 27, 26, 22, 1, 4
2020/3/7, 21, 27, 15, 1, 4
2020/3/8, 28, 27, 23, 1, 4
2020/3/9, 22, 18, 19, 1, 4
2020/3/10, 30, 29, 18, 1, 3
2020/3/11, 23, 28, 14, 1, 3
2020/3/12, 21, 25, 18, 1, 3
2020/3/13, 30, 28, 10, 1, 2
2020/3/14, 20, 27, 6, 1, 2
2020/3/15, 19, 30, 7, 1, 2
2020/3/16, 13, 26, 15, 1, 3
2020/3/17, 23, 16, 25, 1, 5
2020/3/18, 45, 24, 25, 1, 4
2020/3/19, 55, 23, 27, 1, 4
2020/3/20, 61, 32, 21, 1, 4
2020/3/21, 50, 19, 20, 1, 4
2020/3/22, 47, 31, 12, 1, 3
2020/3/23, 46, 30, 14, 1, 2
2020/3/24, 16, 26, 13, 1, 3
2020/3/25, 14, 23, 17, 1, 3
2020/3/26, 19, 34, 14, 1, 2
2020/3/27, 29, 30, 13, 1, 2
2020/3/28, 21, 28, 6, 1, 2
2020/3/29, 10, 30, 7, 1, 1
2020/3/30, 9, 29, 12, 1, 2
2020/3/31, 13, 30, 12, 1, 2
2020/4/1, 13, 28, 12, 1, 3
2020/2/2, 12, 27, 14, 1, 4
2020/2/3, 27, 24, 15, 1, 3
2020/2/4, 23, 12, 19, 1, 4
2020/2/5, 26, 22, 25, , 5
2020/2/6, 15, 23, 23, , 4
2020/2/7, 20, 31, 17, , 3
2020/2/8, 23, 27, 9, , 3
2020/2/9, 18, , 15, , 4
2020/2/10, 25, , 18, , 5
2020/2/11, 39, , 18, , 5
2020/2/12, 40, , 22, , 5
2020/2/13, 31, , 17, , 4
2020/2/14, 27, , 17, , 4
2020/2/15, 15, , 10, , 3
2020/2/16, 14, , 10, , 3
2020/2/17, 18, , 16, , 4
2020/2/18, 24, , 14, , 4
2020/2/19, 18, , 25, , 6
2020/2/20, 31, , 35, , 8
2020/2/21, 42, , 27, , 6
2020/2/22, 39, , 17, , 4
2020/2/23, 24, , 9, , 3
2020/2/24, 22, 30, 17, , 3
2020/2/25, 26, 18, 25, 1, 5
2020/2/26, 35, 22, 23, , 5
2020/2/27, 31, 19, 19, , 4
2020/2/28, 32, 28, 16, , 4
2020/2/29, 31, 31, 11, , 3
2020/3/1, 20, 26, 15, , 4
2020/1/2, 14, 27, 16, 1, 3
2020/1/3, 19, 23, 21, 2, 5
2020/1/4, 28, 31, 11, 53, 3
2020/1/5, 17, 27, 9, 47, 3
2020/1/6, 14, 24, 14, , 3
2020/1/7, 9, 26, 15, 1, 3
2020/1/8, 13, 27, 21, 1, 4
2020/1/9, 17, 10, 20, 1, 4
2020/1/10, 33, 22, 13, 1, 3
2020/1/11, 13, 29, 15, , 4
2020/1/12, 21, 29, 10, 1, 3
2020/1/13, 12, 24, 17, 1, 3
2020/1/14, 25, 23, 12, 1, 3
2020/1/15, 17, 29, 8, , 2
2020/1/16, 9, 27, 15, 1, 3
2020/1/17, 18, 23, 19, 1, 4
2020/1/18, 20, 27, 11, 1, 3
2020/1/19, 11, 23, 20, 1, 5
2020/1/20, 27, 21, 21, 1, 6
2020/1/21, 37, 26, 19, 1, 3
2020/1/22, 21, 25, 18, 1, 3
2020/1/23, 18, 17, 19, 1, 3
2020/1/24, 17, 25, 20, 1, 4
2020/1/25, 15, 18, 15, , 4
2020/1/26, 18, 28, 10, 1, 3
2020/1/27, 17, 25, 16, , 3
2020/1/28, 14, 25, 19, 1, 4
2020/1/29, 17, 17, 19, 1, 4
2020/1/30, 21, 13, 17, 1, 4
2020/1/31, 26, 23, 14, 1, 3
2020/2/1, 14, 29, 8, 1, 2
2019/10/2, 24, 13, 22, 1, 6
2019/10/3, 31, 24, 23, 1, 2
2019/10/4, 21, 22, 14, , 3
2019/10/5, 17, 17, 14, 1, 4
2019/10/6, 27, 15, 11, 1, 4
2019/10/7, 21, 24, 11, 1, 3
2019/10/8, 23, 24, 12, 1, 3
2019/10/9, 18, 19, 12, , 3
2019/10/10, 16, 14, 13, , 4
2019/10/11, 25, 19, 24, 1, 7
2019/10/12, 34, 12, 20, 1, 5
2019/10/13, 46, 15, 17, 1, 4
2019/10/14, 43, 16, 23, 1, 5
2019/10/15, 43, 11, 21, 1, 6
2019/10/16, 54, 19, 18, 1, 5
2019/10/17, 41, 24, 16, , 3
2019/10/18, 24, 22, 17, , 4
2019/10/19, 25, 23, 11, , 3
2019/10/20, 15, 23, 7, , 3
2019/10/21, 19, 23, 17, , 3
2019/10/22, 35, 23, 12, , 3
2019/10/23, 25, 15, 13, , 4
2019/10/24, 24, 4, 19, 2, 6
2019/10/25, 48, 18, 17, 1, 5
2019/10/26, 36, 21, 12, 1, 4
2019/10/27, 30, 18, 10, , 4
2019/10/28, 20, 13, 15, 1, 4
2019/10/29, 32, 26, 16, , 4
2019/10/30, 26, 15, 17, 1, 4
2019/10/31, 26, 7, 25, 2, 7
2019/11/1, 57, 10, 17, 1, 4
2019/11/2, 49, 11, 18, 1, 5
2019/11/3, 53, 13, 14, 1, 5
2019/11/4, 51, 9, 15, , 4
2019/11/5, 48, 8, 13, 1, 4
2019/11/6, 40, 4, 13, 1, 4
2019/11/7, 44, 1, 19, 1, 7
2019/11/8, 49, 11, 19, 2, 8
2019/11/9, 55, 12, 13, , 4
2019/11/10, 39, 8, 12, , 4
2019/11/11, 38, 5, 17, 1, 6
2019/11/12, 40, 5, 16, 1, 4
2019/11/13, 40, 9, 13, 1, 4
2019/11/14, 35, 1, 19, 2, 7
2019/11/15, 56, 22, 18, 1, 4
2019/11/16, 32, 11, 15, 1, 5
2019/11/17, 30, 16, 13, , 4
2019/11/18, 27, 16, 14, 1, 4
2019/11/19, 19, 18, 15, , 3
2019/11/20, 23, 11, 13, , 3
2019/11/21, 26, 2, 18, 2, 8
2019/11/22, 48, 1, 18, 2, 8
2019/11/23, 65, 21, 14, 2, 6
2019/11/24, 50, 23, 14, , 4
2019/11/25, 26, 23, 16, 1, 3
2019/11/26, 19, 24, 11, , 3
2019/11/27, 12, 25, 11, , 3
2019/11/28, 19, 20, 9, , 2
2019/11/29, 20, 16, 15, , 4
2019/11/30, 30, 19, 15, 1, 5
2019/12/1, 43, 23, 16, 1, 5
2019/12/2, 22, 12, 25, 2, 8
2019/12/3, 47, 7, 21, 2, 5
2019/12/4, 43, 12, 18, 1, 4
2019/12/5, 43, 15, 15, 2, 5
2019/12/6, 46, 3, 19, 2, 7
2019/12/7, 51, 13, 14, 1, 4
2019/12/8, 26, 10, 12, 1, 4
2019/12/9, 30, 6, 12, , 3
2019/12/10, 27, 1, 15, 1, 4
2019/12/11, 36, 10, 17, 1, 4
2019/12/12, 29, 28, 19, 1, 3
2019/12/13, 25, 25, 22, 1, 4
2019/12/14, 17, 17, 18, , 4
2019/12/15, 26, 16, 17, , 5
2019/12/16, 25, 13, 20, 1, 4
2019/12/17, 20, 10, 28, 2, 8
2019/12/18, 49, 11, 28, 2, 7
2019/12/19, 54, 21, 15, 1, 3
2019/12/20, 21, 28, 30, 1, 5
2019/12/21, 21, 27, 12, , 3
2019/12/22, 15, 16, 11, , 3
2019/12/23, 16, 12, 16, 1, 4
2019/12/24, 22, 8, 20, , 6
2019/12/25, 34, 7, 13, , 4
2019/12/26, 37, 2, 17, , 6
2019/12/27, 52, 13, 18, 36, 5
2019/12/28, 33, 7, 17, 1, 6
2019/12/29, 37, , 16, , 5
2019/12/30, 31, , , , 
2019/7/2, 29, 21, 18, 1, 4
2019/7/3, 25, 14, 18, 1, 5
2019/7/4, 29, 22, 15, 2, 5
2019/7/5, 29, 19, 14, 2, 5
2019/7/6, 31, 23, 11, 1, 4
2019/7/7, 20, 21, 9, 1, 3
2019/7/8, 17, 27, 20, 2, 5
2019/7/9, 29, 23, 22, 2, 5
2019/7/10, 39, 11, 12, 1, 4
2019/7/11, 27, 13, 17, 1, 4
2019/7/12, 21, 18, 16, 2, 4
2019/7/13, 30, 20, 9, 1, 3
2019/7/14, 20, 29, 11, 1, 3
