date,pm25,o3,no2,so2,co,AQ
09-Jul-2020,50,38,4,0,1,50
08-Jul-2020,48,40,5,0,1,48
07-Jul-2020,45,36,6,0,2,45
06-Jul-2020,80,48,6,0,2,80
05-Jul-2020,126,47,8,0,2,126
04-Jul-2020,60,41,7,0,1,60
03-Jul-2020,65,40,6,0,1,65
02-Jul-2020,63,0,0,0,0,63
01-Jul-2020,44,35,8,0,1,44
30-Jun-2020,27,35,5,0,1,35
29-Jun-2020,38,53,9,0,2,53
28-Jun-2020,48,34,5,0,1,48
27-Jun-2020,48,31,4,0,1,48
26-Jun-2020,43,34,3,0,1,43
25-Jun-2020,9,0,0,0,0,9
24-Jun-2020,10,0,0,0,0,10
23-Jun-2020,49,30,3,0,1,49
22-Jun-2020,47,28,4,0,1,47
21-Jun-2020,49,36,4,0,1,49
20-Jun-2020,51,31,2,0,1,51
19-Jun-2020,48,48,4,0,1,48
18-Jun-2020,54,46,6,0,1,54
17-Jun-2020,52,46,5,0,1,52
14-Jun-2020,52,38,5,0,1,52
13-Jun-2020,50,38,5,0,1,50
12-Jun-2020,38,35,4,0,1,38
11-Jun-2020,45,20,1,0,0,45
10-Jun-2020,32,25,2,0,0,32
09-Jun-2020,52,45,7,0,1,52
08-Jun-2020,57,37,5,0,1,57
07-Jun-2020,58,19,2,0,1,58
06-Jun-2020,36,22,2,0,0,36
05-Jun-2020,34,28,2,0,1,34
04-Jun-2020,39,31,2,0,1,39
03-Jun-2020,24,54,7,0,2,54
02-Jun-2020,49,38,2,0,1,49
01-Jun-2020,22,29,4,0,1,29
31-May-2020,18,12,0,0,0,18
30-May-2020,15,11,0,0,0,15
29-May-2020,10,8,1,0,0,10
28-May-2020,20,8,1,0,0,20
27-May-2020,20,10,1,0,0,20
26-May-2020,52,40,8,0,2,52
25-May-2020,57,42,5,0,2,57
24-May-2020,59,35,3,0,1,59
23-May-2020,56,34,2,0,1,56
22-May-2020,50,28,4,0,1,50
21-May-2020,45,32,4,0,1,45
20-May-2020,45,35,5,0,1,45
19-May-2020,48,39,5,0,1,48
18-May-2020,47,44,4,0,1,47
17-May-2020,44,28,4,0,1,44
16-May-2020,44,20,2,0,1,44
15-May-2020,29,26,2,0,1,29
14-May-2020,37,25,3,0,1,37
