date, pm25, o3, no2, so2, co
2020/7/9,50.0,38.0,4.0,0.0,1.0
2020/7/8,48.0,40.0,5.0,0.0,1.0
2020/7/7,45.0,36.0,6.0,0.0,2.0
2020/7/6,80.0,48.0,6.0,0.0,2.0
2020/7/5,126.0,47.0,8.0,0.0,2.0
2020/7/4,60.0,41.0,7.0,0.0,1.0
2020/7/3,65.0,40.0,6.0,0.0,1.0
2020/7/2,63.0,0.0,0.0,0.0,0.0
2020/7/1,44.0,35.0,8.0,0.0,1.0
2020/6/9,52.0,45.0,7.0,0.0,1.0
2020/6/8,57.0,37.0,5.0,0.0,1.0
2020/6/7,58.0,19.0,2.0,0.0,1.0
2020/6/6,36.0,22.0,2.0,0.0,0.0
2020/6/5,34.0,28.0,2.0,0.0,1.0
2020/6/4,39.0,31.0,2.0,0.0,1.0
2020/6/30,27.0,35.0,5.0,0.0,1.0
2020/6/3,24.0,54.0,7.0,0.0,2.0
2020/6/29,38.0,53.0,9.0,0.0,2.0
2020/6/28,48.0,34.0,5.0,0.0,1.0
2020/6/27,48.0,31.0,4.0,0.0,1.0
2020/6/26,43.0,34.0,3.0,0.0,1.0
2020/6/25,9.0,0.0,0.0,0.0,0.0
2020/6/24,10.0,0.0,0.0,0.0,0.0
2020/6/23,49.0,30.0,3.0,0.0,1.0
2020/6/22,47.0,28.0,4.0,0.0,1.0
2020/6/21,49.0,36.0,4.0,0.0,1.0
2020/6/20,51.0,31.0,2.0,0.0,1.0
2020/6/2,49.0,38.0,2.0,0.0,1.0
2020/6/19,48.0,48.0,4.0,0.0,1.0
2020/6/18,54.0,46.0,6.0,0.0,1.0
2020/6/17,52.0,46.0,5.0,0.0,1.0
2020/6/14,52.0,38.0,5.0,0.0,1.0
2020/6/13,50.0,38.0,5.0,0.0,1.0
2020/6/12,38.0,35.0,4.0,0.0,1.0
2020/6/11,45.0,20.0,1.0,0.0,0.0
2020/6/10,32.0,25.0,2.0,0.0,0.0
2020/6/1,22.0,29.0,4.0,0.0,1.0
2020/5/9,32.0,33.0,4.0,0.0,1.0
2020/5/8,15.0,16.0,2.0,0.0,0.0
2020/5/31,18.0,12.0,0.0,0.0,0.0
2020/5/30,15.0,11.0,0.0,0.0,0.0
2020/5/29,10.0,8.0,1.0,0.0,0.0
2020/5/28,20.0,8.0,1.0,0.0,0.0
2020/5/27,20.0,10.0,1.0,0.0,0.0
2020/5/26,52.0,40.0,8.0,0.0,2.0
2020/5/25,57.0,42.0,5.0,0.0,2.0
2020/5/24,59.0,35.0,3.0,0.0,1.0
2020/5/23,56.0,34.0,2.0,0.0,1.0
2020/5/22,50.0,28.0,4.0,0.0,1.0
2020/5/21,45.0,32.0,4.0,0.0,1.0
2020/5/20,45.0,35.0,5.0,0.0,1.0
2020/5/19,48.0,39.0,5.0,0.0,1.0
2020/5/18,47.0,44.0,4.0,0.0,1.0
2020/5/17,44.0,28.0,4.0,0.0,1.0
2020/5/16,44.0,20.0,2.0,0.0,1.0
2020/5/15,29.0,26.0,2.0,0.0,1.0
2020/5/14,37.0,25.0,3.0,0.0,1.0
2020/5/13,40.0,31.0,5.0,0.0,1.0
2020/5/12,42.0,29.0,5.0,0.0,1.0
2020/5/11,48.0,32.0,2.0,0.0,1.0
2020/5/10,52.0,35.0,3.0,0.0,1.0
2020/4/9,50.0,38.0,4.0,0.0,2.0
2020/4/8,50.0,34.0,6.0,0.0,2.0
2020/4/7,46.0,36.0,6.0,0.0,2.0
2020/4/6,39.0,30.0,5.0,0.0,1.0
2020/4/5,38.0,20.0,6.0,0.0,1.0
2020/4/4,34.0,24.0,3.0,0.0,7.0
2020/4/3,30.0,27.0,2.0,0.0,8.0
2020/4/25,36.0,28.0,6.0,0.0,4.0
2020/4/24,42.0,27.0,4.0,0.0,1.0
2020/4/23,42.0,30.0,6.0,0.0,1.0
2020/4/22,37.0,29.0,4.0,0.0,1.0
2020/4/2,30.0,24.0,3.0,0.0,1.0
2020/4/18,26.0,20.0,2.0,0.0,1.0
2020/4/17,16.0,13.0,3.0,0.0,1.0
2020/4/16,14.0,15.0,2.0,0.0,1.0
2020/4/15,20.0,13.0,1.0,0.0,0.0
2020/4/14,26.0,26.0,4.0,0.0,1.0
2020/4/13,26.0,29.0,4.0,0.0,1.0
2020/4/12,29.0,28.0,4.0,0.0,1.0
2020/4/11,37.0,31.0,6.0,0.0,2.0
2020/4/10,30.0,16.0,2.0,0.0,1.0
2020/4/1,28.0,18.0,2.0,0.0,0.0
2020/3/9,17.0,12.0,1.0,0.0,0.0
2020/3/8,27.0,17.0,2.0,0.0,0.0
2020/3/7,27.0,16.0,4.0,0.0,1.0
2020/3/6,26.0,18.0,7.0,0.0,2.0
2020/3/5,31.0,20.0,8.0,0.0,2.0
2020/3/4,25.0,22.0,7.0,0.0,2.0
2020/3/31,36.0,40.0,5.0,0.0,1.0
2020/3/30,17.0,27.0,2.0,0.0,0.0
2020/3/3,24.0,24.0,4.0,0.0,1.0
2020/3/29,26.0,28.0,2.0,0.0,1.0
2020/3/28,11.0,9.0,2.0,0.0,0.0
2020/3/27,18.0,6.0,3.0,0.0,1.0
2020/3/26,23.0,6.0,2.0,0.0,0.0
2020/3/25,27.0,13.0,4.0,0.0,2.0
2020/3/24,16.0,14.0,6.0,0.0,1.0
2020/3/23,20.0,14.0,7.0,0.0,2.0
2020/3/22,40.0,23.0,8.0,0.0,2.0
2020/3/21,34.0,25.0,8.0,0.0,2.0
2020/3/20,34.0,24.0,6.0,0.0,2.0
2020/3/2,31.0,24.0,6.0,0.0,2.0
2020/3/19,33.0,22.0,8.0,0.0,2.0
2020/3/18,34.0,12.0,5.0,0.0,1.0
2020/3/17,28.0,14.0,4.0,0.0,1.0
2020/3/16,24.0,11.0,7.0,0.0,2.0
2020/3/15,28.0,16.0,6.0,0.0,1.0
2020/3/14,26.0,23.0,6.0,0.0,1.0
2020/3/13,24.0,23.0,4.0,0.0,1.0
2020/3/12,28.0,22.0,5.0,0.0,2.0
2020/3/11,33.0,24.0,5.0,0.0,2.0
2020/3/10,31.0,26.0,6.0,0.0,2.0
2020/3/1,26.0,25.0,6.0,0.0,2.0
2020/2/9,28.0,24.0,6.0,0.0,2.0
2020/2/8,24.0,24.0,6.0,0.0,2.0
2020/2/7,30.0,22.0,3.0,0.0,1.0
2020/2/6,22.0,24.0,2.0,0.0,1.0
2020/2/5,22.0,24.0,7.0,0.0,2.0
2020/2/4,32.0,24.0,6.0,0.0,2.0
2020/2/3,31.0,24.0,8.0,0.0,2.0
2020/2/29,34.0,27.0,7.0,0.0,3.0
2020/2/28,44.0,25.0,4.0,0.0,1.0
2020/2/27,42.0,26.0,2.0,0.0,1.0
2020/2/26,28.0,26.0,4.0,0.0,2.0
2020/2/25,27.0,26.0,9.0,0.0,3.0
2020/2/24,40.0,28.0,8.0,0.0,2.0
2020/2/23,42.0,25.0,10.0,0.0,3.0
2020/2/22,52.0,30.0,8.0,0.0,2.0
2020/2/21,46.0,27.0,13.0,0.0,4.0
2020/2/20,38.0,24.0,13.0,0.0,3.0
2020/2/2,38.0,22.0,12.0,0.0,4.0
2020/2/19,42.0,24.0,12.0,0.0,4.0
2020/2/18,51.0,25.0,12.0,0.0,4.0
2020/2/17,50.0,24.0,11.0,0.0,2.0
2020/2/16,48.0,22.0,11.0,0.0,3.0
2020/2/15,47.0,26.0,12.0,0.0,3.0
2020/2/14,51.0,23.0,10.0,0.0,3.0
2020/2/13,48.0,24.0,10.0,0.0,2.0
2020/2/12,34.0,24.0,12.0,0.0,3.0
2020/2/11,43.0,24.0,12.0,0.0,3.0
2020/2/10,48.0,27.0,12.0,0.0,4.0
2020/2/1,50.0,28.0,13.0,0.0,4.0
2020/1/9,48.0,28.0,8.0,0.0,2.0
2020/1/8,58.0,28.0,8.0,0.0,2.0
2020/1/7,55.0,26.0,15.0,0.0,5.0
2020/1/6,58.0,24.0,14.0,0.0,4.0
2020/1/5,52.0,25.0,7.0,0.0,2.0
2020/1/4,50.0,25.0,6.0,0.0,2.0
2020/1/31,36.0,23.0,12.0,0.0,4.0
2020/1/30,38.0,22.0,11.0,0.0,4.0
2020/1/3,51.0,22.0,11.0,0.0,3.0
2020/1/29,44.0,22.0,14.0,0.0,4.0
2020/1/28,50.0,21.0,11.0,0.0,4.0
2020/1/27,50.0,24.0,8.0,0.0,3.0
2020/1/26,50.0,23.0,7.0,0.0,3.0
2020/1/25,53.0,20.0,12.0,0.0,4.0
2020/1/24,45.0,20.0,14.0,0.0,5.0
2020/1/23,50.0,22.0,11.0,0.0,4.0
2020/1/22,53.0,20.0,11.0,0.0,4.0
2020/1/21,44.0,21.0,12.0,0.0,3.0
2020/1/20,40.0,18.0,14.0,0.0,3.0
2020/1/2,44.0,18.0,13.0,0.0,4.0
2020/1/19,54.0,21.0,9.0,0.0,2.0
2020/1/18,44.0,15.0,14.0,0.0,4.0
2020/1/17,54.0,18.0,12.0,0.0,4.0
2020/1/16,56.0,20.0,9.0,0.0,3.0
2020/1/15,39.0,19.0,13.0,0.0,4.0
