date, pm25, pm10, o3, no2, so2, co
2020/7/2, 53, 23, 61, 5, , 1
2020/7/3, 54, 23, 70, 6, , 1
2020/7/4, 47, 36, 63, 6, , 2
2020/7/5, 80, 47, 78, 4, , 1
2020/7/6, 113, 30, 75, 7, , 1
2020/7/7, 63, 38, 71, 8, , 1
2020/7/8, 69, 35, 62, 8, , 1
2020/7/9, 63, , , , , 
2020/6/2, 47, 32, 49, 11, , 
2020/6/3, 58, 30, 70, 9, , 
2020/6/4, 56, 31, 55, 6, , 1
2020/6/5, 62, 13, 25, 3, , 1
2020/6/6, 36, 13, 29, 3, , 1
2020/6/7, 36, 19, 41, 2, , 1
2020/6/8, 44, 16, 43, 2, , 1
2020/6/9, 23, 10, 53, 3, , 1
2020/6/10, 20, 15, 76, 4, , 1
2020/6/11, 34, 26, 85, 7, , 2
2020/6/12, 50, 25, 52, 7, , 1
2020/6/13, 54, 22, 47, 4, , 1
2020/6/14, 48, 20, 48, 3, , 1
2020/6/15, 45, 28, 49, 6, , 1
2020/6/16, 53, 27, 43, 5, , 1
2020/6/17, 52, 24, 43, 4, , 1
2020/6/18, 50, 23, 37, 7, , 1
2020/6/19, 46, 27, 54, 5, , 1
2020/6/20, 54, 25, 48, 4, , 1
2020/6/21, 53, 23, 61, 3, , 1
2020/6/22, 57, 28, 78, 6, , 2
2020/6/23, 63, 33, 76, 10, , 2
2020/6/24, 66, 29, 80, 8, , 1
2020/6/25, 60, 26, 58, 7, , 1
2020/6/26, 55, 24, 62, 9, , 1
2020/6/27, 52, 20, 55, 7, , 1
2020/6/28, 53, 8, 27, 1, , 
2020/6/29, 30, 8, 34, 2, , 
2020/6/30, 26, 24, 45, 6, , 1
2020/7/1, 47, 26, 50, 6, , 1
2020/5/2, 65, 30, 57, 4, , 1
2020/5/3, 59, 24, 46, 4, , 1
2020/5/4, 53, 28, 67, 5, , 1
2020/5/5, 52, 27, 74, 5, , 1
2020/5/6, 47, 28, 107, 6, , 2
2020/5/7, 55, 29, 103, 6, , 2
2020/5/8, 56, 36, 77, 8, , 2
2020/5/9, 71, 36, 70, 6, , 2
2020/5/10, 70, 29, 57, 3, , 1
2020/5/11, 67, 24, 53, 4, , 1
2020/5/12, 58, 14, 32, 3, , 1
2020/5/13, 39, 13, 42, 3, , 1
2020/5/14, 35, 19, 41, 3, , 1
2020/5/15, 39, 22, 56, 4, , 1
2020/5/16, 43, 28, 74, 6, , 2
2020/5/17, 58, 22, 46, 3, , 1
2020/5/18, 51, 8, 27, 2, , 1
2020/5/19, 33, 11, 37, 3, , 1
2020/5/20, 31, 15, 40, 3, , 1
2020/5/21, 35, 18, 55, 6, , 1
2020/5/22, 40, 22, 47, 5, , 1
2020/5/23, 48, 24, 47, 2, , 1
2020/5/24, 55, 27, 63, 3, , 1
2020/5/25, 61, 30, 75, 5, , 2
2020/5/26, 67, 34, 77, 9, , 2
2020/5/27, 66, 35, 68, 12, , 2
2020/5/28, 65, 30, 57, 9, , 2
2020/5/29, 61, 16, 31, 7, , 2
2020/5/30, 48, 10, 33, 3, , 24
2020/5/31, 33, 12, 44, 2, , 28
2020/6/1, 40, 21, 48, 7, , 13
2020/4/2, 53, 21, 37, 2, , 1
2020/4/3, 51, 24, 42, 4, , 1
2020/4/4, 51, 22, 40, 1, , 1
2020/4/5, 47, 11, 30, 1, , 1
2020/4/6, 33, 4, 25, 2, , 1
2020/4/7, 25, 5, 25, 3, , 1
2020/4/8, 25, 8, 31, 2, , 1
2020/4/9, 28, 5, 29, 1, , 1
2020/4/10, 22, 6, 32, 2, , 1
2020/4/11, 22, 10, 40, 2, , 1
2020/4/12, 36, 8, 28, 1, , 1
2020/4/13, 33, 10, 24, 4, , 1
2020/4/14, 31, 13, 40, 3, , 1
2020/4/15, 41, 8, 46, 4, , 1
2020/4/16, 31, 15, 47, 3, , 1
2020/4/17, 40, 15, 34, 4, , 1
2020/4/18, 41, 9, 29, 3, , 1
2020/4/19, 38, 13, 34, 3, , 1
2020/4/20, 43, 16, 32, 4, , 1
2020/4/21, 45, 24, 39, 5, , 1
2020/4/22, 48, 23, 61, 5, , 1
2020/4/23, 51, 22, 75, 5, , 1
2020/4/24, 49, 20, 66, 3, , 1
2020/4/25, 47, 22, 89, 5, , 2
2020/4/26, 52, 18, 83, 3, , 1
2020/4/27, 54, 27, 59, 7, , 2
2020/4/28, 60, 32, 73, 8, , 2
2020/4/29, 60, 34, 55, 9, , 2
2020/4/30, 65, 37, 76, 9, , 2
2020/5/1, 71, 31, 58, 6, , 2
2020/3/2, 46, 18, 28, 3, , 1
2020/3/3, 29, 14, 37, 8, , 2
2020/3/4, 25, 25, 35, 9, , 2
2020/3/5, 47, 31, 41, 13, , 3
2020/3/6, 56, 33, 26, 14, , 3
2020/3/7, 64, 12, , 4, , 1
2020/3/8, 37, 6, , 2, , 1
2020/3/9, 27, 16, , 4, , 1
2020/3/10, 24, 6, 12, 3, , 1
2020/3/11, 25, 8, 31, 3, , 1
2020/3/12, 28, 8, 24, 5, , 1
2020/3/13, 33, 7, 26, 3, , 1
2020/3/14, 33, 7, 29, 2, , 1
2020/3/15, 29, 7, 34, 2, , 1
2020/3/16, 30, 9, 28, 3, , 1
2020/3/17, 37, 2, 30, 3, , 1
2020/3/18, 26, , 32, 4, , 1
2020/3/19, 25, , 29, 3, , 1
2020/3/20, 29, , 31, 2, , 1
2020/3/21, 24, , 38, 3, , 1
2020/3/22, 34, , 33, 1, , 1
2020/3/23, 27, , 36, 2, , 1
2020/3/24, 22, 11, 33, 2, , 1
2020/3/25, 29, 12, 34, 2, , 1
2020/3/26, 25, 9, 35, 2, , 1
2020/3/27, 25, 11, 36, 3, , 1
