date, pm25, pm10, o3, no2, so2, co
2020/7/2, 56, , 51, 3, , 1
2020/7/3, 53, , 45, 6, , 1
2020/7/4, 40, , 40, 6, , 1
2020/7/5, 56, , 64, 7, , 2
2020/7/6, 148, , 61, 7, , 2
2020/7/7, 54, , 51, 8, , 2
2020/7/8, 62, , 56, 6, , 1
2020/7/9, 65, , , , , 
2020/6/2, 44, , 57, 7, , 2
2020/6/3, 49, , 70, 6, , 2
2020/6/4, 56, , 52, 4, , 1
2020/6/5, 64, , 28, 1, , 1
2020/6/6, 47, , 32, 2, , 
2020/6/7, 36, , 37, 3, , 1
2020/6/8, 35, , 36, 1, , 1
2020/6/9, 30, , 45, 4, , 1
2020/6/10, 26, , 71, 8, , 2
2020/6/11, 37, , 75, 8, , 2
2020/6/12, 49, , 45, 5, , 1
2020/6/13, 50, , 41, 3, , 1
2020/6/14, 43, , 49, 4, , 1
2020/6/15, 50, , 51, 6, , 2
2020/6/16, 53, , 43, 2, , 1
2020/6/17, 57, , 44, 2, , 1
2020/6/18, 55, , 42, 3, , 1
2020/6/19, 52, , 52, 3, , 1
2020/6/20, 56, , 42, 2, , 1
2020/6/21, 58, , 51, 1, , 1
2020/6/22, 55, , 66, 3, , 1
2020/6/23, 57, , 65, 5, , 1
2020/6/24, 60, , 66, 3, , 1
2020/6/25, 52, , 56, 4, , 1
2020/6/26, 56, , 54, 4, , 1
2020/6/27, 44, , 47, 3, , 1
2020/6/28, 46, , 31, 1, , 
2020/6/29, 33, , 38, 2, , 
2020/6/30, 35, , 41, 5, , 1
2020/7/1, 47, , 49, 3, , 1
2020/5/9, 59, , 64, 6, , 2
2020/5/10, 71, , 49, 2, , 1
2020/5/11, 59, , 44, 1, , 1
2020/5/12, 41, , 33, 3, , 1
2020/5/13, 25, , 34, 4, , 1
2020/5/14, 22, 31, 39, 5, , 1
2020/5/15, 33, 28, 45, 5, 1, 1
2020/5/16, 30, 28, 58, 6, 1, 2
2020/5/22, 54, , 45, 5, , 1
2020/5/23, 68, , 46, 2, , 1
2020/5/24, 70, , 59, 4, , 1
2020/5/25, 69, , 56, 5, , 2
2020/5/26, 73, , 76, 8, , 2
2020/5/27, 77, , 73, 8, , 2
2020/5/28, 65, , 67, 4, , 1
2020/5/29, 54, , 35, 4, , 1
2020/5/30, 51, , 28, 1, , 1
2020/5/31, 33, , 39, 1, , 1
2020/6/1, 45, , 40, 3, , 1
2020/4/2, 44, , 42, 2, , 1
2020/4/3, 35, , 42, 7, , 2
2020/4/4, 37, , 43, 5, , 1
2020/4/5, 45, , 31, 1, , 1
2020/4/6, 20, , 35, 1, , 1
2020/4/7, 17, , 34, 5, , 1
2020/4/8, 18, , 36, 4, , 1
2020/4/9, 17, , 30, 4, , 1
2020/4/10, 16, , 32, 8, , 2
2020/4/11, 24, , 38, 6, , 2
2020/4/12, 33, , 33, 1, , 1
2020/4/13, 30, , 32, 3, , 1
2020/4/14, 23, , 42, 7, , 2
2020/4/15, 28, , 47, 9, , 2
2020/4/16, 28, , 47, 9, , 2
2020/4/17, 48, , 36, 3, , 1
2020/4/18, 37, , 33, 2, , 1
2020/4/19, 26, , 34, 1, , 1
2020/4/20, 29, , 32, 4, , 1
2020/4/21, 40, , 38, 6, , 1
2020/4/22, 30, , 44, 6, , 2
2020/4/23, 38, , 47, 1, , 1
2020/4/24, 25, , 47, 2, , 1
2020/4/25, 38, , 66, 8, , 2
2020/4/26, 47, , 62, 6, , 2
2020/4/27, 53, , 16, 8, , 2
2020/4/28, 50, , , , , 
2020/3/2, 34, , 35, 3, , 1
2020/3/3, 19, , 36, 12, , 3
2020/3/4, 23, , 38, 17, , 6
2020/3/5, 44, , 46, 14, , 4
2020/3/6, 42, , 45, 16, , 4
2020/3/7, 47, , 34, 2, , 1
2020/3/8, 17, , 34, 5, , 1
2020/3/9, 10, 22, 29, 12, , 3
2020/3/10, 17, 10, 23, 5, , 1
2020/3/11, 17, 14, 35, 6, , 1
2020/3/12, 19, 18, 24, 13, , 3
2020/3/13, 22, 10, 26, 8, , 2
2020/3/14, 23, 11, 35, 3, , 1
2020/3/15, 15, 9, 29, 4, , 1
2020/3/16, 21, , 31, 10, , 3
2020/3/17, 23, , 34, 12, , 4
2020/3/18, 27, , 37, 8, , 3
2020/3/19, 29, , 37, 8, , 2
2020/3/20, 27, , 31, 5, , 1
2020/3/21, 27, , 40, 4, , 1
2020/3/22, 26, , 35, 6, , 2
2020/3/23, 26, , 36, 4, , 1
2020/3/24, 16, , 35, 7, , 2
2020/3/25, 27, , 36, 5, , 1
2020/3/26, 12, , 38, 7, , 2
2020/3/27, 16, , 40, 4, , 1
2020/3/28, 29, , 39, 7, , 2
2020/3/29, 44, , 40, 5, , 2
2020/3/30, 44, , 41, 7, , 2
2020/3/31, 31, , 49, 10, , 3
2020/4/1, 26, , 43, 11, , 3
2020/2/2, 33, , 34, 12, , 7
2020/2/3, 46, , 33, 2, , 2
2020/2/4, 13, , 35, 3, , 2
2020/2/5, 13, , 29, 16, , 5
2020/2/6, 28, , 33, 18, , 6
2020/2/7, 44, , 34, 22, , 8
2020/2/8, 50, , 46, 16, , 8
2020/2/9, 66, , 34, 6, , 3
2020/2/10, 45, , 36, 2, , 2
2020/2/11, 18, , 38, 7, , 3
2020/2/12, 17, , 36, 19, , 7
2020/2/13, 39, , 39, 17, , 6
2020/2/14, 41, , 41, 17, , 6
2020/2/15, 47, , 45, 17, , 6
2020/2/16, 53, , 49, 14, , 6
2020/2/17, 56, , 42, 19, , 7
2020/2/18, 54, , 31, 19, , 9
2020/2/19, 61, , 33, 13, , 5
2020/2/20, 66, , 40, 17, , 6
2020/2/21, 44, , 43, 17, , 5
2020/2/22, 41, , 36, 4, , 2
2020/2/23, 27, , 39, 8, , 3
2020/2/24, 36, , 36, 13, , 4
2020/2/25, 41, , 34, 13, , 3
2020/2/26, 13, , 36, 12, , 3
2020/2/27, 16, , 34, 17, , 5
2020/2/28, 26, , 39, 18, , 5
2020/2/29, 21, , 43, 15, , 4
2020/3/1, 37, , 40, 3, , 2
2020/1/2, 56, , 33, 10, , 3
2020/1/3, 24, , 26, 22, , 10
2020/1/4, 42, , 30, 20, , 9
2020/1/5, 54, , 34, 12, , 6
2020/1/6, 38, , 34, 7, , 3
2020/1/7, 20, , 25, 23, , 8
2020/1/8, 25, , 26, 17, , 7
2020/1/9, 32, , 29, 12, , 4
2020/1/10, 27, , 29, 17, , 5
2020/1/11, 28, , 24, 15, , 7
2020/1/12, 52, , 31, 13, , 5
2020/1/13, 48, , 33, 15, , 8
2020/1/14, 64, , 30, 17, , 8
2020/1/15, 64, , 31, 19, , 9
2020/1/16, 66, , 33, 13, , 7
2020/1/17, 69, , 27, 12, , 4
2020/1/18, 27, , 34, 12, , 4
2020/1/19, 34, , 31, 14, , 5
2020/1/20, 31, , 21, 20, , 8
2020/1/21, 57, , 32, 8, , 3
2020/1/22, 28, , 25, 17, , 5
2020/1/23, 41, , 30, 16, , 7
2020/1/24, 38, , 27, 13, , 5
2020/1/25, 25, 51, 30, 20, , 6
2020/1/26, 41, 44, 32, 8, , 4
2020/1/27, 82, 38, 34, 3, , 2
2020/1/28, 15, 25, 36, 4, , 2
2020/1/29, 9, 38, 36, 3, , 2
2020/1/30, 16, 38, 34, 7, , 3
2020/1/31, 12, 35, 31, 12, , 4
2020/2/1, 14, , 34, 17, , 6
2019/10/2, 34, 34, 54, 11, 1, 4
2019/10/3, 36, 35, 63, 13, 2, 5
2019/10/4, 52, 35, 59, 15, 1, 5
2019/10/5, 57, 38, 77, 13, 1, 5
2019/10/6, 60, 36, 73, 12, , 5
2019/10/7, 59, 35, 61, 17, , 6
2019/10/8, 54, 34, 49, 14, 2, 5
2019/10/9, 50, 30, 48, 8, 1, 3
2019/10/10, 65, 41, 41, 6, 1, 2
2019/10/11, 57, 45, 49, 15, , 13
2019/10/12, 145, , 61, 16, , 8
2019/10/13, 103, , 57, 11, , 5
2019/10/14, 70, , 51, 8, , 4
2019/10/15, 66, , 51, 13, , 5
2019/10/16, 65, , 40, 17, , 6
2019/10/17, 67, , 48, 10, , 4
2019/10/18, 65, , 41, 8, , 3
2019/10/19, 37, , 44, 11, , 4
2019/10/20, 38, 34, 39, 4, 1, 2
2019/10/21, 37, 29, 45, 14, 1, 5
2019/10/22, 46, 34, 43, 15, 1, 5
2019/10/23, 34, 40, 54, 20, 1, 7
2019/10/24, 42, 46, 40, 9, , 3
2019/10/25, 35, 43, 38, 15, , 5
2019/10/26, 39, , 53, 16, , 7
2019/10/27, 45, , 39, 7, , 3
2019/10/28, 68, , 36, 9, , 2
2019/10/29, 35, , 39, 17, , 6
2019/10/30, 57, , 37, 4, , 2
2019/10/31, 52, , 34, 7, , 2
2019/11/1, 37, , 35, 19, , 8
2019/11/2, 48, , 38, 22, , 9
2019/11/3, 52, , 50, 20, , 9
2019/11/4, 57, , 60, 22, , 8
2019/11/5, 52, , 37, 22, , 8
2019/11/6, 48, , 39, 22, , 8
2019/11/7, 67, , 47, 17, , 6
2019/11/8, 82, , 35, 20, , 8
2019/11/9, 60, , 37, 17, , 6
2019/11/10, 35, , 43, 19, , 7
2019/11/11, 64, , 49, 12, , 5
2019/11/12, 93, , 43, 20, , 9
2019/11/13, 72, , 45, 20, , 8
2019/11/14, 68, , 41, 13, , 5
2019/11/15, 76, , 34, 15, , 5
2019/11/16, 66, , 36, 15, , 7
2019/11/17, 45, , 39, 10, , 3
2019/11/18, 32, , 39, 24, , 7
2019/11/19, 34, , 36, 20, , 6
2019/11/20, 47, , 33, 5, , 2
2019/11/21, 35, , 31, 13, , 3
2019/11/22, 41, , 34, 15, , 6
2019/11/23, 54, , 35, 14, , 5
2019/11/24, 44, , 38, 13, , 4
2019/11/25, 44, , 38, 14, , 5
2019/11/26, 50, , 33, 8, , 3
2019/11/27, 59, , 34, 14, , 4
2019/11/28, 44, , 29, 8, , 3
2019/11/29, 49, , 31, 13, , 5
2019/11/30, 55, , 23, 11, , 6
2019/12/1, 63, , 23, 14, , 6
2019/12/2, 57, , 24, 17, , 10
2019/12/3, 66, , 9, 22, , 10
2019/12/4, 56, , 15, 18, , 6
2019/12/5, 55, , 26, 12, , 7
2019/12/6, 54, , 14, 19, , 7
2019/12/7, 52, , 15, 11, , 4
2019/12/8, 49, , 30, 7, , 3
2019/12/9, 40, , 34, 11, , 4
2019/12/10, 33, , 16, 19, , 11
2019/12/11, 60, , 5, 19, , 12
2019/12/12, 52, , 13, 27, , 11
2019/12/13, 55, , 16, 23, , 11
2019/12/14, 69, , 25, 13, , 5
2019/12/15, 63, , 34, 5, , 2
2019/12/16, 19, , 34, 6, , 3
2019/12/17, 15, , 33, 9, , 4
2019/12/18, 23, , 20, 23, , 10
2019/12/19, 43, , 32, 12, , 4
2019/12/20, 26, , 28, 22, , 8
2019/12/21, 40, , 15, 24, , 14
2019/12/22, 67, , 32, 12, , 9
2019/12/23, 54, , 27, 10, , 4
2019/12/24, 28, , 31, 10, , 7
2019/12/25, 53, , 29, 8, , 6
2019/12/26, 60, , 32, 3, , 2
