date, pm25, pm10, o3, no2, so2, co
2020/7/2, 39, , , , , 
2020/7/3, 43, , , , , 
2020/7/4, 45, , , , , 
2020/7/5, 88, , , , , 
2020/7/6, 61, , , , , 
2020/7/7, 55, , , , , 
2020/7/8, 64, , , , , 
2020/7/9, 58, , , , , 
2020/6/2, 42, , , , , 
2020/6/3, 50, , , , , 
2020/6/4, 60, , , , , 
2020/6/5, 50, , , , , 
2020/6/6, 33, , , , , 
2020/6/7, 34, , , , , 
2020/6/8, 42, , , , , 
2020/6/9, 37, , , , , 
2020/6/10, 36, , , , , 
2020/6/11, 48, , , , , 
2020/6/12, 42, , , , , 
2020/6/13, 41, , , , , 
2020/6/14, 43, , , , , 
2020/6/17, 35, , , , , 
2020/6/18, 40, , , , , 
2020/6/19, 43, , , , , 
2020/6/20, 43, , , , , 
2020/6/21, 52, , , , , 
2020/6/22, 49, , , , , 
2020/6/23, 49, , , , , 
2020/6/24, 40, , , , , 
2020/6/25, 43, , , , , 
2020/6/26, 27, , , , , 
2020/6/27, 46, , , , , 
2020/6/28, 41, , , , , 
2020/6/29, 17, , , , , 
2020/6/30, 29, , , , , 
2020/7/1, 46, , , , , 
2020/5/2, 49, , , , , 
2020/5/3, 40, , , , , 
2020/5/4, 46, , , , , 
2020/5/5, 51, , , , , 
2020/5/6, 55, , , , , 
2020/5/7, 56, , , , , 
2020/5/8, 56, , , , , 
2020/5/9, 57, , , , , 
2020/5/10, 61, , , , , 
2020/5/11, 54, , , , , 
2020/5/12, 42, , , , , 
2020/5/13, 33, , , , , 
2020/5/14, 29, , , , , 
2020/5/15, 43, , , , , 
2020/5/16, 42, , , , , 
2020/5/17, 43, , , , , 
2020/5/18, 39, , , , , 
2020/5/19, 17, , , , , 
2020/5/20, 30, , , , , 
2020/5/21, 37, , , , , 
2020/5/22, 48, , , , , 
2020/5/23, 52, , , , , 
2020/5/24, 53, , , , , 
2020/5/25, 61, , , , , 
2020/5/26, 63, , , , , 
2020/5/27, 59, , , , , 
2020/5/28, 52, , , , , 
2020/5/29, 42, , , , , 
2020/5/30, 17, , , , , 
2020/5/31, 30, , , , , 
2020/6/1, 33, , , , , 
2020/4/2, 35, , , , , 
2020/4/3, 43, , , , , 
2020/4/4, 44, , , , , 
2020/4/5, 42, , , , , 
2020/4/6, 18, , , , , 
2020/4/7, 11, , , , , 
2020/4/8, 19, , , , , 
2020/4/9, 27, , , , , 
2020/4/10, 20, , , , , 
2020/4/11, 17, , , , , 
2020/4/12, 25, , , , , 
2020/4/13, 25, , , , , 
2020/4/14, 21, , , , , 
2020/4/15, 43, , , , , 
2020/4/16, 47, , , , , 
2020/4/17, 43, , , , , 
2020/4/18, 38, , , , , 
2020/4/22, 35, , , , , 
2020/4/23, 48, , , , , 
2020/4/24, 43, , , , , 
2020/4/25, 37, , , , , 
2020/4/29, 55, , , , , 
2020/4/30, 49, , , , , 
2020/5/1, 56, , , , , 
2020/3/2, 36, , , , , 
2020/3/3, 38, , , , , 
2020/3/4, 28, , , , , 
2020/3/5, 53, , , , , 
2020/3/6, 71, , , , , 
2020/3/7, 48, , , , , 
2020/3/8, 20, , , , , 
2020/3/9, 19, , , , , 
2020/3/10, 31, , , , , 
2020/3/11, 14, , , , , 
2020/3/12, 18, , , , , 
2020/3/13, 26, , , , , 
2020/3/14, 29, , , , , 
2020/3/15, 16, , , , , 
2020/3/16, 22, , , , , 
2020/3/17, 26, , , , , 
2020/3/18, 25, , , , , 
2020/3/19, 34, , , , , 
2020/3/20, 22, , , , , 
2020/3/21, 26, , , , , 
2020/3/22, 23, , , , , 
2020/3/23, 27, , , , , 
2020/3/24, 15, , , , , 
2020/3/25, 26, , , , , 
2020/3/26, 16, , , , , 
2020/3/27, 21, , , , , 
2020/3/28, 27, , , , , 
2020/3/29, 36, , , , , 
2020/3/30, 41, , , , , 
2020/3/31, 36, , , , , 
2020/4/1, 46, , , , , 
2020/2/2, 53, , , , , 
2020/2/3, 64, , , , , 
2020/2/4, 27, , , , , 
2020/2/5, 23, , , , , 
2020/2/6, 43, , , , , 
2020/2/7, 50, , , , , 
2020/2/8, 71, , , , , 
2020/2/9, 70, , , , , 
2020/2/10, 42, , , , , 
2020/2/11, 38, , , , , 
2020/2/12, 35, , , , , 
2020/2/13, 49, , , , , 
2020/2/14, 59, , , , , 
2020/2/15, 55, , , , , 
2020/2/16, 62, , , , , 
2020/2/17, 63, , , , , 
2020/2/18, 62, , , , , 
2020/2/19, 52, , , , , 
2020/2/20, 63, , , , , 
2020/2/21, 71, , , , , 
2020/2/22, 70, , , , , 
2020/2/23, 35, , , , , 
2020/2/24, 46, , , , , 
2020/2/25, 56, , , , , 
2020/2/26, 56, , , , , 
2020/2/27, 44, , , , , 
2020/2/28, 50, , , , , 
2020/2/29, 42, , , , , 
2020/3/1, 37, , , , , 
2020/1/2, 88, , , , , 
2020/1/3, 54, , , , , 
2020/1/4, 78, , , , , 
2020/1/5, 88, , , , , 
2020/1/6, 83, , , , , 
2020/1/7, 65, , , , , 
2020/1/8, 32, , , , , 
2020/1/9, 45, , , , , 
2020/1/10, 39, , , , , 
2020/1/11, 49, , , , , 
2020/1/12, 59, , , , , 
2020/1/13, 61, , , , , 
2020/1/14, 64, , , , , 
2020/1/15, 77, , , , , 
2020/1/16, 105, , , , , 
2020/1/17, 88, , , , , 
2020/1/18, 32, , , , , 
2020/1/19, 56, , , , , 
2020/1/20, 55, 21, , , , 
2020/1/21, 56, 11, , , , 
2020/1/22, 31, 18, , , , 
2020/1/23, 47, 30, , , , 
2020/1/24, 54, 27, , , , 
2020/1/25, 58, 31, , , , 
2020/1/26, 73, 22, , , , 
2020/1/27, 57, , , , , 
2020/1/28, 75, , , , , 
2020/1/29, 56, , , , , 
2020/1/30, 43, , , , , 
2020/1/31, 49, , , , , 
2020/2/1, 43, , , , , 
2019/10/2, 41, 34, , , , 
2019/10/3, 47, 29, , , , 
2019/10/4, 45, 28, , , , 
2019/10/5, 46, 34, , , , 
2019/10/6, 50, 33, , , , 
2019/10/7, 60, 35, , , , 
2019/10/8, 46, 22, , , , 
2019/10/9, 48, 19, , , , 
2019/10/10, 47, 40, , , , 
2019/10/11, 49, 51, , , , 
2019/10/12, 46, 35, , , , 
2019/10/13, 46, 38, , , , 
2019/10/14, 61, 32, , , , 
2019/10/15, 50, 44, , , , 
2019/10/16, 64, 43, , , , 
2019/10/17, 64, 27, , , , 
2019/10/18, 48, 33, , , , 
2019/10/19, 40, 31, , , , 
2019/10/20, 50, 26, , , , 
2019/10/21, 45, 31, , , , 
2019/10/22, 43, 29, , , , 
2019/10/23, 48, 33, , , , 
2019/10/24, 53, 48, , , , 
