date,pm25,o3,no2,so2,co,AQ
09-Jul-2020,17,27,7,1,2,27
08-Jul-2020,31,23,6,1,2,31
07-Jul-2020,19,26,8,8,2,26
06-Jul-2020,41,25,5,1,1,41
05-Jul-2020,52,25,6,0,2,52
04-Jul-2020,20,17,5,0,1,20
03-Jul-2020,14,23,8,0,2,23
02-Jul-2020,24,0,0,0,0,24
01-Jul-2020,19,21,10,1,0,21
30-Jun-2020,18,13,5,1,0,18
29-Jun-2020,16,28,10,1,0,28
28-Jun-2020,18,17,11,1,0,18
27-Jun-2020,16,22,6,1,0,22
26-Jun-2020,11,23,3,1,0,23
25-Jun-2020,13,23,6,1,1,23
24-Jun-2020,14,27,8,1,1,27
23-Jun-2020,17,24,8,1,2,24
22-Jun-2020,22,22,6,1,1,22
21-Jun-2020,20,19,13,1,2,20
20-Jun-2020,28,15,6,1,0,28
19-Jun-2020,14,29,8,1,1,29
18-Jun-2020,16,21,8,1,0,21
17-Jun-2020,16,18,10,1,2,18
14-Jun-2020,24,17,2,1,0,24
13-Jun-2020,12,21,6,1,1,21
12-Jun-2020,13,16,6,1,1,16
11-Jun-2020,26,22,6,1,1,26
10-Jun-2020,18,17,6,1,1,18
09-Jun-2020,22,28,7,1,0,28
08-Jun-2020,19,30,4,1,0,30
07-Jun-2020,17,24,8,1,0,24
06-Jun-2020,19,26,4,1,0,26
05-Jun-2020,14,22,5,1,0,22
04-Jun-2020,14,23,5,1,0,23
03-Jun-2020,13,16,8,1,0,16
02-Jun-2020,18,22,5,1,1,22
01-Jun-2020,21,32,8,1,2,32
31-May-2020,20,35,6,1,0,35
30-May-2020,18,36,14,1,0,36
29-May-2020,29,26,10,1,0,29
28-May-2020,25,31,6,1,0,31
27-May-2020,15,31,10,1,0,31
26-May-2020,16,34,8,1,0,34
25-May-2020,15,16,8,1,1,16
24-May-2020,25,32,4,1,0,32
23-May-2020,14,28,8,1,0,28
22-May-2020,21,23,6,1,0,23
21-May-2020,16,29,8,1,0,29
