date, pm25,pm10, o3, no2, so2,co
20-07-02,72,, , , ,
20-07-03,93,, , , ,
20-07-04,72,, , , ,
20-07-05,68,, , , ,
20-07-06,51,, , , ,
20-07-07,42,, , , ,
20-06-02,52,, , , ,
20-06-03,47,, , , ,
20-06-04,39,, , , ,
20-06-05,31,, , , ,
20-06-06,45,, , , ,
20-06-07,41,, , , ,
20-06-08,44,, , , ,
20-06-09,46,, , , ,
20-06-10,50,, , , ,
20-06-11,45,, , , ,
20-06-12,28,, , , ,
20-06-13,34,, , , ,
20-06-14,35,, , , ,
20-06-15,43,, , , ,
20-06-16,50,, , , ,
20-06-20,25,, , , ,
20-06-21,19,, , , ,
20-06-22,22,, , , ,
20-06-23,32,, , , ,
20-06-24,20,, , , ,
20-06-25,21,, , , ,
20-06-26,32,, , , ,
20-06-27,82,, , , ,
20-06-28,142,, , , ,
20-06-29,64,, , , ,
20-06-30,60,, , , ,
20-07-01,76,, , , ,
20-05-02,24,, , , ,
20-05-03,26,, , , ,
20-05-04,32,, , , ,
20-05-05,36,, , , ,
20-05-06,43,, , , ,
20-05-07,23,, , , ,
20-05-08,40,, , , ,
20-05-09,37,, , , ,
20-05-10,24,, , , ,
20-05-11,35,, , , ,
20-05-12,33,, , , ,
20-05-13,23,, , , ,
20-05-14,31,, , , ,
20-05-15,27,, , , ,
20-05-16,46,, , , ,
20-05-17,15,, , , ,
20-05-18,24,, , , ,
20-05-19,38,, , , ,
20-05-20,42,, , , ,
20-05-21,63,, , , ,
20-05-22,58,, , , ,
20-05-23,56,, , , ,
20-05-24,51,, , , ,
20-05-25,34,, , , ,
20-05-26,16,, , , ,
20-05-27,19,, , , ,
20-05-28,33,, , , ,
20-05-29,24,, , , ,
20-05-30,23,, , , ,
20-05-31,27,, , , ,
20-06-01,44,, , , ,
20-04-02,30,, , , ,
20-04-03,33,, , , ,
20-04-04,31,, , , ,
20-04-05,27,, , , ,
20-04-06,45,, , , ,
20-04-07,52,, , , ,
20-04-08,51,, , , ,
20-04-09,74,, , , ,
20-04-10,71,, , , ,
20-04-11,43,, , , ,
20-04-12,50,, , , ,
20-04-13,40,, , , ,
20-04-14,23,, , , ,
20-04-15,25,, , , ,
20-04-16,28,, , , ,
20-04-17,37,, , , ,
20-04-18,38,, , , ,
20-04-19,40,, , , ,
20-04-20,47,, , , ,
20-04-21,48,, , , ,
20-04-22,57,, , , ,
20-04-23,63,, , , ,
20-04-24,39,, , , ,
20-04-25,41,, , , ,
20-04-26,24,, , , ,
20-04-27,43,, , , ,
20-04-28,36,, , , ,
20-04-29,58,, , , ,
20-04-30,32,, , , ,
20-05-01,29,, , , ,
20-03-03,49,, , , ,
20-03-04,60,, , , ,
20-03-05,33,, , , ,
20-03-06,27,, , , ,
20-03-07,24,, , , ,
20-03-08,43,, , , ,
20-03-09,32,, , , ,
20-03-10,33,, , , ,
20-03-11,37,, , , ,
20-03-12,50,, , , ,
20-03-13,43,, , , ,
20-03-14,47,, , , ,
20-03-15,47,, , , ,
20-03-16,30,, , , ,
20-03-17,41,, , , ,
20-03-18,44,, , , ,
20-03-19,45,, , , ,
20-03-20,57,, , , ,
20-03-21,22,, , , ,
20-03-22,25,, , , ,
20-03-23,34,, , , ,
20-03-24,55,, , , ,
20-03-25,42,, , , ,
20-03-26,50,, , , ,
20-03-27,63,, , , ,
20-03-28,55,, , , ,
20-03-29,48,, , , ,
20-03-30,34,, , , ,
20-03-31,44,, , , ,
20-04-01,29,, , , ,
20-02-02,31,, , , ,
20-02-03,37,, , , ,
20-02-04,30,, , , ,
20-02-05,39,, , , ,
20-02-06,18,, , , ,
20-02-07,19,, , , ,
20-02-08,30,, , , ,
20-02-09,36,, , , ,
20-02-10,31,, , , ,
20-02-11,45,, , , ,
20-02-12,26,, , , ,
20-02-13,21,, , , ,
20-02-14,30,, , , ,
20-02-15,33,, , , ,
20-02-16,54,, , , ,
20-02-17,51,, , , ,
20-02-18,41,, , , ,
20-02-19,45,, , , ,
20-02-20,17,, , , ,
20-02-21,14,, , , ,
20-02-22,41,, , , ,
20-02-23,43,, , , ,
20-02-24,27,, , , ,
20-02-25,25,, , , ,
20-02-26,27,, , , ,
20-02-27,17,, , , ,
20-02-28,27,, , , ,
20-02-29,29,, , , ,
20-01-02,54,, , , ,
20-01-03,46,, , , ,
20-01-04,24,, , , ,
20-01-05,24,, , , ,
20-01-06,30,, , , ,
20-01-07,35,, , , ,
20-01-08,24,, , , ,
20-01-09,41,, , , ,
20-01-10,25,, , , ,
20-01-11,35,, , , ,
20-01-12,21,, , , ,
20-01-13,34,, , , ,
20-01-14,47,, , , ,
20-01-15,52,, , , ,
20-01-16,43,, , , ,
20-01-17,29,, , , ,
20-01-18,25,, , , ,
20-01-19,25,, , , ,
20-01-20,11,, , , ,
20-01-21,22,, , , ,
20-01-22,33,, , , ,
20-01-23,22,, , , ,
20-01-24,25,, , , ,
20-01-25,33,, , , ,
20-01-26,37,, , , ,
20-01-27,28,, , , ,
20-01-28,40,, , , ,
20-01-29,30,, , , ,
20-01-30,14,, , , ,
20-01-31,26,, , , ,
20-02-01,28,, , , ,
19-10-02,27,, , , ,
19-10-03,37,, , , ,
19-10-04,40,, , , ,
19-10-05,49,, , , ,
19-10-06,43,, , , ,
19-10-07,46,, , , ,
19-10-08,22,, , , ,
19-10-09,22,, , , ,
19-10-10,42,, , , ,
19-10-11,26,, , , ,
19-10-12,15,, , , ,
19-10-13,17,, , , ,
19-10-14,24,, , , ,
19-10-15,47,, , , ,
19-10-16,23,, , , ,
19-10-17,27,, , , ,
19-10-18,28,, , , ,
19-10-19,38,, , , ,
19-10-20,31,, , , ,
19-10-21,35,, , , ,
19-10-22,21,, , , ,
19-10-23,20,, , , ,
19-10-24,23,, , , ,
19-10-25,23,, , , ,
19-10-26,11,, , , ,
19-10-27,19,, , , ,
19-10-28,43,, , , ,
19-10-29,27,, , , ,
19-10-30,21,, , , ,
19-10-31,14,, , , ,
19-11-01,32,, , , ,
19-11-02,40,, , , ,
19-11-03,54,, , , ,
19-11-04,46,, , , ,
19-11-05,33,, , , ,
19-11-06,42,, , , ,
19-11-07,27,, , , ,
19-11-08,40,, , , ,
19-11-09,36,, , , ,
19-11-10,47,, , , ,
19-11-11,43,, , , ,
19-11-12,21,, , , ,
19-11-13,20,, , , ,
19-11-14,41,, , , ,
19-11-15,48,, , , ,
19-11-16,47,, , , ,
19-11-17,56,, , , ,
19-11-18,65,, , , ,
19-11-19,45,, , , ,
19-11-20,54,, , , ,
19-11-21,37,, , , ,
19-11-22,26,, , , ,
19-11-23,21,, , , ,
19-11-24,32,, , , ,
19-11-25,47,, , , ,
19-11-26,35,, , , ,
19-11-27,64,, , , ,
19-11-28,24,, , , ,
19-11-29,31,, , , ,
19-11-30,41,, , , ,
19-12-01,35,, , , ,
19-12-02,12,, , , ,
19-12-03,19,, , , ,
19-12-04,41,, , , ,
19-12-05,30,, , , ,
19-12-06,59,, , , ,
19-12-07,30,, , , ,
19-12-08,46,, , , ,
19-12-09,70,, , , ,
19-12-10,54,, , , ,
19-12-11,19,, , , ,
19-12-12,35,, , , ,
19-12-13,48,, , , ,
19-12-14,42,, , , ,
19-12-15,51,, , , ,
19-12-16,64,, , , ,
19-12-17,36,, , , ,
19-12-18,26,, , , ,
19-12-19,27,, , , ,
19-12-20,48,, , , ,
19-12-21,32,, , , ,
19-12-22,53,, , , ,
19-12-23,63,, , , ,
19-12-24,64,, , , ,
19-12-25,56,, , , ,
19-12-26,53,, , , ,
19-12-27,40,, , , ,
19-12-28,29,, , , ,
19-12-29,24,, , , ,
19-12-30,16,, , , ,
19-07-02,54,, , , ,
19-07-03,29,, , , ,
19-07-04,47,, , , ,
19-07-05,69,, , , ,
19-07-06,51,, , , ,
19-07-07,50,, , , ,
19-07-08,42,, , , ,
19-07-09,32,, , , ,
19-07-10,54,, , , ,
