date, pm25, pm10, o3, no2, so2, co
2020/7/2, 68, , 25, , , 
2020/7/3, 75, , 44, , , 
2020/7/4, 75, , 48, , , 
2020/7/5, 63, , 36, , , 
2020/7/6, 71, , 26, , , 
2020/7/7, 45, , , , , 
2020/6/2, 42, , 40, , , 
2020/6/3, 46, , 36, , , 
2020/6/4, 35, , 30, , , 
2020/6/5, 25, , 30, , , 
2020/6/6, 36, , 42, , , 
2020/6/7, 40, , 37, , , 
2020/6/8, 34, , 48, , , 
2020/6/9, 36, , 52, , , 
2020/6/10, 48, , 27, , , 
2020/6/11, 21, , 42, , , 
2020/6/12, 39, , 50, , , 
2020/6/13, 22, , 50, , , 
2020/6/14, 26, , 48, , , 
2020/6/15, 36, , 41, , , 
2020/6/16, 40, , 37, , , 
2020/6/17, 26, , 43, , , 
2020/6/18, 34, , 36, , , 
2020/6/19, 30, , 39, , , 
2020/6/20, 30, , 38, , , 
2020/6/21, 21, , 29, , , 
2020/6/22, 21, , 33, , , 
2020/6/23, 28, , 25, , , 
2020/6/24, 30, , 40, , , 
2020/6/26, 30, , 23, , , 
2020/6/27, 82, , 19, , , 
2020/6/28, 124, , 17, , , 
2020/6/29, 67, , 21, , , 
2020/6/30, 56, , 21, , , 
2020/7/1, 73, , 25, , , 
2020/5/2, 35, , 37, , , 
2020/5/3, 34, , 37, , , 
2020/5/4, 34, , 38, , , 
2020/5/5, 43, , 41, , , 
2020/5/6, 30, , 49, , , 
2020/5/7, 25, , 44, , , 
2020/5/8, 33, , 36, , , 
2020/5/9, 26, , 40, , , 
2020/5/10, 27, , 42, , , 
2020/5/11, 37, , 39, , , 
2020/5/12, 22, , 31, , , 
2020/5/13, 4, , 34, , , 
2020/5/14, 14, , 31, , , 
2020/5/15, 29, , 41, , , 
2020/5/16, 31, , 32, , , 
2020/5/17, 14, , 37, , , 
2020/5/18, 20, , 53, , , 
2020/5/19, 28, , 66, , , 
2020/5/20, 37, , 35, , , 
2020/5/21, 49, , 30, , , 
2020/5/22, 56, , 32, , , 
2020/5/23, 52, , 36, , , 
2020/5/24, 36, , 26, , , 
2020/5/25, 26, , 31, , , 
2020/5/26, 17, , 25, , , 
2020/5/27, 17, , 47, , , 
2020/5/28, 29, , 41, , , 
2020/5/29, 33, , 47, , , 
2020/5/30, 28, , 45, , , 
2020/5/31, 30, , 45, , , 
2020/6/1, 38, , 47, , , 
2020/4/2, 22, , 28, , , 
2020/4/3, 38, , 25, , , 
2020/4/4, 24, , 8, , , 
2020/4/5, 22, , 22, , , 
2020/4/6, 42, , 21, , , 
2020/4/7, 53, , 27, , , 
2020/4/8, 40, , 35, , , 
2020/4/9, 50, , 34, , , 
2020/4/10, 53, , 40, , , 
2020/4/11, 35, , 27, , , 
2020/4/12, 35, , 37, , , 
2020/4/13, 33, , 30, , , 
2020/4/14, 18, , 30, , , 
2020/4/15, 21, , 35, , , 
2020/4/16, 25, , 39, , , 
2020/4/17, 31, , 32, , , 
2020/4/18, 32, , 30, , , 
2020/4/19, 27, , 25, , , 
2020/4/20, 41, , 11, , , 
2020/4/21, 30, , 42, , , 
2020/4/22, 46, , 34, , , 
2020/4/23, 32, , 45, , , 
2020/4/24, 21, , 45, , , 
2020/4/25, 32, , 39, , , 
2020/4/26, 25, , 42, , , 
2020/4/27, 33, , 44, , , 
2020/4/28, 38, , 35, , , 
2020/4/29, 47, , 39, , , 
2020/4/30, 20, , 52, , , 
2020/5/1, 33, , 51, , , 
2020/3/4, 54, , 26, , , 
2020/3/5, 36, , 31, , , 
2020/3/6, 41, , 33, , , 
2020/3/7, 31, , 28, , , 
2020/3/8, 26, , 34, , , 
2020/3/9, 39, , 26, , , 
2020/3/10, 41, , 23, , , 
2020/3/11, 34, , 28, , , 
2020/3/12, 50, , 20, , , 
2020/3/13, 46, , 16, , , 
2020/3/14, 38, , 12, , , 
